lemma	pointer_in_volume	details								
 	Vol-2-Vol-1-ADD-S-G_M-d8e8-person	Ossuary	 Talpiyot	 Jerusalem 						
 Š?š??Š?š??	Vol-4-I_M-d8e11194-person	Incantation bowl	 Nippur	 Obermann 						
 Aš??Aš??	Vol-4-I_F-d8e718-person	Incantation bowl	 London 							
 A?aimenesA?aimenes	Vol-4-I_M-d8e771-person	Incantation bowl	 Geneva 							
 A?aimenesA?aimenes	Vol-4-I_M-d8e807-person	Incantation bowls 								
 A?aimenesA?aimenes	Vol-4-I_M-d8e859-person	Incantation bowl	 Schøyen collection 							
 A?aimenesA?aimenes	Vol-4-I_M-d8e900-person	Incantation bowl	 Louvre 							
 ????Aaron	Vol-2-B_M-d8e851-person	Epitaph	 Jerusalem	 Clermont-Ganneau 						
 ????Aaron	Vol-2-B_M-d8e885-person	Epitaph	 Hebron?							
                   										
 ????Aaron	Vol-2-B_M-d8e921-person	Epitaph	Zoar 							
 ????Aaron	Vol-2-Vol-1-ADD-B_M-d8e208-person	Ossuary	 Pisgat Ze’ev	 Reich 						
 ?????Aaron	Vol-3-B_M-d8e1346-person	Papyrus	 Fayum	 Clauson 						
 ?????Aaron	Vol-3-B_M-d8e1387-person	Papyrus	 Trikomia 							
 ???A?at	Vol-4-S-H_F-d8e86-person	Incantation bowl	 Nippur	 Montgomery 						
 ???A?at	Vol-4-S-H_F-d8e121-person	Incantation bowl	 Nippur	 Montgomery 						
 ???A?at	Vol-4-S-H_F-d8e153-person	Incantation bowls	 Nippur	 Montgomery 						
 ???A?at	Vol-4-S-H_F-d8e188-person	Incantation bowl	 Harvard	 Gordon 						
 ???A?at	Vol-4-S-H_F-d8e223-person	Incantation bowl	 Nippur	 Montgomery 						
 ???A?at	Vol-4-S-H_F-d8e258-person	Incantation bowl	 Nippur	 Montgomery 						
 ???A?at	Vol-4-S-H_F-d8e290-person	Incantation bowl	 Nippur	 Gordon 						
 ???A?at	Vol-4-S-H_F-d8e325-person	Incantation bowl	 Nippur	 Gordon 						
 ???A?at	Vol-4-S-H_F-d8e357-person	Incantation bowl	 Nippur	 Gordon 						
 ???A?at	Vol-4-S-H_F-d8e389-person	Incantation bowl	 private collection 							
 ???A?at	Vol-4-S-H_F-d8e426-person	Incantation bowl 								
 ???A?at	Vol-4-S-H_F-d8e464-person	Incantation bowl 								
 ???A?at	Vol-4-S-H_F-d8e501-person	Incantation bowl	 Kirmanshah 							
 ???A?at	Vol-4-S-H_F-d8e541-person	Incantation bowl 								
 ???A?at	Vol-4-S-H_F-d8e578-person	Incantation bowl	 Moussyaieff collection 							
 ???A?at	Vol-4-S-H_F-d8e616-person	Incantation bowl	 Moussyaieff collection 							
 ???A?at	Vol-4-S-H_F-d8e654-person	Incantation bowl	 New York 							
 ???A?at	Vol-4-S-H_F-d8e689-person	Incantation bowl	 Schøyen collection 							
 ???A?at	Vol-4-S-H_F-d8e721-person	Incantation bowl	 Schøyen collection 							
 ???A?at	Vol-4-S-H_F-d8e759-person	Incantation bowl 								
 ?????A?atabu	Vol-4-S-H_F-d8e813-person	Incantation bowl 								
 ?????A?atabu	Vol-4-S-H_F-d8e847-person	Incantation bowl	 Berlin 							
 ?????A?atabu	Vol-4-S-H_F-d8e885-person	Incantation bowl	 Berlin 							
 ?????A?atabu	Vol-4-S-H_F-d8e928-person	Incantation bowl	 Iraq 							
