lemma,pointer_in_volume,provenance
 ,Vol-2-Vol-1-ADD-S-G_M-Semitic-Greek-Males--1,[Palestine?] 
 ŠīšōēŠīšōē,Vol-4-I_M-Iranian-Males-Šīšōē-1,Babylonia 
 ŠīšōēŠīšōē,Vol-4-I_M-Iranian-Males-Šīšōē-2,Babylonia 
 ŠīšōēŠīšōē,Vol-4-I_M-Iranian-Males-Šīšōē-3,Babylonia 
 ŠīšōēŠīšōē,Vol-4-I_M-Iranian-Males-Šīšōē-4,Babylonia 
 ŠīšōēŠīšōē,Vol-4-I_M-Iranian-Males-Šīšōē-5,Babylonia 
 AšōēAšōē,Vol-4-I_F-Iranian-Females-Ašōē-1,Babylonia 
 AχaimenesAχaimenes,Vol-4-I_M-Iranian-Males-Aχaimenes-1,Babylonia 
 AχaimenesAχaimenes,Vol-4-I_M-Iranian-Males-Aχaimenes-2,Babylonia 
 AχaimenesAχaimenes,Vol-4-I_M-Iranian-Males-Aχaimenes-3,Babylonia 
 AχaimenesAχaimenes,Vol-4-I_M-Iranian-Males-Aχaimenes-4,Babylonia 
 AχaimenesAχaimenes,Vol-4-I_M-Iranian-Males-Aχaimenes-5,Babylonia 
 اعصمAʿṣam,Vol-4-A_M-Arabic-Males-Aʿṣam-1,Arab. Pen. 
 עצריʿAṣari,Vol-4-S-H_M-Semitic-Hebrew-Males-ʿAṣari-1,Babylonia 
 אהרןAaron,Vol-2-B_M-Biblical-Males-Aaron-1,[Palestine?] 
 אהרןAaron,Vol-2-B_M-Biblical-Males-Aaron-2,[Palestine?] 
 אהרןAaron,Vol-2-B_M-Biblical-Males-Aaron-3,[Palestine?] 
 אהרןAaron,Vol-2-B_M-Biblical-Males-Aaron-4,[Palestine?] 
 אהרןAaron,Vol-2-B_M-Biblical-Males-Aaron-5,[Palestine?] 
 אהרןAaron,Vol-2-Vol-1-ADD-B_M-Biblical-Males-Aaron-1,[Palestine?] 
 אהרןAaron,Vol-2-Vol-1-ADD-B_M-Biblical-Males-Aaron-2,[Palestine?] 
 אהרןAaron,Vol-4-B_M-Biblical-Males-Aaron-1,Babylonia 
 אהרןAaron,Vol-4-B_M-Biblical-Males-Aaron-2,Arab. Pen. 
 אהרוןAaron,Vol-3-B_M-Biblical-Males-Aaron-1,Egypt 
 אהרוןAaron,Vol-3-B_M-Biblical-Males-Aaron-2,Egypt 
 אחתAḥat,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-1,Babylonia 
 אחתAḥat,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-2,Babylonia 
 אחתAḥat,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-3,Babylonia 
 אחתAḥat,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-4,Babylonia 
 אחתAḥat,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-5,Babylonia 
 אחתAḥat,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-6,Babylonia 
 אחתAḥat,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-7,Babylonia 
 אחתAḥat,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-8,Babylonia 
 אחתAḥat,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-9,Babylonia 
 אחתAḥat,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-10,Babylonia 
 אחתAḥat,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-11,Babylonia 
 אחתAḥat,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-12,Babylonia 
 אחתAḥat,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-13,Persia 
 אחתAḥat,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-14,Babylonia 
 אחתAḥat,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-15,Babylonia 
 אחתAḥat,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-16,Babylonia 
 אחתAḥat,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-17,Babylonia 
 אחתAḥat,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-18,Babylonia 
 אחתAḥat,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-19,Babylonia 
 אחתAḥat,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-20,Babylonia 
 אחתבוAḥatabu,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥatabu-1,Babylonia 
 אחתבוAḥatabu,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥatabu-2,Babylonia 
 אחתבוAḥatabu,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥatabu-3,Babylonia 
 אחתבוAḥatabu,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥatabu-4,Babylonia 
 אחתימאAḥatimma,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥatimma-1,Babylonia 
 حطبḤaṭb,Vol-4-A_M-Arabic-Males-Ḥaṭb-1,Babylonia 
 صعبةṢaʿba,Vol-4-A_F-Arabic-Females-Ṣaʿba-1,Arab. Pen. 
 חבאḤaba,Vol-4-S-H_F-Semitic-Hebrew-Females-Ḥaba-1,Babylonia 
 חבאḤaba,Vol-4-S-H_F-Semitic-Hebrew-Females-Ḥaba-2,Palmyra 
 חבלוסḤabalus,Vol-4-S-H_F-Semitic-Hebrew-Females-Ḥabalus-1,Babylonia 
 ŠabanagŠabanag,Vol-4-I_M-Iranian-Males-Šabanag-1,Babylonia 
 AbandanesAbandanes,Vol-3-P_M-Persian-Males-Abandanes-1,Rome 
 AbandanesAbandanes,Vol-3-P_M-Persian-Males-Abandanes-2,Italy 
