person:nym,person:lemma_en,person:lemma_ancient,person:orthography,person:sex,person:hebrew,person:greek,person:checkme,person:id,person:pointer_in_volume,name:id,name:form,name:language_type,name:gender_type
 Šīšōē-Šīšōē,Šīšōē,Šīšōē,ששת,M,,,,Vol-4-I_M-d8e10910-person,Vol-4-I_M-Iranian-Males-Šīšōē-1,name--d1e664002,Šīšōē-Šīšōē,I,M 
 Šīšōē-Šīšōē,Šīšōē,Šīšōē,ששת /שישת /שישא /שישנא /ששא /שיננא,M,,,,Vol-4-I_M-d8e10953-person,Vol-4-I_M-Iranian-Males-Šīšōē-2,name--d1e664002,Šīšōē-Šīšōē,I,M 
 Šīšōē-Šīšōē,Šīšōē,Šīšōē,ששת,M,,,,Vol-4-I_M-d8e11053-person,Vol-4-I_M-Iranian-Males-Šīšōē-3,name--d1e664002,Šīšōē-Šīšōē,I,M 
 Šīšōē-Šīšōē,Šīšōē,Šīšōē,שישנא /שישא /שיננא /ששנא /ששונא /שישנין,M,,,,Vol-4-I_M-d8e11103-person,Vol-4-I_M-Iranian-Males-Šīšōē-4,name--d1e664002,Šīšōē-Šīšōē,I,M 
 Šīšōē-Šīšōē,Šīšōē,Šīšōē,שישאי,M,,,,Vol-4-I_M-d8e11194-person,Vol-4-I_M-Iranian-Males-Šīšōē-5,name--d1e664002,Šīšōē-Šīšōē,I,M 
 Ašōē-Ašōē,Ašōē,Ašōē,אשוי,F,,,,Vol-4-I_F-d8e718-person,Vol-4-I_F-Iranian-Females-Ašōē-1,name-A-d1e637130,Ašōē-Ašōē,I,F 
 Aχaimenes-Aχaimenes,Aχaimenes,Aχaimenes,אוכמי /אבימי /אהבה /איכומי,M,,,,Vol-4-I_M-d8e702-person,Vol-4-I_M-Iranian-Males-Aχaimenes-1,name-Aaimenes-d1e653041,Aχaimenes-Aχaimenes,I,M 
 Aχaimenes-Aχaimenes,Aχaimenes,Aχaimenes,,M,,,,Vol-4-I_M-d8e771-person,Vol-4-I_M-Iranian-Males-Aχaimenes-2,name-Aaimenes-d1e653041,Aχaimenes-Aχaimenes,I,M 
 Aχaimenes-Aχaimenes,Aχaimenes,Aχaimenes,אוכמי,M,,,,Vol-4-I_M-d8e807-person,Vol-4-I_M-Iranian-Males-Aχaimenes-3,name-Aaimenes-d1e653041,Aχaimenes-Aχaimenes,I,M 
 Aχaimenes-Aχaimenes,Aχaimenes,Aχaimenes,Aḥma,M,,,,Vol-4-I_M-d8e859-person,Vol-4-I_M-Iranian-Males-Aχaimenes-4,name-Aaimenes-d1e653041,Aχaimenes-Aχaimenes,I,M 
 Aχaimenes-Aχaimenes,Aχaimenes,Aχaimenes,אוכמו,M,,,,Vol-4-I_M-d8e900-person,Vol-4-I_M-Iranian-Males-Aχaimenes-5,name-Aaimenes-d1e653041,Aχaimenes-Aχaimenes,I,M 
 Aʿṣam-اعصم,Aʿṣam,اعصم,–,M,,,,Vol-4-A_M-d8e934-person,Vol-4-A_M-Arabic-Males-Aʿṣam-1,name-Aam-d1e607689,Aʿṣam-اعصم,A,M 
 ʿAṣari-עצרי,ʿAṣari,עצרי,עצראי /עצורי /עיצוראי,M,,,,Vol-4-S-H_M-d8e31218-person,Vol-4-S-H_M-Semitic-Hebrew-Males-ʿAṣari-1,name-Aari-d1e688404,ʿAṣari-עצרי,S-H,M 
 Aaron-אהרן,Aaron,אהרן,–,M,,,,Vol-2-B_M-d8e770-person,Vol-2-B_M-Biblical-Males-Aaron-1,name-Aaron-d1e330541,Aaron-אהרן,B,M 
 Aaron-אהרן,Aaron,אהרן,–,M,,,,Vol-2-B_M-d8e810-person,Vol-2-B_M-Biblical-Males-Aaron-2,name-Aaron-d1e330541,Aaron-אהרן,B,M 
 Aaron-אהרן,Aaron,אהרן,–,M,,,,Vol-2-B_M-d8e851-person,Vol-2-B_M-Biblical-Males-Aaron-3,name-Aaron-d1e330541,Aaron-אהרן,B,M 
 Aaron-אהרן,Aaron,אהרן,̓Αρών,M,,,,Vol-2-B_M-d8e885-person,Vol-2-B_M-Biblical-Males-Aaron-4,name-Aaron-d1e330541,Aaron-אהרן,B,M 
 Aaron-אהרן,Aaron,אהרן,עארון,M,,,,Vol-2-B_M-d8e921-person,Vol-2-B_M-Biblical-Males-Aaron-5,name-Aaron-d1e330541,Aaron-אהרן,B,M 
