Lemma,Transcribed,Transliterated,Lang Gender Class,ID,
Abigael-אביגיל,אביגיל,Abigael,B_F,name-Abigael-d1e30
Elisheba-אלישבע,אלישבע,Elisheba,B_F,name-Elisheba-d1e81
Esther-אסתר,אסתר,Esther,B_F,name-Esther-d1e297
Deborah-דבורה,דבורה,Deborah,B_F,name-Deborah-d1e1292
Hannah-חנה,חנה,Hannah,B_F,name-Hannah-d1e1491
Judith-יהודית,יהודית,Judith,B_F,name-Judith-d1e2832
Leah-לאה,לאה,Leah,B_F,name-Leah-d1e3321
Mikhal-מיכל,מיכל,Mikhal,B_F,name-Mikhal-d1e3679
Mariam-מרים,מרים,Mariam,B_F,name-Mariam-d1e3728
Sipora-צפורה,צפורה,Sipora,B_F,name-Sipora-d1e10171
Rebekah-רבקה,רבקה,Rebekah,B_F,name-Rebekah-d1e10222
Rachel-רחל,רחל,Rachel,B_F,name-Rachel-d1e10555
Salome-שלום,שלום,Salome,B_F,name-Salome-d1e10878
Shiphra-שפרה,שפרה,Shiphra,B_F,name-Shiphra-d1e15470
Sarah-שרה,שרה,Sarah,B_F,name-Sarah-d1e16092
Tamar-תמר,תמר,Tamar,B_F,name-Tamar-d1e19289
Abiah-אביה,אביה,Abiah,B_M,name-Abiah-d1e19471
Abiathar-אביתר,אביתר,Abiathar,B_M,name-Abiathar-d1e19668
Abraham-אברהם,אברהם,Abraham,Add-B_M,name-Abraham-d1e19852
Abshalom-אבשלום,אבשלום,Abshalom,B_M,name-Abshalom-d1e22214
Ahab-אחאב,אחאב,Ahab,B_M,name-Ahab-d1e23055
Ahi-אחי,אחי,Ahi,B_M,name-Ahi-d1e23150
Ahiah-אחיה,אחיה,Ahiah,B_M,name-Ahiah-d1e24249
Elhanan-אלחנן,אלחנן,Elhanan,B_M,name-Elhanan-d1e24418
Elijah-אליהו,אליהו,Elijah,B_M,name-Elijah-d1e24513
Elyoeini-אליועיני,אליועיני,Elyoeini,B_M,name-Elyoeini-d1e25336
Elyashib-אלישיב,אלישיב,Elyashib,B_M,name-Elyashib-d1e25471
Elisha-אלישע,אלישע,Elisha,B_M,name-Elisha-d1e25649
Elnathan-אלנתן,אלנתן,Elnathan,B_M,name-Elnathan-d1e26252
Eleazar-אלעזר,אלעזר,Eleazar,B_M,name-Eleazar-d1e26384
Elasah-אלעשה,אלעשה,Elasah,B_M,name-Elasah-d1e37958
