,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
0,ref-b.1.01.2b.74-ref-b.1.01.2b.84,ref-bible.0310.4.15.1-ref-bible.0310.4.15.11,1648,1720,252,261,ref-b.00001.00001.0002b.00074,ref-b.00001.00001.0002b.00084,1402000,1402071,240961,240970,ref-bible.00310.00004.00015.00001,ref-bible.00310.00004.00015.00011,ואנחנו עושים במלאכה וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,ואנחנו עשים במלאכה וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,ref-bible
1,ref-b.1.01.2b.75-ref-b.1.01.2b.79,ref-bible.0310.4.10.7-ref-bible.0310.4.10.11,1656,1692,253,257,ref-b.00001.00001.0002b.00075,ref-b.00001.00001.0002b.00079,1401606,1401642,240899,240903,ref-bible.00310.00004.00010.00007,ref-bible.00310.00004.00010.00011,עושים במלאכה וחצים מחזיקים ברמחים ,עשים במלאכה וחצים מחזיקים והרמחים ,ref-bible
2,ref-b.1.01.2b.402-ref-b.1.01.2b.413,ref-bible.0208.25.30.8-ref-bible.0208.25.30.20,3370,3432,489,500,ref-b.00001.00001.0002b.00402,ref-b.00001.00001.0002b.00413,916099,916167,155535,155547,ref-bible.00208.00025.00030.00008,ref-bible.00208.00025.00030.00020,שנאמר ה' ממרום ישאג וממעון קדשו יתן קולו שאוג ישאג על נוהו ,ואמרת אליהם יהוה ממרום ישאג וממעון קדשו יתן קולו שאג ישאג על נוהו ,ref-bible
3,ref-b.1.01.3b.17-ref-b.1.01.3b.26,ref-bible.0202.7.18.16-ref-bible.0202.7.19.11,5617,5675,852,861,ref-b.00001.00001.0003b.00017,ref-b.00001.00001.0003b.00026,481822,481894,80380,80391,ref-bible.00202.00007.00018.00016,ref-bible.00202.00007.00019.00011,גדעון ומאה איש אשר אתו בקצה המחנה ראש האשמורת התיכונה ,ולגדעון ויבא גדעון ומאה איש אשר אתו בקצה המחנה ראש האשמרת התיכונה ,ref-bible
4,ref-b.1.01.3b.62-ref-b.1.01.3b.69,ref-bible.0301.119.62.1-ref-bible.0301.119.62.8,5863,5901,888,895,ref-b.00001.00001.0003b.00062,ref-b.00001.00001.0003b.00069,1239693,1239731,210983,210990,ref-bible.00301.00119.00062.00001,ref-bible.00301.00119.00062.00008,חצות לילה אקום להודות לך על משפטי צדקך ,חצות לילה אקום להודות לך על משפטי צדקך ,ref-bible
5,ref-b.1.01.3b.243-ref-b.1.01.3b.250,ref-bible.0203.30.17.1-ref-bible.0203.30.17.7,6761,6804,1023,1030,ref-b.00001.00001.0003b.00243,ref-b.00001.00001.0003b.00250,585190,585230,98454,98460,ref-bible.00203.00030.00017.00001,ref-bible.00203.00030.00017.00007,ויכם דוד מהנשף ועד הערב למחרתם מאי לאו ,ויכם דוד מהנשף ועד הערב למחרתם ולא ,ref-bible
6,ref-b.1.01.3b.296-ref-b.1.01.3b.301,ref-bible.0102.11.4.6-ref-bible.0102.11.4.11,7030,7063,1069,1074,ref-b.00001.00001.0003b.00296,ref-b.00001.00001.0003b.00301,126742,126774,22388,22393,ref-bible.00102.00011.00004.00006,ref-bible.00102.00011.00004.00011,כחצות הלילה אני יוצא בתוך מצרים ,כחצת הלילה אני יוצא בתוך מצרים ,ref-bible
7,ref-b.1.01.3b.435-ref-b.1.01.3b.444,ref-bible.0204.16.23.1-ref-bible.0204.16.23.11,7789,7846,1182,1191,ref-b.00001.00001.0003b.00435,ref-b.00001.00001.0003b.00444,623629,623689,105206,105216,ref-bible.00204.00016.00023.00001,ref-bible.00204.00016.00023.00011,ועצת אחיתופל אשר יעץ בימים ההם כאשר ישאל בדבר האלהים ,ועצת אחיתפל אשר יעץ בימים ההם כאשר ישאל איש בדבר האלהים ,ref-bible
8,ref-b.1.01.3b.495-ref-b.1.01.3b.501,ref-bible.0301.57.9.1-ref-bible.0301.57.9.7,8113,8151,1231,1237,ref-b.00001.00001.0003b.00495,ref-b.00001.00001.0003b.00501,1191340,1191378,202156,202162,ref-bible.00301.00057.00009.00001,ref-bible.00301.00057.00009.00007,עורה כבודי עורה הנבל וכנור אעירה שחר ,עורה כבודי עורה הנבל וכנור אעירה שחר ,ref-bible
9,ref-b.1.01.3b.496-ref-b.1.01.3b.501,ref-bible.0301.108.2.7-ref-bible.0301.108.3.5,8118,8151,1232,1237,ref-b.00001.00001.0003b.00496,ref-b.00001.00001.0003b.00501,1231928,1231961,209553,209558,ref-bible.00301.00108.00002.00007,ref-bible.00301.00108.00003.00005,כבודי עורה הנבל וכנור אעירה שחר ,כבודי עורה הנבל וכנור אעירה שחר ,ref-bible
