,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
23973,ref-b.1.01.2a.123-ref-b.1.01.2a.128,ref-sifre-d.256.2.1-ref-sifre-d.256.2.6,686,719,104,109,ref-b.00001.00001.0002a.00123,ref-b.00001.00001.0002a.00128,249442,249476,41610,41615,ref-sifre-d.00256.00002.00001,ref-sifre-d.00256.00002.00006,ובא השמש וטהר ביאת שמשו מעכבתו ,וכבוא השמש יבוא ביאת שמשו מעכבתו ,ref-sifre-d
23974,ref-b.1.01.2b.616-ref-b.1.01.2b.627,ref-sifre-d.306.1.274-ref-sifre-d.306.1.287,4510,4590,675,686,ref-b.00001.00001.0002b.00616,ref-b.00001.00001.0002b.00627,296535,296605,49655,49668,ref-sifre-d.00306.00001.00274,ref-sifre-d.00306.00001.00287,למדתי ממנו שלשה דברים למדתי שאין נכנסין לחורבה ולמדתי שמתפללין בדרך ולמדתי ,ללמד מן הנמלה אלו למד ועשה עלוב היה אלא שצריך ללמד מדרכיה ולא למד ,ref-sifre-d
23975,ref-b.1.01.4a.221-ref-b.1.01.4a.239,ref-sifre-d.48.10.91-ref-sifre-d.48.10.106,9268,9358,1416,1434,ref-b.00001.00001.0004a.00221,ref-b.00001.00001.0004a.00239,95376,95449,15991,16006,ref-sifre-d.00048.00010.00091,ref-sifre-d.00048.00010.00106,אמר שלמה בחכמתו בני אם חכם לבך ישמח לבי גם אני ואומר חכם בני ושמח לבי ואשיבה חורפי דבר ,חכם בני ושמח לבי ואשיבה חורפי דבר ואומר בני אם חכם לבך ישמח לבי גם אני ,ref-sifre-d
23976,ref-b.1.01.5a.175-ref-b.1.01.5a.178,ref-sifre-d.321.4.1-ref-sifre-d.321.4.4,13772,13791,2101,2104,ref-b.00001.00001.0005a.00175,ref-b.00001.00001.0005a.00178,333135,333154,55794,55797,ref-sifre-d.00321.00004.00001,ref-sifre-d.00321.00004.00004,מזי רעב ולחומי רשף ,מזי רעב ולחומי רשף ,ref-sifre-d
23977,ref-b.1.01.5a.175-ref-b.1.01.5a.178,ref-sifre-d.342.1.11-ref-sifre-d.342.1.14,13772,13791,2101,2104,ref-b.00001.00001.0005a.00175,ref-b.00001.00001.0005a.00178,351992,352011,59033,59036,ref-sifre-d.00342.00001.00011,ref-sifre-d.00342.00001.00014,מזי רעב ולחומי רשף ,מזי רעב ולחומי רשף ,ref-sifre-d
23978,ref-b.1.01.5a.211-ref-b.1.01.5a.214,ref-sifre-d.321.4.1-ref-sifre-d.321.4.4,13965,13984,2129,2132,ref-b.00001.00001.0005a.00211,ref-b.00001.00001.0005a.00214,333135,333154,55794,55797,ref-sifre-d.00321.00004.00001,ref-sifre-d.00321.00004.00004,מזי רעב ולחומי רשף ,מזי רעב ולחומי רשף ,ref-sifre-d
23979,ref-b.1.01.5a.211-ref-b.1.01.5a.214,ref-sifre-d.342.1.11-ref-sifre-d.342.1.14,13965,13984,2129,2132,ref-b.00001.00001.0005a.00211,ref-b.00001.00001.0005a.00214,351992,352011,59033,59036,ref-sifre-d.00342.00001.00011,ref-sifre-d.00342.00001.00014,מזי רעב ולחומי רשף ,מזי רעב ולחומי רשף ,ref-sifre-d
23980,ref-b.1.01.5a.361-ref-b.1.01.5a.368,ref-sifre-d.32.14.7-ref-sifre-d.32.14.14,14739,14786,2233,2240,ref-b.00001.00001.0005a.00361,ref-b.00001.00001.0005a.00368,42949,42997,7243,7250,ref-sifre-d.00032.00014.00007,ref-sifre-d.00032.00014.00014,שנאמר אשרי הגבר אשר תיסרנו יה ומתורתך תלמדנו ,ואומר אשרי הגבר אשר תייסרנו יה ומתורתך תלמדנו ,ref-sifre-d
23981,ref-b.1.01.5a.462-ref-b.1.01.5a.469,ref-sifre-d.32.14.7-ref-sifre-d.32.14.14,15230,15277,2309,2316,ref-b.00001.00001.0005a.00462,ref-b.00001.00001.0005a.00469,42949,42997,7243,7250,ref-sifre-d.00032.00014.00007,ref-sifre-d.00032.00014.00014,שנאמר אשרי הגבר אשר תיסרנו יה ומתורתך תלמדנו ,ואומר אשרי הגבר אשר תייסרנו יה ומתורתך תלמדנו ,ref-sifre-d
23982,ref-b.1.01.5a.612-ref-b.1.01.5a.663,ref-sifre-d.32.12.19-ref-sifre-d.32.15.9,15987,16254,2421,2463,ref-b.00001.00001.0005a.00612,ref-b.00001.00001.0005a.00663,42702,43044,7208,7258,ref-sifre-d.00032.00012.00019,ref-sifre-d.00032.00015.00009,"שלש מתנות טובות נתן הקדוש_ברוך_הוא לישראל וכולן לא נתנן אלא ע""י יסורין אלו הן תורה וארץ ישראל והעולם הבא תורה מנין שנאמר אשרי הגבר אשר תיסרנו יה ומתורתך תלמדנו ארץ ישראל דכתיב כי כאשר ייסר איש את בנו ה' אלהיך מיסרך וכתיב בתריה כי_ה'_אלהיך מביאך אל ארץ טובה ","כי_ה'_אלהיך מביאך אל ארץ טובה ורחבה ר'_שמעון_בן_יוחאי_אומר חביבים יסורים ששלש מתנות נתן הקב""ה להם לישראל שאומות העולם מתאוים להן ולא נתנוהו לישראל אלא על ידי ייסורים ואלו הם תורה וארץ ישראל והעולם הבא תורה מנין שנאמר לדעת חכמה ומוסר ואומר אשרי הגבר אשר תייסרנו יה ומתורתך תלמדנו ארץ ישראל מנין ה' אלהיך מייסרך ואומר ה' אלהיך ",ref-sifre-d
