,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
26553,ref-b.1.01.4a.174-ref-b.1.01.4a.179,ref-sifre-n.119.2.333-ref-sifre-n.119.2.338,9025,9061,1377,1382,ref-b.00001.00001.0004a.00174,ref-b.00001.00001.0004a.00179,197420,197456,31192,31197,ref-sifre-n.00119.00002.00333,ref-sifre-n.00119.00002.00338,ואדברה בעדותיך נגד מלכים ולא אבוש ,ואדברה בעדותיך נגד מלכים ולא אבוש ,ref-sifre-n
26554,ref-b.1.01.5a.228-ref-b.1.01.5a.241,ref-sifre-n.40.1.117-ref-sifre-n.40.1.132,14050,14131,2140,2151,ref-b.00001.00001.0005a.00228,ref-b.00001.00001.0005a.00241,64870,64952,9370,9383,ref-sifre-n.00040.00001.00117,ref-sifre-n.00040.00001.00132,ויאמר אם_שמוע_תשמע לקול ה' אלהיך והישר בעיניו תעשה והאזנת למצותיו ושמרת כל ,יצוה לך לשמרך בכל דרכיך דבר_אחר_וישמרך ישמור לך ברית אבותיך שנאמר ושמר ה' אלהיך ,ref-sifre-n
26555,ref-b.1.01.5a.232-ref-b.1.01.5a.237,ref-sifre-n.136.2.69-ref-sifre-n.136.2.74,14070,14104,2142,2147,ref-b.00001.00001.0005a.00232,ref-b.00001.00001.0005a.00237,247095,247129,39288,39293,ref-sifre-n.00136.00002.00069,ref-sifre-n.00136.00002.00074,לקול ה' אלהיך והישר בעיניו תעשה ,בקול ה' אלהיך והישר בעיניו תעשה ,ref-sifre-n
26556,ref-b.1.01.6a.317-ref-b.1.01.6a.321,ref-sifre-n.42.2.294-ref-sifre-n.42.2.298,21129,21152,3230,3234,ref-b.00001.00001.0006a.00317,ref-b.00001.00001.0006a.00321,68021,68044,9859,9863,ref-sifre-n.00042.00002.00294,ref-sifre-n.00042.00002.00298,שנאמר ה' עוז לעמו יתן ,שנאמר ה' עוז לעמו יתן ,ref-sifre-n
26557,ref-b.1.01.6a.317-ref-b.1.01.6a.321,ref-sifre-n.42.2.350-ref-sifre-n.42.2.354,21129,21152,3230,3234,ref-b.00001.00001.0006a.00317,ref-b.00001.00001.0006a.00321,68295,68318,9906,9910,ref-sifre-n.00042.00002.00350,ref-sifre-n.00042.00002.00354,שנאמר ה' עוז לעמו יתן ,שנאמר ה' עוז לעמו יתן ,ref-sifre-n
26558,ref-b.1.01.6a.317-ref-b.1.01.6a.321,ref-sifre-n.42.2.424-ref-sifre-n.42.2.428,21129,21152,3230,3234,ref-b.00001.00001.0006a.00317,ref-b.00001.00001.0006a.00321,68688,68711,9975,9979,ref-sifre-n.00042.00002.00424,ref-sifre-n.00042.00002.00428,שנאמר ה' עוז לעמו יתן ,שנאמר ה' עוז לעמו יתן ,ref-sifre-n
26559,ref-b.1.01.6b.421-ref-b.1.01.6b.426,ref-sifre-n.85.1.237-ref-sifre-n.85.1.240,24137,24168,3665,3670,ref-b.00001.00001.0006b.00421,ref-b.00001.00001.0006b.00426,118788,118808,18178,18181,ref-sifre-n.00085.00001.00237,ref-sifre-n.00085.00001.00240,ה' ענני ענני שתרד אש מן השמים ,ה' ירדה אש מן השמים ,ref-sifre-n
26560,ref-b.1.01.6b.589-ref-b.1.01.6b.602,ref-sifre-n.119.5.28-ref-sifre-n.119.5.44,24996,25060,3795,3806,ref-b.00001.00001.0006b.00589,ref-b.00001.00001.0006b.00602,198664,198743,31409,31423,ref-sifre-n.00119.00005.00028,ref-sifre-n.00119.00005.00044,שנאמר סוף דבר הכל נשמע את האלהים ירא וגו' מאי כי זה כל האדם ,ואומר קהלת יב סוף דבר הכל נשמע את האלהים ירא ואת מצותיו שמור כי זה כל האדם ,ref-sifre-n
26561,ref-b.1.01.6b.1311-ref-b.1.01.6b.1321,ref-sifre-n.41.1.57-ref-sifre-n.41.1.64,28663,28718,4401,4409,ref-b.00001.00001.0006b.01311,ref-b.00001.00001.0006b.01321,65727,65766,9504,9509,ref-sifre-n.00041.00001.00057,ref-sifre-n.00041.00001.00064,"וחנתי את אשר אחון אע""פ שאינו הגון ורחמתי את אשר ארחם ",וחנותי את אשר אחון ורחמתי את אשר ארחם ,ref-sifre-n
26562,ref-b.1.01.8a.41-ref-b.1.01.8a.52,ref-sifre-n.135.1.41-ref-sifre-n.135.1.52,33208,33269,5113,5124,ref-b.00001.00001.0008a.00041,ref-b.00001.00001.0008a.00052,244360,244411,38815,38826,ref-sifre-n.00135.00001.00041,ref-sifre-n.00135.00001.00052,"שאין הקב""ה מואס בתפלתן של רבים שנאמר הן אל כביר ולא ימאס ","הן אל כביר לא ימאס תם אין הקב""ה מואס תפלתם של רבים ",ref-sifre-n
26563,ref-b.1.01.8b.756-ref-b.1.01.8b.763,ref-sifre-n.118.1.750-ref-sifre-n.118.1.757,40552,40597,6131,6138,ref-b.00001.00001.0008b.00756,ref-b.00001.00001.0008b.00763,192850,192895,30472,30479,ref-sifre-n.00118.00001.00750,ref-sifre-n.00118.00001.00757,קדשים קלים ושלמים קדשים קלים מה שלמים נאכלין ,קדשים קלים ושלמים קדשים קלים מה שלמים נאכלים ,ref-sifre-n
26564,ref-b.1.01.9b.482-ref-b.1.01.9b.489,ref-sifre-n.117.1.90-ref-sifre-n.117.1.97,44536,44579,6761,6767,ref-b.00001.00001.0009b.00482,ref-b.00001.00001.0009b.00489,183982,184025,29066,29072,ref-sifre-n.00117.00001.00090,ref-sifre-n.00117.00001.00097,שנאמר יתמו חטאים מן הארץ ורשעים עוד אינם ,ואומר יתמו חטאים מן הארץ ורשעים עוד אינם ,ref-sifre-n
26565,ref-b.1.01.10a.316-ref-b.1.01.10a.325,ref-sifre-n.117.1.90-ref-sifre-n.117.1.97,46463,46517,7076,7084,ref-b.00001.00001.0010a.00316,ref-b.00001.00001.0010a.00325,183982,184025,29066,29072,ref-sifre-n.00117.00001.00090,ref-sifre-n.00117.00001.00097,ואמר שירה שנאמר יתמו חטאים מן הארץ ורשעים עוד אינם ,ואומר יתמו חטאים מן הארץ ורשעים עוד אינם ,ref-sifre-n
26566,ref-b.1.01.12b.401-ref-b.1.01.12b.429,ref-sifre-n.115.1.714-ref-sifre-n.115.1.738,61386,61533,9363,9389,ref-b.00001.00001.0012b.00401,ref-b.00001.00001.0012b.00429,173955,174092,27412,27435,ref-sifre-n.00115.00001.00714,ref-sifre-n.00115.00001.00738,"אלהים אחרי עיניכם זה הרהור עבירה שנאמר ויאמר שמשון אל אביו אותה קח לי כי היא ישרה בעיני אתם זונים זה הרהור ע""ז וכן_הוא_אומר ויזנו אחרי הבעלים ",באלהים ואחרי עיניכם זו זנות שנאמר אותה קח לי כי היא ישרה בעיני אשר אתם זונים אחריהם זו עבודת כוכבים כענין שנאמר ויזנו אחרי הבעלים ,ref-sifre-n
26567,ref-b.1.01.14b.223-ref-b.1.01.14b.232,ref-sifre-n.115.1.624-ref-sifre-n.115.1.642,70307,70372,10619,10626,ref-b.00001.00001.0014b.00223,ref-b.00001.00001.0014b.00232,173451,173568,27327,27343,ref-sifre-n.00115.00001.00624,ref-sifre-n.00115.00001.00642,שתקדם שמע לוהיה_אם_שמוע שזה ללמוד וללמד ולעשות והיה_אם_שמוע ,תקדום פרשת שמע שהיא ללמוד לפרשת והיה_אם_שמוע שאינה אלא ללמד ותקדום ללמוד וללמד לשמור ולעשות פרשת והיה_אם_שמוע ,ref-sifre-n
26568,ref-b.1.01.18b.253-ref-b.1.01.18b.271,ref-sifre-n.131.2.224-ref-sifre-n.131.2.241,91131,91232,13571,13589,ref-b.00001.00001.0018b.00253,ref-b.00001.00001.0018b.00271,231160,231249,36566,36583,ref-sifre-n.00131.00002.00224,ref-sifre-n.00131.00002.00241,שאת שומעת בואי ואמרי לי הלכה ושטה ובאה ואמרה לה חברתה חברתי מה שמעת מאחורי הפרגוד אמרה לה שמעתי ,"ואומרת לו רבי רצונך שאשמע לך השתחוה לזה ואומר לה וכי לע""ז אני משתחוה אמרה לו וכי מה ",ref-sifre-n
26569,ref-b.1.01.19a.184-ref-b.1.01.19a.202,ref-sifre-n.7.1.114-ref-sifre-n.7.1.135,94366,94488,14077,14093,ref-b.00001.00001.0019a.00184,ref-b.00001.00001.0019a.00202,14184,14319,2084,2102,ref-sifre-n.00007.00001.00114,ref-sifre-n.00007.00001.00135,בכרכמית שפחה משוחררת בירושלים והשקוה שמעיה ואבטליון ואמר להם דוגמא השקוה ונדוהו ומת בנדויו וסקלו בית דין את ארונו ,כרכמית שפחה משוחררת היתה בירושלים והשקוה שמעיה ואבטליון כלשון הזה אמר להם דוגמה השקוה ונדוהו ומת בנדויו וסקלו בית דין את ארונו ,ref-sifre-n
26570,ref-b.1.01.19a.253-ref-b.1.01.19a.259,ref-sifre-n.7.1.128-ref-sifre-n.7.1.135,94757,94797,14131,14136,ref-b.00001.00001.0019a.00253,ref-b.00001.00001.0019a.00259,14275,14319,2097,2102,ref-sifre-n.00007.00001.00128,ref-sifre-n.00007.00001.00135,"המתנדה ומת בנדויו ב""ד סוקלין את ארונו ",ונדוהו ומת בנדויו וסקלו בית דין את ארונו ,ref-sifre-n
26571,ref-b.1.01.24b.494-ref-b.1.01.24b.498,ref-sifre-n.112.2.75-ref-sifre-n.112.2.79,123908,123936,18305,18309,ref-b.00001.00001.0024b.00494,ref-b.00001.00001.0024b.00498,166046,166074,26100,26104,ref-sifre-n.00112.00002.00075,ref-sifre-n.00112.00002.00079,הוי מושכי העון בחבלי השוא ,הוי מושכי העון בחבלי השוא ,ref-sifre-n
26572,ref-b.1.01.25a.298-ref-b.1.01.25a.304,ref-sifre-n.1.4.19-ref-sifre-n.1.4.25,125679,125715,18554,18560,ref-b.00001.00001.0025a.00298,ref-b.00001.00001.0025a.00304,1908,1944,248,254,ref-sifre-n.00001.00004.00019,ref-sifre-n.00001.00004.00025,בדד ישב מחוץ למחנה מושבו הכא והיה ,בדד ישב מחוץ למחנה מושבו מצורע היה ,ref-sifre-n
26573,ref-b.1.01.29b.449-ref-b.1.01.29b.456,ref-sifre-n.41.1.92-ref-sifre-n.41.1.102,152831,152882,22518,22525,ref-b.00001.00001.0029b.00449,ref-b.00001.00001.0029b.00456,65900,65966,9533,9542,ref-sifre-n.00041.00001.00092,ref-sifre-n.00041.00001.00102,ותתנני לחן לחסד ולרחמים בעיניך ובעיני כל רואי ,בעיני כל רואיה ואומר ויתן האלהים את דניאל לחן ולחסד ולרחמים ,ref-sifre-n
26574,ref-b.1.01.31a.72-ref-b.1.01.31a.85,ref-sifre-n.127.1.138-ref-sifre-n.127.1.143,158218,158285,23299,23311,ref-b.00001.00001.0031a.00072,ref-b.00001.00001.0031a.00085,223013,223044,35225,35230,ref-sifre-n.00127.00001.00138,ref-sifre-n.00127.00001.00143,"מכי שמעה מר' יוחנן רביה ת""ר אין עומדין להתפלל לא מתוך דין ולא מתוך ",היכן ריבה והלא במת ריבה שהמת ,ref-sifre-n
26575,ref-b.1.01.31b.263-ref-b.1.01.31b.275,ref-sifre-n.19.1.162-ref-sifre-n.19.1.177,162240,162321,23941,23953,ref-b.00001.00001.0031b.00263,ref-b.00001.00001.0031b.00275,30768,30863,4685,4700,ref-sifre-n.00019.00001.00162,ref-sifre-n.00019.00001.00177,יולדת בצער יולדת בריוח נקבות יולדת זכרים שחורים יולדת לבנים קצרים יולדת ארוכים ,ילדת בצער יולדת בריוח נקבות יולדת זכרים אחד יולדת שנים שחורים יולדת לבנים קצרים יולדת ארוכים ,ref-sifre-n
