,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
0,ref-bible.0101.1.1.1-ref-bible.0101.1.3.4,ref-b.2.13.11b.443-ref-b.2.13.11b.470,0,127,0,18,ref-bible.00101.00001.00001.00001,ref-bible.00101.00001.00003.00004,2706870,2707012,394582,394605,ref-b.00002.00013.0011b.00443,ref-b.00002.00013.0011b.00470,בראשית ברא אלהים את_השמים_ואת_הארץ והארץ היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים ויאמר אלהים יהי אור ,בראשית ברא אלהים את_השמים_ואת_הארץ תהו ובהו דכתיב והארץ היתה תהו ובהו אור וחשך חשך דכתיב וחשך על פני תהום אור דכתיב ויאמר אלהים יהי אור ,ref-b
1,ref-bible.0101.1.1.1-ref-bible.0101.1.2.1,ref-b.2.13.11b.775-ref-b.2.13.11b.784,0,42,0,4,ref-bible.00101.00001.00001.00001,ref-bible.00101.00001.00002.00001,2708711,2708762,394871,394877,ref-b.00002.00013.0011b.00775,ref-b.00002.00013.0011b.00784,בראשית ברא אלהים את_השמים_ואת_הארץ והארץ ,"בראשית ברא אלהים את_השמים_ואת_הארץ וב""ה אומרים ארץ ",ref-b
2,ref-bible.0101.1.1.2-ref-bible.0101.1.3.6,ref-b.5.09.32a.37-ref-b.5.09.32a.51,8,137,1,20,ref-bible.00101.00001.00001.00002,ref-bible.00101.00001.00003.00006,8490758,8490838,1234197,1234211,ref-b.00005.00009.0032a.00037,ref-b.00005.00009.0032a.00051,ברא אלהים את_השמים_ואת_הארץ והארץ היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים ויאמר אלהים יהי אור ויהי אור ,נברא תחלה דכתיב והארץ היתה תהו ובהו וחשך והדר ויאמר אלהים יהי אור ויהי אור ,ref-b
3,ref-bible.0101.1.5.1-ref-bible.0101.1.5.7,ref-b.2.04.2a.91-ref-b.2.04.2a.113,201,239,32,38,ref-bible.00101.00001.00005.00001,ref-bible.00101.00001.00005.00007,1224433,1224550,178315,178332,ref-b.00002.00004.0002a.00091,ref-b.00002.00004.0002a.00113,ויקרא אלהים לאור יום ולחשך קרא לילה ,ויקרא אלהים לאור יום אלמא_אור_יממא_הוא_הכי_קאמר למאיר ובא קראו יום אלא מעתה ולחשך קרא לילה למחשיך ובא קרא לילה ,ref-b
4,ref-bible.0101.1.5.1-ref-bible.0101.1.5.7,ref-b.2.11.20b.13-ref-b.2.11.20b.25,201,239,32,38,ref-bible.00101.00001.00005.00001,ref-bible.00101.00001.00005.00007,2509882,2509950,365625,365637,ref-b.00002.00011.0020b.00013,ref-b.00002.00011.0020b.00025,ויקרא אלהים לאור יום ולחשך קרא לילה ,ויקרא אלהים לאור יום למאיר ובא קראו יום אלא מעתה ולחשך קרא לילה ,ref-b
5,ref-bible.0101.1.11.1-ref-bible.0101.1.11.10,ref-b.2.09.11a.8-ref-b.2.09.11a.18,606,654,99,108,ref-bible.00101.00001.00011.00001,ref-bible.00101.00001.00011.00010,2204088,2204143,319499,319509,ref-b.00002.00009.0011a.00008,ref-b.00002.00009.0011a.00018,ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי ,שנאמר ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי ,ref-b
6,ref-bible.0101.1.11.4-ref-bible.0101.1.12.1,ref-b.2.09.11a.52-ref-b.2.09.11a.60,624,706,102,118,ref-bible.00101.00001.00011.00004,ref-bible.00101.00001.00012.00001,2204324,2204368,319538,319546,ref-b.00002.00009.0011a.00052,ref-b.00002.00009.0011a.00060,הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו על הארץ ויהי כן ותוצא ,ותוצא הארץ דשא עשב מזריע זרע ועץ עושה פרי ,ref-b
7,ref-bible.0101.1.12.2-ref-bible.0101.1.12.10,ref-b.2.09.11a.12-ref-b.2.09.11a.18,707,751,119,127,ref-bible.00101.00001.00012.00002,ref-bible.00101.00001.00012.00010,2204113,2204143,319503,319509,ref-b.00002.00009.0011a.00012,ref-b.00002.00009.0011a.00018,הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי ,הארץ דשא עשב מזריע זרע עץ פרי ,ref-b
8,ref-bible.0101.1.16.2-ref-bible.0101.1.16.14,ref-b.5.03.60b.8-ref-b.5.03.60b.19,981,1056,163,173,ref-bible.00101.00001.00016.00002,ref-bible.00101.00001.00016.00014,7660940,7661012,1114771,1114780,ref-b.00005.00003.0060b.00008,ref-b.00005.00003.0060b.00019,אלהים את שני המארת הגדלים את המאור הגדל לממשלת היום ואת המאור הקטן ,אלהים את שני המאורות הגדולים וכתיב את המאור הגדול ואת המאור הקטן ,ref-b
9,ref-bible.0101.1.20.1-ref-bible.0101.1.20.9,ref-b.5.03.27b.272-ref-b.5.03.27b.280,1231,1280,199,207,ref-bible.00101.00001.00020.00001,ref-bible.00101.00001.00020.00009,7554844,7554893,1099517,1099525,ref-b.00005.00003.0027b.00272,ref-b.00005.00003.0027b.00280,ויאמר אלהים ישרצו המים שרץ נפש חיה ועוף יעופף ,ויאמר אלהים ישרצו המים שרץ נפש חיה ועוף יעופף ,ref-b
