,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
7314,ref-bible.0101.1.22.1-ref-bible.0101.1.22.6,ref-m.3.1.6.6.69-ref-m.3.1.6.6.75,1433,1464,234,239,ref-bible.00101.00001.00022.00001,ref-bible.00101.00001.00022.00006,295036,295074,45713,45719,ref-m.00003.00001.00006.00006.00069,ref-m.00003.00001.00006.00006.00075,ויברך אתם אלהים לאמר פרו ורבו ,ויברך אותם אלהים ויאמר להם פרו ורבו ,ref-m
7315,ref-bible.0101.1.27.7-ref-bible.0101.1.28.7,ref-m.4.4.2.1.81-ref-m.4.4.2.1.90,1861,1931,302,315,ref-bible.00101.00001.00027.00007,ref-bible.00101.00001.00028.00007,511317,511374,79891,79899,ref-m.00004.00004.00002.00001.00081,ref-m.00004.00004.00002.00001.00090,אלהים ברא אתו זכר ונקבה ברא אתם ויברך אתם אלהים ויאמר להם אלהים פרו ,אנו כפרתך והוא אומר להן תתברכו מן השמים וכשמברין אותו ,ref-m
7316,ref-bible.0101.1.28.1-ref-bible.0101.1.28.8,ref-m.3.1.6.6.69-ref-m.3.1.6.6.75,1894,1937,309,316,ref-bible.00101.00001.00028.00001,ref-bible.00101.00001.00028.00008,295036,295074,45713,45719,ref-m.00003.00001.00006.00006.00069,ref-m.00003.00001.00006.00006.00075,ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ,ויברך אותם אלהים ויאמר להם פרו ורבו ,ref-m
7317,ref-bible.0101.4.9.4-ref-bible.0101.4.10.7,ref-m.4.4.4.5.60-ref-m.4.4.4.5.69,6306,6386,1104,1119,ref-bible.00101.00004.00009.00004,ref-bible.00101.00004.00010.00007,517405,517457,80844,80852,ref-m.00004.00004.00004.00005.00060,ref-m.00004.00004.00004.00005.00069,קין אי הבל אחיך ויאמר לא ידעתי השמר אחי אנכי ויאמר מה עשית קול דמי אחיך צעקים ,בקין שהרג את אחיו שנאמר דמי אחיך צועקים אינו אומר ,ref-m
7318,ref-bible.0101.6.15.3-ref-bible.0101.6.15.14,ref-m.2.4.8.5.28-ref-m.2.4.8.5.41,10213,10271,1732,1743,ref-bible.00101.00006.00015.00003,ref-bible.00101.00006.00015.00014,212125,212205,32733,32746,ref-m.00002.00004.00008.00005.00028,ref-m.00002.00004.00008.00005.00041,תעשה אתה שלש מאות אמה ארך התבה חמשים אמה רחבה ושלשים אמה ,אמה ורחבה עשרים אמה ומשמונים ושתי רבוא נעשית ושתים עושין בכל שנה ושלש מאות ,ref-m
7319,ref-bible.0101.12.6.1-ref-bible.0101.12.6.9,ref-m.3.5.7.5.31-ref-m.3.5.7.5.39,19721,19763,3370,3378,ref-bible.00101.00012.00006.00001,ref-bible.00101.00012.00006.00009,395607,395649,61622,61630,ref-m.00003.00005.00007.00005.00031,ref-m.00003.00005.00007.00005.00039,ויעבר אברם בארץ עד מקום שכם עד אלון מורה ,ויעבר אברם בארץ עד מקום שכם עד אלון מורה ,ref-m
7320,ref-bible.0101.13.12.11-ref-bible.0101.13.13.6,ref-m.4.4.10.3.48-ref-m.4.4.10.3.60,21540,21578,3702,3708,ref-bible.00101.00013.00012.00011,ref-bible.00101.00013.00013.00006,532002,532069,83145,83153,ref-m.00004.00004.00010.00003.00048,ref-m.00004.00004.00010.00003.00060,סדם ואנשי סדם רעים וחטאים ליהוה מאד ,סדום אין_להם_חלק_לעולם_הבא שנאמר ואנשי סדום רעים וחטאים ליי מאד ,ref-m
7321,ref-bible.0101.14.19.1-ref-bible.0101.14.19.8,ref-m.4.9.6.10.77-ref-m.4.9.6.10.84,23305,23350,4018,4025,ref-bible.00101.00014.00019.00001,ref-bible.00101.00014.00019.00008,622307,622354,96883,96890,ref-m.00004.00009.00006.00010.00077,ref-m.00004.00009.00006.00010.00084,ויברכהו ויאמר ברוך אברם לאל עליון קנה שמים ,ויברכהו ויאמר ברוך אברם לאל עליון קונה שמים ,ref-m
7322,ref-bible.0101.14.22.1-ref-bible.0101.14.22.13,ref-m.4.9.6.10.78-ref-m.4.9.6.10.84,23459,23518,4049,4061,ref-bible.00101.00014.00022.00001,ref-bible.00101.00014.00022.00013,622316,622354,96884,96890,ref-m.00004.00009.00006.00010.00078,ref-m.00004.00009.00006.00010.00084,ויאמר אברם אל מלך סדם הרימתי ידי אל יהוה אל עליון קנה שמים ,ויאמר ברוך אברם לאל עליון קונה שמים ,ref-m
7323,ref-bible.0101.15.13.12-ref-bible.0101.15.13.17,ref-m.4.7.2.9.25-ref-m.4.7.2.9.30,24504,24535,4246,4251,ref-bible.00101.00015.00013.00012,ref-bible.00101.00015.00013.00017,571031,571063,88943,88948,ref-m.00004.00007.00002.00009.00025,ref-m.00004.00007.00002.00009.00030,ועבדום וענו אתם ארבע מאות שנה ,ועבדום וענו אותם ארבע מאות שנה ,ref-m
