,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
6204,ref-bible.0101.1.27.1-ref-bible.0101.1.27.12,ref-mek.1.15.4.100-ref-mek.1.15.4.108,1826,1889,297,307,ref-bible.00101.00001.00027.00001,ref-bible.00101.00001.00027.00012,54902,54954,8562,8570,ref-mek.00001.00015.00004.00100,ref-mek.00001.00015.00004.00108,ויברא אלהים את האדם בצלמו בצלם אלהים ברא אתו זכר ונקבה ברא ,ברא בראשית אעשה אדם בצלם ובדמות זכר ונקוביו בראם ,ref-mek
6205,ref-bible.0101.2.6.2-ref-bible.0101.2.6.9,ref-mek.3.2.1.168-ref-mek.3.2.1.175,2673,2710,444,449,ref-bible.00101.00002.00006.00002,ref-bible.00101.00002.00006.00009,141035,141072,22766,22771,ref-mek.00003.00002.00001.00168,ref-mek.00003.00002.00001.00175,יעלה מן הארץ והשקה את כל פני האדמה ,יעלה מן הארץ והשקה את כל פני האדמה ,ref-mek
6206,ref-bible.0101.3.15.15-ref-bible.0101.3.16.12,ref-mek.6.2.1.32-ref-mek.6.2.1.43,5103,5169,887,899,ref-bible.00101.00003.00015.00015,ref-bible.00101.00003.00016.00012,239744,239805,39317,39327,ref-mek.00006.00002.00001.00032,ref-mek.00006.00002.00001.00043,עקב אל האשה אמר הרבה ארבה עצבונך והרנך בעצב תלדי בנים ואל אישך ,יעקב אלו הנשים ותגד לבני ישראל אלו האנשים דבר אחר כה תאמר ,ref-mek
6207,ref-bible.0101.4.26.5-ref-bible.0101.4.26.13,ref-mek.6.6.1.249-ref-mek.6.6.1.255,7394,7432,1313,1319,ref-bible.00101.00004.00026.00005,ref-bible.00101.00004.00026.00013,257841,257871,42332,42338,ref-mek.00006.00006.00001.00249,ref-mek.00006.00006.00001.00255,בן ויקרא_את_שמו אנוש אז הוחל לקרא בשם ,בן שת שנאמר אז הוחל לקרוא בשם ,ref-mek
6208,ref-bible.0101.7.11.13-ref-bible.0101.7.11.22,ref-mek.3.2.1.224-ref-mek.3.2.1.232,11505,11559,1963,1972,ref-bible.00101.00007.00011.00013,ref-bible.00101.00007.00011.00022,141344,141399,22812,22820,ref-mek.00003.00002.00001.00224,ref-mek.00003.00002.00001.00232,ביום הזה נבקעו כל מעינת תהום רבה וארבת השמים נפתחו ,ביום ההוא נבקעו כל מעיינות תהום וארובות השמים נפתחו ,ref-mek
6209,ref-bible.0101.9.6.1-ref-bible.0101.9.6.6,ref-mek.8.3.2.141-ref-mek.8.3.2.146,14427,14454,2474,2479,ref-bible.00101.00009.00006.00001,ref-bible.00101.00009.00006.00006,368566,368594,59584,59589,ref-mek.00008.00003.00002.00141,ref-mek.00008.00003.00002.00146,שפך דם האדם באדם דמו ישפך ,שופך דם האדם באדם דמו ישפך ,ref-mek
6210,ref-bible.0101.10.15.1-ref-bible.0101.10.15.7,ref-mek.1.19.1.53-ref-mek.1.19.1.59,16571,16602,2853,2858,ref-bible.00101.00010.00015.00001,ref-bible.00101.00010.00015.00007,77656,77690,12128,12133,ref-mek.00001.00019.00001.00053,ref-mek.00001.00019.00001.00059,וכנען ילד את צידן בכרו ואת חת ,וכנען ילד את צידון בכורו ואת חת ,ref-mek
6211,ref-bible.0101.11.4.1-ref-bible.0101.11.4.8,ref-mek.3.2.1.248-ref-mek.3.2.1.255,17590,17635,3030,3037,ref-bible.00101.00011.00004.00001,ref-bible.00101.00011.00004.00008,141483,141529,22832,22839,ref-mek.00003.00002.00001.00248,ref-mek.00003.00002.00001.00255,ויאמרו הבה נבנה לנו עיר ומגדל וראשו בשמים ,ויאמרו הבה נבנה לנו עיר ומגדל וראשו השמימה ,ref-mek
6212,ref-bible.0101.11.6.1-ref-bible.0101.11.6.12,ref-mek.3.5.2.58-ref-mek.3.5.2.70,17729,17788,3054,3065,ref-bible.00101.00011.00006.00001,ref-bible.00101.00011.00006.00012,155316,155379,25171,25183,ref-mek.00003.00005.00002.00058,ref-mek.00003.00005.00002.00070,ויאמר יהוה הן עם אחד ושפה אחת לכלם וזה החלם לעשות ועתה ,שנאמר ויאמר ה' הן עם א' ושפה אחת לכלם וזה החלם לעשות ועתה ,ref-mek
6213,ref-bible.0101.13.10.13-ref-bible.0101.13.10.23,ref-mek.3.2.1.411-ref-mek.3.2.1.421,21357,21409,3667,3676,ref-bible.00101.00013.00010.00013,ref-bible.00101.00013.00010.00023,142359,142409,22982,22991,ref-mek.00003.00002.00001.00411,ref-mek.00003.00002.00001.00421,לפני שחת יהוה את סדם ואת עמרה כגן יהוה כארץ מצרים ,לפני שחת ה' את סדום ואת עמורה כגן ה' כארץ מצרים ,ref-mek
