,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
10247,ref-bible.0101.2.16.1-ref-bible.0101.2.17.7,ref-sifre-n.1.2.210-ref-sifre-n.1.2.222,3289,3374,552,569,ref-bible.00101.00002.00016.00001,ref-bible.00101.00002.00017.00007,1330,1392,167,179,ref-sifre-n.00001.00002.00210,ref-sifre-n.00001.00002.00222,ויצו יהוה אלהים על האדם לאמר מכל עץ הגן אכל תאכל ומעץ הדעת טוב ורע לא תאכל ממנו ,ויצו ה' אלהים על האדם וגו' ומעץ הדעת טוב ורע לא תאכל ממנו ,ref-sifre-n
10248,ref-bible.0101.6.9.1-ref-bible.0101.6.9.9,ref-sifre-n.102.1.207-ref-sifre-n.102.1.215,9840,9881,1663,1671,ref-bible.00101.00006.00009.00001,ref-bible.00101.00006.00009.00009,139750,139794,21800,21808,ref-sifre-n.00102.00001.00207,ref-sifre-n.00102.00001.00215,אלה תולדת נח נח איש צדיק תמים היה בדרתיו ,אלה תולדות נח נח איש צדיק תמים היה בדורותיו ,ref-sifre-n
10249,ref-bible.0101.7.1.10-ref-bible.0101.7.1.16,ref-sifre-n.102.1.194-ref-sifre-n.102.1.200,10830,10863,1847,1853,ref-bible.00101.00007.00001.00010,ref-bible.00101.00007.00001.00016,139684,139718,21788,21794,ref-sifre-n.00102.00001.00194,ref-sifre-n.00102.00001.00200,כי אתך ראיתי צדיק לפני בדור הזה ,כי אותך ראיתי צדיק לפני בדור הזה ,ref-sifre-n
10250,ref-bible.0101.12.3.5-ref-bible.0101.12.4.2,ref-sifre-n.18.1.183-ref-sifre-n.18.1.190,19479,19516,3323,3329,ref-bible.00101.00012.00003.00005,ref-bible.00101.00012.00004.00002,29864,29914,4541,4548,ref-sifre-n.00018.00001.00183,ref-sifre-n.00018.00001.00190,ונברכו בך כל משפחת האדמה וילך אברם ,ונברכו בך כל משפחות האדמה ובזרעך ואומר ויברכם ,ref-sifre-n
10251,ref-bible.0101.12.15.1-ref-bible.0101.12.15.8,ref-sifre-n.99.1.254-ref-sifre-n.99.1.261,20320,20359,3477,3484,ref-bible.00101.00012.00015.00001,ref-bible.00101.00012.00015.00008,136836,136877,21281,21288,ref-sifre-n.00099.00001.00254,ref-sifre-n.00099.00001.00261,ויראו אתה שרי פרעה ויהללו אתה אל פרעה ,ויראו אותה שרי פרעה ויהללו אותה אל פרעה ,ref-sifre-n
10252,ref-bible.0101.13.14.9-ref-bible.0101.13.14.17,ref-sifre-n.136.1.74-ref-sifre-n.136.1.82,21618,21656,3717,3725,ref-bible.00101.00013.00014.00009,ref-bible.00101.00013.00014.00017,246137,246175,39120,39128,ref-sifre-n.00136.00001.00074,ref-sifre-n.00136.00001.00082,שא נא עיניך וראה מן המקום אשר אתה שם ,שא נא עיניך וראה מן המקום אשר אתה שם ,ref-sifre-n
10253,ref-bible.0101.18.9.1-ref-bible.0101.18.9.5,ref-sifre-n.69.2.42-ref-sifre-n.69.2.46,28496,28521,4971,4975,ref-bible.00101.00018.00009.00001,ref-bible.00101.00018.00009.00005,93860,93885,14083,14087,ref-sifre-n.00069.00002.00042,ref-sifre-n.00069.00002.00046,ויאמרו אליו איה שרה אשתך ,ויאמרו אליו איה שרה אשתך ,ref-sifre-n
10254,ref-bible.0101.19.11.1-ref-bible.0101.19.11.7,ref-sifre-n.18.1.63-ref-sifre-n.18.1.69,31024,31063,5427,5433,ref-bible.00101.00019.00011.00001,ref-bible.00101.00019.00011.00007,29133,29172,4437,4443,ref-sifre-n.00018.00001.00063,ref-sifre-n.00018.00001.00069,ואת האנשים אשר פתח הבית הכו בסנורים ,ואת האנשים אשר פתח הבית הכו בסנורים ,ref-sifre-n
10255,ref-bible.0101.23.2.3-ref-bible.0101.23.2.8,ref-sifre-n.160.2.68-ref-sifre-n.160.2.73,38677,38709,6786,6791,ref-bible.00101.00023.00002.00003,ref-bible.00101.00023.00002.00008,284972,285004,45463,45468,ref-sifre-n.00160.00002.00068,ref-sifre-n.00160.00002.00073,בקרית ארבע הוא חברון בארץ כנען ,קרית הארבע היא חברון בארץ כנען ,ref-sifre-n
10256,ref-bible.0101.26.19.1-ref-bible.0101.26.19.8,ref-sifre-n.128.1.30-ref-sifre-n.128.1.37,48175,48222,8499,8506,ref-bible.00101.00026.00019.00001,ref-bible.00101.00026.00019.00008,224557,224604,35483,35490,ref-sifre-n.00128.00001.00030,ref-sifre-n.00128.00001.00037,ויחפרו עבדי יצחק בנחל וימצאו שם באר מים חיים ,ויחפרו עבדי יצחק בנחל וימצאו שם באר מים חיים ,ref-sifre-n
10257,ref-bible.0101.28.12.1-ref-bible.0101.28.12.14,ref-sifre-n.119.2.131-ref-sifre-n.119.2.144,53290,53369,9457,9470,ref-bible.00101.00028.00012.00001,ref-bible.00101.00028.00012.00014,196320,196404,31006,31019,ref-sifre-n.00119.00002.00131,ref-sifre-n.00119.00002.00144,ויחלם והנה סלם מצב ארצה וראשו מגיע השמימה והנה מלאכי אלהים עלים וירדים בו ,ויחלום והנה סולם מוצב ארצה וראשו מגיע השמימה והנה מלאכי אלהים עולים ויורדים בו ,ref-sifre-n
10258,ref-bible.0101.28.12.1-ref-bible.0101.28.13.4,ref-sifre-n.119.2.151-ref-sifre-n.119.2.180,53290,53389,9457,9474,ref-bible.00101.00028.00012.00001,ref-bible.00101.00028.00013.00004,196432,196610,31025,31053,ref-sifre-n.00119.00002.00151,ref-sifre-n.00119.00002.00180,ויחלם והנה סלם מצב ארצה וראשו מגיע השמימה והנה מלאכי אלהים עלים וירדים בו והנה יהוה נצב עליו ,ויחלום והנה סולם מוצב ארצה זה בית המקדש וראשו מגיע השמימה אלו הקרבנות קרבים שריחם עולה לשמים והנה מלאכי אלהים אלו כהנים המשרתים שעולים ויורדים בכבש והנה ה' נצב עליו ,ref-sifre-n
10259,ref-bible.0101.28.14.10-ref-bible.0101.28.14.15,ref-sifre-n.18.1.183-ref-sifre-n.18.1.188,53529,53563,9498,9503,ref-bible.00101.00028.00014.00010,ref-bible.00101.00028.00014.00015,29864,29899,4541,4546,ref-sifre-n.00018.00001.00183,ref-sifre-n.00018.00001.00188,ונברכו בך כל משפחת האדמה ובזרעך ,ונברכו בך כל משפחות האדמה ובזרעך ,ref-sifre-n
10260,ref-bible.0101.30.30.17-ref-bible.0101.30.31.13,ref-sifre-n.95.1.162-ref-sifre-n.95.1.180,58273,58340,10369,10383,ref-bible.00101.00030.00030.00017,ref-bible.00101.00030.00031.00013,132302,132388,20511,20526,ref-sifre-n.00095.00001.00162,ref-sifre-n.00095.00001.00180,אנכי לביתי ויאמר מה אתן לך ויאמר יעקב לא תתן לי מאומה אם תעשה לי ,מה אתה אומר אמר לו הריני הולך ומפייסם אמר לו עד שאתה כאן אני אומר לך שאין שומעים לך ,ref-sifre-n
10261,ref-bible.0101.34.11.11-ref-bible.0101.34.12.10,ref-sifre-n.118.1.623-ref-sifre-n.118.1.633,67611,67676,12064,12076,ref-bible.00101.00034.00011.00011,ref-bible.00101.00034.00012.00010,192179,192234,30364,30374,ref-sifre-n.00118.00001.00623,ref-sifre-n.00118.00001.00633,תאמרו אלי אתן הרבו עלי מאד מהר ומתן ואתנה כאשר תאמרו אלי ותנו ,שאמרנו ואת דמם תזרוק על המזבח מתנה אחת אתה אומר מתנה ,ref-sifre-n
10262,ref-bible.0101.37.12.1-ref-bible.0101.37.12.6,ref-sifre-n.69.2.90-ref-sifre-n.69.2.95,74341,74371,13318,13322,ref-bible.00101.00037.00012.00001,ref-bible.00101.00037.00012.00006,94119,94149,14129,14133,ref-sifre-n.00069.00002.00090,ref-sifre-n.00069.00002.00095,וילכו אחיו לרעות את צאן אביהם ,וילכו אחיו לרעות את צאן אביהם ,ref-sifre-n
10263,ref-bible.0101.38.26.1-ref-bible.0101.38.26.16,ref-sifre-n.88.1.125-ref-sifre-n.88.1.139,77867,77944,13945,13958,ref-bible.00101.00038.00026.00001,ref-bible.00101.00038.00026.00016,122265,122346,18776,18789,ref-sifre-n.00088.00001.00125,ref-sifre-n.00088.00001.00139,ויכר יהודה ויאמר צדקה ממני כי על_כן_לא נתתיה לשלה בני ולא יסף עוד לדעתה ,ויכר יהודה ויאמר צדקה ממני והמקום הסכים על ידו בראשית לח ולא יסף עוד לדעתה ,ref-sifre-n
10264,ref-bible.0101.39.19.5-ref-bible.0101.39.19.12,ref-sifre-n.111.1.193-ref-sifre-n.111.1.213,79560,79602,14250,14257,ref-bible.00101.00039.00019.00005,ref-bible.00101.00039.00019.00012,160883,160987,25272,25287,ref-sifre-n.00111.00001.00193,ref-sifre-n.00111.00001.00213,דברי אשתו אשר דברה אליו לאמר כדברים האלה ,הדברות תלמוד לומר אשר דבר ה'_אל_משה ולהלן הוא אומר וידבר אלהים את כל הדברים האלה לאמר אחת דבר אלהים ,ref-sifre-n
10265,ref-bible.0101.39.21.1-ref-bible.0101.39.21.13,ref-sifre-n.41.1.74-ref-sifre-n.41.1.86,79721,79783,14281,14292,ref-bible.00101.00039.00021.00001,ref-bible.00101.00039.00021.00013,65812,65872,9516,9527,ref-sifre-n.00041.00001.00074,ref-sifre-n.00041.00001.00086,ויהי יהוה את יוסף ויט אליו חסד ויתן חנו בעיני שר בית הסהר ,ויהי ה' את יוסף ויט אליו חסד ויתן חנו בעיני שר בית הסהר ,ref-sifre-n
10266,ref-bible.0101.42.30.1-ref-bible.0101.42.30.6,ref-sifre-n.99.1.17-ref-sifre-n.99.1.22,87553,87583,15668,15673,ref-bible.00101.00042.00030.00001,ref-bible.00101.00042.00030.00006,135567,135598,21072,21077,ref-sifre-n.00099.00001.00017,ref-sifre-n.00099.00001.00022,דבר האיש אדני הארץ אתנו קשות ,דבר האיש אדוני הארץ אתנו קשות ,ref-sifre-n
10267,ref-bible.0101.47.28.7-ref-bible.0101.47.28.17,ref-sifre-n.81.1.50-ref-sifre-n.81.1.58,99874,99929,17848,17858,ref-bible.00101.00047.00028.00007,ref-bible.00101.00047.00028.00017,109962,110016,16718,16726,ref-sifre-n.00081.00001.00050,ref-sifre-n.00081.00001.00058,שנה ויהי ימי יעקב שני חייו שבע שנים וארבעים ומאת שנה ,שנה וארבעים שנה שנאמר ויהי כשמונים שנה וארבע מאות ,ref-sifre-n
10268,ref-bible.0101.50.9.1-ref-bible.0101.50.9.6,ref-sifre-n.106.1.114-ref-sifre-n.106.1.119,104467,104492,18681,18686,ref-bible.00101.00050.00009.00001,ref-bible.00101.00050.00009.00006,145457,145482,22744,22749,ref-sifre-n.00106.00001.00114,ref-sifre-n.00106.00001.00119,ויעל עמו גם רכב גם פרשים ,ויעל עמו גם רכב גם פרשים ,ref-sifre-n
10269,ref-bible.0102.1.15.1-ref-bible.0102.1.16.1,ref-sifre-n.78.1.869-ref-sifre-n.78.1.874,106527,106601,19040,19052,ref-bible.00102.00001.00015.00001,ref-bible.00102.00001.00016.00001,106526,106565,16110,16115,ref-sifre-n.00078.00001.00869,ref-sifre-n.00078.00001.00874,ויאמר מלך מצרים למילדת העברית אשר שם האחת שפרה ושם השנית פועה ויאמר ,נאמר ויאמר מלך מצרים למילדות העבריות ,ref-sifre-n
