,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
11091,ref-bible.0101.3.1.1-ref-bible.0101.3.1.11,ref-t.3.5.4.16.4-ref-t.3.5.4.16.13,4001,4057,687,695,ref-bible.00101.00003.00001.00001,ref-bible.00101.00003.00001.00011,638166,638224,100444,100453,ref-t.00003.00005.00004.00016.00004,ref-t.00003.00005.00004.00016.00013,והנחש היה ערום מכל חית השדה אשר_עשה_יהוה אלהים ויאמר ,בנחש הקדמוני שהיה ערום מכל הבהמה ומכל חית השדה שנ' ,ref-t
11092,ref-bible.0101.3.14.9-ref-bible.0101.3.14.20,ref-t.3.5.4.16.39-ref-t.3.5.4.16.60,4953,5012,860,871,ref-bible.00101.00003.00014.00009,ref-bible.00101.00003.00014.00020,638342,638454,100475,100496,ref-t.00003.00005.00004.00016.00039,ref-t.00003.00005.00004.00016.00060,ארור אתה מכל הבהמה ומכל חית השדה על גחנך תלך ועפר תאכל ,ארור הוא מכל הבהמה ומכל חית השדה אני אמרתי תלך בקומה זקופה כאדם עכשיו שלא רצית על גחונך תלך אני אמרתי תאכל ,ref-t
11093,ref-bible.0101.3.15.1-ref-bible.0101.3.15.5,ref-t.3.5.4.17.10-ref-t.3.5.4.17.14,5025,5053,873,877,ref-bible.00101.00003.00015.00001,ref-bible.00101.00003.00015.00005,638552,638580,100514,100518,ref-t.00003.00005.00004.00017.00010,ref-t.00003.00005.00004.00017.00014,ואיבה אשית בינך ובין האשה ,ואיבה אשית בינך ובין האשה ,ref-t
11094,ref-bible.0101.6.5.1-ref-bible.0101.6.5.7,ref-t.3.5.4.10.11-ref-t.3.5.4.10.17,9594,9627,1616,1622,ref-bible.00101.00006.00005.00001,ref-bible.00101.00006.00005.00007,637168,637200,100274,100280,ref-t.00003.00005.00004.00010.00011,ref-t.00003.00005.00004.00010.00017,וירא יהוה כי רבה רעת האדם בארץ ,וירא ייי כי רבה רעת האדם בארץ ,ref-t
11095,ref-bible.0101.6.15.5-ref-bible.0101.6.16.2,ref-t.4.1.6.22.53-ref-t.4.1.6.22.68,10222,10286,1734,1746,ref-bible.00101.00006.00015.00005,ref-bible.00101.00006.00016.00002,751575,751655,118675,118688,ref-t.00004.00001.00006.00022.00053,ref-t.00004.00001.00006.00022.00068,שלש מאות אמה ארך התבה חמשים אמה רחבה ושלשים אמה קומתה צהר תעשה ,אמה ובשעת הרוח חמשים אמה ר'_עקיבא_או' חמשים אמה ובשעת הרוח שלש מאות אמה מעשה ,ref-t
11096,ref-bible.0101.6.17.1-ref-bible.0101.6.17.7,ref-t.3.5.3.8.17-ref-t.3.5.3.8.23,10363,10401,1760,1765,ref-bible.00101.00006.00017.00001,ref-bible.00101.00006.00017.00007,628948,628986,98837,98842,ref-t.00003.00005.00003.00008.00017,ref-t.00003.00005.00003.00008.00023,ואני הנני מביא את המבול מים על הארץ ,ואני הנני מביא את המבול מים על הארץ ,ref-t
11097,ref-bible.0101.7.11.13-ref-bible.0101.7.11.19,ref-t.3.5.3.9.36-ref-t.3.5.3.9.42,11505,11539,1963,1969,ref-bible.00101.00007.00011.00013,ref-bible.00101.00007.00011.00019,629172,629208,98875,98881,ref-t.00003.00005.00003.00009.00036,ref-t.00003.00005.00003.00009.00042,ביום הזה נבקעו כל מעינת תהום רבה ,ביום הזה נבקעו כל מעיינות תהום רבה ,ref-t
11098,ref-bible.0101.9.6.1-ref-bible.0101.9.6.6,ref-t.3.1.8.7.12-ref-t.3.1.8.7.17,14427,14454,2474,2479,ref-bible.00101.00009.00006.00001,ref-bible.00101.00009.00006.00006,529719,529747,82663,82668,ref-t.00003.00001.00008.00007.00012,ref-t.00003.00001.00008.00007.00017,שפך דם האדם באדם דמו ישפך ,שופך דם האדם באדם דמו ישפך ,ref-t
11099,ref-bible.0101.9.6.1-ref-bible.0101.9.6.6,ref-t.4.4.11.4.14-ref-t.4.4.11.4.19,14427,14454,2474,2479,ref-bible.00101.00009.00006.00001,ref-bible.00101.00009.00006.00006,920760,920788,145674,145679,ref-t.00004.00004.00011.00004.00014,ref-t.00004.00004.00011.00004.00019,שפך דם האדם באדם דמו ישפך ,שופך דם האדם באדם דמו ישפך ,ref-t
11100,ref-bible.0101.9.6.7-ref-bible.0101.9.7.3,ref-t.3.1.8.7.36-ref-t.3.1.8.7.45,14455,14498,2480,2487,ref-bible.00101.00009.00006.00007,ref-bible.00101.00009.00007.00003,529837,529885,82681,82689,ref-t.00003.00001.00008.00007.00036,ref-t.00003.00001.00008.00007.00045,כי בצלם אלהים עשה את האדם ואתם פרו ורבו ,כי בצלם אלים עשה את האדם וכת' ואתם פרו ורבו ,ref-t
11101,ref-bible.0101.9.11.11-ref-bible.0101.9.12.1,ref-t.2.9.2.13.49-ref-t.2.9.2.13.57,14746,14790,2533,2539,ref-bible.00101.00009.00011.00011,ref-bible.00101.00009.00012.00001,467836,467883,72873,72880,ref-t.00002.00009.00002.00013.00049,ref-t.00002.00009.00002.00013.00057,המבול ולא יהיה עוד מבול לשחת הארץ ויאמר ,מבול לעולם שנ' ולא יהיה עוד מבול וגו' ואומ' ,ref-t
11102,ref-bible.0101.11.1.1-ref-bible.0101.11.2.9,ref-t.3.5.3.10.13-ref-t.3.5.3.10.28,17405,17494,3000,3015,ref-bible.00101.00011.00001.00001,ref-bible.00101.00011.00002.00009,629279,629369,98895,98910,ref-t.00003.00005.00003.00010.00013,ref-t.00003.00005.00003.00010.00028,ויהי כל הארץ שפה אחת ודברים אחדים ויהי בנסעם מקדם וימצאו בקעה בארץ שנער וישבו שם ,ויהי כל הארץ שפה אחת ודברים אחדים ויהי בנסעם מקדם וימצאו בקעה בארץ שנער וישבו שם ,ref-t
11103,ref-bible.0101.11.8.3-ref-bible.0101.11.8.11,ref-t.4.4.13.7.15-ref-t.4.4.13.7.25,17880,17921,3084,3089,ref-bible.00101.00011.00008.00003,ref-bible.00101.00011.00008.00011,928623,928679,146892,146898,ref-t.00004.00004.00013.00007.00015,ref-t.00004.00004.00013.00007.00025,אתם משם על_פני_כל_הארץ ויחדלו לבנת העיר ,אותם משם על פני כל הארץ בעולם הזה ויחדלו לבנות העיר ,ref-t
11104,ref-bible.0101.13.12.11-ref-bible.0101.13.13.4,ref-t.4.4.13.8.2-ref-t.4.4.13.8.12,21540,21567,3702,3706,ref-bible.00101.00013.00012.00011,ref-bible.00101.00013.00013.00004,928696,928751,146901,146907,ref-t.00004.00004.00013.00008.00002,ref-t.00004.00004.00013.00008.00012,סדם ואנשי סדם רעים וחטאים ,סדום אין להן_חלק_לעולם_הבא שנ' ואנשי סדם רעים וחטאים ,ref-t
11105,ref-bible.0101.16.3.9-ref-bible.0101.16.3.15,ref-t.3.1.8.5.28-ref-t.3.1.8.5.34,25175,25210,4370,4376,ref-bible.00101.00016.00003.00009,ref-bible.00101.00016.00003.00015,529253,529288,82582,82588,ref-t.00003.00001.00008.00005.00028,ref-t.00003.00001.00008.00005.00034,מקץ עשר שנים לשבת אברם בארץ כנען ,מקץ עשר שנים לשבת אברם בארץ כנען ,ref-t
11106,ref-bible.0101.17.4.6-ref-bible.0101.17.5.14,ref-t.1.1.1.12.25-ref-t.1.1.1.13.8,26302,26380,4589,4604,ref-bible.00101.00017.00004.00006,ref-bible.00101.00017.00005.00014,3783,3838,616,627,ref-t.00001.00001.00001.00012.00025,ref-t.00001.00001.00001.00013.00008,לאב המון גוים ולא יקרא עוד את שמך אברם והיה שמך אברהם כי אב המון גוים נתתיך ,כי אב המון גוים נתתיך כיוצא בו שרי אשתך לא תקרא את שמה ,ref-t
11107,ref-bible.0101.17.5.1-ref-bible.0101.17.5.11,ref-t.1.1.1.12.3-ref-t.1.1.1.12.15,26317,26364,4592,4601,ref-bible.00101.00017.00005.00001,ref-bible.00101.00017.00005.00011,3683,3739,598,607,ref-t.00001.00001.00001.00012.00003,ref-t.00001.00001.00001.00012.00015,ולא יקרא עוד את שמך אברם והיה שמך אברהם כי אב ,לא יקרא עוד את שמך אברם והיה שמך אברהם כתחלה_הרי_את אב ,ref-t
11108,ref-bible.0101.17.14.1-ref-bible.0101.17.14.8,ref-t.2.1.15.9.108-ref-t.2.1.15.9.115,26957,26991,4699,4704,ref-bible.00101.00017.00014.00001,ref-bible.00101.00017.00014.00008,283606,283640,44150,44155,ref-t.00002.00001.00015.00009.00108,ref-t.00002.00001.00015.00009.00115,וערל זכר אשר לא ימול את בשר ערלתו ,וערל זכר אשר לא ימול את בשר ערלתו ,ref-t
11109,ref-bible.0101.17.15.5-ref-bible.0101.17.15.14,ref-t.1.1.1.13.3-ref-t.1.1.1.13.12,27051,27089,4709,4717,ref-bible.00101.00017.00015.00005,ref-bible.00101.00017.00015.00014,3815,3853,623,631,ref-t.00001.00001.00001.00013.00003,ref-t.00001.00001.00001.00013.00012,שרי אשתך לא תקרא את שמה שרי כי שרה שמה ,שרי אשתך לא תקרא את שמה שרי כי שרה שמה ,ref-t
11110,ref-bible.0101.18.19.1-ref-bible.0101.18.19.9,ref-t.3.5.6.5.248-ref-t.3.5.6.5.255,29073,29114,5076,5083,ref-bible.00101.00018.00019.00001,ref-bible.00101.00018.00019.00009,645391,645432,101673,101680,ref-t.00003.00005.00006.00005.00248,ref-t.00003.00005.00006.00005.00255,כי ידעתיו למען אשר יצוה את בניו ואת ביתו ,כי ידעתיו למען אשר יצוה וגומר יהא בביתו ,ref-t
11111,ref-bible.0101.21.9.2-ref-bible.0101.21.10.1,ref-t.3.5.6.5.107-ref-t.3.5.6.5.118,34991,35042,6144,6152,ref-bible.00101.00021.00009.00002,ref-bible.00101.00021.00010.00001,644629,644689,101546,101556,ref-t.00003.00005.00006.00005.00107,ref-t.00003.00005.00006.00005.00118,שרה את בן הגר המצרית אשר ילדה לאברהם מצחק ותאמר ,שרה את בן הגר המצרית אשר ילדה לאברהם מצחק אין צחוק האמור ,ref-t
11112,ref-bible.0101.21.10.1-ref-bible.0101.21.10.7,ref-t.3.5.5.12.23-ref-t.3.5.5.12.29,35036,35075,6152,6158,ref-bible.00101.00021.00010.00001,ref-bible.00101.00021.00010.00007,641352,641384,100986,100992,ref-t.00003.00005.00005.00012.00023,ref-t.00003.00005.00005.00012.00029,ותאמר לאברהם גרש האמה הזאת ואת בנה ,אמרה לו גרש האמה הזאת ואת בנה ,ref-t
11113,ref-bible.0101.21.12.12-ref-bible.0101.21.12.18,ref-t.3.5.5.12.113-ref-t.3.5.5.12.119,35214,35244,6185,6190,ref-bible.00101.00021.00012.00012,ref-bible.00101.00021.00012.00018,641836,641867,101071,101076,ref-t.00003.00005.00005.00012.00113,ref-t.00003.00005.00005.00012.00119,כל אשר תאמר אליך שרה שמע בקלה ,כל אשר תאמר אליך שרה שמע בקולה ,ref-t
11114,ref-bible.0101.24.1.1-ref-bible.0101.24.2.1,ref-t.3.7.5.17.11-ref-t.3.7.5.17.19,39970,40023,7029,7037,ref-bible.00101.00024.00001.00001,ref-bible.00101.00024.00002.00001,727088,727133,114878,114885,ref-t.00003.00007.00005.00017.00011,ref-t.00003.00007.00005.00017.00019,ואברהם זקן בא בימים ויהוה ברך את אברהם בכל ויאמר ,שנ' ואברהם זקן בא בימים וייי ברך את אברהם ,ref-t
11115,ref-bible.0101.26.5.1-ref-bible.0101.26.5.10,ref-t.3.7.5.21.17-ref-t.3.7.5.21.26,47197,47254,8321,8330,ref-bible.00101.00026.00005.00001,ref-bible.00101.00026.00005.00010,727627,727686,114963,114972,ref-t.00003.00007.00005.00021.00017,ref-t.00003.00007.00005.00021.00026,עקב אשר שמע אברהם בקלי וישמר משמרתי מצותי חקותי ותורתי ,עקב אשר שמע אברהם בקולי וישמר משמרתי מצותי חקותי ותורותי ,ref-t
11116,ref-bible.0101.26.12.1-ref-bible.0101.26.12.9,ref-t.1.1.6.8.33-ref-t.1.1.6.8.43,47714,47766,8414,8422,ref-bible.00101.00026.00012.00001,ref-bible.00101.00026.00012.00009,30081,30144,4884,4894,ref-t.00001.00001.00006.00008.00033,ref-t.00001.00001.00006.00008.00043,ויזרע יצחק בארץ ההוא וימצא בשנה ההוא מאה שערים ,וזרע שנ' ויזרע יצחק בארץ ההיא וימצא בשנה ההיא מאה שערים ,ref-t
11117,ref-bible.0101.26.17.7-ref-bible.0101.26.18.8,ref-t.3.5.10.6.45-ref-t.3.5.10.6.52,48038,48087,8474,8482,ref-bible.00101.00026.00017.00007,ref-bible.00101.00026.00018.00008,665999,666045,105143,105149,ref-t.00003.00005.00010.00006.00045,ref-t.00003.00005.00010.00006.00052,וישב שם וישב יצחק ויחפר את בארת המים אשר חפרו ,וישב יצחק ויחפר את בארות המים וגו' ויחפרו ,ref-t
