,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
11855,ref-bible.0101.1.4.1-ref-bible.0101.1.4.12,ref-y.01.01.8.00.1953-ref-y.01.01.8.00.1966,138,200,21,31,ref-bible.00101.00001.00004.00001,ref-bible.00101.00001.00004.00012,156410,156481,24572,24583,ref-y.00001.00001.00008.00000.01953,ref-y.00001.00001.00008.00000.01966,וירא אלהים את האור כי טוב ויבדל אלהים בין האור ובין החשך ,וירא אלהים את האור כי טוב ואחר כך ויבדל אלהים בין האור ובין החשך ,ref-y
11856,ref-bible.0101.1.6.1-ref-bible.0101.1.6.6,ref-y.02.09.4.00.2766-ref-y.02.09.4.00.2771,267,299,41,46,ref-bible.00101.00001.00006.00001,ref-bible.00101.00001.00006.00006,1765355,1765387,269325,269330,ref-y.00002.00009.00004.00000.02766,ref-y.00002.00009.00004.00000.02771,ויאמר אלהים יהי רקיע בתוך המים ,ויאמר אלהים יהי רקיע בתוך המים ,ref-y
11857,ref-bible.0101.1.6.3-ref-bible.0101.1.6.7,ref-y.01.01.1.00.1339-ref-y.01.01.1.00.1343,280,305,43,47,ref-bible.00101.00001.00006.00003,ref-bible.00101.00001.00006.00007,7044,7067,1125,1129,ref-y.00001.00001.00001.00000.01339,ref-y.00001.00001.00001.00000.01343,יהי רקיע בתוך המים ויהי ,יהי רקיע בתוך המים יהי ,ref-y
11858,ref-bible.0101.1.9.1-ref-bible.0101.1.9.6,ref-y.02.09.4.00.2778-ref-y.02.09.4.00.2783,469,504,74,79,ref-bible.00101.00001.00009.00001,ref-bible.00101.00001.00009.00006,1765422,1765457,269337,269342,ref-y.00002.00009.00004.00000.02778,ref-y.00002.00009.00004.00000.02783,ויאמר אלהים יקוו המים מתחת השמים ,ויאמר אלהים יקוו המים מתחת השמים ,ref-y
11859,ref-bible.0101.1.11.3-ref-bible.0101.1.11.11,ref-y.01.04.1.00.1313-ref-y.01.04.1.00.1321,619,658,101,109,ref-bible.00101.00001.00011.00003,ref-bible.00101.00001.00011.00011,358068,358109,56343,56351,ref-y.00001.00004.00001.00000.01313,ref-y.00001.00004.00001.00000.01321,תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה ,תדשא הארץ דשא עשב מזריע זרע והיא לא עשת ,ref-y
11860,ref-bible.0101.1.11.4-ref-bible.0101.1.11.8,ref-y.01.04.1.00.1324-ref-y.01.04.1.00.1328,624,647,102,106,ref-bible.00101.00001.00011.00004,ref-bible.00101.00001.00011.00008,358121,358144,56354,56358,ref-y.00001.00004.00001.00000.01324,ref-y.00001.00004.00001.00000.01328,הארץ דשא עשב מזריע זרע ,הארץ דשא עשב מזריע זרע ,ref-y
11861,ref-bible.0101.1.12.1-ref-bible.0101.1.12.7,ref-y.01.04.1.00.1316-ref-y.01.04.1.00.1329,700,738,118,124,ref-bible.00101.00001.00012.00001,ref-bible.00101.00001.00012.00007,358083,358152,56346,56359,ref-y.00001.00004.00001.00000.01316,ref-y.00001.00004.00001.00000.01329,ותוצא הארץ דשא עשב מזריע זרע למינהו ,עשב מזריע זרע והיא לא עשת אלא ותוצא הארץ דשא עשב מזריע זרע למינהו ,ref-y
11862,ref-bible.0101.1.18.4-ref-bible.0101.1.18.12,ref-y.01.01.8.00.1953-ref-y.01.01.8.00.1966,1152,1201,188,196,ref-bible.00101.00001.00018.00004,ref-bible.00101.00001.00018.00012,156410,156481,24572,24583,ref-y.00001.00001.00008.00000.01953,ref-y.00001.00001.00008.00000.01966,ולהבדיל בין האור ובין החשך וירא אלהים כי טוב ,וירא אלהים את האור כי טוב ואחר כך ויבדל אלהים בין האור ובין החשך ,ref-y
11863,ref-bible.0101.1.20.1-ref-bible.0101.1.20.7,ref-y.02.09.4.00.2812-ref-y.02.09.4.00.2818,1231,1268,199,205,ref-bible.00101.00001.00020.00001,ref-bible.00101.00001.00020.00007,1765624,1765661,269371,269377,ref-y.00002.00009.00004.00000.02812,ref-y.00002.00009.00004.00000.02818,ויאמר אלהים ישרצו המים שרץ נפש חיה ,ויאמר אלהים ישרצו המים שרץ נפש חיה ,ref-y
11864,ref-bible.0101.1.22.1-ref-bible.0101.1.22.6,ref-y.02.09.4.00.6672-ref-y.02.09.4.00.6679,1433,1464,234,239,ref-bible.00101.00001.00022.00001,ref-bible.00101.00001.00022.00006,1785794,1785838,272681,272688,ref-y.00002.00009.00004.00000.06672,ref-y.00002.00009.00004.00000.06679,ויברך אתם אלהים לאמר פרו ורבו ,ויברך אתם אלהים ויאמר להם אלהים פרו ורובו ,ref-y
