,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
10357,ref-m.1.1.1.5.26-ref-m.1.1.1.5.32,ref-bible.0105.16.3.16-ref-bible.0105.16.3.22,1397,1431,215,220,ref-m.00001.00001.00001.00005.00026,ref-m.00001.00001.00001.00005.00032,373467,373500,62386,62391,ref-bible.00105.00016.00003.00016,ref-bible.00105.00016.00003.00022,למען תזכור את יום צאתך מארץ מצרים ,מצרים למען תזכר את יום צאתך מארץ ,ref-bible
10358,ref-m.1.1.9.2.12-ref-m.1.1.9.2.21,ref-bible.0101.49.26.1-ref-bible.0101.49.26.10,10032,10087,1519,1528,ref-m.00001.00001.00009.00002.00012,ref-m.00001.00001.00009.00002.00021,103299,103344,18472,18481,ref-bible.00101.00049.00026.00001,ref-bible.00101.00049.00026.00010,ברוך שכחו וגבורתו מלא עולם על ההרים ועל הגבעות ועל ,ברכת אביך גברו על ברכת הורי עד תאות גבעת עולם ,ref-bible
10359,ref-m.1.1.9.5.16-ref-m.1.1.9.5.22,ref-bible.0206.23.25.10-ref-bible.0206.23.25.16,10834,10870,1650,1656,ref-m.00001.00001.00009.00005.00016,ref-m.00001.00001.00009.00005.00022,772739,772775,130315,130321,ref-bible.00206.00023.00025.00010,ref-bible.00206.00023.00025.00016,בכל לבבך ובכל נפשך ובכל מאדך בכל ,בכל לבבו ובכל נפשו ובכל מאדו ככל ,ref-bible
10360,ref-m.1.1.9.5.118-ref-m.1.1.9.5.131,ref-bible.0305.2.4.1-ref-bible.0305.2.5.1,11383,11457,1744,1757,ref-m.00001.00001.00009.00005.00118,ref-m.00001.00001.00009.00005.00131,1344149,1344227,230775,230788,ref-bible.00305.00002.00004.00001,ref-bible.00305.00002.00005.00001,והנה בעז בא מבית לחם ויאמר לקוצרים ה' עמכם ויאמרו לו יברכך ה' ואומר ,והנה בעז בא מבית לחם ויאמר לקוצרים יהוה עמכם ויאמרו לו יברכך יהוה ויאמר ,ref-bible
10361,ref-m.1.2.2.2.11-ref-m.1.2.2.2.15,ref-bible.0207.7.24.9-ref-bible.0207.7.25.5,12890,12919,1970,1974,ref-m.00001.00002.00002.00002.00011,ref-m.00001.00002.00002.00002.00015,788214,788251,132940,132946,ref-bible.00207.00007.00024.00009,ref-bible.00207.00007.00025.00005,וכל ההרים אשר במעדר יעדרון ,כל הארץ וכל ההרים אשר במעדר יעדרון ,ref-bible
10362,ref-m.1.2.7.7.16-ref-m.1.2.7.7.29,ref-bible.0105.24.21.1-ref-bible.0105.24.21.5,22313,22379,3398,3407,ref-m.00001.00002.00007.00007.00016,ref-m.00001.00002.00007.00007.00029,388789,388810,65073,65077,ref-bible.00105.00024.00021.00001,ref-bible.00105.00024.00021.00005,כי תבצור לא תעולל אם אין בציר מנין עוללות אמר_לו_רבי_עקיבא וכרמך ,כי תבצר כרמך לא תעולל ,ref-bible
10363,ref-m.1.2.8.9.44-ref-m.1.2.8.9.51,ref-bible.0208.17.7.1-ref-bible.0208.17.7.8,24491,24529,3753,3760,ref-m.00001.00002.00008.00009.00044,ref-m.00001.00002.00008.00009.00051,899406,899449,152811,152818,ref-bible.00208.00017.00007.00001,ref-bible.00208.00017.00007.00008,ברוך הגבר אשר יבטח בה' והיה ה' מבטחו ,ברוך הגבר אשר יבטח ביהוה והיה יהוה מבטחו ,ref-bible
10364,ref-m.1.2.8.9.98-ref-m.1.2.8.9.104,ref-bible.0102.23.8.1-ref-bible.0102.23.8.7,24761,24795,3804,3810,ref-m.00001.00002.00008.00009.00098,ref-m.00001.00002.00008.00009.00104,150687,150719,26573,26579,ref-bible.00102.00023.00008.00001,ref-bible.00102.00023.00008.00007,ושוחד לא תקח כי השוחד יעור פקחים ,ושחד לא תקח כי השחד יעור פקחים ,ref-bible
10365,ref-m.1.6.1.5.64-ref-m.1.6.1.6.6,ref-bible.0104.15.19.4-ref-bible.0104.15.20.9,69109,69173,10691,10702,ref-m.00001.00006.00001.00005.00064,ref-m.00001.00006.00001.00006.00006,289532,289606,48764,48776,ref-bible.00104.00015.00019.00004,ref-bible.00104.00015.00020.00009,הארץ ואם תרמו אין תרומתן תרומה חמשה לא יתרומו ואם תרמו תרומתן ,הארץ תרימו תרומה ליהוה ראשית ערסתכם חלה תרימו תרומה כתרומת גרן כן תרימו ,ref-bible
10366,ref-m.1.6.3.6.21-ref-m.1.6.3.7.3,ref-bible.0102.22.28.1-ref-bible.0102.22.28.5,72648,72692,11263,11269,ref-m.00001.00006.00003.00006.00021,ref-m.00001.00006.00003.00007.00003,150216,150241,26474,26478,ref-bible.00102.00022.00028.00001,ref-bible.00102.00022.00028.00005,מלאתך ודמעך לא תאחר ומנין שיקדמו הבכורים ,מלאתך ודמעך לא תאחר בכור ,ref-bible
