,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
11048,ref-m.1.1.1.1.61-ref-m.1.1.1.1.93,ref-sifra.4.07-12.5.18-ref-sifra.4.07-12.5.34,315,487,45,75,ref-m.00001.00001.00001.00001.00061,ref-m.00001.00001.00001.00001.00093,199277,199367,28880,28893,ref-sifra.00004.07-12.00005.00018,ref-sifra.00004.07-12.00005.00034,עד שיעלה עמוד השחר הקטר חלבים ואברים מצותן עד שיעלה עמוד השחר וכל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר אם_כן_למה אמרו חכמים עד חצות כדי להרחיק אדם מן העבירה ,להרחיק מן העבירה אבל אין מחשבה פוסלת בהן ואין חייבים_עליהם_משום נותר עד שיעלה עמוד השחר ,ref-sifra
11049,ref-m.1.1.1.1.82-ref-m.1.1.1.1.92,ref-sifra.4.07-12.5.11-ref-sifra.4.07-12.5.19,434,480,66,74,ref-m.00001.00001.00001.00001.00082,ref-m.00001.00001.00001.00001.00092,199248,199286,28875,28881,ref-sifra.00004.07-12.00005.00011,ref-sifra.00004.07-12.00005.00019,אם_כן_למה אמרו חכמים עד חצות כדי להרחיק אדם מן ,אם_כן_למה אמרו חכמים עד חצות להרחיק מן ,ref-sifra
11050,ref-m.1.1.7.3.4-ref-m.1.1.7.3.20,ref-sifra.14.04-00.6.21-ref-sifra.14.04-00.6.29,7715,7811,1182,1198,ref-m.00001.00001.00007.00003.00004,ref-m.00001.00001.00007.00003.00020,674811,674858,102780,102788,ref-sifra.00014.04-00.00006.00021,ref-sifra.00014.04-00.00006.00029,אומר נברך בשלשה והוא אומר ברכו בעשרה אומר נברך לאלהינו בעשרה והוא אומר ברכו אחד עשרה ואחד ,בעשר סלעים אמר אחד בעשרים אמר אחד בשלשים אמר ,ref-sifra
11051,ref-m.1.1.9.5.70-ref-m.1.1.9.5.83,ref-sifra.11.03-07.9.3-ref-sifra.11.03-07.9.17,11102,11191,1701,1714,ref-m.00001.00001.00009.00005.00070,ref-m.00001.00001.00009.00005.00083,504947,505046,76992,77006,ref-sifra.00011.03-07.00009.00003,ref-sifra.00011.03-07.00009.00017,לא יכנס להר הבית במקלו ובמנעלו ובפונדתו ובאבק שעל רגליו ולא יעשנו קפנדריא ורקיקה ,לא יכנס להר הבית במקלו ובתרמילו במנעלו ובאפונדתו ובאבק שעל רגליו ולא יעשנו קפנדריא ורקיקה ,ref-sifra
11052,ref-m.1.2.1.4.6-ref-m.1.2.1.4.14,ref-sifra.11.01-01.7.44-ref-sifra.11.01-01.7.63,12091,12152,1856,1863,ref-m.00001.00002.00001.00004.00006,ref-m.00001.00002.00001.00004.00014,486890,487009,74127,74142,ref-sifra.00011.01-01.00007.00044,ref-sifra.00011.01-01.00007.00063,אוכל ונשמר וגידוליו מן הארץ ולקיטתו כאחת ומכניסו לקיום ,אוכל ונשמר וגידולו מן הארץ ולקיטתו כאחד ומכניסו לקיום יצאו ירקות שאף_על_פי שלקיטתן כאחת אבל אין מכניסן לקיום ,ref-sifra
11053,ref-m.1.2.1.4.17-ref-m.1.2.1.5.11,ref-sifra.11.01-01.7.75-ref-sifra.11.01-01.8.11,12164,12285,1866,1880,ref-m.00001.00002.00001.00004.00017,ref-m.00001.00002.00001.00005.00011,487071,487187,74151,74165,ref-sifra.00011.01-01.00007.00075,ref-sifra.00011.01-01.00008.00011,והתבואה והקטניות בכלל הזה ובאילן האוג והחרובין והאגוזים והשקדים והגפנים והרמונים והזיתים והתמרים חייבין בפאה ,והתבואה והקטניות בכלל זה ובאילן האוג והחרובין האגוזים והשקדים הגפנים והרמונים הזיתים והתמרים חייבים בפאה ,ref-sifra
11054,ref-m.1.2.1.6.19-ref-m.1.2.1.6.24,ref-sifra.12.10-00.4.17-ref-sifra.12.10-00.4.22,12387,12427,1899,1904,ref-m.00001.00002.00001.00006.00019,ref-m.00001.00002.00001.00006.00024,577514,577554,87856,87861,ref-sifra.00012.10-00.00004.00017,ref-sifra.00012.10-00.00004.00022,ומאכיל לבהמה ולחיה ולעופות ופטור מן ,ומאכיל לבהמה ולחיה ולעופות ופטור מן ,ref-sifra
11055,ref-m.1.2.1.6.19-ref-m.1.2.1.6.24,ref-sifra.12.10-00.4.38-ref-sifra.12.10-00.4.43,12387,12427,1899,1904,ref-m.00001.00002.00001.00006.00019,ref-m.00001.00002.00001.00006.00024,577641,577681,87874,87879,ref-sifra.00012.10-00.00004.00038,ref-sifra.00012.10-00.00004.00043,ומאכיל לבהמה ולחיה ולעופות ופטור מן ,ומאכיל לבהמה ולחיה ולעופות ופטור מן ,ref-sifra
11056,ref-m.1.2.2.1.1-ref-m.1.2.2.4.39,ref-sifra.11.01-02.1.3-ref-sifra.11.01-02.4.39,12612,13272,1933,2032,ref-m.00001.00002.00002.00001.00001,ref-m.00001.00002.00002.00004.00039,488012,488717,74310,74416,ref-sifra.00011.01-02.00001.00003,ref-sifra.00011.01-02.00004.00039,ואלו מפסיקין לפאה הנחל והשלולית ודרך היחיד ודרך הרבים ושביל הרבים ושביל היחיד הקבוע בימות החמה ובימות הגשמים והבור והניר וזרע אחר והקוצר לשחת מפסיק דברי_רבי_מאיר_וחכמים_אומרים אינו מפסיק אלא_אם_כן חרש אמת המים שאינה יכולה להקצר כאחת רבי_יהודה_אומר מפסקת וכל ההרים אשר במעדר יעדרון אף_על_פי_שאין הבקר יכול לעבור בכליו הוא נותן פאה לכל הכל מפסיק לזרעים ואינו מפסיק לאילן אלא גדר ואם היה שער כותש אינו מפסיק אלא נותן פאה לכל ולחרובין כל הרואין זה_את_זה אמר_רבן_גמליאל נוהגין היו בית אבא נותנין פאה אחת לזיתים שהיו להם בכל רוח ולחרובין כל הרואין זה_את_זה רבי אליעזר ברבי צדוק אומר משמו אף לחרובין שהיו להם בכל העיר ,אלו מפסיקים לפאה הנחל והשלולית דרך היחיד ודרך הרבים ושביל הרבים ושביל היחיד הקבוע בימות החמה ובימות הגשמים הבור והניר וזרע אחר והקוצר לשחת מפסיק דברי_ר'_מאיר_וחכמים_אומרים אינו מפסיק אלא_אם_כן חרש אמת המים הקבועה הרי זו מפסקת ר'_יהודה_אומר אם אינה יכולה להקצר כאחת הרי זו מפסקת כל ההרים אשר במעדר יעדרון אף_על_פי_שאין הבקר יכול לעבור בכליו הוא נותן פאה לכל הכל מפסיקין לזרעים ואינו מפסיק לאילן אלא גדר שהוא גבוה עשרה טפחים אם היה שער כותש אינו מפסיק לאילן אלא נותן פאה לכל לחרובים כל הרואים זה_את_זה אמר רבן גמליאל נוהגים היו בית אבא נותנים פאה אחת לזיתים שהיה להם בכל הרוח ולחרובים כל שרואים זה_את_זה ר' אלעזר בר צדוק אומר משמו אף לחרובין שהיה להם בכל העיר ,ref-sifra
11057,ref-m.1.2.2.7.2-ref-m.1.2.2.7.15,ref-sifra.11.01-01.6.1-ref-sifra.11.01-01.6.13,13739,13820,2115,2128,ref-m.00001.00002.00002.00007.00002,ref-m.00001.00002.00002.00007.00015,486414,486501,74061,74073,ref-sifra.00011.01-01.00006.00001,ref-sifra.00011.01-01.00006.00013,שקצרוה כותים קצרוה לסטים קרסמוה נמלים שברתה הרוח או בהמה פטורה קצר חציה וקצרו ,ובקצרכם פרט לשקצרוהו הלסטים קירסמוה נמלים שברתה הרוח או בהמה ובקצרכם פרט לשקצרוה ,ref-sifra
