,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
13644,ref-m.1.1.9.5.7-ref-m.1.1.9.5.16,ref-sifre-n.43.1.79-ref-sifre-n.43.1.89,10787,10838,1642,1650,ref-m.00001.00001.00009.00005.00007,ref-m.00001.00001.00009.00005.00016,73003,73053,10651,10660,ref-sifre-n.00043.00001.00079,ref-sifre-n.00043.00001.00089,שהוא מברך על הטובה שנאמר ואהבת את ה' אלהיך בכל ,אני אברך את עמי ישראל שנאמר כי ה' אלהיך ברכך בכל ,ref-sifre-n
13645,ref-m.1.2.4.6.9-ref-m.1.2.4.6.15,ref-sifre-n.110.2.138-ref-sifre-n.110.2.145,16334,16370,2507,2513,ref-m.00001.00002.00004.00006.00009,ref-m.00001.00002.00004.00006.00015,158930,158972,24951,24958,ref-sifre-n.00110.00002.00138,ref-sifre-n.00110.00002.00145,פטור מן הלקט ומן השכחה ומן הפאה ,פטורים מן החלה לקט שכחה ופאה שפטורים מן ,ref-sifre-n
13646,ref-m.1.3.5.10.34-ref-m.1.3.5.11.14,ref-sifre-n.120.1.64-ref-sifre-n.120.1.85,31057,31153,4801,4816,ref-m.00001.00003.00005.00010.00034,ref-m.00001.00003.00005.00011.00014,201332,201452,31818,31837,ref-sifre-n.00120.00001.00064,ref-sifre-n.00120.00001.00085,עליה תרומות ומעשרות תרם מן הדמאי על הדמאי מדמאי על הודאי תרומה ויחזור ויתרום מן הודאי על ,על מינו ולא ממין על שאינו מינו והרמותם ממנו מופנה להקיש ולדון ממנו גזירה שוה והרמותם ממנו שלא יתרום מן המחובר על ,ref-sifre-n
13647,ref-m.1.4.1.9.36-ref-m.1.4.2.1.1,ref-sifre-n.110.2.28-ref-sifre-n.110.2.38,36362,36433,5632,5645,ref-m.00001.00004.00001.00009.00036,ref-m.00001.00004.00002.00001.00001,158280,158360,24853,24863,ref-sifre-n.00110.00002.00028,ref-sifre-n.00110.00002.00038,עד שיהו שני חטים ושעורה או חטה ושתי שעורים או חטה ושעורה וכוסמת כל ,עד שתתגלגל בחטים ותיטמטם בשעורים בלבלה גלגלה בחטים וטימטמה בשעורים האוכל ,ref-sifre-n
13648,ref-m.1.5.1.4.2-ref-m.1.5.1.4.13,ref-sifre-n.70.1.39-ref-sifre-n.70.1.51,50955,51014,7948,7959,ref-m.00001.00005.00001.00004.00002,ref-m.00001.00005.00001.00004.00013,95436,95504,14345,14357,ref-sifre-n.00070.00001.00039,ref-sifre-n.00070.00001.00051,אחד עושה ככר דבלה ושנים אין עושין או שנים עושין ואחד אינו ,היחיד עושה פסח שני ואין הצבור עושים פסח שני וחדל לעשות הפסח אין ,ref-sifre-n
13649,ref-m.1.5.2.7.1-ref-m.1.5.2.7.4,ref-sifre-n.110.1.138-ref-sifre-n.110.1.141,53099,53133,8266,8269,ref-m.00001.00005.00002.00007.00001,ref-m.00001.00005.00002.00007.00004,157146,157178,24673,24676,ref-sifre-n.00110.00001.00138,ref-sifre-n.00110.00001.00141,האורז והדוחן והפרגין והשומשמין ,אורז ודוחן והפרגים והשומשומים ,ref-sifre-n
13650,ref-m.1.5.9.9.30-ref-m.1.5.9.9.38,ref-sifre-n.110.2.294-ref-sifre-n.110.2.302,66461,66510,10270,10277,ref-m.00001.00005.00009.00009.00030,ref-m.00001.00005.00009.00009.00038,159830,159878,25097,25104,ref-sifre-n.00110.00002.00294,ref-sifre-n.00110.00002.00302,האוכל מעיסת שביעית עד שלא הורמה חלתה חייב מיתה ,האוכל מעיסת שביעית עד שלא הורמה חלתה חיב מיתה ,ref-sifre-n
13651,ref-m.1.6.1.4.23-ref-m.1.6.1.5.58,ref-sifre-n.120.1.76-ref-sifre-n.120.1.123,68769,69080,10631,10685,ref-m.00001.00006.00001.00004.00023,ref-m.00001.00006.00001.00005.00058,201399,201652,31829,31875,ref-sifre-n.00120.00001.00076,ref-sifre-n.00120.00001.00123,תרומה אין תורמין מן הלקט ומן השכחה ומן הפאה ומן ההפקר ולא ממעשר ראשון_שנטלה_תרומתו ולא ממעשר שני_והקדש_שנפדו ולא מן החייב על הפטור ולא מן הפטור על החייב ולא מן התלוש על המחובר ולא מן המחובר על התלוש ולא מן החדש על הישן ולא מן הישן על החדש ולא מפירות הארץ על פירות חוצה לארץ ולא ,"ממנו גזירה שוה והרמותם ממנו שלא יתרום מן המחובר על התלוש ולא מן התלוש על המחובר ולא מן החדש על הישן ולא מן הישן על החדש והרמותם ממנו שלא יתרום מפירות הארץ על פירות חו""ל ולא מפירות חו""ל על פירות הארץ ת""ל ויקרא כז וכל מעשר הארץ שלא ",ref-sifre-n
13652,ref-m.1.6.1.5.3-ref-m.1.6.1.5.12,ref-sifre-n.110.2.139-ref-sifre-n.110.2.146,68786,68841,10634,10643,ref-m.00001.00006.00001.00005.00003,ref-m.00001.00006.00001.00005.00012,158937,158979,24952,24959,ref-sifre-n.00110.00002.00139,ref-sifre-n.00110.00002.00146,מן הלקט ומן השכחה ומן הפאה ומן ההפקר ולא ממעשר ,מן החלה לקט שכחה ופאה שפטורים מן המעשר ,ref-sifre-n
13653,ref-m.1.6.1.5.3-ref-m.1.6.1.5.12,ref-sifre-n.110.2.170-ref-sifre-n.110.2.180,68786,68841,10634,10643,ref-m.00001.00006.00001.00005.00003,ref-m.00001.00006.00001.00005.00012,159124,159181,24983,24991,ref-sifre-n.00110.00002.00170,ref-sifre-n.00110.00002.00180,מן הלקט ומן השכחה ומן הפאה ומן ההפקר ולא ממעשר ,מן החלה שהיה_בדין_ומה לקט שכחה ופאה שפטורים מן המעשר ,ref-sifre-n
13654,ref-m.1.6.1.5.49-ref-m.1.6.1.5.66,ref-sifre-n.120.1.126-ref-sifre-n.120.1.138,69028,69124,10676,10693,ref-m.00001.00006.00001.00005.00049,ref-m.00001.00006.00001.00005.00066,201667,201739,31878,31890,ref-sifre-n.00120.00001.00126,ref-sifre-n.00120.00001.00138,על החדש ולא מפירות הארץ על פירות חוצה לארץ ולא מפירות חוצה לארץ על פירות הארץ ואם תרמו ,"הארץ על פירות חו""ל ולא מפירות חו""ל על פירות הארץ והרמותם ממנו תרומת ",ref-sifre-n
