,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
14051,ref-m.1.1.1.1.1-ref-m.1.1.1.1.9,ref-t.1.1.1.1.1-ref-t.1.1.1.1.22,0,56,0,7,ref-m.00001.00001.00001.00001.00001,ref-m.00001.00001.00001.00001.00009,0,121,0,16,ref-t.00001.00001.00001.00001.00001,ref-t.00001.00001.00001.00001.00022,מאימתי קורין את שמע בערבית משעה שהכהנים נכנסים לאכול ,מאמתי קורין את שמע בערבין משעה שבני אדן נכנסין לוכל פיתן בלילי שבתות דברי_ר'_מאיר_וחכמים_אומ' משעה שהכהנים זכ לוכל ,ref-t
14052,ref-m.1.1.1.1.89-ref-m.1.1.1.2.4,ref-t.1.1.1.2.1-ref-t.1.1.1.2.12,463,508,71,78,ref-m.00001.00001.00001.00001.00089,ref-m.00001.00001.00001.00002.00004,596,660,87,97,ref-t.00001.00001.00001.00002.00001,ref-t.00001.00001.00001.00002.00012,כדי להרחיק אדם מן העבירה מאימתי קורין את שמע ,מאימתי קורין את שמע בשחרים אחרים אומ' כדי שיהא חבירו רחוק ממנו ,ref-t
14053,ref-m.1.1.1.4.12-ref-m.1.1.1.4.33,ref-t.1.1.1.5.2-ref-t.1.1.1.5.21,1128,1248,169,190,ref-m.00001.00001.00001.00004.00012,ref-m.00001.00001.00001.00004.00033,1524,1631,231,250,ref-t.00001.00001.00001.00005.00002,ref-t.00001.00001.00001.00005.00021,אחת ארוכה ואחת קצרה מקום שאמרו להאריך אינו רשאי לקצר לקצר אינו רשאי להאריך לחתום אינו רשאי שלא לחתום ושלא לחתום אינו ,אחת קצרה מקום שאמרו להאריך אינו רשאי לקצר לקצר אינו רשאי להאריך לחתום אינו רשאי שלא לחתום שלא לחתום אינו ,ref-t
14054,ref-m.1.1.1.5.1-ref-m.1.1.1.5.54,ref-t.1.1.1.10.1-ref-t.1.1.1.10.56,1260,1547,193,237,ref-m.00001.00001.00001.00005.00001,ref-m.00001.00001.00001.00005.00054,2488,2781,391,439,ref-t.00001.00001.00001.00010.00001,ref-t.00001.00001.00001.00010.00056,מזכירין יציאת מצרים בלילות אמר רבי_אלעזר_בן_עזריה הרי אני כבן שבעים שנה ולא זכיתי שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך להביא לימות המשיח ,מזכירין יציאת מצרים בלילות אמ' ר'_לעזר_בן_עזריה הרי אני כבן שבעים שנה ולא זכיתי שאשמע שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנ' למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים או' ימי חייך העולם הזה כל להביא ימי חייך להביא לימות המשיח ,ref-t
14055,ref-m.1.1.2.1.7-ref-m.1.1.2.1.14,ref-t.2.8.2.6.11-ref-t.2.8.2.6.18,1582,1613,244,249,ref-m.00001.00001.00002.00001.00007,ref-m.00001.00001.00002.00001.00014,454040,454071,70747,70752,ref-t.00002.00008.00002.00006.00011,ref-t.00002.00008.00002.00006.00018,אם כיון לבו יצא ואם_לאו_לא יצא ,אם כיון לבו יצא ואם_לאו_לא יצא ,ref-t
14056,ref-m.1.1.2.1.7-ref-m.1.1.2.1.14,ref-t.2.8.2.7.26-ref-t.2.8.2.7.33,1582,1613,244,249,ref-m.00001.00001.00002.00001.00007,ref-m.00001.00001.00002.00001.00014,454206,454237,70775,70780,ref-t.00002.00008.00002.00007.00026,ref-t.00002.00008.00002.00007.00033,אם כיון לבו יצא ואם_לאו_לא יצא ,אם כיון לבו יצא ואם_לאו_לא יצא ,ref-t
14057,ref-m.1.1.2.6.22-ref-m.1.1.2.7.16,ref-t.1.3.2.11.9-ref-t.1.3.2.12.3,2770,2862,429,443,ref-m.00001.00001.00002.00006.00022,ref-m.00001.00001.00002.00007.00016,57739,57857,9334,9355,ref-t.00001.00003.00002.00011.00009,ref-t.00001.00003.00002.00012.00003,אני וכשמת טבי עבדו קבל עליו תנחומין אמרו לו תלמידיו לא למדתנו רבינו שאין מקבלין תנחומין על ,איני מקבל עלי אלא לכנפים בלבד מקבלין אותו קבל עליו לטהרות ולא קבל עליו לכנפים אף על הטהרות אין נאמן עד מתי מקבלין ,ref-t
14058,ref-m.1.1.3.4.6-ref-m.1.1.3.4.17,ref-t.2.10.2.5.47-ref-t.2.10.2.5.58,3498,3567,538,549,ref-m.00001.00001.00003.00004.00006,ref-m.00001.00001.00003.00004.00017,477851,477919,74484,74495,ref-t.00002.00010.00002.00005.00047,ref-t.00002.00010.00002.00005.00058,מברך לא לפניה ולא לאחריה ועל המזון מברך לאחריו ואינו מברך לפניו ,שבירך לאחריה לאחריה ולא בירך לפניה לא בירך לא לפניה ולא לאחריה ,ref-t
14059,ref-m.1.1.3.4.6-ref-m.1.1.3.4.17,ref-t.1.1.2.9.5-ref-t.1.1.2.9.11,3498,3567,538,549,ref-m.00001.00001.00003.00004.00006,ref-m.00001.00001.00003.00004.00017,6179,6231,1027,1033,ref-t.00001.00001.00002.00009.00005,ref-t.00001.00001.00002.00009.00011,מברך לא לפניה ולא לאחריה ועל המזון מברך לאחריו ואינו מברך לפניו ,ומברכין לפניה ולאחריה ואוכלין פיתן ומברכין לפניה ,ref-t
14060,ref-m.1.1.3.4.6-ref-m.1.1.3.4.17,ref-t.1.1.6.24.65-ref-t.1.1.6.24.71,3498,3567,538,549,ref-m.00001.00001.00003.00004.00006,ref-m.00001.00001.00003.00004.00017,34122,34165,5546,5552,ref-t.00001.00001.00006.00024.00065,ref-t.00001.00001.00006.00024.00071,מברך לא לפניה ולא לאחריה ועל המזון מברך לאחריו ואינו מברך לפניו ,ומברך לפניה ולאחריה אוכל פתו ומברך לפניה ,ref-t
