,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
0,ref-mek.1.1.1.157-ref-mek.1.1.1.179,ref-b.2.13.11b.774-ref-b.2.13.11b.795,761,882,114,131,ref-mek.00001.00001.00001.00157,ref-mek.00001.00001.00001.00179,2708704,2708823,394870,394888,ref-b.00002.00013.0011b.00774,ref-b.00002.00013.0011b.00795,אומר בראשית ברא אלהים את_השמים_ואת_הארץ שומע_אני_כל הקודם במקרא קודם במעשה כשהוא אומר ביום עשות ה' אלהים ארץ ושמים ,"שנאמר בראשית ברא אלהים את_השמים_ואת_הארץ וב""ה אומרים ארץ נבראת תחלה ואח""כ שמים שנאמר ביום עשות ה' אלהים ארץ ושמים ",ref-b
1,ref-mek.1.1.1.174-ref-mek.1.1.1.179,ref-b.2.06.54b.94-ref-b.2.06.54b.99,852,882,126,131,ref-mek.00001.00001.00001.00174,ref-mek.00001.00001.00001.00179,1783200,1783230,258977,258982,ref-b.00002.00006.0054b.00094,ref-b.00002.00006.0054b.00099,ביום עשות ה' אלהים ארץ ושמים ,ביום עשות ה' אלהים ארץ ושמים ,ref-b
2,ref-mek.1.1.1.192-ref-mek.1.1.1.199,ref-b.1.01.64a.94-ref-b.1.01.64a.101,948,990,140,147,ref-mek.00001.00001.00001.00192,ref-mek.00001.00001.00001.00199,342814,342856,50992,50999,ref-b.00001.00001.0064a.00094,ref-b.00001.00001.0064a.00101,אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אלהי יעקב אלהי יעקב ולא אלהי אברהם ויצחק ,ref-b
3,ref-mek.1.1.1.192-ref-mek.1.1.1.199,ref-b.2.04.88a.55-ref-b.2.04.88a.63,948,990,140,147,ref-mek.00001.00001.00001.00192,ref-mek.00001.00001.00001.00199,1522635,1522683,220298,220306,ref-b.00002.00004.0088a.00055,ref-b.00002.00004.0088a.00063,אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אלהי יעקב וגו' אלהי יעקב ולא אלהי אברהם ויצחק ,ref-b
4,ref-mek.1.1.1.192-ref-mek.1.1.1.199,ref-b.4.04.107a.28-ref-b.4.04.107a.33,948,990,140,147,ref-mek.00001.00001.00001.00192,ref-mek.00001.00001.00001.00199,6239185,6239217,909263,909268,ref-b.00004.00004.0107a.00028,ref-b.00004.00004.0107a.00033,אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אלהי אברהם אלהי יצחק ואלהי יעקב ,ref-b
5,ref-mek.1.1.1.347-ref-mek.1.1.1.355,ref-b.5.01.119a.201-ref-b.5.01.119a.214,1768,1816,260,268,ref-mek.00001.00001.00001.00347,ref-mek.00001.00001.00001.00355,7130684,7130749,1038422,1038434,ref-b.00005.00001.0119a.00201,ref-b.00005.00001.0119a.00214,שנאמר כי בחר ה' בציון ואומר זאת מנוחתי עדי עד ,ואומר זאת מנוחתי עדי עד פה אשב כי אויתיה ואומר כי בחר ה' בציון ,ref-b
6,ref-mek.1.1.1.347-ref-mek.1.1.1.351,ref-b.5.02.87a.298-ref-b.5.02.87a.307,1768,1791,260,264,ref-mek.00001.00001.00001.00347,ref-mek.00001.00001.00001.00351,7403981,7404021,1077807,1077813,ref-b.00005.00002.0087a.00298,ref-b.00005.00002.0087a.00307,שנאמר כי בחר ה' בציון ,אמרי אמר_רבא_בר_רב שילא כי בחר ה' בציון ,ref-b
7,ref-mek.1.1.1.377-ref-mek.1.1.1.388,ref-b.3.05.49a.9-ref-b.3.05.49a.19,1919,1982,286,296,ref-mek.00001.00001.00001.00377,ref-mek.00001.00001.00001.00388,3959888,3959938,577418,577427,ref-b.00003.00005.0049a.00009,ref-b.00003.00005.0049a.00019,ה' ואומר והיתה לו ולזרעו אחריו עד שלא נבחר דוד היו כל ישראל ,דוד היו כל ישראל מוכרי רבב שנאמר שיתה ה' מורה להם ,ref-b
8,ref-mek.1.1.1.671-ref-mek.1.1.1.688,ref-b.4.01.114b.153-ref-b.4.01.114b.162,3432,3523,554,571,ref-mek.00001.00001.00001.00671,ref-mek.00001.00001.00001.00688,4932100,4932149,716883,716892,ref-b.00004.00001.0114b.00153,ref-b.00004.00001.0114b.00162,כבוד האב וכבוד הבן ואחד תבע כבוד האב ולא כבוד הבן ואחד תבע כבוד הבן ולא כבוד האב ,כבוד אביהן טעמא מפני כבוד אביהן הא לאו כבוד אביהן ,ref-b
9,ref-mek.1.1.1.760-ref-mek.1.1.1.770,ref-b.2.02.63a.374-ref-b.2.02.63a.386,3908,3959,640,650,ref-mek.00001.00001.00001.00760,ref-mek.00001.00001.00001.00770,550523,550587,81563,81575,ref-b.00002.00002.0063a.00374,ref-b.00002.00002.0063a.00386,שנאמר ויהי דבר ה' אל יונה שנית לאמר שנית נדבר עמו ,שנאמר אז נדברו יראי ה' וגו' אין דיבור אלא נחת שנאמר ידבר עמים ,ref-b
10,ref-mek.1.1.1.764-ref-mek.1.1.1.772,ref-b.3.01.98a.145-ref-b.3.01.98a.164,3928,3971,644,652,ref-mek.00001.00001.00001.00764,ref-mek.00001.00001.00001.00772,3072372,3072466,447633,447648,ref-b.00003.00001.0098a.00145,ref-b.00003.00001.0098a.00164,אל יונה שנית לאמר שנית נדבר עמו ולא שלישית ,דברים גר נושא אשת_אחיו_מאמו ואמר ויהי_דבר_ה' אל יונה שנית לאמר שנית דברה עמו שכינה שלישית לא ,ref-b
11,ref-mek.1.1.1.764-ref-mek.1.1.1.772,ref-b.3.01.98a.251-ref-b.3.01.98a.260,3928,3971,644,652,ref-mek.00001.00001.00001.00764,ref-mek.00001.00001.00001.00772,3072898,3072945,447706,447715,ref-b.00003.00001.0098a.00251,ref-b.00003.00001.0098a.00260,אל יונה שנית לאמר שנית נדבר עמו ולא שלישית ,אל יונה שנית לאמר שנית דברה עמו שכינה שלישית לא ,ref-b
