,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
2132,ref-mek.1.1.1.190-ref-mek.1.1.1.199,ref-bible.0102.3.6.2-ref-bible.0102.3.6.10,938,990,138,147,ref-mek.00001.00001.00001.00190,ref-mek.00001.00001.00001.00199,109290,109337,19517,19525,ref-bible.00102.00003.00006.00002,ref-bible.00102.00003.00006.00010,אנכי האל אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אנכי אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,ref-bible
2133,ref-mek.1.1.1.190-ref-mek.1.1.1.197,ref-bible.0101.28.13.6-ref-bible.0101.28.13.12,938,978,138,145,ref-mek.00001.00001.00001.00190,ref-mek.00001.00001.00001.00197,53397,53433,9476,9482,ref-bible.00101.00028.00013.00006,ref-bible.00101.00028.00013.00012,אנכי האל אלהי אביך אלהי אברהם אלהי יצחק ,אני יהוה אלהי אברהם אביך ואלהי יצחק ,ref-bible
2134,ref-mek.1.1.1.191-ref-mek.1.1.1.199,ref-bible.0102.4.5.5-ref-bible.0102.4.5.14,943,990,139,147,ref-mek.00001.00001.00001.00191,ref-mek.00001.00001.00001.00199,111211,111263,19829,19838,ref-bible.00102.00004.00005.00005,ref-bible.00102.00004.00005.00014,האל אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אליך יהוה אלהי אבתם אלהי אברהם אלהי יצחק ואלהי יעקב ,ref-bible
2135,ref-mek.1.1.1.192-ref-mek.1.1.1.199,ref-bible.0102.3.15.14-ref-bible.0102.3.15.19,948,990,140,147,ref-mek.00001.00001.00001.00192,ref-mek.00001.00001.00001.00199,110175,110207,19659,19664,ref-bible.00102.00003.00015.00014,ref-bible.00102.00003.00015.00019,אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אלהי אברהם אלהי יצחק ואלהי יעקב ,ref-bible
2136,ref-mek.1.1.1.210-ref-mek.1.1.1.220,ref-bible.0103.26.42.1-ref-bible.0103.26.42.12,1043,1100,156,164,ref-mek.00001.00001.00001.00210,ref-mek.00001.00001.00001.00220,249754,249815,42973,42981,ref-bible.00103.00026.00042.00001,ref-bible.00103.00026.00042.00012,וזכרתי את בריתי יעקב ואך בריתי יצחק ואף את בריתי אברהם ,וזכרתי את בריתי יעקוב ואף את בריתי יצחק ואף את בריתי אברהם ,ref-bible
2137,ref-mek.1.1.1.348-ref-mek.1.1.1.355,ref-bible.0301.132.13.1-ref-bible.0301.132.14.3,1775,1816,261,268,ref-mek.00001.00001.00001.00348,ref-mek.00001.00001.00001.00355,1247208,1247258,212357,212366,ref-bible.00301.00132.00013.00001,ref-bible.00301.00132.00014.00003,כי בחר ה' בציון ואומר זאת מנוחתי עדי עד ,כי בחר יהוה בציון אוה למושב לו זאת מנוחתי עדי עד ,ref-bible
2138,ref-mek.1.1.1.372-ref-mek.1.1.1.381,ref-bible.0104.18.19.16-ref-bible.0104.18.19.23,1896,1946,281,290,ref-mek.00001.00001.00001.00372,ref-mek.00001.00001.00001.00381,297229,297267,50047,50054,ref-bible.00104.00018.00019.00016,ref-bible.00104.00018.00019.00023,ברית מלח עולם היא לפני ה' ואומר והיתה לו ולזרעו ,ברית מלח עולם הוא לפני יהוה לך ולזרעך ,ref-bible
2139,ref-mek.1.1.1.441-ref-mek.1.1.1.445,ref-bible.0208.31.16.4-ref-bible.0208.31.16.8,2246,2276,340,344,ref-mek.00001.00001.00001.00441,ref-mek.00001.00001.00001.00445,928502,928531,157516,157520,ref-bible.00208.00031.00016.00004,ref-bible.00208.00031.00016.00008,מנעי קולך מבכי ועיניך מדמעה ,מנעי קולך מבכי ועיניך מדמעה ,ref-bible
2140,ref-mek.1.1.1.548-ref-mek.1.1.1.560,ref-bible.0301.139.8.1-ref-bible.0301.139.10.4,2812,2865,439,451,ref-mek.00001.00001.00001.00548,ref-mek.00001.00001.00001.00560,1250516,1250597,212908,212925,ref-bible.00301.00139.00008.00001,ref-bible.00301.00139.00010.00004,אם אסק שמים שם אתה וגו' אשא כנפי שחר גם שם ידך תנחני ,אם אסק שמים שם אתה ואציעה שאול הנך אשא כנפי שחר אשכנה באחרית ים גם שם ידך תנחני ,ref-bible
2141,ref-mek.1.1.1.729-ref-mek.1.1.1.743,ref-bible.0205.19.16.1-ref-bible.0205.19.16.17,3747,3819,612,625,ref-mek.00001.00001.00001.00729,ref-mek.00001.00001.00001.00743,702470,702556,118734,118748,ref-bible.00205.00019.00016.00001,ref-bible.00205.00019.00016.00017,ואת יהו בן נמשי תמשח למלך על ישראל ואת אלישע בן שפט תמשח לנביא תחתיך ,ואת יהוא בן נמשי תמשח למלך_על_ישראל ואת אלישע בן שפט מאבל מחולה תמשח לנביא תחתיך ,ref-bible
2142,ref-mek.1.1.1.782-ref-mek.1.1.1.789,ref-bible.0214.1.11.10-ref-bible.0214.1.12.6,4012,4060,660,667,ref-mek.00001.00001.00001.00782,ref-mek.00001.00001.00001.00789,1112076,1112128,187986,187994,ref-bible.00214.00001.00011.00010,ref-bible.00214.00001.00012.00006,בים שנאמר ויאמר אליהם שאוני הטילוני אל הים ,הים הולך וסער ויאמר אליהם שאוני והטילני אל הים ,ref-bible
2143,ref-mek.1.1.1.803-ref-mek.1.1.1.813,ref-bible.0102.32.32.1-ref-bible.0102.32.32.11,4131,4183,678,687,ref-mek.00001.00001.00001.00803,ref-mek.00001.00001.00001.00813,172744,172795,30268,30277,ref-bible.00102.00032.00032.00001,ref-bible.00102.00032.00032.00011,ועתה אם תשא חטאתם ואם אין מחני נא מספרך אשר כתבת א,ועתה אם תשא חטאתם ואם אין מחני נא מספרך אשר כתבת ,ref-bible
2144,ref-mek.1.1.1.814-ref-mek.1.1.1.828,ref-bible.0104.11.15.1-ref-bible.0104.11.15.15,4183,4251,688,701,ref-mek.00001.00001.00001.00814,ref-mek.00001.00001.00001.00828,280470,280537,47228,47239,ref-bible.00104.00011.00015.00001,ref-bible.00104.00011.00015.00015,אם ככה את עושה לי הרגני נא הרוג אם מצאתי חן בעיניך ואל אראה ברעתי ,ואם ככה את עשה לי הרגני נא הרג אם מצאתי_חן_בעיניך ואל אראה ברעתי ,ref-bible
2145,ref-mek.1.1.1.831-ref-mek.1.1.1.842,ref-bible.0204.24.17.10-ref-bible.0204.24.17.22,4262,4321,704,715,ref-mek.00001.00001.00001.00831,ref-mek.00001.00001.00001.00842,644314,644380,108911,108923,ref-bible.00204.00024.00017.00010,ref-bible.00204.00024.00017.00022,אומר אנכי חטאתי ואני העויתי ואלה הצאן מה עשו תהי נא ידך ,ויאמר הנה אנכי חטאתי ואנכי העויתי ואלה הצאן מה עשו תהי נא ידך ,ref-bible
2146,ref-mek.1.1.1.831-ref-mek.1.1.1.842,ref-bible.0312.21.17.7-ref-bible.0312.21.17.24,4262,4321,704,715,ref-mek.00001.00001.00001.00831,ref-mek.00001.00001.00001.00842,1499885,1499975,257726,257743,ref-bible.00312.00021.00017.00007,ref-bible.00312.00021.00017.00024,אומר אנכי חטאתי ואני העויתי ואלה הצאן מה עשו תהי נא ידך ,אמרתי למנות בעם ואני הוא אשר חטאתי והרע הרעותי ואלה הצאן מה עשו יהוה אלהי תהי נא ידך ,ref-bible
2147,ref-mek.1.1.1.856-ref-mek.1.1.1.884,ref-bible.0206.2.18.4-ref-bible.0206.2.19.2,4390,4542,726,749,ref-mek.00001.00001.00001.00856,ref-mek.00001.00001.00001.00884,717230,717292,121198,121208,ref-bible.00206.00002.00018.00004,ref-bible.00206.00002.00019.00002,לאמר צא ואמור אליהם מיד דברי_ר'_ישמעאל שנאמר ויצא ודבר ר'_אליעזר_אומר צא ואמור אליהם והשיבני דבר שנאמר וישב משה את דברי העם אל ה' ואומר האיש ,ישב ביריחו ויאמר אלהם הלוא אמרתי אליכם אל תלכו ויאמרו אנשי ,ref-bible
2148,ref-mek.1.1.1.858-ref-mek.1.1.1.887,ref-bible.0206.22.14.20-ref-bible.0206.22.15.10,4398,4558,728,752,ref-mek.00001.00001.00001.00858,ref-mek.00001.00001.00001.00887,769223,769307,129755,129765,ref-bible.00206.00022.00014.00020,ref-bible.00206.00022.00015.00010,ואמור אליהם מיד דברי_ר'_ישמעאל שנאמר ויצא ודבר ר'_אליעזר_אומר צא ואמור אליהם והשיבני דבר שנאמר וישב משה את דברי העם אל ה' ואומר האיש לבוש הבדים אשר ,ישבת בירושלם במשנה וידברו אליה ותאמר אליהם כה_אמר_יהוה_אלהי_ישראל אמרו לאיש אשר ,ref-bible
