,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
3513,ref-mek.1.1.1.856-ref-mek.1.1.1.880,ref-sifra.2.01-02.13.36-ref-sifra.2.01-02.13.47,4390,4523,726,745,ref-mek.00001.00001.00001.00856,ref-mek.00001.00001.00001.00880,10299,10367,1638,1649,ref-sifra.00002.01-02.00013.00036,ref-sifra.00002.01-02.00013.00047,לאמר צא ואמור אליהם מיד דברי_ר'_ישמעאל שנאמר ויצא ודבר ר'_אליעזר_אומר צא ואמור אליהם והשיבני דבר שנאמר וישב משה את דברי העם ,לאמר צא ואמור להם והשיבני ומנין שהיה משה יוצא ומדבר עמהם שנאמר ,ref-sifra
3514,ref-mek.1.1.1.874-ref-mek.1.1.1.883,ref-sifra.5.1.36.5-ref-sifra.5.1.36.14,4490,4536,740,748,ref-mek.00001.00001.00001.00874,ref-mek.00001.00001.00001.00883,250705,250753,36842,36851,ref-sifra.00005.00001.00036.00005,ref-sifra.00005.00001.00036.00014,דבר שנאמר וישב משה את דברי העם אל ה' ואומר ,דבר ה' לאמר בקרבי אקדש זה דבור נאמר בסיני למשה ,ref-sifra
3515,ref-mek.1.1.1.1041-ref-mek.1.1.1.1067,ref-sifra.2.01-02.13.23-ref-sifra.2.01-02.13.47,5425,5557,889,913,ref-mek.00001.00001.00001.01041,ref-mek.00001.00001.00001.01067,10240,10367,1629,1649,ref-sifra.00002.01-02.00013.00023,ref-sifra.00002.01-02.00013.00047,"לאמר צא ואמור להם שבזכותם היה מדבר עמי שכל ל""ח שנה שהיה כועס על ישראל לא היה מדבר עמו שנאמר ויהי כאשר תמו כל אנשי המלחמה למות ",ויהי כאשר תמו כל אנשי המלחמה למות וידבר_ה'_אלי  דבר אחר לאמר צא ואמור להם והשיבני ומנין שהיה משה יוצא ומדבר עמהם שנאמר ,ref-sifra
3516,ref-mek.1.1.1.1041-ref-mek.1.1.1.1061,ref-sifra.2.01-02.13.1-ref-sifra.2.01-02.13.23,5425,5527,889,907,ref-mek.00001.00001.00001.01041,ref-mek.00001.00001.00001.01061,10125,10245,1608,1629,ref-sifra.00002.01-02.00013.00001,ref-sifra.00002.01-02.00013.00023,"לאמר צא ואמור להם שבזכותם היה מדבר עמי שכל ל""ח שנה שהיה כועס על ישראל לא היה מדבר עמו שנאמר ויהי ","לאמר אמור להם דברי כבושים בשבילכם מדבר עמי שכן מצאנו שכל ל""ח שנים שהיו ישראל כמנודין לא היה מדבר עם משה שנאמר ויהי ",ref-sifra
3517,ref-mek.1.1.1.1077-ref-mek.1.1.1.1084,ref-sifra.2.01-02.12.30-ref-sifra.2.01-02.12.38,5598,5641,918,924,ref-mek.00001.00001.00001.01077,ref-mek.00001.00001.00001.01084,9625,9672,1531,1538,ref-sifra.00002.01-02.00012.00030,ref-sifra.00002.01-02.00012.00038,איני כמשיב על דברי ר' אלא כמוסיף על דבריו ,אין אני כמשיב על דברי רבי אלא כמוסיף על דבריו ,ref-sifra
3518,ref-mek.1.1.1.1077-ref-mek.1.1.1.1084,ref-sifra.2.01-02.12.112-ref-sifra.2.01-02.12.119,5598,5641,918,924,ref-mek.00001.00001.00001.01077,ref-mek.00001.00001.00001.01084,10010,10054,1589,1595,ref-sifra.00002.01-02.00012.00112,ref-sifra.00002.01-02.00012.00119,איני כמשיב על דברי ר' אלא כמוסיף על דבריו ,איני כמשיב על דברי רבי אלא כמוסיף על דבריו ,ref-sifra
3519,ref-mek.1.1.1.1103-ref-mek.1.1.1.1116,ref-sifra.4.29.37.48-ref-sifra.4.29.37.58,5723,5802,942,955,ref-mek.00001.00001.00001.01103,ref-mek.00001.00001.00001.01116,235043,235100,34299,34309,ref-sifra.00004.00029.00037.00048,ref-sifra.00004.00029.00037.00058,שנאמר ואשב שבעת ימים משמים בתוכם וכתיב ויהי מקצה שבעת ימים ויהי דבר ה' ,שבעת הימים צוה ה' לעשות לכפר עליכם מכאן אמרו שבעת ימים ,ref-sifra
3520,ref-mek.1.5.1.106-ref-mek.1.5.2.29,ref-sifra.4.06-00.11.13-ref-sifra.4.06-00.11.27,13680,13908,2200,2230,ref-mek.00001.00005.00001.00106,ref-mek.00001.00005.00002.00029,193675,193749,28021,28035,ref-sifra.00004.06-00.00011.00013,ref-sifra.00004.06-00.00011.00027,להביא מין אחר מה_תלמוד_לומר מן הכבשים ומן העזים מזה_בפני_עצמו ומזה_בפני_עצמו והיה לכם להביא פסח דורות שלא יבוא אלא מן הכשבים ומן העזים דברי_ר'_אליעזר ר'_יאשיה_אומר תקחו למה_נאמר_לפי_שנאמר וזבחת פסח לה' אלהיך צאן ובקר ,וזבחת פסח לה' אלקיך צאן ובקר והלא אין פסח בא אלא מן הכבשים ומן העזים ,ref-sifra
3521,ref-mek.1.5.2.123-ref-mek.1.5.2.151,ref-sifra.4.06-00.11.13-ref-sifra.4.06-00.11.27,14370,14522,2300,2324,ref-mek.00001.00005.00002.00123,ref-mek.00001.00005.00002.00151,193675,193749,28021,28035,ref-sifra.00004.06-00.00011.00013,ref-sifra.00004.06-00.00011.00027,וזבחת פסח לה' אלהיך צאן ובקר צאן לפסח ובשר לחגיגה ר'_עקיבא_אומר כתוב_אחד_אומר וזבחת פסח לה' אלהיך צאן ובקר וכתוב אחר אומר מן הכשבים ומן העזים ,וזבחת פסח לה' אלקיך צאן ובקר והלא אין פסח בא אלא מן הכבשים ומן העזים ,ref-sifra
3522,ref-mek.1.6.1.161-ref-mek.1.6.1.172,ref-sifra.10.08-13.17.13-ref-sifra.10.08-13.17.20,15908,15964,2552,2563,ref-mek.00001.00006.00001.00161,ref-mek.00001.00006.00001.00172,482033,482069,73395,73402,ref-sifra.00010.08-13.00017.00013,ref-sifra.00010.08-13.00017.00020,גן נעול אחותי כלה גן נעול אלו הזכרים גל נעול מעין חתום ,גן נעול אחותי כלה גל נעול מעין חתום ,ref-sifra
