,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
5522,ref-mek.1.1.1.174-ref-mek.1.1.1.184,ref-t.5.8.4.15.14-ref-t.5.8.4.15.23,852,916,126,136,ref-mek.00001.00001.00001.00174,ref-mek.00001.00001.00001.00184,1244880,1244938,196288,196297,ref-t.00005.00008.00004.00015.00014,ref-t.00005.00008.00004.00015.00023,ביום עשות ה' אלהים ארץ ושמים מגיד ששניהם שקולים כאחד זה בזה ,ביום עשות ייי אלים ארץ ושמים מלמד ששניהם שקולין זה בזה ,ref-t
5523,ref-mek.1.1.1.347-ref-mek.1.1.1.355,ref-t.5.1.13.20.40-ref-t.5.1.13.20.59,1768,1816,260,268,ref-mek.00001.00001.00001.00347,ref-mek.00001.00001.00001.00355,1069411,1069510,168752,168771,ref-t.00005.00001.00013.00020.00040,ref-t.00005.00001.00013.00020.00059,שנאמר כי בחר ה' בציון ואומר זאת מנוחתי עדי עד ,או' נחלה זו שילו מנוחה זו ירושלם שנ' כי בחר ייי בציון אוה למושב לו וגו' ואו' זאת מנוחתי עדי עד ,ref-t
5524,ref-mek.1.1.1.760-ref-mek.1.1.1.766,ref-t.3.5.6.10.95-ref-t.3.5.6.10.100,3908,3940,640,646,ref-mek.00001.00001.00001.00760,ref-mek.00001.00001.00001.00766,648656,648685,102234,102239,ref-t.00003.00005.00006.00010.00095,ref-t.00003.00005.00006.00010.00100,שנאמר ויהי דבר ה' אל יונה שנית ,שנאמר ויהי דבר ה' אלי בשנה ,ref-t
5525,ref-mek.1.2.1.180-ref-mek.1.2.1.185,ref-t.2.12.1.6.34-ref-t.2.12.1.6.40,7538,7573,1259,1264,ref-mek.00001.00002.00001.00180,ref-mek.00001.00002.00001.00185,497006,497048,77480,77486,ref-t.00002.00012.00001.00006.00034,ref-t.00002.00012.00001.00006.00040,חג המצות וחג השבועות וחג הסכות ,בחג המצות בא בחג השבועות ובחג הסוכות ,ref-t
5526,ref-mek.1.2.1.283-ref-mek.1.2.1.321,ref-t.2.6.2.6.69-ref-t.2.6.2.6.98,8120,8344,1356,1391,ref-mek.00001.00002.00001.00283,ref-mek.00001.00002.00001.00321,417937,418109,65228,65255,ref-t.00002.00006.00002.00006.00069,ref-t.00002.00006.00002.00006.00098,וכשהחמה לוקה סימן רע לגויים שהם מונים לחמה וכשהלבנה לוקה סימן רע לשונאיהם של ישראל שהם מונים ללבנה ר' אומר כשהחמה לוקה במזרח סימן רע ליושבי מזרח במערב סימן רע ליושבי מערב ר'_יוסי_אומר כשהמזלות לוקים במזרח סימן ,שחמה לוקה סימן רע לאומות העולם לבנה לוקה סימן רע לשונאיהם של ישראל מפני שהגוים מונין לחמה וישראל מונין ללבנה בזמן שלוקה במזרח סימן רע ליושבי מזרח במערב סימן רע ,ref-t
5527,ref-mek.1.2.1.284-ref-mek.1.2.1.298,ref-t.2.6.2.6.42-ref-t.2.6.2.6.49,8129,8213,1357,1370,ref-mek.00001.00002.00001.00284,ref-mek.00001.00002.00001.00298,417792,417834,65203,65209,ref-t.00002.00006.00002.00006.00042,ref-t.00002.00006.00002.00006.00049,לוקה סימן רע לגויים שהם מונים לחמה וכשהלבנה לוקה סימן רע לשונאיהם של ישראל שהם ,לוקין סימן רע לשונאיהן של ישראל מפני שהן ,ref-t
5528,ref-mek.1.4.2.11-ref-mek.1.4.2.27,ref-t.2.3.4.5.75-ref-t.2.3.4.5.85,11282,11373,1841,1853,ref-mek.00001.00004.00002.00011,ref-mek.00001.00004.00002.00027,347356,347414,54022,54032,ref-t.00002.00003.00004.00005.00075,ref-t.00002.00003.00004.00005.00085,"כשר ללקיחה ארבעה עשר מנין_אמרת_קל_וחומר_ומה עשירי שאינו כשר לשחיטה כשר ללקיחה י""ד שהוא ",כשר הוא לשם אחרים יכשרו אחרים לשמו בארבעה עשר שאינו כשר ,ref-t
5529,ref-mek.1.4.3.9-ref-mek.1.4.3.16,ref-t.2.3.7.3.29-ref-t.2.3.7.3.37,11980,12025,1954,1961,ref-mek.00001.00004.00003.00009,ref-mek.00001.00004.00003.00016,358664,358711,55767,55775,ref-t.00002.00003.00007.00003.00029,ref-t.00002.00003.00007.00003.00037,שלעולם נמנין על הפסח ומושכים ידיהם ממנו עד ,לעולם על הפסח עד שישחט ומושכין ידיהן ממנו עד ,ref-t
5530,ref-mek.1.4.3.163-ref-mek.1.4.3.181,ref-t.2.3.7.12.34-ref-t.2.3.7.12.51,12788,12900,2072,2088,ref-mek.00001.00004.00003.00163,ref-mek.00001.00004.00003.00181,361139,361235,56160,56175,ref-t.00002.00003.00007.00012.00034,ref-t.00002.00003.00007.00012.00051,החולה ואת הקטן שאינן יכולין לאכול כזית תלמוד_לומר_איש לפי אכלו יצאו החולה והקטן שאינן יכולין לאכול כזית ,כזית חולה בשעת זריקה ויכול לוכל כזית חלום בשעת שחיטה ואין יכול לוכל כזית הרי_זה_אינו אוכל ,ref-t
5531,ref-mek.1.4.3.211-ref-mek.1.4.3.217,ref-t.2.3.7.3.30-ref-t.2.3.7.3.37,13047,13081,2110,2115,ref-mek.00001.00004.00003.00211,ref-mek.00001.00004.00003.00217,358670,358711,55768,55775,ref-t.00002.00003.00007.00003.00030,ref-t.00002.00003.00007.00003.00037,על הפסח ומושכים את ידיהם ממנו עד ,על הפסח עד שישחט ומושכין ידיהן ממנו עד ,ref-t
