,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
6958,ref-sifra.1.4.4-ref-sifra.1.4.26,ref-m.4.2.3.12.35-ref-m.4.2.3.12.43,907,1015,141,161,ref-sifra.00001.00004.00004,ref-sifra.00001.00004.00026,466841,466880,72869,72876,ref-m.00004.00002.00003.00012.00035,ref-m.00004.00002.00003.00012.00043,נאמ' בשומר חנם אם לא שלח ידו במלאכת רעהו ונא' בשומ' שכר אם לא שלח ידו במלאכת רעהו מה בשומר הנם שנאמ' בו ,בו יד שנאמר אם לא שלח ידו במלאכת רעהו ,ref-m
6959,ref-sifra.1.14.48-ref-sifra.1.14.53,ref-m.6.3.14.9.26-ref-m.6.3.14.9.31,3657,3691,616,621,ref-sifra.00001.00014.00048,ref-sifra.00001.00014.00053,918151,918175,143047,143052,ref-m.00006.00003.00014.00009.00026,ref-m.00006.00003.00014.00009.00031,בבוהן יד ובבוהן רגל ובאזן ימנית ,בהן יד בהן רגל אזן ימנית ,ref-m
6960,ref-sifra.1.16.12-ref-sifra.1.16.39,ref-m.6.3.12.7.7-ref-m.6.3.12.7.17,4119,4260,701,724,ref-sifra.00001.00016.00012,ref-sifra.00001.00016.00039,913437,913488,142256,142264,ref-m.00006.00003.00012.00007.00007,ref-m.00006.00003.00012.00007.00017,בית שיש בו אבנים ועצים ועפר מטמא יכל אף בית שאין אבנים ועצים ועפר שמטמא תלמוד לומר ונתץ את הבית את אבניו ואת עציו ואת כל עפר הבית ,ונתץ את הבית את אבניו ואת עציו ואת כל עפר הבית ,ref-m
6961,ref-sifra.1.16.15-ref-sifra.1.16.29,ref-m.6.3.13.3.42-ref-m.6.3.13.3.47,4131,4214,703,716,ref-sifra.00001.00016.00015,ref-sifra.00001.00016.00029,914457,914492,142430,142435,ref-m.00006.00003.00013.00003.00042,ref-m.00006.00003.00013.00003.00047,אבנים ועצים ועפר מטמא יכל אף בית שאין אבנים ועצים ועפר שמטמא תלמוד לומר ונתץ ,ניתץ עמו אבניו ועציו ועפרו מטמאין ,ref-m
6962,ref-sifra.2.02-00.1.67-ref-sifra.2.02-00.1.78,ref-m.5.2.9.9.2-ref-m.5.2.9.9.18,11146,11229,1762,1773,ref-sifra.00002.02-00.00001.00067,ref-sifra.00002.02-00.00001.00078,673851,673967,104908,104924,ref-m.00005.00002.00009.00009.00002,ref-m.00005.00002.00009.00009.00018,סמיכה ונתמעטה תנופה שהסמיכה נוהגת בכל החוברים ואין התנופה נוהגת בכל החוברים ,בסמיכה מבתנופה ובתנופה מבסמיכה שאחד מניף לכל החברים ואין אחד סומך לכל החברים וחומר בתנופה שהתנופה נוהגת ,ref-m
6963,ref-sifra.2.02-00.2.71-ref-sifra.2.02-00.3.1,ref-m.2.7.2.4.6-ref-m.2.7.2.5.6,11780,11830,1856,1865,ref-sifra.00002.02-00.00002.00071,ref-sifra.00002.02-00.00003.00001,243047,243158,37655,37668,ref-m.00002.00007.00002.00004.00006,ref-m.00002.00007.00002.00005.00006,שאין סומכים על העולות כך לא יסמכו על השלמים אדם ,ואין סומכין עליהן אבל לא עולות ובית_הלל_אומרים מביאין שלמים ועולות וסומכין עליהם בית_שמאי_אומרים_לא יחם אדם ,ref-m
6964,ref-sifra.2.02-00.7.15-ref-sifra.2.02-00.7.24,ref-m.5.1.8.1.16-ref-m.5.1.8.1.34,13649,13704,2135,2143,ref-sifra.00002.02-00.00007.00015,ref-sifra.00002.02-00.00007.00024,640894,640991,99779,99791,ref-m.00005.00001.00008.00001.00016,ref-m.00005.00001.00008.00001.00034,נעבדה בו עבירה פסול מעל גבי מזבח הרובע והנרבע שנעבדה ,שנעבדה בו עבירה או שהמית את האדם על_פי_עד_אחד או_על_פי הבעלים ברובע ובנרבע ובמוקצה ובנעבד ,ref-m
6965,ref-sifra.2.02-00.8.52-ref-sifra.2.02-00.8.73,ref-m.6.4.9.3.7-ref-m.6.4.9.3.21,14047,14168,2202,2220,ref-sifra.00002.02-00.00008.00052,ref-sifra.00002.02-00.00008.00073,932872,932950,145397,145411,ref-m.00006.00004.00009.00003.00007,ref-m.00006.00004.00009.00003.00021,שאין יעידת שני עדים פוסלתו מן האכילה יעידת עד אחד פוסלתו מן ההקרבה רובע ונרבע שיעידת שני עדים פוסלתו מן האכילה אינו ,כל העופות פוסלין חוץ מן היונה מפני שהיא מוצצת כל השרצים אינם פוסלין חוץ מן ,ref-m
6966,ref-sifra.2.02-00.9.41-ref-sifra.2.02-00.9.53,ref-m.4.8.3.5.13-ref-m.4.8.3.5.26,14581,14647,2277,2289,ref-sifra.00002.02-00.00009.00041,ref-sifra.00002.02-00.00009.00053,591621,591695,91869,91879,ref-m.00004.00008.00003.00005.00013,ref-m.00004.00008.00003.00005.00026,לא תחמד כסף וזהב עליה ואני אקיימנו לא תחמד כסף וזהב עליה ולקחת ,לא תחמוד כסף וזהב עליהם ולקחת רבי_יוסי_הגלילי_אומר אלהיהם על ההרים ולא ,ref-m
6967,ref-sifra.2.03-00.1.13-ref-sifra.2.03-00.1.24,ref-m.5.11.1.1.28-ref-m.5.11.1.1.41,17808,17869,2723,2730,ref-sifra.00002.03-00.00001.00013,ref-sifra.00002.03-00.00001.00024,797142,797223,124370,124381,ref-m.00005.00011.00001.00001.00028,ref-m.00005.00011.00001.00001.00041,בעולת נדבה עולת חובה מנין_ודין_הוא_נאמר_הבא עולת נדבה ונאמר ,עולה בנדרים ונדבות כולן עולות איזהו נדר האומר_הרי_עלי עולה ואיזהו נדבה האומר ,ref-m
