,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
12184,ref-sifra.1.2.10-ref-sifra.1.2.21,ref-t.4.4.7.11.13-ref-t.4.4.7.11.24,68,135,9,20,ref-sifra.00001.00002.00010,ref-sifra.00001.00002.00021,910195,910263,143991,144002,ref-t.00004.00004.00007.00011.00013,ref-t.00004.00004.00007.00011.00024,מבנין אב מכתוב אחד מבנין אב משני כתובים מכלל ופרט מפרט וכלל ,ובניין אב וכתב אחד ובניין אב ושני כתובין וכלל ופרט ופרט וכלל ,ref-t
12185,ref-sifra.1.2.18-ref-sifra.1.2.45,ref-t.4.6.1.7.86-ref-t.4.6.1.7.105,112,256,17,38,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00045,950379,950475,150317,150335,ref-t.00004.00006.00001.00007.00086,ref-t.00004.00006.00001.00007.00105,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא צריך לפרט ומפרט שהוא צריך לכלל כל_דבר_שהיה_בכלל_ויצא_מן הכלל ,כלל ופרט וכלל אי אתה דן אלא כעין הפרט כשהוא אומ' לכל טומאתו אשר יטמא בה והוא וכלל אם כלל ,ref-t
12186,ref-sifra.1.2.18-ref-sifra.1.2.30,ref-t.4.6.1.7.111-ref-t.4.6.1.7.119,112,179,17,28,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00030,950502,950543,150341,150348,ref-t.00004.00006.00001.00007.00111,ref-t.00004.00006.00001.00007.00119,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט ,כלל ופרט וכלל אי אתה דן אלא כעין הפרט ,ref-t
12187,ref-sifra.1.9.22-ref-sifra.1.9.36,ref-t.4.6.1.7.96-ref-t.4.6.1.7.124,1908,1979,324,337,ref-sifra.00001.00009.00022,ref-sifra.00001.00009.00036,950428,950566,150326,150353,ref-t.00004.00006.00001.00007.00096,ref-t.00004.00006.00001.00007.00124,וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך מה הפרט מפורש ,אומ' לכל טומאתו אשר יטמא בה והוא וכלל אם כלל כלל הראשון אמרת ליו אלא כלל ופרט וכלל אי אתה דן אלא כעין הפרט לומר לך מה הפרט מפורש ,ref-t
12188,ref-sifra.1.9.22-ref-sifra.1.9.31,ref-t.4.6.1.7.86-ref-t.4.6.1.7.94,1908,1956,324,332,ref-sifra.00001.00009.00022,ref-sifra.00001.00009.00031,950379,950420,150317,150324,ref-t.00004.00006.00001.00007.00086,ref-t.00004.00006.00001.00007.00094,וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט ,כלל ופרט וכלל אי אתה דן אלא כעין הפרט ,ref-t
12189,ref-sifra.1.11.21-ref-sifra.1.11.26,ref-t.2.3.8.9.93-ref-t.2.3.8.9.98,2430,2462,417,422,ref-sifra.00001.00011.00021,ref-sifra.00001.00011.00026,365197,365229,56767,56772,ref-t.00002.00003.00008.00009.00093,ref-t.00002.00003.00008.00009.00098,והנפש אשר תאכל בשר מזבח השלמים ,והנפש אשר תאכל בשר מזבח השלמים ,ref-t
12190,ref-sifra.1.16.15-ref-sifra.1.16.29,ref-t.6.5.7.2.34-ref-t.6.5.7.2.39,4131,4214,703,716,ref-sifra.00001.00016.00015,ref-sifra.00001.00016.00029,1392138,1392172,218764,218769,ref-t.00006.00005.00007.00002.00034,ref-t.00006.00005.00007.00002.00039,אבנים ועצים ועפר מטמא יכל אף בית שאין אבנים ועצים ועפר שמטמא תלמוד לומר ונתץ ,ניתץ עמו אבניו עציו ועפריו מטמאין ,ref-t
12191,ref-sifra.1.17.80-ref-sifra.1.17.107,ref-t.4.4.7.11.20-ref-t.4.4.7.11.39,4732,4880,805,829,ref-sifra.00001.00017.00080,ref-sifra.00001.00017.00107,910233,910344,143998,144015,ref-t.00004.00004.00007.00011.00020,ref-t.00004.00004.00007.00011.00039,שבע מדות לפני זקני בתירה קל וחומר וגזרה שוה ושני כתובים וכלל ופרט וכיוצא בו במקום אחר ודבר למד מענינו אלו שבע מדות שדרש הלל הזקן לפני זקני ,כתובין וכלל ופרט ופרט וכלל וכיוצא בו ממקום אחר דבר הלמד מעניינו אילו שבע מדות שדרש הלל הזקן לפני זקני ,ref-t
12192,ref-sifra.1.17.79-ref-sifra.1.17.91,ref-t.4.4.7.11.3-ref-t.4.4.7.11.21,4728,4796,804,815,ref-sifra.00001.00017.00079,ref-sifra.00001.00017.00091,910143,910245,143982,143999,ref-t.00004.00004.00007.00011.00003,ref-t.00004.00004.00007.00011.00021,דרש שבע מדות לפני זקני בתירה קל וחומר וגזרה שוה ושני כתובים וכלל ,דרש הלל הזקן לפני זקני פתורה קל וחומר וגזירה שוה ובניין אב וכתב אחד ובניין אב ושני כתובין וכלל ,ref-t
12193,ref-sifra.1.17.101-ref-sifra.1.17.107,ref-t.4.4.7.11.1-ref-t.4.4.7.11.7,4846,4880,823,829,ref-sifra.00001.00017.00101,ref-sifra.00001.00017.00107,910132,910166,143980,143986,ref-t.00004.00004.00007.00011.00001,ref-t.00004.00004.00007.00011.00007,שבע מדות שדרש הלל הזקן לפני זקני ,שבעה דברים דרש הלל הזקן לפני זקני ,ref-t
12194,ref-sifra.2.01-01.1.2-ref-sifra.2.01-01.2.11,ref-t.4.9.1.7.67-ref-t.4.9.1.7.83,5378,5592,917,944,ref-sifra.00002.01-01.00001.00002,ref-sifra.00002.01-01.00002.00011,1009619,1009700,159764,159780,ref-t.00004.00009.00001.00007.00067,ref-t.00004.00009.00001.00007.00083,וידבר הקדים_קריאה_לדיבור הלא_דין_הוא נאמר כאן דיבור' ונאמר בסנה דיבור מה דיבור האמור בסנה הקדים_קריאה_לדיבור אף דיבור האמור כאן הקדים_קריאה_לדיבור לא_אם_אמרת בדיבור הסנה שהוא תחלה לדברות תאמר בדיבור אהל ,דבר נאמ' כאן דבר ונאמר להלן דבר מה דבר האמור להלן מקצתו ולא כולו אף דבר האמור ,ref-t
12195,ref-sifra.2.01-01.1.2-ref-sifra.2.01-01.2.11,ref-t.4.9.1.7.129-ref-t.4.9.1.7.142,5378,5592,917,944,ref-sifra.00002.01-01.00001.00002,ref-sifra.00002.01-01.00002.00011,1009908,1009972,159825,159838,ref-t.00004.00009.00001.00007.00129,ref-t.00004.00009.00001.00007.00142,וידבר הקדים_קריאה_לדיבור הלא_דין_הוא נאמר כאן דיבור' ונאמר בסנה דיבור מה דיבור האמור בסנה הקדים_קריאה_לדיבור אף דיבור האמור כאן הקדים_קריאה_לדיבור לא_אם_אמרת בדיבור הסנה שהוא תחלה לדברות תאמר בדיבור אהל ,ולהלן נאמ' דבר מה דבר אמור להלן מקצתו לא כולו אף דבר האמור כאן ,ref-t
12196,ref-sifra.2.01-01.12.1-ref-sifra.2.01-01.12.23,ref-t.1.1.1.14.37-ref-t.1.1.1.14.58,7133,7244,1179,1199,ref-sifra.00002.01-01.00012.00001,ref-sifra.00002.01-01.00012.00023,4124,4231,680,700,ref-t.00001.00001.00001.00014.00037,ref-t.00001.00001.00001.00014.00058,משה משה אברהם אברהם יעקב יעקב שמואל שמואל לשון חיבה לשון זירוז דבר אחר הוא משה עד שלא נדבר עמו הוא משה משנדבר ,משה משה אברהם אברהם יעקב יעקב שמואל שמואל כולן לשון חיבה לשון זירוז הן הן עד שלא נדבר עמהן והן הן משנדבר ,ref-t
12197,ref-sifra.2.01-01.12.15-ref-sifra.2.01-01.12.23,ref-t.1.1.1.14.17-ref-t.1.1.1.14.25,7204,7244,1192,1199,ref-sifra.00002.01-01.00012.00015,ref-sifra.00002.01-01.00012.00023,4016,4061,662,669,ref-t.00001.00001.00001.00014.00017,ref-t.00001.00001.00001.00014.00025,הוא משה עד שלא נדבר עמו הוא משה משנדבר ,הוא אברם עד שלא נדבר עמו והוא אברהם משנדבר ,ref-t
