,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
3832,ref-sifre-d.1.3.47-ref-sifre-d.1.3.59,ref-mek.3.1.1.629-ref-mek.3.1.1.641,671,728,110,122,ref-sifre-d.00001.00003.00047,ref-sifre-d.00001.00003.00059,136988,137045,22073,22085,ref-mek.00003.00001.00001.00629,ref-mek.00003.00001.00001.00641,שאלו נא וראו אם יולד זכר מדוע ראיתי כל גבר ידיו על חלציו ,שאלו נא וראו אם יולד זכר מדוע ראיתי כל גבר ידיו על חלציו ,ref-mek
3833,ref-sifre-d.1.9.32-ref-sifre-d.1.9.38,ref-mek.2.1.1.22-ref-mek.2.1.1.28,2136,2184,351,357,ref-sifre-d.00001.00009.00032,ref-sifre-d.00001.00009.00038,83064,83098,13043,13049,ref-mek.00002.00001.00001.00022,ref-mek.00002.00001.00001.00028,ואתם שנאתם אותי ותשלחוני מאתכם ואומר וישלחם ,אשלח הוא שאמר אנכי אשלח אתכם ואת ,ref-mek
3834,ref-sifre-d.1.11.37-ref-sifre-d.1.11.43,ref-mek.4.2.4.1-ref-mek.4.2.4.7,2453,2487,399,404,ref-sifre-d.00001.00011.00037,ref-sifre-d.00001.00011.00043,185908,185944,30353,30358,ref-mek.00004.00002.00004.00001,ref-mek.00004.00002.00004.00007,ויאמרו להם בני ישראל מי יתן מותנו ,ויאמרו אליהם בני ישראל מי יתן מותנו ,ref-mek
3835,ref-sifre-d.1.20.15-ref-sifre-d.1.20.21,ref-mek.6.4.4.43-ref-mek.6.4.4.49,4648,4678,770,776,ref-sifre-d.00001.00020.00015,ref-sifre-d.00001.00020.00021,251293,251323,41269,41275,ref-mek.00006.00004.00004.00043,ref-mek.00006.00004.00004.00049,כי לה' עין אדם וכל שבטי ישראל ,כי לה' עין אדם וכל שבטי ישראל ,ref-mek
3836,ref-sifre-d.2.2.46-ref-sifre-d.2.2.60,ref-mek.1.6.1.355-ref-mek.1.6.1.362,6460,6536,1077,1090,ref-sifre-d.00002.00002.00046,ref-sifre-d.00002.00002.00060,16941,16984,2726,2733,ref-mek.00001.00006.00001.00355,ref-mek.00001.00006.00001.00362,שנאמר וארון ברית ה' נוסע לפניהם דרך ג' ימים לתור להם מנוחה ואין מנוחה אלא ,שנאמר לעברך בברית ה' אלהיך ואין ברית אלא ,ref-mek
3837,ref-sifre-d.2.3.110-ref-sifre-d.2.4.6,ref-mek.3.2.1.582-ref-mek.3.2.1.589,7469,7518,1251,1259,ref-sifre-d.00002.00003.00110,ref-sifre-d.00002.00004.00006,143277,143320,23132,23139,ref-mek.00003.00002.00001.00582,ref-mek.00003.00002.00001.00589,"שהשנה י""ב חודש ד""א ויהי בארבעים שנה בעשתי עשר ",לשנים עשר חדש שנאמר ויהי מקץ ארבעים שנה ,ref-mek
3838,ref-sifre-d.2.5.28-ref-sifre-d.2.5.34,ref-mek.2.1.1.22-ref-mek.2.1.1.28,8140,8188,1354,1360,ref-sifre-d.00002.00005.00028,ref-sifre-d.00002.00005.00034,83064,83098,13043,13049,ref-mek.00002.00001.00001.00022,ref-mek.00002.00001.00001.00028,ואתם שנאתם אותי ותשלחוני מאתכם ואומר וישלחם ,אשלח הוא שאמר אנכי אשלח אתכם ואת ,ref-mek
3839,ref-sifre-d.4.1.30-ref-sifre-d.4.1.45,ref-mek.5.3.3.78-ref-mek.5.3.3.90,9868,9951,1632,1645,ref-sifre-d.00004.00001.00030,ref-sifre-d.00004.00001.00045,222400,222465,36424,36435,ref-mek.00005.00003.00003.00078,ref-mek.00005.00003.00003.00090,אין הואלה אלא שבועה שנאמר ויואל משה לשבת את האיש ואומר ויואל שאול את העם לאמר ,ויואל משה אין אלה אלא לשון שבועה שנאמר ויואל שאול את העם לאמר ,ref-mek
3840,ref-sifre-d.5.2.18-ref-sifre-d.5.2.28,ref-mek.5.4.7.84-ref-mek.5.4.7.92,10327,10385,1711,1721,ref-sifre-d.00005.00002.00018,ref-sifre-d.00005.00002.00028,230653,230699,37808,37816,ref-mek.00005.00004.00007.00084,ref-mek.00005.00004.00007.00092,עליכם ע' זקנים ושרי אלפים ושרי מאות ושרי נ' ושרי עשרות ,עליהם שרי אלפים שרי מאות שרי חמשים ושרי עשרות ,ref-mek
3841,ref-sifre-d.6.2.28-ref-sifre-d.6.2.38,ref-mek.3.6.1.612-ref-mek.3.6.1.618,10872,10932,1811,1821,ref-sifre-d.00006.00002.00028,ref-sifre-d.00006.00002.00038,159924,159966,25969,25975,ref-mek.00003.00006.00001.00612,ref-mek.00003.00006.00001.00618,הארז ואומר החוח אשר בלבנון שלח אל הארז אשר בלבנון לאמר ,בארזים שנאמר הנה אשור ארז בלבנון ואומר ,ref-mek
3842,ref-sifre-d.6.2.53-ref-sifre-d.6.2.63,ref-mek.5.2.1.698-ref-mek.5.2.1.707,11007,11062,1834,1843,ref-sifre-d.00006.00002.00053,ref-sifre-d.00006.00002.00063,214273,214322,35060,35068,ref-mek.00005.00002.00001.00698,ref-mek.00005.00002.00001.00707,ואין לבנון אלא בית המקדש שנא' גלעד אתה לי ראש הלבנון ,ואין גלעד אלא בית המקדש גלעד אתה לי ראש הלבנון ,ref-mek
3843,ref-sifre-d.8.1.17-ref-sifre-d.8.1.25,ref-mek.3.4.1.68-ref-mek.3.4.1.72,11927,11971,1994,2002,ref-sifre-d.00008.00001.00017,ref-sifre-d.00008.00001.00025,150048,150076,24282,24286,ref-mek.00003.00004.00001.00068,ref-mek.00003.00004.00001.00072,נאמר חבקוק ג עריה תעור קשתך שבועות מטות אומר ,שנאמר עריה תעיר קשתך ואומר ,ref-mek
3844,ref-sifre-d.8.1.104-ref-sifre-d.8.1.113,ref-mek.2.3.2.135-ref-mek.2.3.2.143,12376,12432,2076,2085,ref-sifre-d.00008.00001.00104,ref-sifre-d.00008.00001.00113,103596,103644,16448,16456,ref-mek.00002.00003.00002.00135,ref-mek.00002.00003.00002.00143,ויטע אשל בבאר שבע עמד יצחק והשביחה שנאמר ויזרע יצחק ,ויטע אשל בבאר שבע וגו' ביצחק מהו אומר ויצחק ,ref-mek
3845,ref-sifre-d.9.1.28-ref-sifre-d.9.1.42,ref-mek.4.6.1.17-ref-mek.4.6.1.30,12948,13024,2174,2185,ref-sifre-d.00009.00001.00028,ref-sifre-d.00009.00001.00042,196806,196884,32127,32139,ref-mek.00004.00006.00001.00017,ref-mek.00004.00006.00001.00030,משה לדון את ישראל אדם שהוציאם ממצרים וקרע להם את הים והוריד להם את המן ,משה אמור להם לישראל הוצאתי אתכם ממצרים וקרעתי לכם את הים והורדתי לכם המן ,ref-mek
3846,ref-sifre-d.9.1.31-ref-sifre-d.9.1.48,ref-mek.6.5.1.54-ref-mek.6.5.1.70,12960,13055,2176,2190,ref-sifre-d.00009.00001.00031,ref-sifre-d.00009.00001.00048,252680,252767,41511,41527,ref-mek.00006.00005.00001.00054,ref-mek.00006.00005.00001.00070,ישראל אדם שהוציאם ממצרים וקרע להם את הים והוריד להם את המן והגיז להם את השליו ועשה להם ,הוציא ישראל ממצרים קרע להם הים הוריד להם המן העלה להם הבאר הגיז להם השליו עשה להם ,ref-mek
3847,ref-sifre-d.15.4.13-ref-sifre-d.15.4.21,ref-mek.5.4.7.85-ref-mek.5.4.7.92,18037,18079,3043,3050,ref-sifre-d.00015.00004.00013,ref-sifre-d.00015.00004.00021,230659,230699,37809,37816,ref-mek.00005.00004.00007.00085,ref-mek.00005.00004.00007.00092,שר משרי מאות וכמו כן שרי חמשים שרי עשרות ,שרי אלפים שרי מאות שרי חמשים ושרי עשרות ,ref-mek
3848,ref-sifre-d.15.4.13-ref-sifre-d.15.4.21,ref-mek.5.4.7.93-ref-mek.5.4.7.104,18037,18079,3043,3050,ref-sifre-d.00015.00004.00013,ref-sifre-d.00015.00004.00021,230700,230755,37817,37827,ref-mek.00005.00004.00007.00093,ref-mek.00005.00004.00007.00104,שר משרי מאות וכמו כן שרי חמשים שרי עשרות ,שרי אלפים שש מאות שרי מאות ששת אלפים שרי חמשים שנים עשר ,ref-mek
3849,ref-sifre-d.16.1.46-ref-sifre-d.16.1.51,ref-mek.1.7.2.96-ref-mek.1.7.2.101,18409,18448,3100,3105,ref-sifre-d.00016.00001.00046,ref-sifre-d.00016.00001.00051,21225,21264,3396,3401,ref-mek.00001.00007.00002.00096,ref-mek.00001.00007.00002.00101,והעמידו תלמידים הרבה ועשו סייג לתורה ,והעמידו תלמידים הרבה ועשו סייג לתורה ,ref-mek
3850,ref-sifre-d.16.3.130-ref-sifre-d.16.3.135,ref-mek.1.7.2.96-ref-mek.1.7.2.101,19227,19266,3222,3227,ref-sifre-d.00016.00003.00130,ref-sifre-d.00016.00003.00135,21225,21264,3396,3401,ref-mek.00001.00007.00002.00096,ref-mek.00001.00007.00002.00101,והעמידו תלמידים הרבה ועשו סייג לתורה ,והעמידו תלמידים הרבה ועשו סייג לתורה ,ref-mek
3851,ref-sifre-d.16.7.1-ref-sifre-d.16.7.19,ref-mek.6.11.2.308-ref-mek.6.11.2.317,19745,19834,3314,3330,ref-sifre-d.00016.00007.00001,ref-sifre-d.00016.00007.00019,283623,283671,46404,46413,ref-mek.00006.00011.00002.00308,ref-mek.00006.00011.00002.00317,בין איש ובין אחיו ובין גרו אין_לי_אלא בין איש לאשתו בין אשה לאיש בין אומה למשפחה בין ,בין איש לאשתו בין עיר לעיר בין אומה לאומה בין ,ref-mek
3852,ref-sifre-d.26.7.57-ref-sifre-d.26.7.66,ref-mek.2.3.2.197-ref-mek.2.3.2.210,29034,29079,4883,4892,ref-sifre-d.00026.00007.00057,ref-sifre-d.00026.00007.00066,103928,103994,16510,16523,ref-mek.00002.00003.00002.00197,ref-mek.00002.00003.00002.00210,ואתה אל תשא בעדם רנה פגיעה מנין ואל תפגע בי ,ואתה אל תתפלל בעד העם הזה ואל תשא בעדם רנה ותפלה ואל תפגע בי ,ref-mek
3853,ref-sifre-d.26.7.70-ref-sifre-d.26.7.73,ref-mek.4.1.4.88-ref-mek.4.1.4.91,29094,29118,4896,4899,ref-sifre-d.00026.00007.00070,ref-sifre-d.00026.00007.00073,181152,181176,29559,29562,ref-mek.00004.00001.00004.00088,ref-mek.00004.00001.00004.00091,ואתנפל לפני ה' כראשונה ,ואתנפל לפני ה' כראשונה ,ref-mek
3854,ref-sifre-d.26.7.95-ref-sifre-d.26.7.100,ref-mek.5.2.1.171-ref-mek.5.2.1.177,29233,29260,4921,4926,ref-sifre-d.00026.00007.00095,ref-sifre-d.00026.00007.00100,211556,211593,34614,34620,ref-mek.00005.00002.00001.00171,ref-mek.00005.00002.00001.00177,משה חנון מנין ואתחנן אל ה' ,משה עומד ומתחנן שנאמר ואתחנן אל ה' ,ref-mek
3855,ref-sifre-d.26.9.71-ref-sifre-d.26.9.76,ref-mek.4.7.4.1-ref-mek.4.7.4.5,29874,29903,5034,5039,ref-sifre-d.00026.00009.00071,ref-sifre-d.00026.00009.00076,201990,202013,33005,33009,ref-mek.00004.00007.00004.00001,ref-mek.00004.00007.00004.00005,ויצעק משה אל ה' לאמר הודיעני ,ויצעק משה אל ה' להודיע ,ref-mek
3856,ref-sifre-d.26.9.71-ref-sifre-d.26.9.75,ref-mek.4.7.4.21-ref-mek.4.7.4.25,29874,29895,5034,5038,ref-sifre-d.00026.00009.00071,ref-sifre-d.00026.00009.00075,202088,202109,33024,33028,ref-mek.00004.00007.00004.00021,ref-mek.00004.00007.00004.00025,ויצעק משה אל ה' לאמר ,ויצעק משה אל ה' לאמר ,ref-mek
