,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
5216,ref-sifre-d.1.8.14-ref-sifre-d.1.8.66,ref-sifra.11.02-04.9.1-ref-sifra.11.02-04.9.66,1624,1906,269,313,ref-sifre-d.00001.00008.00014,ref-sifre-d.00001.00008.00066,495101,495433,75465,75516,ref-sifra.00011.02-04.00009.00001,ref-sifra.00011.02-04.00009.00066,אמר רבי טרפון העבודה אם יש בדור הזה מי שיכול לקבל תוכחה אמר רבי עקיבא העבודה אם יש בדור הזה יודע היאך מוכיחים אמר ר' יוחנן מעידני עלי שמים וארץ שיותר מחמשה פעמים נתקנתר עלי רבי עקיבא לפני רבן גמליאל ביבנה שהייתי קובלני עליו והיה מקנתרו ויודע אני בו שהיה מוסיף בי אהבה ,אמר ר' טרפון העבודה אם יש בדור הזה יכול להוכיח אמר ר'_אלעזר_בן_עזריה העבודה אם יש בדור הזה יכול לקבל תוכחת אמר_ר'_עקיבא העבודה אם יש בדור הזה יודע האיך מוכיחים אמר ר'_יוחנן_בן_נורי מעידני עלי שמים וארץ שיותר מארבעה וחמשה פעמים לקה עקיבא על ידי לפני רבן גמליאל שהייתי קובל לו עליו וכל כך הייתי יודע שהיה מוסיף לי אהבה ,ref-sifra
5217,ref-sifre-d.1.9.32-ref-sifre-d.1.9.41,ref-sifra.11.04-12.17.1-ref-sifra.11.04-12.17.11,2136,2202,351,360,ref-sifre-d.00001.00009.00032,ref-sifre-d.00001.00009.00041,527994,528050,80534,80543,ref-sifra.00011.04-12.00017.00001,ref-sifra.00011.04-12.00017.00011,ואתם שנאתם אותי ותשלחוני מאתכם ואומר וישלחם יצחק וילכו מאתו ,ואומר לכם אתם תירשו את אדמתם אתם נאים יורשים אותם שאתם ,ref-sifra
5218,ref-sifre-d.1.18.136-ref-sifre-d.1.18.140,ref-sifra.7.03-05.2.4-ref-sifra.7.03-05.2.9,4252,4273,708,712,ref-sifre-d.00001.00018.00136,ref-sifre-d.00001.00018.00140,336101,336126,50193,50198,ref-sifra.00007.03-05.00002.00004,ref-sifra.00007.03-05.00002.00009,ב' בים וב' במים וב' ,ב' ימים ב' ימים לביתו ב' ,ref-sifra
5219,ref-sifre-d.2.3.72-ref-sifre-d.2.3.88,ref-sifra.5.1.31.129-ref-sifra.5.1.31.144,7255,7344,1215,1230,ref-sifre-d.00002.00003.00072,ref-sifre-d.00002.00003.00088,248229,248322,36472,36487,ref-sifra.00005.00001.00031.00129,ref-sifra.00005.00001.00031.00144,"היום ומה ת""ל היום היום מלאו ימי שנותי מעת לעת ר' אומר היום מלאו שבאותו היום שלמו ",כימי עולם כימי משה כימי משה וכשנים קדמוניות קדמוניות כימי שלמה רבי אומר כימי עולם כימי ,ref-sifra
5220,ref-sifre-d.2.5.28-ref-sifre-d.2.5.37,ref-sifra.11.04-12.17.1-ref-sifra.11.04-12.17.11,8140,8206,1354,1363,ref-sifre-d.00002.00005.00028,ref-sifre-d.00002.00005.00037,527994,528050,80534,80543,ref-sifra.00011.04-12.00017.00001,ref-sifra.00011.04-12.00017.00011,ואתם שנאתם אותי ותשלחוני מאתכם ואומר וישלחם יצחק וילכו מאתו ,ואומר לכם אתם תירשו את אדמתם אתם נאים יורשים אותם שאתם ,ref-sifra
5221,ref-sifre-d.2.8.16-ref-sifre-d.2.8.20,ref-sifra.10.04-05.8.15-ref-sifra.10.04-05.8.19,8730,8772,1445,1449,ref-sifre-d.00002.00008.00016,ref-sifre-d.00002.00008.00020,446532,446574,68014,68018,ref-sifra.00010.04-05.00008.00015,ref-sifra.00010.04-05.00008.00019,שבתורה הקלות והחמורות הזדונות והשגגות ,שבתורה הקלות והחמורות הזדונות והשגגות ,ref-sifra
5222,ref-sifre-d.9.2.99-ref-sifre-d.9.2.128,ref-sifra.11.01-03.7.52-ref-sifra.11.01-03.7.86,13643,13777,2295,2320,ref-sifre-d.00009.00002.00099,ref-sifre-d.00009.00002.00128,490846,491007,74760,74791,ref-sifra.00011.01-03.00007.00052,ref-sifra.00011.01-03.00007.00086,אתה אינו כך אלא חייבתי ממון נפשות אתה תובע וכן_הוא_אומר_אל תגזל דל כי דל הוא ואל תדכא עני בשער כי ה' יריב ריבם וקבע את קובעיהם נפש ,אני איני גובה מכם אלא נפשות שנאמר אני איני גובה מכם אלא נפשות שנאמר אל תגזל דל כי דל הוא ואל תדכא עני בשער וכן_הוא_אומר כי ה' יריב ריבם וקבע את קובעיהם נפש ,ref-sifra
5223,ref-sifre-d.11.1.1-ref-sifre-d.11.1.8,ref-sifra.5.1.15.97-ref-sifra.5.1.15.104,14538,14579,2444,2451,ref-sifre-d.00011.00001.00001,ref-sifre-d.00011.00001.00008,241798,241838,35445,35452,ref-sifra.00005.00001.00015.00097,ref-sifra.00005.00001.00015.00104,ה' אלהי אבותיכם יוסיף עליכם ככם אלף פעמים ,ה' אלקי אבותיכם יוסף עליכם ככם אלף פעמים ,ref-sifra
5224,ref-sifre-d.11.1.81-ref-sifre-d.11.1.97,ref-sifra.8.01-00.12.15-ref-sifra.8.01-00.12.24,14964,15037,2515,2529,ref-sifre-d.00011.00001.00081,ref-sifre-d.00011.00001.00097,367999,368044,55467,55476,ref-sifra.00008.01-00.00012.00015,ref-sifra.00008.01-00.00012.00024,לי אבא בידך עמד ונתן לו משלו כדי פרנסתו אמר לו כל מה שנתתי לך לא נתתי ,תן לי סנדלי ונתתי לו פשט ידו לחלון ונתן לי ,ref-sifra
5225,ref-sifre-d.11.1.115-ref-sifre-d.11.1.121,ref-sifra.5.1.15.97-ref-sifra.5.1.15.104,15111,15145,2542,2548,ref-sifre-d.00011.00001.00115,ref-sifre-d.00011.00001.00121,241798,241838,35445,35452,ref-sifra.00005.00001.00015.00097,ref-sifra.00005.00001.00015.00104,ה' אלהיכם יוסף עליכם ככם אלף פעמים ,ה' אלקי אבותיכם יוסף עליכם ככם אלף פעמים ,ref-sifra
