,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
6844,ref-sifre-d.2.1.24-ref-sifre-d.2.1.29,ref-sifre-n.82.1.1-ref-sifre-n.82.1.9,5977,6007,990,995,ref-sifre-d.00002.00001.00024,ref-sifre-d.00002.00001.00029,110250,110292,16768,16775,ref-sifre-n.00082.00001.00001,ref-sifre-n.00082.00001.00009,שלשה ימים שנאמר ויסעו מהר ה' ,ויסעו מהר ה' שלשת ימים אפשר לומר כבר נאמר ,ref-sifre-n
6845,ref-sifre-d.2.2.46-ref-sifre-d.2.2.51,ref-sifre-n.82.1.118-ref-sifre-n.82.1.129,6460,6493,1077,1082,ref-sifre-d.00002.00002.00046,ref-sifre-d.00002.00002.00051,110851,110910,16873,16884,ref-sifre-n.00082.00001.00118,ref-sifre-n.00082.00001.00129,שנאמר וארון ברית ה' נוסע לפניהם ,או' וארון ברית יי' נוסע לפניהם למה נאמר אלא וארון ברית ה' ,ref-sifre-n
6846,ref-sifre-d.2.2.47-ref-sifre-d.2.2.51,ref-sifre-n.82.1.67-ref-sifre-n.82.1.71,6467,6493,1078,1082,ref-sifre-d.00002.00002.00047,ref-sifre-d.00002.00002.00051,110587,110613,16825,16829,ref-sifre-n.00082.00001.00067,ref-sifre-n.00082.00001.00071,וארון ברית ה' נוסע לפניהם ,וארון ברית ה' נוסע לפניהם ,ref-sifre-n
6847,ref-sifre-d.2.2.47-ref-sifre-d.2.2.51,ref-sifre-n.82.1.91-ref-sifre-n.82.1.95,6467,6493,1078,1082,ref-sifre-d.00002.00002.00047,ref-sifre-d.00002.00002.00051,110716,110742,16848,16852,ref-sifre-n.00082.00001.00091,ref-sifre-n.00082.00001.00095,וארון ברית ה' נוסע לפניהם ,וארון ברית ה' נוסע לפניהם ,ref-sifre-n
6848,ref-sifre-d.2.3.63-ref-sifre-d.2.3.68,ref-sifre-n.141.3.75-ref-sifre-n.141.3.80,7212,7237,1207,1212,ref-sifre-d.00002.00003.00063,ref-sifre-d.00002.00003.00068,252429,252454,40183,40188,ref-sifre-n.00141.00003.00075,ref-sifre-n.00141.00003.00080,בן מאה וכ' שנה אנכי היום ,בן מאה וכ' שנה אנכי היום ,ref-sifre-n
6849,ref-sifre-d.9.1.33-ref-sifre-d.9.1.50,ref-sifre-n.78.3.85-ref-sifre-n.78.3.90,12970,13069,2178,2192,ref-sifre-d.00009.00001.00033,ref-sifre-d.00009.00001.00050,107719,107760,16312,16317,ref-sifre-n.00078.00003.00085,ref-sifre-n.00078.00003.00090,שהוציאם ממצרים וקרע להם את הים והוריד להם את המן והגיז להם את השליו ועשה להם נסים וגבורות ,שהוציאנו ממצרים ועשה לנו נסים וגבורות ,ref-sifre-n
6850,ref-sifre-d.11.1.1-ref-sifre-d.11.1.9,ref-sifre-n.84.5.70-ref-sifre-n.84.5.78,14538,14587,2444,2452,ref-sifre-d.00011.00001.00001,ref-sifre-d.00011.00001.00009,117079,117128,17889,17897,ref-sifre-n.00084.00005.00070,ref-sifre-n.00084.00005.00078,ה' אלהי אבותיכם יוסיף עליכם ככם אלף פעמים אמרו לו ,ה' אלהי אבותיכם יוסיף עליהם ככה אלף פעמים אמרו לו ,ref-sifre-n
6851,ref-sifre-d.11.1.33-ref-sifre-d.11.1.37,ref-sifre-n.84.5.87-ref-sifre-n.84.5.100,14710,14740,2470,2474,ref-sifre-d.00011.00001.00033,ref-sifre-d.00011.00001.00037,117168,117240,17904,17915,ref-sifre-n.00084.00005.00087,ref-sifre-n.00084.00005.00100,ואתה נותן קצבה לברכותינו משל ,ואתה נותן קצבה לברכותינו אמר להם אני בשר ודם יש קצבה לברכותי זו משלי ,ref-sifre-n
6852,ref-sifre-d.11.1.115-ref-sifre-d.11.1.121,ref-sifre-n.84.5.70-ref-sifre-n.84.5.77,15111,15145,2542,2548,ref-sifre-d.00011.00001.00115,ref-sifre-d.00011.00001.00121,117079,117120,17889,17896,ref-sifre-n.00084.00005.00070,ref-sifre-n.00084.00005.00077,ה' אלהיכם יוסף עליכם ככם אלף פעמים ,ה' אלהי אבותיכם יוסיף עליהם ככה אלף פעמים ,ref-sifre-n
6853,ref-sifre-d.11.1.122-ref-sifre-d.11.1.138,ref-sifre-n.84.5.99-ref-sifre-n.84.5.115,15146,15237,2549,2565,ref-sifre-d.00011.00001.00122,ref-sifre-d.00011.00001.00138,117233,117322,17914,17930,ref-sifre-n.00084.00005.00099,ref-sifre-n.00084.00005.00115,זו משלי יש לכם ויברך אתכם כאשר דבר לכם כחול ימים וכצמחי אדמה וכדגי הים וככוכבי השמים ,זו משלי אבל הוא יברך אתכם כאשר דבר לכם כחול ימים וכצמחי אדמה וכדגי הים וכוכבי השמים ,ref-sifre-n
