,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
0,ref-sifre-n.1.2.41-ref-sifre-n.1.2.49,ref-b.5.02.86a.304-ref-b.5.02.86a.312,448,486,49,54,ref-sifre-n.00001.00002.00041,ref-sifre-n.00001.00002.00049,7401962,7402000,1077493,1077498,ref-b.00005.00002.0086a.00304,ref-b.00005.00002.0086a.00312,צו_את_בני_ישראל ויקחו אליך שמן זית זך ,צו_את_בני_ישראל ויקחו אליך שמן זית זך ,ref-b
1,ref-sifre-n.1.2.45-ref-sifre-n.1.2.49,ref-b.1.01.57a.298-ref-b.1.01.57a.302,464,486,50,54,ref-sifre-n.00001.00002.00045,ref-sifre-n.00001.00002.00049,294402,294424,43562,43566,ref-b.00001.00001.0057a.00298,ref-b.00001.00001.0057a.00302,ויקחו אליך שמן זית זך ,ויקחו אליך שמן זית זך ,ref-b
2,ref-sifre-n.1.2.109-ref-sifre-n.1.2.115,ref-b.3.07.29a.234-ref-b.3.07.29a.240,819,859,93,98,ref-sifre-n.00001.00002.00109,ref-sifre-n.00001.00002.00115,4352373,4352414,633636,633641,ref-b.00003.00007.0029a.00234,ref-b.00003.00007.0029a.00240,זירוז שנא' וצו את יהושע וחזקהו ואמצהו ,זירוז דכתיב וצו את יהושע וחזקהו ואמצהו ,ref-b
3,ref-sifre-n.1.2.139-ref-sifre-n.1.2.148,ref-b.1.01.57a.297-ref-b.1.01.57a.302,985,1030,116,122,ref-sifre-n.00001.00002.00139,ref-sifre-n.00001.00002.00148,294395,294424,43561,43566,ref-b.00001.00001.0057a.00297,ref-b.00001.00001.0057a.00302,שנאמר צו_את_בני_ישראל ויקחו אליך שמן זית זך ,שנאמר ויקחו אליך שמן זית זך ,ref-b
4,ref-sifre-n.1.2.140-ref-sifre-n.1.2.148,ref-b.5.02.86a.304-ref-b.5.02.86a.312,992,1030,117,122,ref-sifre-n.00001.00002.00140,ref-sifre-n.00001.00002.00148,7401962,7402000,1077493,1077498,ref-b.00005.00002.0086a.00304,ref-b.00005.00002.0086a.00312,צו_את_בני_ישראל ויקחו אליך שמן זית זך ,צו_את_בני_ישראל ויקחו אליך שמן זית זך ,ref-b
5,ref-sifre-n.1.2.210-ref-sifre-n.1.2.216,ref-b.4.04.56b.63-ref-b.4.04.56b.70,1330,1364,167,173,ref-sifre-n.00001.00002.00210,ref-sifre-n.00001.00002.00216,6009315,6009350,874198,874205,ref-b.00004.00004.0056b.00063,ref-b.00004.00004.0056b.00070,ויצו ה' אלהים על האדם וגו' ומעץ ,ויצו ה' אלהים על האדם לאמר מכל עץ ,ref-b
6,ref-sifre-n.1.2.210-ref-sifre-n.1.2.214,ref-b.4.04.56b.472-ref-b.4.04.56b.476,1330,1352,167,171,ref-sifre-n.00001.00002.00210,ref-sifre-n.00001.00002.00214,6011340,6011362,874475,874479,ref-b.00004.00004.0056b.00472,ref-b.00004.00004.0056b.00476,ויצו ה' אלהים על האדם ,ויצו ה' אלהים על האדם ,ref-b
7,ref-sifre-n.1.4.18-ref-sifre-n.1.4.23,ref-b.5.05.16b.28-ref-b.5.05.16b.35,1900,1934,247,252,ref-sifre-n.00001.00004.00018,ref-sifre-n.00001.00004.00023,8159058,8159102,1186010,1186017,ref-b.00005.00005.0016b.00028,ref-b.00005.00005.0016b.00035,במצורע בדד ישב מחוץ למחנה מושבו ,מצורע שאמרה תורה בדד ישב מחוץ למחנה מושבו ,ref-b
8,ref-sifre-n.1.4.19-ref-sifre-n.1.4.25,ref-b.1.01.25a.298-ref-b.1.01.25a.304,1908,1944,248,254,ref-sifre-n.00001.00004.00019,ref-sifre-n.00001.00004.00025,125679,125715,18554,18560,ref-b.00001.00001.0025a.00298,ref-b.00001.00001.0025a.00304,בדד ישב מחוץ למחנה מושבו מצורע היה ,בדד ישב מחוץ למחנה מושבו הכא והיה ,ref-b
9,ref-sifre-n.1.4.19-ref-sifre-n.1.4.23,ref-b.2.04.67a.151-ref-b.2.04.67a.155,1908,1934,248,252,ref-sifre-n.00001.00004.00019,ref-sifre-n.00001.00004.00023,1443830,1443856,209034,209038,ref-b.00002.00004.0067a.00151,ref-b.00002.00004.0067a.00155,בדד ישב מחוץ למחנה מושבו ,בדד ישב מחוץ למחנה מושבו ,ref-b
