,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
1702,ref-sifre-n.1.2.45-ref-sifre-n.1.2.49,ref-bible.0102.27.20.6-ref-bible.0102.27.20.10,464,486,50,54,ref-sifre-n.00001.00002.00045,ref-sifre-n.00001.00002.00049,160030,160052,28127,28131,ref-bible.00102.00027.00020.00006,ref-bible.00102.00027.00020.00010,ויקחו אליך שמן זית זך ,ויקחו אליך שמן זית זך ,ref-bible
1703,ref-sifre-n.1.2.45-ref-sifre-n.1.2.49,ref-bible.0103.24.2.5-ref-bible.0103.24.2.9,464,486,50,54,ref-sifre-n.00001.00002.00045,ref-sifre-n.00001.00002.00049,242016,242038,41631,41635,ref-bible.00103.00024.00002.00005,ref-bible.00103.00024.00002.00009,ויקחו אליך שמן זית זך ,ויקחו אליך שמן זית זך ,ref-bible
1704,ref-sifre-n.1.2.144-ref-sifre-n.1.2.148,ref-bible.0102.27.20.6-ref-bible.0102.27.20.10,1008,1030,118,122,ref-sifre-n.00001.00002.00144,ref-sifre-n.00001.00002.00148,160030,160052,28127,28131,ref-bible.00102.00027.00020.00006,ref-bible.00102.00027.00020.00010,ויקחו אליך שמן זית זך ,ויקחו אליך שמן זית זך ,ref-bible
1705,ref-sifre-n.1.2.144-ref-sifre-n.1.2.148,ref-bible.0103.24.2.5-ref-bible.0103.24.2.9,1008,1030,118,122,ref-sifre-n.00001.00002.00144,ref-sifre-n.00001.00002.00148,242016,242038,41631,41635,ref-bible.00103.00024.00002.00005,ref-bible.00103.00024.00002.00009,ויקחו אליך שמן זית זך ,ויקחו אליך שמן זית זך ,ref-bible
1706,ref-sifre-n.1.2.210-ref-sifre-n.1.2.222,ref-bible.0101.2.16.1-ref-bible.0101.2.17.7,1330,1392,167,179,ref-sifre-n.00001.00002.00210,ref-sifre-n.00001.00002.00222,3289,3374,552,569,ref-bible.00101.00002.00016.00001,ref-bible.00101.00002.00017.00007,ויצו ה' אלהים על האדם וגו' ומעץ הדעת טוב ורע לא תאכל ממנו ,ויצו יהוה אלהים על האדם לאמר מכל עץ הגן אכל תאכל ומעץ הדעת טוב ורע לא תאכל ממנו ,ref-bible
1707,ref-sifre-n.1.3.75-ref-sifre-n.1.4.10,ref-bible.0104.5.2.8-ref-bible.0104.5.2.14,1763,1861,224,241,ref-sifre-n.00001.00003.00075,ref-sifre-n.00001.00004.00010,264328,264358,45075,45081,ref-bible.00104.00005.00002.00008,ref-bible.00104.00005.00002.00014,כל צרוע וכל זב אלא בא הכתוב ליתן להם את המחיצות וישלחו_מן_המחנה כל צרוע וכל זב וכל טמא לנפש ,כל צרוע וכל זב וכל טמא לנפש ,ref-bible
1708,ref-sifre-n.1.4.19-ref-sifre-n.1.4.25,ref-bible.0103.13.46.9-ref-bible.0103.13.47.3,1908,1944,248,254,ref-sifre-n.00001.00004.00019,ref-sifre-n.00001.00004.00025,217419,217460,37513,37520,ref-bible.00103.00013.00046.00009,ref-bible.00103.00013.00047.00003,בדד ישב מחוץ למחנה מושבו מצורע היה ,בדד ישב מחוץ למחנה מושבו והבגד כי יהיה ,ref-bible
1709,ref-sifre-n.1.4.53-ref-sifre-n.1.4.88,ref-bible.0103.5.2.19-ref-bible.0103.5.3.9,2095,2265,282,316,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00088,198223,198295,34336,34350,ref-bible.00103.00005.00002.00019,ref-bible.00103.00005.00003.00009,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם ,טמא ונעלם ממנו והוא טמא ואשם או כי יגע בטמאת אדם לכל טמאתו אשר יטמא ,ref-bible
1710,ref-sifre-n.1.5.237-ref-sifre-n.1.5.242,ref-bible.0103.22.5.4-ref-bible.0103.22.6.3,3529,3569,473,478,ref-sifre-n.00001.00005.00237,ref-sifre-n.00001.00005.00242,237029,237098,40879,40894,ref-bible.00103.00022.00005.00004,ref-bible.00103.00022.00006.00003,ואדם מטמא בנגעים וכלים מטמאים בנגעים ,יגע בכל שרץ אשר יטמא לו או באדם אשר יטמא לו לכל טמאתו נפש אשר תגע ,ref-bible
1711,ref-sifre-n.1.7.65-ref-sifre-n.1.7.73,ref-bible.0104.5.3.12-ref-bible.0104.5.4.4,4555,4600,638,645,ref-sifre-n.00001.00007.00065,ref-sifre-n.00001.00007.00073,264414,264458,45090,45095,ref-bible.00104.00005.00003.00012,ref-bible.00104.00005.00004.00004,מחנה שכינה אשר אני שוכן בתוכם חביבים הם ישראל ,מחניהם אשר אני שכן בתוכם ויעשו_כן_בני ישראל ,ref-bible
