,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
3189,ref-sifre-n.1.4.53-ref-sifre-n.1.4.91,ref-m.6.1.1.4.25-ref-m.6.1.1.5.7,2095,2283,282,319,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00091,802610,802704,125257,125272,ref-m.00006.00001.00001.00004.00025,ref-m.00006.00001.00001.00005.00007,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל שמחוסר כפורים ,חמור מכולם המת שהוא מטמא באהל מה שאין כולם מטמאין עשר טומאות פורשות מן האדם מחוסר כפורים ,ref-m
3190,ref-sifre-n.1.4.53-ref-sifre-n.1.4.89,ref-m.6.5.2.1.30-ref-m.6.5.2.1.45,2095,2268,282,317,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00089,942685,942757,146939,146953,ref-m.00006.00005.00002.00001.00030,ref-m.00006.00005.00002.00001.00045,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל ,טמא אין בו כביצה הוא טמא והכל טהור חזר לקדרה הכל טמא היתה מגע טמא מת ,ref-m
3191,ref-sifre-n.1.4.73-ref-sifre-n.1.4.84,ref-m.6.10.2.8.17-ref-m.6.10.3.1.10,2194,2245,302,313,ref-sifre-n.00001.00004.00073,ref-sifre-n.00001.00004.00084,1017350,1017564,158493,158526,ref-m.00006.00010.00002.00008.00017,ref-m.00006.00010.00003.00001.00010,אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת ,הטומאה וטמא באהל המת הפנימי מלמטה והחיצון מלמעלן טמא באב הטומאה וטמא באהל המת הפנימי מלמעלן והחיצון מלמטן טהור באב הטומאה וטמא באוהל המת כל ידות האוכלים שהם חבור באב הטומאה חבור בטבול יום ,ref-m
3192,ref-sifre-n.1.7.87-ref-sifre-n.1.7.96,ref-m.3.5.6.4.19-ref-m.3.5.6.4.32,4664,4715,655,663,ref-sifre-n.00001.00007.00087,ref-sifre-n.00001.00007.00096,394782,394858,61493,61505,ref-m.00003.00005.00006.00004.00019,ref-m.00003.00005.00006.00004.00032,טומאתם ואומר ולא יטמאו את מחניהם א אומר ולא תטמא ,נטמאת ושנים אומרים לא נטמאת היתה שותה שנים אומרים נטמאת ואחד אומר לא נטמאת ,ref-m
3193,ref-sifre-n.2.1.32-ref-sifre-n.2.1.39,ref-m.4.1.9.7.34-ref-m.4.1.9.7.41,5460,5494,784,791,ref-sifre-n.00002.00001.00032,ref-sifre-n.00002.00001.00039,455552,455587,71029,71036,ref-m.00004.00001.00009.00007.00034,ref-m.00004.00001.00009.00007.00041,או מצא אבדה וכחש בה ונשבע על שקר ,או מצא אבידה וכחש בה ונשבע על שקר ,ref-m
3194,ref-sifre-n.2.1.66-ref-sifre-n.2.1.76,ref-m.4.1.9.11.1-ref-m.4.1.9.11.14,5618,5681,809,819,ref-sifre-n.00002.00001.00066,ref-sifre-n.00002.00001.00076,456118,456190,71115,71126,ref-m.00004.00001.00009.00011.00001,ref-m.00004.00001.00009.00011.00014,גוזל הגר ונשבע לו ומת שישלם קרן וחומש לכהנים ואשם למזבח ,הגוזל את הגר ונשבע לו ומת הרי זה משלם קרן וחמש לכהנים ואשם למזבח ,ref-m
3195,ref-sifre-n.2.1.367-ref-sifre-n.2.1.380,ref-m.4.2.1.6.11-ref-m.4.2.1.6.23,7132,7210,1046,1057,ref-sifre-n.00002.00001.00367,ref-sifre-n.00002.00001.00380,460161,460229,71791,71801,ref-m.00004.00002.00001.00006.00011,ref-m.00004.00002.00001.00006.00023,שאין בית דין נפרעים ממנו שיהיה נדון בנפשות שהוא נדון בנפשו בית דין נפרעים ,שבית דין נפרעין מהן אין בהן אחריות נכסים יחזיר שאין בית דין נפרעין ,ref-m
3196,ref-sifre-n.4.1.19-ref-sifre-n.4.1.72,ref-m.4.1.9.11.4-ref-m.4.1.9.11.24,8306,8581,1229,1260,ref-sifre-n.00004.00001.00019,ref-sifre-n.00004.00001.00072,456133,456247,71117,71135,ref-m.00004.00001.00009.00011.00004,ref-m.00004.00001.00009.00011.00024,ואם אין לאיש גואל בא_הכתוב_ולימד_על הגוזל הגר ונשבע לו ומת שישלם קרן וחומש לכהנים ואשם למזבח ר'_נתן_אומר ואם אין לאיש גואל אין_לי_אלא איש אשה מנין_תלמוד_לומר להשיב האשם אליו אבא_חנן_אומר_משום_ר'_אליעזר בנגזל הכתוב_מדבר_או_אינו_מדבר_אלא בגוזל תלמוד לומר להשיב ,ונשבע לו ומת הרי זה משלם קרן וחמש לכהנים ואשם למזבח שנאמר ואם אין לאיש גואל להשיב האשם אליו האשם המושב ,ref-m
3197,ref-sifre-n.4.1.77-ref-sifre-n.4.1.88,ref-m.2.4.6.6.61-ref-m.2.4.6.6.70,8603,8668,1265,1273,ref-sifre-n.00004.00001.00077,ref-sifre-n.00004.00001.00088,209567,209623,32339,32348,ref-m.00002.00004.00006.00006.00061,ref-m.00002.00004.00006.00006.00070,הכתוב מדבר אשם המושב לה' לכהן בכסף הכתוב_מדבר_אתה_אומר בכסף ,כתובים קיימים אשם לה' ואשם לכהנים ואומר כסף אשם וכסף ,ref-m
3198,ref-sifre-n.4.1.98-ref-sifre-n.4.1.114,ref-m.4.1.9.11.15-ref-m.4.1.9.11.39,8716,8798,1278,1291,ref-sifre-n.00004.00001.00098,ref-sifre-n.00004.00001.00114,456191,456320,71127,71149,ref-m.00004.00001.00009.00011.00015,ref-m.00004.00001.00009.00011.00039,מלבד איל הכפורים אשר יכפר בו עליו הרי אשם אמור הא_מה_תלמוד_לומר האשם המושב לה' ,שנאמר ואם אין לאיש גואל להשיב האשם אליו האשם המושב לה לכהן מלבד איל הכפורים אשר יכפר בו עליו היה מעלה את הכסף ואת האשם ,ref-m
