,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
2539,ref-sifre-n.1.4.25-ref-sifre-n.1.4.33,ref-mek.1.18.2.108-ref-mek.1.18.2.116,1941,1982,254,262,ref-sifre-n.00001.00004.00025,ref-sifre-n.00001.00004.00033,70903,70941,11096,11104,ref-mek.00001.00018.00002.00108,ref-mek.00001.00018.00002.00116,היה בכלל ויצא מן הכלל ולמד על הכלל מה ,היה בכלל יצא מן הכלל ללמד על הכלל מה ,ref-mek
2540,ref-sifre-n.1.4.25-ref-sifre-n.1.4.33,ref-mek.1.9.1.175-ref-mek.1.9.1.184,1941,1982,254,262,ref-sifre-n.00001.00004.00025,ref-sifre-n.00001.00004.00033,29939,29984,4714,4723,ref-mek.00001.00009.00001.00175,ref-mek.00001.00009.00001.00184,היה בכלל ויצא מן הכלל ולמד על הכלל מה ,בכלל היה ויצא מוצא מן הכלל ללמד על הכלל מה ,ref-mek
2541,ref-sifre-n.1.4.25-ref-sifre-n.1.4.30,ref-mek.7.15.3.31-ref-mek.7.15.3.36,1941,1970,254,259,ref-sifre-n.00001.00004.00025,ref-sifre-n.00001.00004.00030,343219,343249,55502,55507,ref-mek.00007.00015.00003.00031,ref-mek.00007.00015.00003.00036,היה בכלל ויצא מן הכלל ולמד ,בכלל היית ויצאת מן הכלל ללמד ,ref-mek
2542,ref-sifre-n.1.5.191-ref-sifre-n.1.5.199,ref-mek.7.9.1.236-ref-mek.7.9.1.244,3302,3361,451,456,ref-sifre-n.00001.00005.00191,ref-sifre-n.00001.00005.00199,319307,319366,51786,51791,ref-mek.00007.00009.00001.00236,ref-mek.00007.00009.00001.00244,אין_לי_אלא שיכול להשתלח שאינו יכול להשתלח מנין_תלמוד_לומר ,אין_לי_אלא שיכול להשתלח שאינו יכול להשתלח מנין_תלמוד_לומר ,ref-mek
2543,ref-sifre-n.1.5.194-ref-sifre-n.1.5.199,ref-mek.7.9.2.87-ref-mek.7.9.2.92,3313,3361,452,456,ref-sifre-n.00001.00005.00194,ref-sifre-n.00001.00005.00199,320039,320087,51894,51898,ref-mek.00007.00009.00002.00087,ref-mek.00007.00009.00002.00092,שיכול להשתלח שאינו יכול להשתלח מנין_תלמוד_לומר ,שיכול להשתלח שאינו יכול להשתלח מנין_תלמוד_לומר ,ref-mek
2544,ref-sifre-n.1.8.5-ref-sifre-n.1.8.14,ref-mek.1.13.4.24-ref-mek.1.13.4.32,5195,5242,745,753,ref-sifre-n.00001.00008.00005,ref-sifre-n.00001.00008.00014,47150,47198,7296,7304,ref-mek.00001.00013.00004.00024,ref-mek.00001.00013.00004.00032,הודיע שבחן של ישראל שכשם שאמר להם משה כן עשו ,להודיעך שבחן שכשם שאמרו להם משה ואהרן כן עשו ,ref-mek
2545,ref-sifre-n.2.1.110-ref-sifre-n.2.1.130,ref-mek.7.11.3.64-ref-mek.7.11.3.69,5839,5927,848,860,ref-sifre-n.00002.00001.00110,ref-sifre-n.00002.00001.00130,329123,329146,53240,53245,ref-mek.00007.00011.00003.00064,ref-mek.00007.00011.00003.00069,איש או אישה ר'_יאשיה_אומר איש_או_אשה למה_נאמר_לפי_שהוא_אומר וכי יפתח איש בור או כי יכרה ,יפתח איש או כי יכרה איש ,ref-mek
2546,ref-sifre-n.2.1.124-ref-sifre-n.2.1.175,ref-mek.7.6.1.79-ref-mek.7.6.1.124,5899,6148,854,890,ref-sifre-n.00002.00001.00124,ref-sifre-n.00002.00001.00175,309563,309790,50322,50350,ref-mek.00007.00006.00001.00079,ref-mek.00007.00006.00001.00124,וכי יפתח איש בור או כי יכרה איש בור אין_לי_אלא איש אשה מנין_תלמוד_לומר איש_או_אשה להשוות אשה לאיש לכל חטאת ונזקין שבתורה ר'_יונתן_אומר_אין_צריך שכבר נאמר בעל הבור ישלם ואומר שלם ישלם המבעיר את הבערה מה_תלמוד_לומר איש_או_אשה לתלמודו הוא בא ,כי יפתח איש בור אין_לי_אלא_איש_אשה מנין_תלמוד_לומר איש ואשה השוה הכתוב אשה לאיש לכל הניזקין שבתורה ר'_יונתן_אומר_אינו_צריך_והלא_כבר_נאמר בעל הבור ישלם שלם ישלם המבעיר את הבערה הא_מה_תלמוד_לומר איש ואשה לתלמודו הוא בא ,ref-mek
2547,ref-sifre-n.2.1.147-ref-sifre-n.2.1.166,ref-mek.7.14.2.195-ref-mek.7.14.2.229,5999,6107,871,885,ref-sifre-n.00002.00001.00147,ref-sifre-n.00002.00001.00166,339836,340023,54967,54987,ref-mek.00007.00014.00002.00195,ref-mek.00007.00014.00002.00229,לכל חטאת ונזקין שבתורה ר'_יונתן_אומר_אין_צריך שכבר נאמר בעל הבור ישלם ואומר שלם ישלם המבעיר את הבערה ,ישלם המבעיר את הבערה למה_נאמר_לפי_שנאמר אי אין_לי_אלא_איש_אשה וטומטום ואנדרוגינס מנין_תלמוד_לומר שלם ישלם המבעיר את הבערה מכל מקום אין_לי_אלא המבעה וההבער שאר כל המזיקין שבתורה ,ref-mek
2548,ref-sifre-n.2.1.258-ref-sifre-n.2.1.273,ref-mek.7.11.1.7-ref-mek.7.11.1.21,6572,6648,961,966,ref-sifre-n.00002.00001.00258,ref-sifre-n.00002.00001.00273,327464,327544,53007,53013,ref-mek.00007.00011.00001.00007,ref-mek.00007.00011.00001.00021,"למה_נאמר_לפי_שהוא_אומר איש_או_אשה אין_לי_אלא איש_או_אשה טו""א מנין_תלמוד_לומר ",למה_נאמר_לפי_שהוא_אומר והמית איש_או_אשה אין_לי_אלא גדולים קטנים מנין_תלמוד_לומר ,ref-mek
2549,ref-sifre-n.2.1.334-ref-sifre-n.2.1.343,ref-mek.6.7.1.27-ref-mek.6.7.1.35,6963,7011,1019,1028,ref-sifre-n.00002.00001.00334,ref-sifre-n.00002.00001.00343,262427,262468,43084,43092,ref-mek.00006.00007.00001.00027,ref-mek.00006.00007.00001.00035,ההיא או כשם שפטורים מן האשם כך יהיו פטורים מן ,כשם שהיא פטורה מן הקרבן כך תהא פטורה מן ,ref-mek
2550,ref-sifre-n.2.1.371-ref-sifre-n.2.1.388,ref-mek.7.13.3.276-ref-mek.7.13.3.288,7153,7258,1049,1064,ref-sifre-n.00002.00001.00371,ref-sifre-n.00002.00001.00388,337267,337337,54560,54570,ref-mek.00007.00013.00003.00276,ref-mek.00007.00013.00003.00288,ממנו שיהיה נדון בנפשות שהוא נדון בנפשו בית דין נפרעים ממנו תלמוד לומר ואשמה הנפש ההוא ואשמה הנפש ,מהם הגונב בן חורין שנדון בנפשו גונב נפש בני אדם שהוא מתחייב בנפשו ,ref-mek
2551,ref-sifre-n.5.1.150-ref-sifre-n.5.1.159,ref-mek.8.4.7.20-ref-mek.8.4.7.31,10930,10975,1601,1608,ref-sifre-n.00005.00001.00150,ref-sifre-n.00005.00001.00159,376704,376766,60819,60827,ref-mek.00008.00004.00007.00020,ref-mek.00008.00004.00007.00031,בכורי אדמתך תביא בית ה' אלהיך אבל לא שמענו מה ,ביכורים משקין מנין_תלמוד_לומר תביא בית ה' אלהיך מכל מקום ומה ,ref-mek
2552,ref-sifre-n.6.1.302-ref-sifre-n.6.1.330,ref-mek.1.9.1.529-ref-mek.1.9.1.558,12598,12735,1856,1884,ref-sifre-n.00006.00001.00302,ref-sifre-n.00006.00001.00330,31771,31921,4978,5005,ref-mek.00001.00009.00001.00529,ref-mek.00001.00009.00001.00558,דבר מדבר ואדון דבר מדבר אלמד דבר מדבר ששוה בג' דרכים מדבר ששוה בג' דרכים ואל אלמד דבר השוה בג' דרכים מדבר שלא שוה אלא בדרך א' או בב' ,דבר מדבר ואדון דבר מדבר אמור דבר שהוא שוה בד' דרכים מדבר ששוה בד' דרכים ואל אלמוד דבר שהוא שוה בארבעה דרכים מדבר שאינו שוה לא בדרך אחד ולא בב' ,ref-mek
2553,ref-sifre-n.7.1.88-ref-sifre-n.7.1.102,ref-mek.7.17.1.206-ref-mek.7.17.1.220,14036,14123,2060,2074,ref-sifre-n.00007.00001.00088,ref-sifre-n.00007.00001.00102,349741,349828,56542,56555,ref-mek.00007.00017.00001.00206,ref-mek.00007.00017.00001.00220,"לו כי תשטה אשתו בראויה לאישות הכתוב מדבר להוציא אלמנה לכ""ג גרושה וחלוצה לכהן הדיוט ",לו לאשה בראויה לו לאשה הכתוב מדבר להוציא אלמנה לכהן גדול גרושה וחלוצה לכהן הדיוט ,ref-mek
2554,ref-sifre-n.8.1.385-ref-sifre-n.8.1.408,ref-mek.4.4.3.169-ref-mek.4.4.3.183,19448,19562,2897,2917,ref-sifre-n.00008.00001.00385,ref-sifre-n.00008.00001.00408,192661,192731,31435,31449,ref-mek.00004.00004.00003.00169,ref-mek.00004.00004.00003.00183,וכי איזה מדה מרובה מדת טובה או מדת פורענות הוי אומר מדת טובה אם_מדת_פורענות מעטה הרי היא מזכרת עון מדה טובה מרובה ,וכי אי זו מדה מרובה טובה או רעה הוי אומר מדה טובה מרובה ממדת פורענות ,ref-mek
2555,ref-sifre-n.8.1.392-ref-sifre-n.8.1.408,ref-mek.1.8.1.459-ref-mek.1.8.1.468,19480,19562,2904,2917,ref-sifre-n.00008.00001.00392,ref-sifre-n.00008.00001.00408,26403,26458,4200,4209,ref-mek.00001.00008.00001.00459,ref-mek.00001.00008.00001.00468,מדת פורענות הוי אומר מדת טובה אם_מדת_פורענות מעטה הרי היא מזכרת עון מדה טובה מרובה ,"מדת פורענות מעוטה אמר הקב""ה לעשות ועשה מדה טובה מרובה ",ref-mek
2556,ref-sifre-n.10.1.196-ref-sifre-n.10.1.205,ref-mek.1.18.4.282-ref-mek.1.18.4.294,21749,21797,3269,3278,ref-sifre-n.00010.00001.00196,ref-sifre-n.00010.00001.00205,77183,77253,12040,12052,ref-mek.00001.00018.00004.00282,ref-mek.00001.00018.00004.00294,נאמר כאן עפר ונאמר להלן עפר מה עפר האמורה להלן ,נאמר כאן מימים ימימה ונאמר להלן ימים תהיה גאולתו מה ימים האמור להלן ,ref-mek
