,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
6295,ref-sifre-n.1.3.75-ref-sifre-n.1.4.12,ref-t.2.3.8.9.35-ref-t.2.3.8.9.51,1763,1870,224,243,ref-sifre-n.00001.00003.00075,ref-sifre-n.00001.00004.00012,364892,364979,56719,56735,ref-t.00002.00003.00008.00009.00035,ref-t.00002.00003.00008.00009.00051,כל צרוע וכל זב אלא בא הכתוב ליתן להם את המחיצות וישלחו_מן_המחנה כל צרוע וכל זב וכל טמא לנפש שומע אני ,כל צרוע וכל זב בשעה שטמא נפש חייב זבין ומצורעין חייבין בשעה שאין טמא נפש חייב אין ,ref-t
6296,ref-sifre-n.1.4.19-ref-sifre-n.1.4.23,ref-t.6.5.6.7.87-ref-t.6.5.6.7.91,1908,1934,248,252,ref-sifre-n.00001.00004.00019,ref-sifre-n.00001.00004.00023,1390396,1390422,218489,218493,ref-t.00006.00005.00006.00007.00087,ref-t.00006.00005.00006.00007.00091,בדד ישב מחוץ למחנה מושבו ,בדד ישב מחוץ למחנה מושבו ,ref-t
6297,ref-sifre-n.1.4.53-ref-sifre-n.1.4.71,ref-t.6.1.4.7.7-ref-t.6.1.4.7.21,2095,2189,282,300,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00071,1253017,1253105,197502,197516,ref-t.00006.00001.00004.00007.00007,ref-t.00006.00001.00004.00007.00021,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא ,ומטמא הוא טמא וחבירו טהור בשרץ כולו טמא והעובי שביניהן כולו טמא הוסקו שניהן וניטמא ,ref-t
6298,ref-sifre-n.1.4.53-ref-sifre-n.1.4.64,ref-t.6.4.1.1.34-ref-t.6.4.1.1.44,2095,2156,282,293,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00064,1319596,1319646,207721,207731,ref-t.00006.00004.00001.00001.00034,ref-t.00006.00004.00001.00001.00044,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת ,כל הטמא במת טמאה שבעה טמא בזב טמאת ערב כל הטמא ,ref-t
6299,ref-sifre-n.1.4.53-ref-sifre-n.1.4.68,ref-t.6.11.3.2.8-ref-t.6.11.3.3.1,2095,2174,282,297,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00068,1529155,1529266,239963,239978,ref-t.00006.00011.00003.00002.00008,ref-t.00006.00011.00003.00003.00001,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור ,כל שהיא מטמא את בועלה ומטמא מעת לעת ומטמא בפנים כבחוץ ומטמא באונסין ומטמא באודם מה_שאין_כן בזב חומר ,ref-t
6300,ref-sifre-n.1.4.55-ref-sifre-n.1.4.61,ref-t.6.11.3.5.9-ref-t.6.11.3.5.20,2104,2144,284,290,ref-sifre-n.00001.00004.00055,ref-sifre-n.00001.00004.00061,1529768,1529839,240059,240067,ref-t.00006.00011.00003.00005.00009,ref-t.00006.00011.00003.00005.00020,מטמא מצורע מטמא חמור מצורע שמטמא בביאה ,מטמאה את בועלה מה_שאין_כן במצורעת חומר במצורעת שהמצורעת מטמא' בביאה ,ref-t
6301,ref-sifre-n.1.4.55-ref-sifre-n.1.4.86,ref-t.2.3.1.6.15-ref-t.2.3.1.6.27,2104,2256,284,315,ref-sifre-n.00001.00004.00055,ref-sifre-n.00001.00004.00086,333401,333470,51888,51900,ref-t.00002.00003.00001.00006.00015,ref-t.00002.00003.00001.00006.00027,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא ,שנטמא באב טומאה שניהן טמאין אלא שזה טמא טומאה חמורה וזה טמא טומאה ,ref-t
6302,ref-sifre-n.1.4.55-ref-sifre-n.1.4.86,ref-t.6.8.2.10.3-ref-t.6.8.2.10.16,2104,2256,284,315,ref-sifre-n.00001.00004.00055,ref-sifre-n.00001.00004.00086,1466509,1466593,230471,230484,ref-t.00006.00008.00002.00010.00003,ref-t.00006.00008.00002.00010.00016,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא ,וטבלו בשניהן אחד טמא טומאה חמורה ואחד טומאה קלה הטובל מטומאה חמורה טמא ומטומאה ,ref-t
6303,ref-sifre-n.1.4.55-ref-sifre-n.1.4.78,ref-t.6.8.2.10.20-ref-t.6.8.2.10.28,2104,2221,284,307,ref-sifre-n.00001.00004.00055,ref-sifre-n.00001.00004.00078,1466607,1466662,230488,230496,ref-t.00006.00008.00002.00010.00020,ref-t.00006.00008.00002.00010.00028,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא ,הטמא טומאה חמורה ואחד המיקר הטובל מטומאה חמורה טמא ,ref-t
6304,ref-sifre-n.1.4.55-ref-sifre-n.1.4.83,ref-t.6.11.3.3.29-ref-t.6.11.3.3.51,2104,2242,284,312,ref-sifre-n.00001.00004.00055,ref-sifre-n.00001.00004.00083,1529411,1529532,240003,240023,ref-t.00006.00011.00003.00003.00029,ref-t.00006.00011.00003.00003.00051,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא ,זובו ורוקו ומימי רגליו מטמאין טומאה חמורה ומטמא כלי שטף במגע וכלי חרש בהסיט מה_שאין_כן בטמא מת חומר בטמא מת שטמא ,ref-t
6305,ref-sifre-n.1.4.55-ref-sifre-n.1.4.66,ref-t.6.11.5.2.32-ref-t.6.11.5.2.41,2104,2164,284,295,ref-sifre-n.00001.00004.00055,ref-sifre-n.00001.00004.00066,1532763,1532824,240560,240569,ref-t.00006.00011.00005.00002.00032,ref-t.00006.00011.00005.00002.00041,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב ,מטמאין טומאת משקה זובו ורוקו ומימי רגליו מטמאין טומא' חמורה ,ref-t
6306,ref-sifre-n.1.4.56-ref-sifre-n.1.4.68,ref-t.6.11.3.4.16-ref-t.6.11.3.5.1,2109,2174,285,297,ref-sifre-n.00001.00004.00056,ref-sifre-n.00001.00004.00068,1529656,1529718,240043,240051,ref-t.00006.00011.00003.00004.00016,ref-t.00006.00011.00003.00005.00001,מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור ,במצורע חומר במצורע שהמצורע מטמא בביאה מה_שאין_כן בזב חומר ,ref-t
6307,ref-sifre-n.1.5.237-ref-sifre-n.1.5.244,ref-t.6.4.15.10.3-ref-t.6.4.15.10.12,3529,3576,473,480,ref-sifre-n.00001.00005.00237,ref-sifre-n.00001.00005.00244,1357511,1357568,213282,213291,ref-t.00006.00004.00015.00010.00003,ref-t.00006.00004.00015.00010.00012,ואדם מטמא בנגעים וכלים מטמאים בנגעים מה אדם ,אדם הנוגע במת מטמא כלים וכלים הנוגעין במת מטמאין אדם ,ref-t
6308,ref-sifre-n.1.7.86-ref-sifre-n.1.7.100,ref-t.6.6.8.2.55-ref-t.6.6.8.2.74,4659,4732,654,666,ref-sifre-n.00001.00007.00086,ref-sifre-n.00001.00007.00100,1421224,1421342,223419,223434,ref-t.00006.00006.00008.00002.00055,ref-t.00006.00006.00008.00002.00074,בתוך טומאתם ואומר ולא יטמאו את מחניהם א אומר ולא תטמא את הארץ אשר אתם ,מתוכה ונגעו באחוריה ניטמאו וטימאו את הטבלה וחזרה הטבלה וטימאה את הככר הרי_זה_אומ' ניטמא מטמאך לא טימאני ואתה ,ref-t
6309,ref-sifre-n.1.7.87-ref-sifre-n.1.7.96,ref-t.3.5.5.8.36-ref-t.3.5.5.8.43,4664,4715,655,663,ref-sifre-n.00001.00007.00087,ref-sifre-n.00001.00007.00096,639846,639887,100728,100734,ref-t.00003.00005.00005.00008.00036,ref-t.00003.00005.00005.00008.00043,טומאתם ואומר ולא יטמאו את מחניהם א אומר ולא תטמא ,נטמאת שנים אומ' נטמאת ואחד אומ' לא נטמאת ,ref-t
6310,ref-sifre-n.1.7.87-ref-sifre-n.1.7.101,ref-t.6.6.8.1.29-ref-t.6.6.8.2.2,4664,4739,655,667,ref-sifre-n.00001.00007.00087,ref-sifre-n.00001.00007.00101,1420865,1420934,223363,223373,ref-t.00006.00006.00008.00001.00029,ref-t.00006.00006.00008.00002.00002,טומאתם ואומר ולא יטמאו את מחניהם א אומר ולא תטמא את הארץ אשר אתם יושבים ,וטימאו את התחתונה הרי זה או' מטמאך לא טימאני ואתה טימאתני זב שישב ,ref-t
6311,ref-sifre-n.1.7.87-ref-sifre-n.1.7.100,ref-t.6.6.8.2.14-ref-t.6.6.8.2.32,4664,4732,655,666,ref-sifre-n.00001.00007.00087,ref-sifre-n.00001.00007.00100,1421004,1421097,223384,223398,ref-t.00006.00006.00008.00002.00014,ref-t.00006.00006.00008.00002.00032,טומאתם ואומר ולא יטמאו את מחניהם א אומר ולא תטמא את הארץ אשר אתם ,טמאין הרי_זה_אומ' מטמאך לא טימאני ואתה טימאתני ר'_יהודה_או' יש כן שהוא אומ' מטמאך לא טימאני ,ref-t
6312,ref-sifre-n.2.1.336-ref-sifre-n.2.1.343,ref-t.3.1.1.6.1-ref-t.3.1.1.6.12,6972,7011,1021,1028,ref-sifre-n.00002.00001.00336,ref-sifre-n.00002.00001.00343,510063,510134,79539,79548,ref-t.00003.00001.00001.00006.00001,ref-t.00003.00001.00001.00006.00012,כשם שפטורים מן האשם כך יהיו פטורים מן ,כשם שפוטרות מן הנשואין כך פוטרות מן האירוסין במי_דברים_אמורים באשה ,ref-t
6313,ref-sifre-n.4.1.97-ref-sifre-n.4.1.104,ref-t.4.1.10.18.30-ref-t.4.1.10.18.37,8711,8751,1277,1284,ref-sifre-n.00004.00001.00097,ref-sifre-n.00004.00001.00104,777281,777321,122631,122638,ref-t.00004.00001.00010.00018.00030,ref-t.00004.00001.00010.00018.00037,אומר מלבד איל הכפורים אשר יכפר בו עליו ,שנ' מלבד איל הכפורים אשר יכפר בו עליו ,ref-t
6314,ref-sifre-n.4.1.122-ref-sifre-n.4.1.134,ref-t.5.3.13.17.17-ref-t.5.3.13.17.29,8837,8908,1299,1306,ref-sifre-n.00004.00001.00122,ref-sifre-n.00004.00001.00134,1155959,1156025,182247,182257,ref-t.00005.00003.00013.00017.00017,ref-t.00005.00003.00013.00017.00029,ונתנו לכהנים באנשי משמר הכתוב_מדבר_או_אינו_מדבר_אלא בכל כהן שירצה ,לכל כהן שירצה עורן ובשרן שלו ואם היה בעל מום נותנן לאנשי משמר ,ref-t
6315,ref-sifre-n.4.1.137-ref-sifre-n.4.1.146,ref-t.4.1.10.18.31-ref-t.4.1.10.18.40,8920,8969,1308,1316,ref-sifre-n.00004.00001.00137,ref-sifre-n.00004.00001.00146,777286,777336,122632,122641,ref-t.00004.00001.00010.00018.00031,ref-t.00004.00001.00010.00018.00040,מלבד איל הכפורים אשר יכפר בו עליו את מי שמכפרים ,מלבד איל הכפורים אשר יכפר בו עליו מי שצריך כפרה ,ref-t
6316,ref-sifre-n.4.3.1-ref-sifre-n.4.3.7,ref-t.4.1.10.18.31-ref-t.4.1.10.18.37,9383,9418,1393,1399,ref-sifre-n.00004.00003.00001,ref-sifre-n.00004.00003.00007,777286,777321,122632,122638,ref-t.00004.00001.00010.00018.00031,ref-t.00004.00001.00010.00018.00037,מלבד איל הכפורים אשר יכפר בו עליו ,מלבד איל הכפורים אשר יכפר בו עליו ,ref-t
6317,ref-sifre-n.4.3.31-ref-sifre-n.4.3.37,ref-t.4.1.10.18.31-ref-t.4.1.10.18.37,9542,9577,1418,1424,ref-sifre-n.00004.00003.00031,ref-sifre-n.00004.00003.00037,777286,777321,122632,122638,ref-t.00004.00001.00010.00018.00031,ref-t.00004.00001.00010.00018.00037,מלבד איל הכפורים אשר יכפר בו עליו ,מלבד איל הכפורים אשר יכפר בו עליו ,ref-t
6318,ref-sifre-n.4.3.55-ref-sifre-n.4.3.61,ref-t.4.1.10.19.1-ref-t.4.1.10.19.8,9657,9695,1438,1443,ref-sifre-n.00004.00003.00055,ref-sifre-n.00004.00003.00061,777360,777402,122646,122652,ref-t.00004.00001.00010.00019.00001,ref-t.00004.00001.00010.00019.00008,נתן את הכסף לאנשי משמר ומת היורשים ,נתן את הכסף לאנשי משמר ומת אין היורשין ,ref-t
