,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
6945,ref-sifre-n.1.4.25-ref-sifre-n.1.4.32,ref-y.02.01.7.00.2490-ref-y.02.01.7.00.2497,1941,1979,254,261,ref-sifre-n.00001.00004.00025,ref-sifre-n.00001.00004.00032,981137,981179,148842,148849,ref-y.00002.00001.00007.00000.02490,ref-y.00002.00001.00007.00000.02497,היה בכלל ויצא מן הכלל ולמד על הכלל ,בכלל היתה ויצאה מן הכלל לחילוק על הכלל ,ref-y
6946,ref-sifre-n.1.4.25-ref-sifre-n.1.4.32,ref-y.04.04.7.00.850-ref-y.04.04.7.00.857,1941,1979,254,261,ref-sifre-n.00001.00004.00025,ref-sifre-n.00001.00004.00032,3141454,3141493,478130,478137,ref-y.00004.00004.00007.00000.00850,ref-y.00004.00004.00007.00000.00857,היה בכלל ויצא מן הכלל ולמד על הכלל ,בכלל היו ויצאו מן הכלל לחלוק על הכלל ,ref-y
6947,ref-sifre-n.1.4.25-ref-sifre-n.1.4.32,ref-y.04.04.7.00.886-ref-y.04.04.7.00.893,1941,1979,254,261,ref-sifre-n.00001.00004.00025,ref-sifre-n.00001.00004.00032,3141639,3141679,478151,478158,ref-y.00004.00004.00007.00000.00886,ref-y.00004.00004.00007.00000.00893,היה בכלל ויצא מן הכלל ולמד על הכלל ,בכלל היית ויצאת מן הכלל לחלוק על הכלל ,ref-y
6948,ref-sifre-n.1.4.60-ref-sifre-n.1.4.67,ref-y.01.08.2.00.1738-ref-y.01.08.2.00.1751,2131,2169,289,296,ref-sifre-n.00001.00004.00060,ref-sifre-n.00001.00004.00067,702633,702709,107678,107690,ref-y.00001.00008.00002.00000.01738,ref-y.00001.00008.00002.00000.01751,שמטמא בביאה כל שטמא מת מטמא זב מטמא ,בטמאין טמא מת שאין כלי חרס מיטמא מאחוריו אבל בטמאין טומאת זיבה שהזב מטמא ,ref-y
6949,ref-sifre-n.1.4.78-ref-sifre-n.1.4.91,ref-y.02.03.7.00.2964-ref-y.02.03.7.00.2976,2217,2283,307,319,ref-sifre-n.00001.00004.00078,ref-sifre-n.00001.00004.00091,1313600,1313667,198557,198567,ref-y.00002.00003.00007.00000.02964,ref-y.00002.00003.00007.00000.02976,מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל שמחוסר כפורים ,טמא מה_את_עבד לי בטמא טומאת זיבה וטומאת צרעת והתנינן מחוסרי כפרה ,ref-y
6950,ref-sifre-n.1.4.90-ref-sifre-n.1.4.102,ref-y.02.12.3.00.1715-ref-y.02.12.3.00.1726,2269,2341,318,328,ref-sifre-n.00001.00004.00090,ref-sifre-n.00001.00004.00102,1991517,1991590,304653,304664,ref-y.00002.00012.00003.00000.01715,ref-y.00002.00012.00003.00000.01726,שמחוסר כפורים פוסל טבול יום פוסל חמור שבני ישראל שהוא פוסל את התרומה ,מחוסר כיפורים שאינו פוסל בתרומה הרי פוסל בקדש רביעי שהוא פוסל בתרומה ,ref-y
6951,ref-sifre-n.1.4.90-ref-sifre-n.1.4.102,ref-y.02.12.3.00.1915-ref-y.02.12.3.00.1927,2269,2341,318,328,ref-sifre-n.00001.00004.00090,ref-sifre-n.00001.00004.00102,1992557,1992635,304800,304811,ref-y.00002.00012.00003.00000.01915,ref-y.00002.00012.00003.00000.01927,שמחוסר כפורים פוסל טבול יום פוסל חמור שבני ישראל שהוא פוסל את התרומה ,מחוסר כיפורים שאינו פוסל בתרומה הרי הוא פוסל בקודש שלישי שהוא פוסל בתרומה ,ref-y
6952,ref-sifre-n.1.6.13-ref-sifre-n.1.6.32,ref-y.03.04.7.00.3045-ref-y.03.04.7.00.3052,4073,4155,558,575,ref-sifre-n.00001.00006.00013,ref-sifre-n.00001.00006.00032,2512520,2512559,381663,381670,ref-y.00003.00004.00007.00000.03045,ref-y.00003.00004.00007.00000.03052,על רחיצת גופו ענוש כרת או לא ענוש אלא על כיבוס בגדים אמרת מה טומאת מת לא ענש בו על ,על רחיצת גופו ענוש כרת ועל כיבוס בגדיו ,ref-y
6953,ref-sifre-n.2.1.66-ref-sifre-n.2.1.76,ref-y.04.01.9.00.975-ref-y.04.01.9.00.986,5618,5681,809,819,ref-sifre-n.00002.00001.00066,ref-sifre-n.00002.00001.00076,2939347,2939414,446188,446196,ref-y.00004.00001.00009.00000.00975,ref-y.00004.00001.00009.00000.00986,גוזל הגר ונשבע לו ומת שישלם קרן וחומש לכהנים ואשם למזבח ,בגוזל את הגר ונשבע לו ומת שמשלם_קרן_וחומש לכהנים ואשם למזבח ,ref-y
6954,ref-sifre-n.2.1.66-ref-sifre-n.2.1.76,ref-y.04.01.9.00.1007-ref-y.04.01.9.00.1018,5618,5681,809,819,ref-sifre-n.00002.00001.00066,ref-sifre-n.00002.00001.00076,2939521,2939587,446216,446225,ref-y.00004.00001.00009.00000.01007,ref-y.00004.00001.00009.00000.01018,גוזל הגר ונשבע לו ומת שישלם קרן וחומש לכהנים ואשם למזבח ,בגוזל אתה גר ונשבע לו ומת שמשלם_קרן_וחומש לכהנים ואשם למזבח ,ref-y
6955,ref-sifre-n.2.1.124-ref-sifre-n.2.1.132,ref-y.04.01.5.00.526-ref-y.04.01.5.00.533,5899,5935,854,862,ref-sifre-n.00002.00001.00124,ref-sifre-n.00002.00001.00132,2917484,2917517,442736,442743,ref-y.00004.00001.00005.00000.00526,ref-y.00004.00001.00005.00000.00533,וכי יפתח איש בור או כי יכרה איש בור ,כי יפתח איש בור וכי יכרה איש בור ,ref-y
6956,ref-sifre-n.3.1.153-ref-sifre-n.4.1.37,ref-y.04.01.9.00.1007-ref-y.04.01.9.00.1031,8202,8409,1213,1243,ref-sifre-n.00003.00001.00153,ref-sifre-n.00004.00001.00037,2939521,2939653,446216,446235,ref-y.00004.00001.00009.00000.01007,ref-y.00004.00001.00009.00000.01031,אשם לו מכל מקום ואם אין לאיש גואל ר' ישמעאל אמר וכי יש לך אדם בישראל שאין לו גואל ומה_תלמוד_לומר ואם אין לאיש גואל בא_הכתוב_ולימד_על הגוזל הגר ונשבע לו ומת שישלם קרן וחומש לכהנים ואשם למזבח ,בגוזל אתה גר ונשבע לו ומת שמשלם_קרן_וחומש לכהנים ואשם למזבח שנאמר ואם אין לאיש גואל וגו' אין לך אדם בישראל שאין לו גואל ,ref-y
6957,ref-sifre-n.4.1.19-ref-sifre-n.4.1.37,ref-y.04.01.9.00.975-ref-y.04.01.9.00.990,8306,8409,1229,1243,ref-sifre-n.00004.00001.00019,ref-sifre-n.00004.00001.00037,2939347,2939434,446188,446199,ref-y.00004.00001.00009.00000.00975,ref-y.00004.00001.00009.00000.00990,ואם אין לאיש גואל בא_הכתוב_ולימד_על הגוזל הגר ונשבע לו ומת שישלם קרן וחומש לכהנים ואשם למזבח ,בגוזל את הגר ונשבע לו ומת שמשלם_קרן_וחומש לכהנים ואשם למזבח ואם אין לאיש גואל ,ref-y
6958,ref-sifre-n.5.1.42-ref-sifre-n.5.1.52,ref-y.01.02.1.00.90-ref-y.01.02.1.00.102,10385,10445,1535,1545,ref-sifre-n.00005.00001.00042,ref-sifre-n.00005.00001.00052,191295,191361,30100,30112,ref-y.00001.00002.00001.00000.00090,ref-y.00001.00002.00001.00000.00102,לעשות כל גרנו תרומה רשאי ובלבד שישייר מקצת וכל תרומה לכל ,לעשות כל כריו תרומה אינו עושה דתנינן תמן האומר כל גרני תרומה וכל ,ref-y
6959,ref-sifre-n.5.1.149-ref-sifre-n.5.1.155,ref-y.01.02.5.00.1090-ref-y.01.02.5.00.1096,10924,10959,1600,1606,ref-sifre-n.00005.00001.00149,ref-sifre-n.00005.00001.00155,247982,248017,39126,39132,ref-y.00001.00002.00005.00000.01090,ref-y.00001.00002.00005.00000.01096,ראשית בכורי אדמתך תביא בית ה' אלהיך ,ראשית בכורי אדמתך תביא בית ה' אלהיך ,ref-y
