,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
10398,ref-t.1.1.1.1.34-ref-t.1.1.1.1.41,ref-bible.0310.4.15.4-ref-bible.0310.4.15.11,185,235,23,29,ref-t.00001.00001.00001.00001.00034,ref-t.00001.00001.00001.00001.00041,1402021,1402071,240964,240970,ref-bible.00310.00004.00015.00004,ref-bible.00310.00004.00015.00011,וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,ref-bible
10399,ref-t.1.1.1.10.27-ref-t.1.1.1.10.33,ref-bible.0105.16.3.16-ref-bible.0105.16.3.22,2628,2662,414,419,ref-t.00001.00001.00001.00010.00027,ref-t.00001.00001.00001.00010.00033,373467,373500,62386,62391,ref-bible.00105.00016.00003.00016,ref-bible.00105.00016.00003.00022,למען תזכור את יום צאתך מארץ מצרים ,מצרים למען תזכר את יום צאתך מארץ ,ref-bible
10400,ref-t.1.1.1.10.92-ref-t.1.1.1.10.100,ref-bible.0208.23.8.6-ref-bible.0208.23.8.14,2945,2988,469,475,ref-t.00001.00001.00001.00010.00092,ref-t.00001.00001.00001.00010.00100,910076,910120,154577,154583,ref-bible.00208.00023.00008.00006,ref-bible.00208.00023.00008.00014,העלה ואשר הביא את זרע בית ישראל מארץ צפון ,העלה ואשר הביא את זרע בית ישראל מארץ צפונה ,ref-bible
10401,ref-t.1.1.1.10.122-ref-t.1.1.1.10.129,ref-bible.0101.35.10.6-ref-bible.0101.35.10.13,3106,3138,495,501,ref-t.00001.00001.00001.00010.00122,ref-t.00001.00001.00001.00010.00129,69822,69854,12460,12466,ref-bible.00101.00035.00010.00006,ref-bible.00101.00035.00010.00013,לא יקרא עוד שמך יעקב כי אם ישראל ,לא יקרא שמך עוד יעקב כי אם ישראל ,ref-bible
10402,ref-t.1.1.1.11.3-ref-t.1.1.1.11.25,ref-bible.0207.43.18.1-ref-bible.0207.43.19.5,3231,3359,519,541,ref-t.00001.00001.00001.00011.00003,ref-t.00001.00001.00001.00011.00025,836607,836665,141700,141710,ref-bible.00207.00043.00018.00001,ref-bible.00207.00043.00019.00005,אל תזכרו ראשונות וקדמוניות אל תתבוננו אל תזכרו ראשונות אילו של מלכיות וקדמוניות אל תתבוננו אלו של מצרים הנני עשה חדשה עתה תצמח ,אל תזכרו ראשנות וקדמניות אל תתבננו הנני עשה חדשה עתה תצמח ,ref-bible
10403,ref-t.1.1.1.12.3-ref-t.1.1.1.12.15,ref-bible.0101.17.5.1-ref-bible.0101.17.5.11,3683,3739,598,607,ref-t.00001.00001.00001.00012.00003,ref-t.00001.00001.00001.00012.00015,26317,26364,4592,4601,ref-bible.00101.00017.00005.00001,ref-bible.00101.00017.00005.00011,לא יקרא עוד את שמך אברם והיה שמך אברהם כתחלה_הרי_את אב ,ולא יקרא עוד את שמך אברם והיה שמך אברהם כי אב ,ref-bible
10404,ref-t.1.1.1.12.25-ref-t.1.1.1.13.8,ref-bible.0101.17.5.1-ref-bible.0101.17.5.14,3783,3838,616,627,ref-t.00001.00001.00001.00012.00025,ref-t.00001.00001.00001.00013.00008,26317,26380,4592,4604,ref-bible.00101.00017.00005.00001,ref-bible.00101.00017.00005.00014,כי אב המון גוים נתתיך כיוצא בו שרי אשתך לא תקרא את שמה ,ולא יקרא עוד את שמך אברם והיה שמך אברהם כי אב המון גוים נתתיך ,ref-bible
10405,ref-t.1.1.1.13.3-ref-t.1.1.1.13.12,ref-bible.0101.17.15.5-ref-bible.0101.17.15.14,3815,3853,623,631,ref-t.00001.00001.00001.00013.00003,ref-t.00001.00001.00001.00013.00012,27051,27089,4709,4717,ref-bible.00101.00017.00015.00005,ref-bible.00101.00017.00015.00014,שרי אשתך לא תקרא את שמה שרי כי שרה שמה ,שרי אשתך לא תקרא את שמה שרי כי שרה שמה ,ref-bible
10406,ref-t.1.1.1.14.69-ref-t.1.1.1.15.7,ref-bible.0301.76.2.5-ref-bible.0301.76.3.5,4282,4332,710,717,ref-t.00001.00001.00001.00014.00069,ref-t.00001.00001.00001.00015.00007,1204979,1205019,204691,204697,ref-bible.00301.00076.00002.00005,ref-bible.00301.00076.00003.00005,לגדול' כיוצא בו ויהי בשלם סוכו ומעונתו בציון ,גדול שמו ויהי בשלם סכו ומעונתו בציון ,ref-bible
10407,ref-t.1.1.1.15.20-ref-t.1.1.1.15.25,ref-bible.0208.32.31.3-ref-bible.0208.32.31.8,4387,4414,729,734,ref-t.00001.00001.00001.00015.00020,ref-t.00001.00001.00001.00015.00025,933227,933254,158272,158277,ref-bible.00208.00032.00031.00003,ref-bible.00208.00032.00031.00008,אפי ועל חמתי היתה לי העיר ,אפי ועל חמתי היתה לי העיר ,ref-bible
