,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
11578,ref-t.1.1.1.1.1-ref-t.1.1.1.1.20,ref-m.1.1.1.1.1-ref-m.1.1.1.1.9,0,113,0,14,ref-t.00001.00001.00001.00001.00001,ref-t.00001.00001.00001.00001.00020,0,56,0,7,ref-m.00001.00001.00001.00001.00001,ref-m.00001.00001.00001.00001.00009,מאמתי קורין את שמע בערבין משעה שבני אדן נכנסין לוכל פיתן בלילי שבתות דברי_ר'_מאיר_וחכמים_אומ' משעה שהכהנים ,מאימתי קורין את שמע בערבית משעה שהכהנים נכנסים לאכול ,ref-m
11579,ref-t.1.1.1.2.1-ref-t.1.1.1.2.12,ref-m.1.1.1.1.89-ref-m.1.1.1.2.4,596,660,87,97,ref-t.00001.00001.00001.00002.00001,ref-t.00001.00001.00001.00002.00012,463,508,71,78,ref-m.00001.00001.00001.00001.00089,ref-m.00001.00001.00001.00002.00004,מאימתי קורין את שמע בשחרים אחרים אומ' כדי שיהא חבירו רחוק ממנו ,כדי להרחיק אדם מן העבירה מאימתי קורין את שמע ,ref-m
11580,ref-t.1.1.1.5.2-ref-t.1.1.1.5.21,ref-m.1.1.1.4.12-ref-m.1.1.1.4.33,1524,1631,231,250,ref-t.00001.00001.00001.00005.00002,ref-t.00001.00001.00001.00005.00021,1128,1248,169,190,ref-m.00001.00001.00001.00004.00012,ref-m.00001.00001.00001.00004.00033,אחת קצרה מקום שאמרו להאריך אינו רשאי לקצר לקצר אינו רשאי להאריך לחתום אינו רשאי שלא לחתום שלא לחתום אינו ,אחת ארוכה ואחת קצרה מקום שאמרו להאריך אינו רשאי לקצר לקצר אינו רשאי להאריך לחתום אינו רשאי שלא לחתום ושלא לחתום אינו ,ref-m
11581,ref-t.1.1.1.9.7-ref-t.1.1.1.9.20,ref-m.1.1.8.8.34-ref-m.1.1.8.8.47,2297,2385,358,371,ref-t.00001.00001.00001.00009.00007,ref-t.00001.00001.00001.00009.00020,9742,9816,1472,1485,ref-m.00001.00001.00008.00008.00034,ref-m.00001.00001.00008.00008.00047,מברכה לשמע הסמוכה לשמע וברכה הסמוכה לברכה אחרת שאין פותחין בהן בברוך ואין עונין ,אמן אחר ישראל המברך ואין עונין אמן אחר הכותי המברך עד שישמע כל הברכה ,ref-m
11582,ref-t.1.1.1.10.1-ref-t.1.1.1.10.56,ref-m.1.1.1.5.1-ref-m.1.1.1.5.54,2488,2781,391,439,ref-t.00001.00001.00001.00010.00001,ref-t.00001.00001.00001.00010.00056,1260,1547,193,237,ref-m.00001.00001.00001.00005.00001,ref-m.00001.00001.00001.00005.00054,מזכירין יציאת מצרים בלילות אמ' ר'_לעזר_בן_עזריה הרי אני כבן שבעים שנה ולא זכיתי שאשמע שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנ' למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים או' ימי חייך העולם הזה כל להביא ימי חייך להביא לימות המשיח ,מזכירין יציאת מצרים בלילות אמר רבי_אלעזר_בן_עזריה הרי אני כבן שבעים שנה ולא זכיתי שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך להביא לימות המשיח ,ref-m
11583,ref-t.1.1.2.6.5-ref-t.1.1.2.6.28,ref-m.2.1.1.2.23-ref-m.2.1.1.2.30,5607,5741,940,961,ref-t.00001.00001.00002.00006.00005,ref-t.00001.00001.00002.00006.00028,129354,129406,19886,19892,ref-m.00002.00001.00001.00002.00023,ref-m.00002.00001.00001.00002.00030,מפסיקי' לקרית שמע ואין מפסיקין לתפלה ר' או' כשם שאין מפסיקין לתפילה כך אין מפסיקין לקרית שמע ר'_חנניה_בן עקביא או' כשם שמפסיקין ,מפסיקים מפסיקים לקרות קריאת שמע ואין מפסיקין לתפלה ,ref-m
11584,ref-t.1.1.2.9.5-ref-t.1.1.2.9.11,ref-m.1.1.3.4.6-ref-m.1.1.3.4.17,6179,6231,1027,1033,ref-t.00001.00001.00002.00009.00005,ref-t.00001.00001.00002.00009.00011,3498,3567,538,549,ref-m.00001.00001.00003.00004.00006,ref-m.00001.00001.00003.00004.00017,ומברכין לפניה ולאחריה ואוכלין פיתן ומברכין לפניה ,מברך לא לפניה ולא לאחריה ועל המזון מברך לאחריו ואינו מברך לפניו ,ref-m
11585,ref-t.1.1.2.12.1-ref-t.1.1.2.12.8,ref-m.6.6.3.4.9-ref-m.6.6.3.4.16,6746,6783,1114,1120,ref-t.00001.00001.00002.00012.00001,ref-t.00001.00001.00002.00012.00008,965572,965612,150428,150434,ref-m.00006.00006.00003.00004.00009,ref-m.00006.00006.00003.00004.00016,בעל קרי חולה שנתן עליו תשעת קבין מים ,בעל קרי החולה שנפלו עליו תשעה קבין מים ,ref-m
11586,ref-t.1.1.2.12.30-ref-t.1.1.2.12.43,ref-m.3.3.4.3.9-ref-m.3.3.4.3.19,6885,6995,1134,1147,ref-t.00001.00001.00002.00012.00030,ref-t.00001.00001.00002.00012.00043,351531,351598,54484,54494,ref-m.00003.00003.00004.00003.00009,ref-m.00003.00003.00004.00003.00019,הזבין והזבות והנדות והיולדות מותרין לקרות בתורה בנביאים ובכתובים ולשנות במשנה במדרש בהלכות ובאגדות ,זבין קיני זבות קיני יולדות חטאות ואשמות ומלמדו מדרש הלכות ואגדות ,ref-m
11587,ref-t.1.1.3.1.28-ref-t.1.1.3.1.37,ref-m.1.1.4.1.3-ref-m.1.1.4.1.14,9473,9519,1546,1553,ref-t.00001.00001.00003.00001.00028,ref-t.00001.00001.00003.00001.00037,3968,4024,614,622,ref-m.00001.00001.00004.00001.00003,ref-m.00001.00001.00004.00001.00014,עד ארבע שעות מפני_מה_אמרו תפלת המנחה עד הערב ,עד חצות רבי_יהודה_אומר_עד ארבע שעות תפלת המנחה עד הערב ,ref-m
