,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
20600,ref-t.1.1.1.4.12-ref-t.1.1.1.4.80,ref-sifre-d.34.11.2-ref-sifre-d.34.12.14,1136,1475,170,222,ref-t.00001.00001.00001.00004.00012,ref-t.00001.00001.00001.00004.00080,47950,48247,8047,8091,ref-sifre-d.00034.00011.00002,ref-sifre-d.00034.00012.00014,והיה ר' ישמעאל מוטה ור' אלעזר_בן_עזריה זקוף הגיע זמן קרית שמע נזקף ר' ישמעאל והטה ר' אלעזר_בן_עזריה אמ'_לו_ר' ישמעאל מה זה אלעזר אמ' לו ישמעאל אחי לאחד או' לו מפני מה זקנך מגודל והוא או' להם יהיה כנגד המשחיתים אני שהייתי זקוף הטיתי אתה שהיית מוטה נזקפתה אמ' לו אתה הטיתה לקיים דברי בית שמאי ואני נזקפתי לקיים בית הלל דבר אחר שלא ,"היה ר' ישמעאל דורש ורבי אלעזר_בן_עזריה זוקף הגיע זמן קרית שמע נזקף ר' ישמעאל והטה ר'_אלעזר_בן_עזריה ואמר_לו_ר' ישמעאל מה זה אלעזר אמר לו ישמעאל אחי משל לאחד שאומרים לו מפני מה זקנך מגודל והוא אומר להם יהיה כנגד המשחיתים אמר לו אתה היטית כדברי בית שמאי ואני נזקפתי כדברי בית הלל ד""א שלא ",ref-sifre-d
20601,ref-t.1.1.1.10.1-ref-t.1.1.1.10.56,ref-sifre-d.130.7.2-ref-sifre-d.130.7.59,2488,2781,391,439,ref-t.00001.00001.00001.00010.00001,ref-t.00001.00001.00001.00010.00056,166307,166604,27844,27890,ref-sifre-d.00130.00007.00002,ref-sifre-d.00130.00007.00059,מזכירין יציאת מצרים בלילות אמ' ר'_לעזר_בן_עזריה הרי אני כבן שבעים שנה ולא זכיתי שאשמע שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנ' למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים או' ימי חייך העולם הזה כל להביא ימי חייך להביא לימות המשיח ,תזכור את יום צאתך מארץ מצרים זו היא שאמר ר'_אלעזר_בן_עזריה הרי אני כבן שבעים שנה ולא זכיתי שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך להביא לימות המשיח ,ref-sifre-d
20602,ref-t.1.1.1.10.34-ref-t.1.1.1.10.43,ref-sifre-d.161.2.3-ref-sifre-d.161.2.12,2663,2710,420,427,ref-t.00001.00001.00001.00010.00034,ref-t.00001.00001.00001.00010.00043,185569,185616,30961,30968,ref-sifre-d.00161.00002.00003,ref-sifre-d.00161.00002.00012,כל ימי חייך ימי חייך הימים כל ימי חייך הלילות ,כל ימי חייו ימי חייו הימים כל ימי חייו הלילות ,ref-sifre-d
20603,ref-t.1.1.1.15.72-ref-t.1.1.1.15.85,ref-sifre-d.352.7.33-ref-sifre-d.352.7.47,4661,4730,779,791,ref-t.00001.00001.00001.00015.00072,ref-t.00001.00001.00001.00015.00085,369471,369544,62007,62021,ref-sifre-d.00352.00007.00033,ref-sifre-d.00352.00007.00047,ויקרא אברהם את שם המקום ההוא ייי יראה אשר יאמר היום בהר ייי יראה ,ויקרא אברהם שם המקום ההוא ה' יראה הרי בנוי אשר יאמר היום בהר ה' יראה ,ref-sifre-d
20604,ref-t.1.1.3.14.14-ref-t.1.1.3.16.10,ref-sifre-d.29.5.30-ref-sifre-d.29.5.52,13126,13393,2136,2173,ref-t.00001.00001.00003.00014.00014,ref-t.00001.00001.00003.00016.00010,34548,34695,5849,5868,ref-sifre-d.00029.00005.00030,ref-sifre-d.00029.00005.00052,ומתפללין שנ' ויתפללו אל ייי אליכם וגו' העומדים בחוצה לארץ מכוונין את לבם כנגד ארץ ישראל שנ' ויתפללו דרך ארצם העומדים בארץ ישראל מכוונין את לבם כנגד ירושלם ומתפללין שנ' ויתפללו אל העיר הזאת העומדים בירושלם מכוונין את לבם כנגד בית המקדש שנ' והתפללו ,העומדים בחוצה לארץ הופכים פניהם כנגד ארץ ישראל ומתפללים שנא' והתפללו אליך דרך ארצם העומדים בארץ ישראל הופכים פניהם כנגד בית המקדש ומתפללים ,ref-sifre-d
20605,ref-t.1.1.3.15.1-ref-t.1.1.3.16.48,ref-sifre-d.29.5.64-ref-sifre-d.29.5.116,13169,13626,2143,2209,ref-t.00001.00001.00003.00015.00001,ref-t.00001.00001.00003.00016.00048,34765,35092,5879,5927,ref-sifre-d.00029.00005.00064,ref-sifre-d.00029.00005.00116,העומדים בחוצה לארץ מכוונין את לבם כנגד ארץ ישראל שנ' ויתפללו דרך ארצם העומדים בארץ ישראל מכוונין את לבם כנגד ירושלם ומתפללין שנ' ויתפללו אל העיר הזאת העומדים בירושלם מכוונין את לבם כנגד בית המקדש שנ' והתפללו אל הבית הזה העומדים במקדש מכוונין את לבם כנגד בית קדשי הקדשים ומתפללין שנ' ויתפללו אל המקום הזה נמצאו עומדין בצפון פניהם לדרום בדרום פניהם לצפון במזרח פניהם למערב במערב פניהם למזרח נמצאו כל ישראל מתפללין למקום אחד ,שנאמר והתפללו אל העיר הזאת העומדים בירושלם הופכים פניהם כנגד בית המקדש שנא' ויתפללו אל הבית הזה העומדים בבית המקדש מכוונים לבם כנגד בית קדשי הקדשים ומתפללים שנא' ויתפלל את המקום הזה נמצאו עומדים בצפון פניהם לדרום בדרום פניהם לצפון במזרח פניהם במערב במערב פניהם למזרח נמצאו כל ישראל מתפללים אל מקום אחד ,ref-sifre-d
20606,ref-t.1.1.3.15.7-ref-t.1.1.3.15.15,ref-sifre-d.29.5.55-ref-sifre-d.29.5.65,13206,13264,2148,2155,ref-t.00001.00001.00003.00015.00007,ref-t.00001.00001.00003.00015.00015,34710,34780,5871,5880,ref-sifre-d.00029.00005.00055,ref-sifre-d.00029.00005.00065,כנגד ארץ ישראל שנ' ויתפללו דרך ארצם העומדים בארץ ישראל ,דרך ארצם העומדים בארץ ישראל הופכים פניהם כנגד ירושלם שנאמר והתפללו ,ref-sifre-d
20607,ref-t.1.1.4.18.40-ref-t.1.1.4.18.49,ref-sifre-d.348.1.26-ref-sifre-d.348.1.35,19985,20038,3222,3231,ref-t.00001.00001.00004.00018.00040,ref-t.00001.00001.00004.00018.00049,365266,365318,61259,61268,ref-sifre-d.00348.00001.00026,ref-sifre-d.00348.00001.00035,אשר חכמים יגידו ולא כחדו מאבתם להם לבדם נתנה הארץ ,אשר חכמים יגידו ולא כחדו מאבותם להם לבדם נתנה ארץ ,ref-sifre-d
20608,ref-t.1.1.5.18.2-ref-t.1.1.5.18.13,ref-sifre-d.132.2.20-ref-sifre-d.132.2.34,23757,23826,3837,3848,ref-t.00001.00001.00005.00018.00002,ref-t.00001.00001.00005.00018.00013,167436,167522,28035,28049,ref-sifre-d.00132.00002.00020,ref-sifre-d.00132.00002.00034,שיכול לאכול כזית מזמנין עליו שאין יכול לאכול כזית אין מזמנין עליו ,ויכול לאכלו שוחטים אותו עליו ופעמים שם עשרה ואין יכולים לאכלו אין שוחטים אותו עליהם ,ref-sifre-d
20609,ref-t.1.1.6.1.44-ref-t.1.1.6.1.53,ref-sifre-d.143.10.46-ref-sifre-d.144.1.5,27508,27554,4429,4438,ref-t.00001.00001.00006.00001.00044,ref-t.00001.00001.00006.00001.00053,174435,174489,29157,29166,ref-sifre-d.00143.00010.00046,ref-sifre-d.00144.00001.00005,מברך לפניו ת'ל אשר נתן לך משעה שנתן לך מניין ,כברכת ה'_א_להיך אשר נתן לך שופטים ושטרים תתן לך מנין ,ref-sifre-d
