,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
14314,ref-y.01.01.1.00.777-ref-y.01.01.1.00.791,ref-mek.1.7.5.133-ref-mek.1.7.5.147,4090,4157,638,647,ref-y.00001.00001.00001.00000.00777,ref-y.00001.00001.00001.00000.00791,23796,23863,3797,3807,ref-mek.00001.00007.00005.00133,ref-mek.00001.00007.00005.00147,בבקר בבקר כדי ליתן תחום לבוקרו של בוקר אמר_רבי_יוסי_בי_ר'_בון אם ,בקר בא הכתוב ליתן תחום לבקרו של בקר ר'_יצחק_אומר_אינו_צריך ומה אם ,ref-mek
14315,ref-y.01.01.1.00.780-ref-y.01.01.1.00.792,ref-mek.1.7.5.34-ref-mek.1.7.5.42,4106,4162,641,648,ref-y.00001.00001.00001.00000.00780,ref-y.00001.00001.00001.00000.00792,23337,23379,3735,3741,ref-mek.00001.00007.00005.00034,ref-mek.00001.00007.00005.00042,ליתן תחום לבוקרו של בוקר אמר_רבי_יוסי_בי_ר'_בון אם אומר ,נאמר אלא_בא_הכתוב ליתן תחום לבוקרו של בקר ,ref-mek
14316,ref-y.01.01.1.00.917-ref-y.01.01.1.00.924,ref-mek.5.3.9.119-ref-mek.5.3.10.4,4824,4860,756,761,ref-y.00001.00001.00001.00000.00917,ref-y.00001.00001.00001.00000.00924,226095,226122,37042,37047,ref-mek.00005.00003.00009.00119,ref-mek.00005.00003.00010.00004,ברכו את ה' מלאכיו בשנייה ברכו את ה' ,ברוך ה' ויאמר יתרו ברוך ה' ,ref-mek
14317,ref-y.01.01.1.00.1540-ref-y.01.01.1.00.1545,ref-mek.1.1.1.174-ref-mek.1.1.1.179,8082,8112,1292,1297,ref-y.00001.00001.00001.00000.01540,ref-y.00001.00001.00001.00000.01545,852,882,126,131,ref-mek.00001.00001.00001.00174,ref-mek.00001.00001.00001.00179,ביום עשות ה' אלהים ארץ ושמים ,ביום עשות ה' אלהים ארץ ושמים ,ref-mek
14318,ref-y.01.01.1.00.2598-ref-y.01.01.1.00.2619,ref-mek.1.7.2.52-ref-mek.1.7.2.63,13614,13735,2174,2195,ref-y.00001.00001.00001.00000.02598,ref-y.00001.00001.00001.00000.02619,20972,21046,3353,3364,ref-mek.00001.00007.00002.00052,ref-mek.00001.00007.00002.00063,הקטר חלבים ואיברים ואכילת פסחים מצותן עד שיעלה עמוד השחר אנן תנינן אכילת פסחים אית דלא תני אכילת פסחים מאן תנא אכילת ,אכילת פסחים ואכילת זבחים והקטר חלבים ואיברין מצותן עד שיעלה עמוד השחר ,ref-mek
14319,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2642,ref-mek.1.18.4.282-ref-mek.1.18.4.294,13806,13856,2206,2215,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02642,77183,77253,12040,12052,ref-mek.00001.00018.00004.00282,ref-mek.00001.00018.00004.00294,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן מימים ימימה ונאמר להלן ימים תהיה גאולתו מה ימים האמור להלן ,ref-mek
14320,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2645,ref-mek.1.19.3.133-ref-mek.1.19.3.144,13806,13868,2206,2218,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02645,80010,80069,12517,12527,ref-mek.00001.00019.00003.00133,ref-mek.00001.00019.00003.00144,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,נאמר כאן עריפה ונאמר להלן עריפה מה להלן אסור בהנאה אף כאן ,ref-mek
14321,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2645,ref-mek.3.5.2.133-ref-mek.3.5.2.143,13806,13868,2206,2218,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02645,155703,155750,25243,25253,ref-mek.00003.00005.00002.00133,ref-mek.00003.00005.00002.00143,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,נאמר כאן מטר ונאמר להלן מטר מה להלן מטר אף כאן ,ref-mek
14322,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2645,ref-mek.5.3.2.18-ref-mek.5.3.2.30,13806,13868,2206,2218,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02645,221368,221429,36250,36262,ref-mek.00005.00003.00002.00018,ref-mek.00005.00003.00002.00030,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,נאמר כאן שלוח ונאמר להלן שילוח מה שלוח האמור להלן גט אף כאן ,ref-mek
14323,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2644,ref-mek.7.1.2.114-ref-mek.7.1.2.128,13806,13864,2206,2217,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02644,286196,286271,46794,46806,ref-mek.00007.00001.00002.00114,ref-mek.00007.00001.00002.00128,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן עברי ונאמר להלן עברי מה עברי האמור להלן בבן ישראל_הכתוב_מדבר אף ,ref-mek
14324,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2645,ref-mek.7.10.1.203-ref-mek.7.10.1.216,13806,13868,2206,2218,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02645,321512,321576,52109,52120,ref-mek.00007.00010.00001.00203,ref-mek.00007.00010.00001.00216,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,נאמר כאן יגח ונאמר להלן יגח מה להלן עשה בו_קטנים_כגדולים אף כאן ,ref-mek
