,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
20349,ref-y.01.01.1.00.254-ref-y.01.01.1.00.270,ref-sifra.3.04-00.13.8-ref-sifra.3.04-00.13.23,1332,1417,204,217,ref-y.00001.00001.00001.00000.00254,ref-y.00001.00001.00001.00000.00270,104703,104782,15136,15149,ref-sifra.00003.04-00.00013.00008,ref-sifra.00003.04-00.00013.00023,שנים מביא_אשם_תלוי שלשה מביא חטאת במוצאי שבת ראה כוכב אחד ועשה מלאכה מביא חטאת שנים ,שני פרים חטאו שלשה מביאין שלשה או_אינו_אלא חטאו שני יחידים מביאין שני פרים חטאו ,ref-sifra
20350,ref-y.01.01.1.00.1271-ref-y.01.01.1.00.1276,ref-sifra.5.03-00.2.16-ref-sifra.5.03-00.2.23,6692,6722,1063,1067,ref-y.00001.00001.00001.00000.01271,ref-y.00001.00001.00001.00000.01276,268125,268170,39620,39626,ref-sifra.00005.03-00.00002.00016,ref-sifra.00005.03-00.00002.00023,ונהר יוצא מעדן להשקות את הגן ,הנהרות שנאמר ונהר יוצא מעדן להשקות את הגן ,ref-sifra
20351,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2642,ref-sifra.2.04-00.4.41-ref-sifra.2.04-00.4.50,13806,13856,2206,2215,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02642,24807,24862,3732,3741,ref-sifra.00002.04-00.00004.00041,ref-sifra.00002.04-00.00004.00050,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן ,ref-sifra
20352,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2645,ref-sifra.3.03-00.5.2-ref-sifra.3.03-00.5.14,13806,13868,2206,2218,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02645,98155,98225,14106,14118,ref-sifra.00003.03-00.00005.00002,ref-sifra.00003.03-00.00005.00014,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן בכלי אף כאן ,ref-sifra
20353,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2642,ref-sifra.3.03-00.8.11-ref-sifra.3.03-00.8.20,13806,13856,2206,2215,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02642,98669,98721,14191,14200,ref-sifra.00003.03-00.00008.00011,ref-sifra.00003.03-00.00008.00020,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן ,ref-sifra
20354,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2645,ref-sifra.3.04-00.15.17-ref-sifra.3.04-00.15.30,13806,13868,2206,2218,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02645,105133,105195,15206,15217,ref-sifra.00003.04-00.00015.00017,ref-sifra.00003.04-00.00015.00030,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן בית_דין_אף כאן ,ref-sifra
20355,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2645,ref-sifra.3.04-00.16.16-ref-sifra.3.04-00.16.29,13806,13868,2206,2218,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02645,105279,105341,15231,15242,ref-sifra.00003.04-00.00016.00016,ref-sifra.00003.04-00.00016.00029,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,שנאמר כאן קהל ולהלן נאמר קהל מה קהל אמור להלן בית_דין_אף כאן ,ref-sifra
20356,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2644,ref-sifra.3.04-06.4.7-ref-sifra.3.04-06.4.22,13806,13864,2206,2217,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02644,105973,106054,15339,15354,ref-sifra.00003.04-06.00004.00007,ref-sifra.00003.04-06.00004.00022,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן פני פרוכת' ונאמר להלן פני פרוכת' מה פני פרוכת' אמור להלן פרוכת הקדש אף ,ref-sifra
20357,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2642,ref-sifra.3.10-00.1.17-ref-sifra.3.10-00.1.26,13806,13856,2206,2215,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02642,136781,136834,19620,19629,ref-sifra.00003.10-00.00001.00017,ref-sifra.00003.10-00.00001.00026,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן וידוי ונאמר להלן וידוי מה וידוי האמור להלן ,ref-sifra
20358,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2644,ref-sifra.3.10-00.2.5-ref-sifra.3.10-00.2.17,13806,13864,2206,2217,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02644,136905,136971,19644,19656,ref-sifra.00003.10-00.00002.00005,ref-sifra.00003.10-00.00002.00017,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן עליה ונאמר להלן עליה' מה עליה' האמור להלן טעון סמיכה אף ,ref-sifra
