,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
23594,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2645,ref-sifre-d.36.2.10-ref-sifre-d.36.2.22,13806,13868,2206,2218,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02645,51235,51291,8592,8603,ref-sifre-d.00036.00002.00010,ref-sifre-d.00036.00002.00022,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,נאמר כאן כתב ונאמר להלן כתב מה להלן על גבי אבנים אף כאן ,ref-sifre-d
23595,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2645,ref-sifre-d.36.2.56-ref-sifre-d.36.2.70,13806,13868,2206,2218,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02645,51448,51515,8632,8645,ref-sifre-d.00036.00002.00056,ref-sifre-d.00036.00002.00070,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף כאן ,ref-sifre-d
23596,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2642,ref-sifre-d.36.2.102-ref-sifre-d.36.2.111,13806,13856,2206,2215,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02642,51683,51730,8674,8683,ref-sifre-d.00036.00002.00102,ref-sifre-d.00036.00002.00111,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן ,ref-sifre-d
23597,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2644,ref-sifre-d.43.25.1-ref-sifre-d.43.25.12,13806,13864,2206,2217,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02644,82638,82690,13898,13909,ref-sifre-d.00043.00025.00001,ref-sifre-d.00043.00025.00012,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן אף ונאמר להלן אף חרי מה חרי אף האמור להלן ,ref-sifre-d
23598,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2644,ref-sifre-d.62.4.5-ref-sifre-d.62.4.21,13806,13864,2206,2217,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02644,110332,110414,18467,18481,ref-sifre-d.00062.00004.00005,ref-sifre-d.00062.00004.00021,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן לשום את שמו ונאמר להלן ושמו את שמי מה שמי האמור להלן בלשון הקדש אף ,ref-sifre-d
23599,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2644,ref-sifre-d.64.2.2-ref-sifre-d.64.2.13,13806,13864,2206,2217,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02644,112038,112097,18748,18759,ref-sifre-d.00064.00002.00002,ref-sifre-d.00064.00002.00013,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף ,ref-sifre-d
23600,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2644,ref-sifre-d.69.1.2-ref-sifre-d.69.1.13,13806,13864,2206,2217,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02644,114321,114383,19130,19141,ref-sifre-d.00069.00001.00002,ref-sifre-d.00069.00001.00013,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף ,ref-sifre-d
23601,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2644,ref-sifre-d.86.6.4-ref-sifre-d.86.6.15,13806,13864,2206,2217,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02644,131306,131370,21925,21936,ref-sifre-d.00086.00006.00004,ref-sifre-d.00086.00006.00015,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן בסקילה אף ,ref-sifre-d
23602,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2644,ref-sifre-d.90.2.4-ref-sifre-d.90.2.16,13806,13864,2206,2217,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02644,133293,133359,22275,22287,ref-sifre-d.00090.00002.00004,ref-sifre-d.00090.00002.00016,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן בסקילה אף ,ref-sifre-d
23603,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2642,ref-sifre-d.103.3.7-ref-sifre-d.103.3.16,13806,13856,2206,2215,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02642,141400,141447,23636,23645,ref-sifre-d.00103.00003.00007,ref-sifre-d.00103.00003.00016,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן נשר ונאמר להלן נשר מה נשר האמור להלן ,ref-sifre-d
