,compOrig,baseOrig,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compStr,baseStr,bRange,cRange,compOrder,baseOrder,dam-lev,jac,compWork,canonCite,refRange
0,ref-sifre-n.123.1.188-ref-sifre-n.123.1.195,ref-mek.1.1.1.40-ref-mek.1.1.1.47,206201,206239,32579,32586,ref-sifre-n.123.1.188,ref-sifre-n.123.1.195,189,228,25,32,ref-mek.1.1.1.40,ref-mek.1.1.1.47,וכשם שהיה משה גזבר לדבר כך היה אהרן ,שכשם שהיה משה כלל לדברות כך היה אהרן ,8,8,625,0,0.1891891891891892,0.5,ref-sifre-n,ref-mek.1.1.1,ref-mek.1.1.1.40-ref-mek.1.1.1.47
1,ref-b.2.13.11b.774-ref-b.2.13.11b.795,ref-mek.1.1.1.157-ref-mek.1.1.1.179,2708704,2708823,394870,394888,ref-b.2.13.11b.774,ref-b.2.13.11b.795,761,882,114,131,ref-mek.1.1.1.157,ref-mek.1.1.1.179,"שנאמר בראשית ברא אלהים את השמים ואת הארץ וב""ה אומרים ארץ נבראת תחלה ואח""כ שמים שנאמר ביום עשות ה' אלהים ארץ ושמים ",אומר בראשית ברא אלהים את השמים ואת הארץ שומע אני כל הקודם במקרא קודם במעשה כשהוא אומר ביום עשות ה' אלהים ארץ ושמים ,23,22,855,0,0.3217391304347826,0.5238095238095238,ref-b,ref-mek.1.1.1,ref-mek.1.1.1.157-ref-mek.1.1.1.184
2,ref-y.02.12.2.00.2467-ref-y.02.12.2.00.2477,ref-mek.1.1.1.171-ref-mek.1.1.1.179,1968232,1968289,301027,301037,ref-y.02.12.2.00.2467,ref-y.02.12.2.00.2477,833,882,123,131,ref-mek.1.1.1.171,ref-mek.1.1.1.179,"ה' אלהים ארץ ושמים שמים בראשון כב""ש עשה שלשה ימים ועשו ",במעשה כשהוא אומר ביום עשות ה' אלהים ארץ ושמים ,9,11,696,0,0.7454545454545455,0.5,ref-y,ref-mek.1.1.1,ref-mek.1.1.1.157-ref-mek.1.1.1.184
3,ref-y.01.01.1.00.1540-ref-y.01.01.1.00.1545,ref-mek.1.1.1.174-ref-mek.1.1.1.179,8082,8112,1292,1297,ref-y.01.01.1.00.1540,ref-y.01.01.1.00.1545,852,882,126,131,ref-mek.1.1.1.174,ref-mek.1.1.1.179,ביום עשות ה' אלהים ארץ ושמים ,ביום עשות ה' אלהים ארץ ושמים ,6,6,5,2,0.0,0.0,ref-y,ref-mek.1.1.1,ref-mek.1.1.1.157-ref-mek.1.1.1.184
4,ref-y.02.12.2.00.2378-ref-y.02.12.2.00.2383,ref-mek.1.1.1.174-ref-mek.1.1.1.179,1967748,1967778,300946,300951,ref-y.02.12.2.00.2378,ref-y.02.12.2.00.2383,852,882,126,131,ref-mek.1.1.1.174,ref-mek.1.1.1.179,ביום עשות ה' אלהים ארץ ושמים ,ביום עשות ה' אלהים ארץ ושמים ,6,6,692,3,0.0,0.0,ref-y,ref-mek.1.1.1,ref-mek.1.1.1.157-ref-mek.1.1.1.184
5,ref-b.2.06.54b.94-ref-b.2.06.54b.99,ref-mek.1.1.1.174-ref-mek.1.1.1.179,1783200,1783230,258977,258982,ref-b.2.06.54b.94,ref-b.2.06.54b.99,852,882,126,131,ref-mek.1.1.1.174,ref-mek.1.1.1.179,ביום עשות ה' אלהים ארץ ושמים ,ביום עשות ה' אלהים ארץ ושמים ,6,6,542,1,0.0,0.0,ref-b,ref-mek.1.1.1,ref-mek.1.1.1.157-ref-mek.1.1.1.184
6,ref-t.5.8.4.15.14-ref-t.5.8.4.15.23,ref-mek.1.1.1.174-ref-mek.1.1.1.184,1244880,1244938,196288,196297,ref-t.5.8.4.15.14,ref-t.5.8.4.15.23,852,916,126,136,ref-mek.1.1.1.174,ref-mek.1.1.1.184,ביום עשות ייי אלים ארץ ושמים מלמד ששניהם שקולין זה בזה ,ביום עשות ה' אלהים ארץ ושמים מגיד ששניהם שקולים כאחד זה בזה ,11,12,566,0,0.2,0.33333333333333337,ref-t,ref-mek.1.1.1,ref-mek.1.1.1.157-ref-mek.1.1.1.184
7,ref-bible.0101.28.13.6-ref-bible.0101.28.13.12,ref-mek.1.1.1.190-ref-mek.1.1.1.197,53397,53433,9476,9482,ref-bible.0101.28.13.6,ref-bible.0101.28.13.12,938,978,138,145,ref-mek.1.1.1.190,ref-mek.1.1.1.197,אני יהוה אלהי אברהם אביך ואלהי יצחק ,אנכי האל אלהי אביך אלהי אברהם אלהי יצחק ,7,8,39,0,0.35,0.33333333333333337,ref-bible,ref-mek.1.1.1,ref-mek.1.1.1.190-ref-mek.1.1.1.199
8,ref-bible.0102.3.6.2-ref-bible.0102.3.6.10,ref-mek.1.1.1.190-ref-mek.1.1.1.199,109290,109337,19517,19525,ref-bible.0102.3.6.2,ref-bible.0102.3.6.10,938,990,138,147,ref-mek.1.1.1.190,ref-mek.1.1.1.199,אנכי אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אנכי האל אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,9,10,77,1,0.0784313725490196,0.0,ref-bible,ref-mek.1.1.1,ref-mek.1.1.1.190-ref-mek.1.1.1.199
9,ref-bible.0102.4.5.5-ref-bible.0102.4.5.14,ref-mek.1.1.1.191-ref-mek.1.1.1.199,111211,111263,19829,19838,ref-bible.0102.4.5.5,ref-bible.0102.4.5.14,943,990,139,147,ref-mek.1.1.1.191,ref-mek.1.1.1.199,אליך יהוה אלהי אבתם אלהי אברהם אלהי יצחק ואלהי יעקב ,האל אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,10,9,87,2,0.19230769230769232,0.4285714285714286,ref-bible,ref-mek.1.1.1,ref-mek.1.1.1.190-ref-mek.1.1.1.199
10,ref-bible.0102.3.15.14-ref-bible.0102.3.15.19,ref-mek.1.1.1.192-ref-mek.1.1.1.199,110175,110207,19659,19664,ref-bible.0102.3.15.14,ref-bible.0102.3.15.19,948,990,140,147,ref-mek.1.1.1.192,ref-mek.1.1.1.199,אלהי אברהם אלהי יצחק ואלהי יעקב ,אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,6,8,85,3,0.2380952380952381,0.2,ref-bible,ref-mek.1.1.1,ref-mek.1.1.1.190-ref-mek.1.1.1.199
11,ref-b.2.07.49b.145-ref-b.2.07.49b.152,ref-mek.1.1.1.192-ref-mek.1.1.1.199,2031391,2031434,294873,294880,ref-b.2.07.49b.145,ref-b.2.07.49b.152,948,990,140,147,ref-mek.1.1.1.192,ref-mek.1.1.1.199,אלהי אברהם אלהי אברהם ולא אלהי יצחק ויעקב ,אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,8,8,662,5,0.2857142857142857,0.2,ref-b,ref-mek.1.1.1,ref-mek.1.1.1.190-ref-mek.1.1.1.199
12,ref-b.2.13.3a.273-ref-b.2.13.3a.280,ref-mek.1.1.1.192-ref-mek.1.1.1.199,2674244,2674287,389874,389881,ref-b.2.13.3a.273,ref-b.2.13.3a.280,948,990,140,147,ref-mek.1.1.1.192,ref-mek.1.1.1.199,אלהי אברהם אלהי אברהם ולא אלהי יצחק ויעקב ,אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,8,8,839,6,0.2857142857142857,0.2,ref-b,ref-mek.1.1.1,ref-mek.1.1.1.190-ref-mek.1.1.1.199
