baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-b,dam-lev,jac,id
ref-b.1.1.1.2b.8.40-ref-b.1.1.1.2b.8.44,ref-bible.0310.4.10.7-ref-bible.310.4.10.11,1685,1720,ref-b.1.1.1.2b.8.40,ref-b.1.1.1.2b.8.44,1400049,1400085,ref-bible.0310.4.10.7,ref-bible.0310.4.10.11,עשים במלאכה וחצים מחזיקים ברמחים ,עשים במלאכה וחצים מחזיקים והרמחים ,5,5,8367,8367.0,1,0.0,0.058823529411764705,0.0,8090000001
ref-b.1.1.1.2b.8.39-ref-b.1.1.1.2b.8.56,ref-bible.0310.4.15.1-ref-bible.310.4.16.16,1677,1790,ref-b.1.1.1.2b.8.39,ref-b.1.1.1.2b.8.56,1400443,1400603,ref-bible.0310.4.15.1,ref-bible.0310.4.16.16,ואנחנו עשים במלאכה וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ואומר והיו לנו הלילה משמר והיום מלאכה ,ואנחנו עשים במלאכה וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים גם בעת ההיא אמרתי לעם איש ונערו ילינו בתוך ירושלם והיו לנו הלילה משמר והיום מלאכה ,18,27,8371,8369.0,0,0.0,0.3108108108108108,0.3846153846153846,8090000002
ref-b.1.1.1.3a.6.34-ref-b.1.1.1.3a.6.45,ref-bible.0208.25.30.8-ref-bible.208.25.30.20,3465,3525,ref-b.1.1.1.3a.6.34,ref-b.1.1.1.3a.6.45,915034,915102,ref-bible.0208.25.30.8,ref-bible.0208.25.30.20,שנאמר ה' ממרום ישאג וממעון קדשו יתן קולו שאג ישאג על נוהו ,ואמרת אליהם יהוה ממרום ישאג וממעון קדשו יתן קולו שאג ישאג על נוהו ,12,13,5728,5728.0,2,2.0,0.18181818181818182,0.36363636363636365,8090000003
ref-b.1.1.1.3b.11.6-ref-b.1.1.1.3b.11.16,ref-bible.0202.7.19.1-ref-bible.202.7.19.11,5767,5830,ref-b.1.1.1.3b.11.6,ref-b.1.1.1.3b.11.16,481249,481312,ref-bible.0202.7.19.1,ref-bible.0202.7.19.11,ויבא גדעון ומאה איש אשר אתו בקצה המחנה ראש האשמרת התיכונה ,ויבא גדעון ומאה איש אשר אתו בקצה המחנה ראש האשמרת התיכונה ,11,11,3723,3723.0,3,3.0,0.0,0.0,8090000004
ref-b.1.1.1.3b.14.18-ref-b.1.1.1.3b.14.25,ref-bible.0301.119.62.1-ref-bible.301.119.62.8,6038,6076,ref-b.1.1.1.3b.14.18,ref-b.1.1.1.3b.14.25,1238345,1238383,ref-bible.0301.119.62.1,ref-bible.0301.119.62.8,חצות לילה אקום להודות לך על משפטי צדקך ,חצות לילה אקום להודות לך על משפטי צדקך ,8,8,7312,7311.0,4,4.0,0.0,0.0,8090000005
ref-b.1.1.1.3b.23.9-ref-b.1.1.1.3b.23.16,ref-bible.0203.30.17.1-ref-bible.203.30.17.7,6958,7000,ref-b.1.1.1.3b.23.9,ref-b.1.1.1.3b.23.16,584486,584525,ref-bible.0203.30.17.1,ref-bible.0203.30.17.7,ויכם דוד מהנשף ועד הערב למחרתם מאי לאו ,ויכם דוד מהנשף ועד הערב למחרתם ולא ,8,7,4065,4064.0,5,5.0,0.1282051282051282,0.1428571428571429,8090000006
ref-b.1.1.1.3b.27.15-ref-b.1.1.1.3b.27.20,ref-bible.0102.11.4.6-ref-bible.102.11.4.11,7224,7257,ref-b.1.1.1.3b.27.15,ref-b.1.1.1.3b.27.20,126591,126623,ref-bible.0102.11.4.6,ref-bible.0102.11.4.11,כחצות הלילה אני יוצא בתוך מצרים ,כחצת הלילה אני יוצא בתוך מצרים ,6,6,714,714.0,6,6.0,0.03125,0.2857142857142857,8090000007
ref-b.1.1.1.3b.31.7-ref-b.1.1.1.3b.32.3,ref-bible.0312.27.32.14-ref-bible.0312.27.34.10,7911,7984,ref-b.1.1.1.3b.31.7,ref-b.1.1.1.3b.32.3,1510437,1510543,ref-bible.0312.27.32.14,ref-bible.0312.27.34.10,המלך ואחיתפל יועץ למלך וחושי הארכי רע המלך ואחרי אחיתפל יהוידע בן בניהו ואביתר ושר צבא למלך יואב,המלך ואחיתפל יועץ למלך וחושי הארכי רע המלך ואחרי אחיתפל יהוידע בן בניהו ואביתר ושר צבא למלך יואב,13,18,8810,8810.0,7,7.0,0.0,0.0,8090000008
ref-b.1.1.1.3b.32.7-ref-b.1.1.1.3b.32.17,ref-bible.0204.16.23.1-ref-bible.204.16.23.11,7999,8058,ref-b.1.1.1.3b.32.7,ref-b.1.1.1.3b.32.17,622884,622943,ref-bible.0204.16.23.1,ref-bible.0204.16.23.11,ועצת אחיתפל אשר יעץ בימים ההם כאשר ישאל איש בדבר האלהים ,ועצת אחיתפל אשר יעץ בימים ההם כאשר ישאל איש בדבר האלהים ,11,11,4213,4213.0,9,9.0,0.0,0.0,8090000009
ref-b.1.1.1.4a.1.1-ref-b.1.1.1.4a.2.10,ref-bible.0204.20.23.6-ref-bible.0204.20.23.13,8059,8163,ref-b.1.1.1.4a.1.1,ref-b.1.1.1.4a.2.10,635128,635170,ref-bible.0204.20.23.6,ref-bible.0204.20.23.13,ובניה בן יהוידע על הכרי הכרתי ועל הפלתי,ובניה בן יהוידע על הכרי הכרתי ועל הפלתי,19,8,4265,4265.0,10,10.0,0.0,0.0,8090000010
ref-b.1.1.1.4a.3.16-ref-b.1.1.1.4a.3.22,ref-bible.0301.57.9.1-ref-bible.301.57.9.7,8326,8364,ref-b.1.1.1.4a.3.16,ref-b.1.1.1.4a.3.22,1190030,1190068,ref-bible.0301.57.9.1,ref-bible.0301.57.9.7,עורה כבודי עורה הנבל וכנור אעירה שחר ,עורה כבודי עורה הנבל וכנור אעירה שחר ,7,7,6997,6997.0,12,12.0,0.0,0.0,8090000011
ref-b.1.1.1.4a.3.17-ref-b.1.1.1.4a.3.22,ref-bible.0301.108.2.7-ref-bible.301.108.3.5,8331,8364,ref-b.1.1.1.4a.3.17,ref-b.1.1.1.4a.3.22,1230581,1230614,ref-bible.0301.108.2.7,ref-bible.0301.108.3.5,כבודי עורה הנבל וכנור אעירה שחר ,כבודי עורה הנבל וכנור אעירה שחר ,6,6,7265,7265.0,13,12.0,0.0,0.0,8090000012
ref-b.1.1.1.4a.8.34-ref-b.1.1.1.4a.8.38,ref-bible.0301.119.62.1-ref-bible.301.119.62.5,8906,8930,ref-b.1.1.1.4a.8.34,ref-b.1.1.1.4a.8.38,1238345,1238369,ref-bible.0301.119.62.1,ref-bible.0301.119.62.5,חצות לילה אקום להודות לך ,חצות לילה אקום להודות לך ,5,5,7311,7311.0,14,14.0,0.0,0.0,8090000013
ref-b.1.1.1.4a.10.9-ref-b.1.1.1.4a.10.14,ref-bible.0301.119.46.1-ref-bible.301.119.46.6,9274,9309,ref-b.1.1.1.4a.10.9,ref-b.1.1.1.4a.10.14,1237828,1237863,ref-bible.0301.119.46.1,ref-bible.0301.119.46.6,ואדברה בעדתיך נגד מלכים ולא אבוש ,ואדברה בעדתיך נגד מלכים ולא אבוש ,6,6,7308,7308.0,15,15.0,0.0,0.0,8090000014
ref-b.1.1.1.4a.13.5-ref-b.1.1.1.4a.13.12,ref-bible.0302.23.15.1-ref-bible.302.23.15.8,9538,9568,ref-b.1.1.1.4a.13.5,ref-b.1.1.1.4a.13.12,1280868,1280898,ref-bible.0302.23.15.1,ref-bible.0302.23.15.8,בני אם חכם לבך ישמח לבי גם אני ,בני אם חכם לבך ישמח לבי גם אני ,8,8,7637,7637.0,17,16.0,0.0,0.0,8090000015
ref-b.1.1.1.4a.13.4-ref-b.1.1.1.4a.13.20,ref-bible.0302.27.11.1-ref-bible.0302.27.11.7,9530,9610,ref-b.1.1.1.4a.13.4,ref-b.1.1.1.4a.13.20,1285768,1285802,ref-bible.0302.27.11.1,ref-bible.0302.27.11.7,חכם בני ושמח לבי ואשיבה חרפי דבר,חכם בני ושמח לבי ואשיבה חרפי דבר,17,7,7694,7694.0,16,16.0,0.0,0.0,8090000016
