,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-b,grp-ref-mek,dam-lev,jac,id
0,0,ref-b.2.12.2.12a.16.13-ref-b.2.12.2.12a.16.36,ref-mek.1.1.1.157-ref-mek.1.1.1.179,2792366,2792492,387679,387696,ref-b.2.12.2.12a.16.13,ref-b.2.12.2.12a.16.36,762,883,113,130,ref-mek.1.1.1.157,ref-mek.1.1.1.179,שנאמר בראשית ברא אלהים את השמים ואת הארץ ובית הלל אומרים ארץ נבראת תחלה ואחר כך שמים שנאמר ביום עשות ה' אלהים ארץ ושמים ,אומר בראשית ברא אלהים את השמים ואת הארץ שומע אני כל הקודם במקרא קודם במעשה כשהוא אומר ביום עשות ה' אלהים ארץ ושמים ,17,17,1049.0,0.0,0.3416666666666667,0.5652173913043479,3050000001
1,1,ref-b.2.5.5.54b.5.11-ref-b.2.5.5.54b.5.16,ref-mek.1.1.1.174-ref-mek.1.1.1.179,1840532,1840562,253986,253991,ref-b.2.5.5.54b.5.11,ref-b.2.5.5.54b.5.16,853,883,125,130,ref-mek.1.1.1.174,ref-mek.1.1.1.179,ביום עשות ה' אלהים ארץ ושמים ,ביום עשות ה' אלהים ארץ ושמים ,5,5,663.0,0.0,0.0,0.0,3050000002
2,2,ref-b.2.6.4.49b.6.32-ref-b.2.6.4.49b.6.40,ref-mek.1.1.1.191-ref-mek.1.1.1.199,2094910,2094957,289268,289276,ref-b.2.6.4.49b.6.32,ref-b.2.6.4.49b.6.40,944,991,138,146,ref-mek.1.1.1.191,ref-mek.1.1.1.199,אלהי אברהם אלהי אברהם ולא אלהי יצחק ויעקב אלא ,האל אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,8,8,796.0,2.0,0.41304347826086957,0.19999999999999996,3050000003
3,3,ref-b.2.12.1.3a.13.32-ref-b.2.12.1.3a.13.40,ref-mek.1.1.1.191-ref-mek.1.1.1.199,2757215,2757262,382756,382764,ref-b.2.12.1.3a.13.32,ref-b.2.12.1.3a.13.40,944,991,138,146,ref-mek.1.1.1.191,ref-mek.1.1.1.199,אלהי אברהם אלהי אברהם ולא אלהי יצחק ויעקב אלא ,האל אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,8,8,1031.0,2.0,0.41304347826086957,0.19999999999999996,3050000004
4,4,ref-b.2.4.8.88a.3.16-ref-b.2.4.8.88a.3.25,ref-mek.1.1.1.191-ref-mek.1.1.1.204,1573201,1573252,215819,215828,ref-b.2.4.8.88a.3.16,ref-b.2.4.8.88a.3.25,944,1016,138,149,ref-mek.1.1.1.191,ref-mek.1.1.1.204,בית אלהי יעקב וגו' אלהי יעקב ולא אלהי אברהם ויצחק ,האל אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב שומע אני כל הקודם בדבר ,9,11,529.0,2.0,0.6086956521739131,0.6363636363636364,3050000005
5,5,ref-b.4.4.11.107a.2.28-ref-b.4.4.11.107a.2.33,ref-mek.1.1.1.192-ref-mek.1.1.1.199,6386044,6386076,892316,892321,ref-b.4.4.11.107a.2.28,ref-b.4.4.11.107a.2.33,949,991,139,146,ref-mek.1.1.1.192,ref-mek.1.1.1.199,אלהי אברהם אלהי יצחק ואלהי יעקב ,אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,5,7,2586.0,2.0,0.23809523809523808,0.19999999999999996,3050000006
6,6,ref-b.1.1.9.64a.6.13-ref-b.1.1.9.64a.6.20,ref-mek.1.1.1.192-ref-mek.1.1.1.204,354779,354821,49612,49954,ref-b.1.1.9.64a.6.13,ref-b.1.1.9.64a.6.20,949,1016,139,149,ref-mek.1.1.1.192,ref-mek.1.1.1.204,אלהי יעקב אלהי יעקב ולא אלהי אברהם ויצחק אלהי יעקב אלהי יעקב ולא אלהי אברהם ויצחק,אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב שומע אני כל,81,53,211.0,2.0,0.5185185185185185,0.4285714285714286,3050000007
7,8,ref-b.5.2.9.87a.19.12-ref-b.5.2.9.87a.19.21,ref-mek.1.1.1.347-ref-mek.1.1.1.351,7409388,7409428,1040717,1040723,ref-b.5.2.9.87a.19.12,ref-b.5.2.9.87a.19.21,1768,1791,259,263,ref-mek.1.1.1.347,ref-mek.1.1.1.351,אמרי אמר רבא בר רב שילא כי בחר ה' בציון ,שנאמר כי בחר ה' בציון ,6,4,3020.0,8.0,0.5,0.625,3050000008
8,9,ref-b.5.1.14.119a.11.9-ref-b.5.1.14.119a.11.22,ref-mek.1.1.1.347-ref-mek.1.1.1.356,7133980,7134045,1001206,1001219,ref-b.5.1.14.119a.11.9,ref-b.5.1.14.119a.11.22,1768,1816,259,268,ref-mek.1.1.1.347,ref-mek.1.1.1.356,ואומר זאת מנוחתי עדי עד פה אשב כי אויתיה ואומר כי בחר ה' בציון ,שנאמר כי בחר ה' בציון ואומר זאת מנוחתי עדי עד ,13,9,2891.0,8.0,0.6984126984126984,0.36363636363636365,3050000009
9,10,ref-b.3.5.9.49a.2.9-ref-b.3.5.9.49a.2.19,ref-mek.1.1.1.377-ref-mek.1.1.1.388,4078696,4078746,563871,563880,ref-b.3.5.9.49a.2.9,ref-b.3.5.9.49a.2.19,1919,1982,288,298,ref-mek.1.1.1.377,ref-mek.1.1.1.388,דוד היו כל ישראל מוכרי רבב שנאמר שיתה ה' מורה להם ,ה' ואומר והיתה לו ולזרעו אחריו עד שלא נבחר דוד היו כל ישראל ,9,10,1588.0,10.0,0.7166666666666667,0.7647058823529411,3050000010
