,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-b,grp-ref-sifre-d,dam-lev,jac,id
0,0,ref-b.02.01.02.32b.9.13-ref-b.02.01.02.32b.9.21,ref-sifre-d.1.2.33-ref-sifre-d.1.2.41,461668,461717,64657,64665,ref-b.2.1.2.32b.9.13,ref-b.2.1.2.32b.9.21,364,413,59,67,ref-sifre-d.1.2.33,ref-sifre-d.1.2.41,שנאמר שמעו הדבר הזה פרות הבשן אשר בהר שומרון ,שנאמר שמעו הדבר הזה פרות הבשן אשר בהר שומרון ,8,8,184.0,0.0,0.0,0.0,3080000001
1,1,ref-b.04.04.11.98b.9.4-ref-b.04.04.11.98b.9.17,ref-sifre-d.1.3.47-ref-sifre-d.1.3.60,6335152,6335216,884267,884280,ref-b.4.4.11.98b.9.4,ref-b.4.4.11.98b.9.17,670,735,110,123,ref-sifre-d.1.3.47,ref-sifre-d.1.3.60,שאלו נא וראו אם ילד זכר מדוע ראיתי כל גבר ידיו על חלציו כיולדה ,שאלו נא וראו אם יולד זכר מדוע ראיתי כל גבר ידיו על חלציו כיולדה ,13,13,2978.0,1.0,0.015625,0.0,3080000002
2,2,ref-b.4.3.2.25b.2.1-ref-b.4.3.2.25b.2.10,ref-sifre-d.1.5.25-ref-sifre-d.1.5.38,5595986,5596033,777756,778066,ref-b.4.3.2.25b.2.1,ref-b.4.3.2.25b.2.10,1152,1223,186,199,ref-sifre-d.1.5.25,ref-sifre-d.1.5.38,שנאמר הולך אל דרום וסובב אל צפון הולך אל דרום ביום וסובב אל צפון שנאמר הולך אל דרום וסובב אל צפון וגו' הולך אל,הולך אל דרום וסובב אל צפון זהו מזרח ומערב ואומר כל הנחלים הולכים אל,311,14,2384.0,2.0,0.5727272727272728,0.6153846153846154,3080000003
3,3,ref-b.2.3.5.56a.5.44-ref-b.2.3.5.56a.6.9,ref-sifre-d.1.5.25-ref-sifre-d.1.5.38,1120840,1120907,153691,154744,ref-b.2.3.5.56a.5.44,ref-b.2.3.5.56a.6.9,1152,1223,186,199,ref-sifre-d.1.5.25,ref-sifre-d.1.5.38,מזרח ושוקעת בחצי מערב שנאמר הולך אל דרום וסובב אל צפון הולך אל דרום ביום וסובב אל צפון בלילה סובב סובב הולך הרוח אלו פני מזרח ופני מערב מזרח ושוקעת בחצי מערב שנאמר הולך אל דרום וסובב אל צפון הולך אל,הולך אל דרום וסובב אל צפון זהו מזרח ומערב ואומר כל הנחלים הולכים אל,1054,14,320.0,2.0,0.7171717171717171,0.6666666666666667,3080000004
4,8,ref-b.05.05.03.16b.6.2-ref-b.05.05.03.16b.6.10,ref-sifre-d.1.8.14-ref-sifre-d.1.8.25,8169016,8169059,1149052,1149059,ref-b.5.5.3.16b.6.2,ref-b.5.5.3.16b.6.10,1622,1681,269,278,ref-sifre-d.1.8.14,ref-sifre-d.1.8.25,"א""ר טרפון אני אם יש בדור הזה שמקבל תוכחה ",אמר רבי טרפון העבודה אם יש בדור הזה מי שיכול לקבל תוכחה ,7,9,3863.0,8.0,0.35714285714285715,0.5714285714285714,3080000005
5,9,ref-b.5.5.3.16b.6.30-ref-b.5.5.3.16b.8.8,ref-sifre-d.1.8.18-ref-sifre-d.1.9.1,8169147,8169403,1148917,1149108,ref-b.5.5.3.16b.6.30,ref-b.5.5.3.16b.8.8,1644,1970,272,325,ref-sifre-d.1.8.18,ref-sifre-d.1.9.1,אם יש בדור הזה שיודע להוכיח ואמר רבי יוחנן בן נורי מעיד אני עלי שמים וארץ שהרבה פעמים לקה עקיבא על ידי שהייתי קובל עליו לפני רבן וכל שכן שהוספתי בו אהבה לקיים מה שנאמר אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך בעא מיניה רבי יהודה בריה דר' שמעון תוכחה אם יש בדור הזה שיודע להוכיח ואמר רבי יוחנן בן נורי מעיד אני עלי שמים וארץ שהרבה פעמים לקה עקיבא על ידי שהייתי קובל עליו לפני רבן וכל שכן שהוספתי בו אהבה לקיים מה שנאמר אל תוכח לץ,אם יש בדור הזה מי שיכול לקבל תוכחה אמר רבי עקיבא העבודה אם יש בדור הזה יודע היאך מוכיחים אמר ר' יוחנן מעידני עלי שמים וארץ שיותר מחמשה פעמים נתקנתר עלי רבי עקיבא לפני רבן גמליאל ביבנה שהייתי קובלני עליו והיה מקנתרו ויודע אני בו שהיה מוסיף בי אהבה לקיים מה שנאמר אל תוכח,192,54,3864.0,8.0,0.6415094339622641,0.5576923076923077,3080000006
6,11,ref-b.03.01.06.65b.6.30-ref-b.03.01.06.65b.6.37,ref-sifre-d.1.8.70-ref-sifre-d.1.8.77,3057517,3057555,421766,421773,ref-b.3.1.6.65b.6.30,ref-b.3.1.6.65b.6.37,1922,1960,317,324,ref-sifre-d.1.8.70,ref-sifre-d.1.8.77,אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך ,אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך ,7,7,1230.0,8.0,0.0,0.0,3080000007
7,12,ref-b.03.01.06.63a.2.45-ref-b.03.01.06.63a.3.12,ref-sifre-d.1.14.93-ref-sifre-d.1.14.103,3045642,3045703,419965,419974,ref-b.3.1.6.63a.2.45,ref-b.3.1.6.63a.3.12,3083,3144,504,514,ref-sifre-d.1.14.93,ref-sifre-d.1.14.103,אדם ואמר רבי אלעזר מאי דכתיב אעשה לו עזר כנגדו זכה עוזרתו לא ,לאדם הראשון שאמרתי לו אעשה לו עזר כנגדו בטובה שהיטבתי לו ,9,10,1225.0,12.0,0.5081967213114754,0.7142857142857143,3080000008
8,13,ref-b.04.08.01.5b.1.7-ref-b.04.08.01.5b.1.16,ref-sifre-d.1.14.109-ref-sifre-d.1.14.118,6518702,6518748,912186,912195,ref-b.4.8.1.5b.1.7,ref-b.4.8.1.5b.1.16,3172,3217,520,529,ref-sifre-d.1.14.109,ref-sifre-d.1.14.118,האשה אשר נתתה עמדי היא נתנה לי מן העץ ואוכל ,האשה אשר נתת עמדי היא נתנה לי מן העץ ואוכל ,9,9,3196.0,13.0,0.022727272727272728,0.0,3080000009
9,14,ref-b.05.05.03.15a.14.6-ref-b.05.05.03.15a.15.3,ref-sifre-d.1.18.129-ref-sifre-d.1.18.150,8161423,8161536,1147878,1147897,ref-b.5.5.3.15a.14.6,ref-b.5.5.3.15a.15.3,4201,4323,702,723,ref-sifre-d.1.18.129,ref-sifre-d.1.18.150,"נסיונות ניסו אבותינו להקב""ה שנים בים ושנים במים שנים במן שנים בשליו אחת בעגל ואחת במדבר פארן שנים בים אחת ","נסיונות שנסו אבותינו הקב""ה במדבר ואלו הם ב' בים וב' במים וב' במן ב' בשליו ואחד במעשה העגל ואחד במדבר פארן ואחד ",19,21,3862.0,14.0,0.44144144144144143,0.5,3080000010
