,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-b,grp-ref-sifre-n,dam-lev,jac,id
0,0,ref-b.5.2.9.86b.5.1-ref-b.5.2.9.86b.5.9,ref-sifre-n.1.2.41-ref-sifre-n.1.2.49,7407341,7407379,1040404,1040409,ref-b.5.2.9.86b.5.1,ref-b.5.2.9.86b.5.9,447,485,49,54,ref-sifre-n.1.2.41,ref-sifre-n.1.2.49,צו את בני ישראל ויקחו אליך שמן זית זך ,צו את בני ישראל ויקחו אליך שמן זית זך ,5,5,2428.0,0.0,0.0,0.0,3070000001
1,1,ref-b.1.1.9.57a.8.50-ref-b.1.1.9.57a.8.54,ref-sifre-n.1.2.45-ref-sifre-n.1.2.49,305408,305430,42625,42629,ref-b.1.1.9.57a.8.50,ref-b.1.1.9.57a.8.54,463,485,50,54,ref-sifre-n.1.2.45,ref-sifre-n.1.2.49,ויקחו אליך שמן זית זך ,ויקחו אליך שמן זית זך ,4,4,61.0,0.0,0.0,0.0,3070000002
2,2,ref-b.3.7.1.29a.14.1-ref-b.3.7.1.29a.14.7,ref-sifre-n.1.2.109-ref-sifre-n.1.2.115,4483209,4483251,618653,618658,ref-b.3.7.1.29a.14.1,ref-b.3.7.1.29a.14.7,817,857,93,98,ref-sifre-n.1.2.109,ref-sifre-n.1.2.115,זירוז דכתיב וצו את יהושע וחזקהו ואמצהו ,זירוז שנא' וצו את יהושע וחזקהו ואמצהו ,5,5,1553.0,2.0,0.1282051282051282,0.25,3070000003
3,3,ref-b.1.1.9.57a.8.49-ref-b.1.1.9.57a.8.54,ref-sifre-n.1.2.139-ref-sifre-n.1.2.148,305401,305430,42624,42629,ref-b.1.1.9.57a.8.49,ref-b.1.1.9.57a.8.54,983,1028,116,122,ref-sifre-n.1.2.139,ref-sifre-n.1.2.148,שנאמר ויקחו אליך שמן זית זך ,שנאמר צו את בני ישראל ויקחו אליך שמן זית זך ,5,6,61.0,3.0,0.36363636363636365,0.4,3070000004
4,4,ref-b.5.2.9.86b.5.1-ref-b.5.2.9.86b.5.9,ref-sifre-n.1.2.140-ref-sifre-n.1.2.148,7407341,7407379,1040404,1040409,ref-b.5.2.9.86b.5.1,ref-b.5.2.9.86b.5.9,990,1028,117,122,ref-sifre-n.1.2.140,ref-sifre-n.1.2.148,צו את בני ישראל ויקחו אליך שמן זית זך ,צו את בני ישראל ויקחו אליך שמן זית זך ,5,5,2428.0,3.0,0.0,0.0,3070000005
5,5,ref-b.4.4.7.56b.23.13-ref-b.4.4.7.56b.23.17,ref-sifre-n.1.2.210-ref-sifre-n.1.2.214,6157506,6157529,857304,857308,ref-b.4.4.7.56b.23.13,ref-b.4.4.7.56b.23.17,1328,1351,167,171,ref-sifre-n.1.2.210,ref-sifre-n.1.2.214,ויצו ה' אלהים על האדם ,ויצו ה' אלהים על האדם ,4,4,1887.0,5.0,0.0,0.0,3070000006
6,6,ref-b.4.4.7.56b.4.8-ref-b.4.4.7.56b.4.15,ref-sifre-n.1.2.210-ref-sifre-n.1.2.216,6155475,6155511,857022,857029,ref-b.4.4.7.56b.4.8,ref-b.4.4.7.56b.4.15,1328,1362,167,173,ref-sifre-n.1.2.210,ref-sifre-n.1.2.216,ויצו ה' אלהים על האדם לאמר מכל עץ ,ויצו ה' אלהים על האדם וגו' ומעץ ,7,6,1883.0,5.0,0.23529411764705882,0.5,3070000007
7,7,ref-b.2.4.6.67b.5.22-ref-b.2.4.6.67b.6.11,ref-sifre-n.1.3.75-ref-sifre-n.1.4.8,1493615,1493679,203576,203587,ref-b.2.4.6.67b.5.22,ref-b.2.4.6.67b.6.11,1761,1849,223,238,ref-sifre-n.1.3.75,ref-sifre-n.1.4.8,ליה בעל קרי לזב וכל צרוע למה לי איידי דכתיב כל זב כתיב נמי כל ,כל צרוע וכל זב אלא בא הכתוב ליתן להם את המחיצות וישלחו מן המחנה כל צרוע וכל זב וכל ,11,15,279.0,7.0,0.7108433734939759,0.7058823529411764,3070000008
8,8,ref-b.5.5.3.16b.2.28-ref-b.5.5.3.16b.2.35,ref-sifre-n.1.4.18-ref-sifre-n.1.4.23,8168481,8168525,1148962,1148969,ref-b.5.5.3.16b.2.28,ref-b.5.5.3.16b.2.35,1898,1931,246,251,ref-sifre-n.1.4.18,ref-sifre-n.1.4.23,מצורע שאמרה תורה בדד ישב מחוץ למחנה מושבו ,במצורע בדד ישב מחוץ למחנה מושבו ,7,5,2677.0,8.0,0.2857142857142857,0.5,3070000009
9,9,ref-b.1.1.3.25a.11.9-ref-b.1.1.3.25a.11.15,ref-sifre-n.1.4.19-ref-sifre-n.1.4.25,130466,130502,18267,18273,ref-b.1.1.3.25a.11.9,ref-b.1.1.3.25a.11.15,1906,1941,247,253,ref-sifre-n.1.4.19,ref-sifre-n.1.4.25,בדד ישב מחוץ למחנה מושבו הכא והיה ,בדד ישב מחוץ למחנה מושבו מצורע היה ,6,6,25.0,8.0,0.17142857142857143,0.33333333333333337,3070000010
