,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,dam-lev,jac
0,ref-bible.0310.4.15.1-ref-bible.0310.4.15.11,ref-b.1.01.2b.74-ref-b.1.01.2b.84,1402000,1402071,240961,240970,ref-bible.310.4.15.1,ref-bible.310.4.15.11,1648,1720,252,261,ref-b.1.1.2b.74,ref-b.1.1.2b.84,ואנחנו עשים במלאכה וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,ואנחנו עושים במלאכה וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,11,11,6640,0,0.014925373134328358,0.0
1,ref-bible.0310.4.10.7-ref-bible.0310.4.10.11,ref-b.1.01.2b.75-ref-b.1.01.2b.79,1401606,1401642,240899,240903,ref-bible.310.4.10.7,ref-bible.310.4.10.11,1656,1692,253,257,ref-b.1.1.2b.75,ref-b.1.1.2b.79,עשים במלאכה וחצים מחזיקים והרמחים ,עושים במלאכה וחצים מחזיקים ברמחים ,5,5,6638,1,0.08823529411764706,0.0
2,ref-bible.0208.25.30.8-ref-bible.0208.25.30.20,ref-b.1.01.2b.402-ref-b.1.01.2b.413,916099,916167,155535,155547,ref-bible.208.25.30.8,ref-bible.208.25.30.20,3370,3432,489,500,ref-b.1.1.2b.402,ref-b.1.1.2b.413,ואמרת אליהם יהוה ממרום ישאג וממעון קדשו יתן קולו שאג ישאג על נוהו ,שנאמר ה' ממרום ישאג וממעון קדשו יתן קולו שאוג ישאג על נוהו ,13,12,4406,2,0.19696969696969696,0.36363636363636365
3,ref-bible.0202.7.18.16-ref-bible.0202.7.19.11,ref-b.1.01.3b.17-ref-b.1.01.3b.26,481822,481894,80380,80391,ref-bible.202.7.18.16,ref-bible.202.7.19.11,5617,5675,852,861,ref-b.1.1.3b.17,ref-b.1.1.3b.26,ולגדעון ויבא גדעון ומאה איש אשר אתו בקצה המחנה ראש האשמרת התיכונה ,גדעון ומאה איש אשר אתו בקצה המחנה ראש האשמורת התיכונה ,12,10,2880,3,0.21212121212121213,0.16666666666666663
4,ref-bible.0301.119.62.1-ref-bible.0301.119.62.8,ref-b.1.01.3b.62-ref-b.1.01.3b.69,1239693,1239731,210983,210990,ref-bible.301.119.62.1,ref-bible.301.119.62.8,5863,5901,888,895,ref-b.1.1.3b.62,ref-b.1.1.3b.69,חצות לילה אקום להודות לך על משפטי צדקך ,חצות לילה אקום להודות לך על משפטי צדקך ,8,8,5741,4,0.0,0.0
5,ref-bible.0203.30.17.1-ref-bible.0203.30.17.7,ref-b.1.01.3b.243-ref-b.1.01.3b.250,585190,585230,98454,98460,ref-bible.203.30.17.1,ref-bible.203.30.17.7,6761,6804,1023,1030,ref-b.1.1.3b.243,ref-b.1.1.3b.250,ויכם דוד מהנשף ועד הערב למחרתם ולא ,ויכם דוד מהנשף ועד הערב למחרתם מאי לאו ,7,8,3136,5,0.1282051282051282,0.1428571428571429
6,ref-bible.0102.11.4.6-ref-bible.0102.11.4.11,ref-b.1.01.3b.296-ref-b.1.01.3b.301,126742,126774,22388,22393,ref-bible.102.11.4.6,ref-bible.102.11.4.11,7030,7063,1069,1074,ref-b.1.1.3b.296,ref-b.1.1.3b.301,כחצת הלילה אני יוצא בתוך מצרים ,כחצות הלילה אני יוצא בתוך מצרים ,6,6,542,6,0.03125,0.2857142857142857
7,ref-bible.0204.16.23.1-ref-bible.0204.16.23.11,ref-b.1.01.3b.435-ref-b.1.01.3b.444,623629,623689,105206,105216,ref-bible.204.16.23.1,ref-bible.204.16.23.11,7789,7846,1182,1191,ref-b.1.1.3b.435,ref-b.1.1.3b.444,ועצת אחיתפל אשר יעץ בימים ההם כאשר ישאל איש בדבר האלהים ,ועצת אחיתופל אשר יעץ בימים ההם כאשר ישאל בדבר האלהים ,11,10,3235,7,0.08928571428571429,0.11111111111111116
8,ref-bible.0301.57.9.1-ref-bible.0301.57.9.7,ref-b.1.01.3b.495-ref-b.1.01.3b.501,1191340,1191378,202156,202162,ref-bible.301.57.9.1,ref-bible.301.57.9.7,8113,8151,1231,1237,ref-b.1.1.3b.495,ref-b.1.1.3b.501,עורה כבודי עורה הנבל וכנור אעירה שחר ,עורה כבודי עורה הנבל וכנור אעירה שחר ,7,7,5459,8,0.0,0.0
9,ref-bible.0301.108.2.7-ref-bible.0301.108.3.5,ref-b.1.01.3b.496-ref-b.1.01.3b.501,1231928,1231961,209553,209558,ref-bible.301.108.2.7,ref-bible.301.108.3.5,8118,8151,1232,1237,ref-b.1.1.3b.496,ref-b.1.1.3b.501,כבודי עורה הנבל וכנור אעירה שחר ,כבודי עורה הנבל וכנור אעירה שחר ,6,6,5703,9,0.0,0.0
10,ref-bible.0301.119.62.1-ref-bible.0301.119.62.5,ref-b.1.01.4a.105-ref-b.1.01.4a.109,1239693,1239717,210983,210987,ref-bible.301.119.62.1,ref-bible.301.119.62.5,8668,8692,1322,1326,ref-b.1.1.4a.105,ref-b.1.1.4a.109,חצות לילה אקום להודות לך ,חצות לילה אקום להודות לך ,5,5,5740,10,0.0,0.0
11,ref-bible.0301.119.46.1-ref-bible.0301.119.46.6,ref-b.1.01.4a.174-ref-b.1.01.4a.179,1239175,1239210,210890,210895,ref-bible.301.119.46.1,ref-bible.301.119.46.6,9025,9061,1377,1382,ref-b.1.1.4a.174,ref-b.1.1.4a.179,ואדברה בעדתיך נגד מלכים ולא אבוש ,ואדברה בעדותיך נגד מלכים ולא אבוש ,6,6,5737,11,0.029411764705882353,0.0
13,ref-bible.0302.23.15.1-ref-bible.0302.23.15.8,ref-b.1.01.4a.224-ref-b.1.01.4a.231,1282247,1282277,218968,218975,ref-bible.302.23.15.1,ref-bible.302.23.15.8,9285,9315,1419,1426,ref-b.1.1.4a.224,ref-b.1.1.4a.231,בני אם חכם לבך ישמח לבי גם אני ,בני אם חכם לבך ישמח לבי גם אני ,8,8,6029,13,0.0,0.0
14,ref-bible.0302.27.11.1-ref-bible.0302.27.11.7,ref-b.1.01.4a.233-ref-b.1.01.4a.239,1287150,1287184,219936,219942,ref-bible.302.27.11.1,ref-bible.302.27.11.7,9323,9358,1428,1434,ref-b.1.1.4a.233,ref-b.1.1.4a.239,חכם בני ושמח לבי ואשיבה חרפי דבר ,חכם בני ושמח לבי ואשיבה חורפי דבר ,7,7,6084,14,0.029411764705882353,0.0
15,ref-bible.0301.27.13.1-ref-bible.0301.27.13.7,ref-b.1.01.4a.246-ref-b.1.01.4a.252,1169672,1169711,198111,198117,ref-bible.301.27.13.1,ref-bible.301.27.13.7,9393,9430,1441,1447,ref-b.1.1.4a.246,ref-b.1.1.4a.252,לולא האמנתי לראות בטוב יהוה בארץ חיים ,לולא האמנתי לראות בטוב ה' בארץ חיים ,7,7,5318,15,0.07894736842105263,0.1428571428571429
16,ref-bible.0101.28.15.1-ref-bible.0101.28.15.7,ref-b.1.01.4a.299-ref-b.1.01.4a.305,53564,53600,9504,9510,ref-bible.101.28.15.1,ref-bible.101.28.15.7,9649,9685,1475,1481,ref-b.1.1.4a.299,ref-b.1.1.4a.305,והנה אנכי עמך ושמרתיך בכל אשר תלך ,והנה אנכי עמך ושמרתיך בכל אשר תלך ,7,7,303,16,0.0,0.0
17,ref-bible.0212.5.2.1-ref-bible.0212.5.2.6,ref-b.1.01.4b.356-ref-b.1.01.4b.361,1103473,1103502,186494,186499,ref-bible.212.5.2.1,ref-bible.212.5.2.6,12002,12031,1826,1831,ref-b.1.1.4b.356,ref-b.1.1.4b.361,נפלה לא תוסיף קום בתולת ישראל ,נפלה לא תוסיף קום בתולת ישראל ,6,6,4984,17,0.0,0.0
18,ref-bible.0212.5.2.1-ref-bible.0212.5.2.6,ref-b.1.01.4b.366-ref-b.1.01.4b.373,1103473,1103502,186494,186499,ref-bible.212.5.2.1,ref-bible.212.5.2.6,12053,12094,1836,1843,ref-b.1.1.4b.366,ref-b.1.1.4b.373,נפלה לא תוסיף קום בתולת ישראל ,נפלה ולא תוסיף לנפול עוד קום בתולת ישראל ,6,8,4985,18,0.2682926829268293,0.375
19,ref-bible.0207.6.6.1-ref-bible.0207.6.6.5,ref-b.1.01.4b.406-ref-b.1.01.4b.410,785985,786009,132532,132535,ref-bible.207.6.6.1,ref-bible.207.6.6.5,12266,12290,1869,1872,ref-b.1.1.4b.406,ref-b.1.1.4b.410,ויעף אלי אחד מן השרפים ,ויעף אלי אחד מן השרפים ,5,5,3846,19,0.0,0.0
20,ref-bible.0311.9.21.5-ref-bible.0311.9.21.12,ref-b.1.01.4b.415-ref-b.1.01.4b.422,1450583,1450629,249355,249362,ref-bible.311.9.21.5,ref-bible.311.9.21.12,12313,12360,1877,1884,ref-b.1.1.4b.415,ref-b.1.1.4b.422,והאיש גבריאל אשר ראיתי בחזון בתחלה מעף ביעף ,והאיש גבריאל אשר ראיתי בחזון בתחלה מועף ביעף ,8,8,6755,20,0.022222222222222223,0.0
21,ref-bible.0207.6.6.1-ref-bible.0207.6.6.5,ref-b.1.01.4b.438-ref-b.1.01.4b.442,785985,786009,132532,132535,ref-bible.207.6.6.1,ref-bible.207.6.6.5,12430,12454,1896,1899,ref-b.1.1.4b.438,ref-b.1.1.4b.442,ויעף אלי אחד מן השרפים ,ויעף אלי אחד מן השרפים ,5,5,3847,21,0.0,0.0
22,ref-bible.0301.4.4.9-ref-bible.0301.4.5.8,ref-b.1.01.4b.482-ref-b.1.01.4b.490,1154937,1154993,195363,195372,ref-bible.301.4.4.9,ref-bible.301.4.5.8,12676,12725,1934,1942,ref-b.1.1.4b.482,ref-b.1.1.4b.490,בקראי אליו רגזו ואל תחטאו אמרו בלבבכם על משכבכם ודמו ,קרא רגזו ואל תחטאו אמרו בלבבכם על משכבכם ודומו ,10,9,5229,22,0.1509433962264151,0.0
23,ref-bible.0301.31.6.1-ref-bible.0301.31.6.8,ref-b.1.01.4b.513-ref-b.1.01.4b.520,1171436,1171475,198440,198447,ref-bible.301.31.6.1,ref-bible.301.31.6.8,12828,12865,1956,1963,ref-b.1.1.4b.513,ref-b.1.1.4b.520,בידך אפקיד רוחי פדיתה אותי יהוה אל אמת ,בידך אפקיד רוחי פדיתה אותי ה' אל אמת ,8,8,5327,23,0.07692307692307693,0.125
24,ref-bible.0102.24.12.10-ref-bible.0102.24.12.18,ref-b.1.01.5a.65-ref-b.1.01.5a.73,153254,153302,27010,27017,ref-bible.102.24.12.10,ref-bible.102.24.12.18,13166,13216,2005,2012,ref-b.1.1.5a.65,ref-b.1.1.5a.73,ואתנה לך את לחת האבן והתורה והמצוה אשר כתבתי ,ואתנה לך את לוחות האבן והתורה והמצוה אשר כתבתי ,9,9,740,24,0.0425531914893617,0.19999999999999996
26,ref-bible.0301.149.5.1-ref-bible.0301.149.6.6,ref-b.1.01.5a.116-ref-b.1.01.5a.140,1256807,1256880,214053,214064,ref-bible.301.149.5.1,ref-bible.301.149.6.6,13442,13585,2054,2072,ref-b.1.1.5a.116,ref-b.1.1.5a.140,יעלזו חסידים בכבוד ירננו על משכבותם רוממות אל בגרונם וחרב פיפיות בידם ,וחרב פיפיות בידם מאי משמע אמר מר זוטרא ואיתימא רב אשי מרישא דענינא דכתיב יעלזו חסידים בכבוד ירננו על משכבותם וכתיב בתריה רוממות אל בגרונם ,12,25,5831,26,0.7101449275362319,0.5
27,ref-bible.0302.23.5.1-ref-bible.0302.23.5.5,ref-b.1.01.5a.162-ref-b.1.01.5a.169,1281812,1281841,218884,218888,ref-bible.302.23.5.1,ref-bible.302.23.5.5,13702,13743,2090,2095,ref-b.1.1.5a.162,ref-b.1.1.5a.169,התעוף התעיף עיניך בו ואיננו ,עוף אלא תורה שנאמר התעיף עיניך בו ואיננו ,5,8,6024,27,0.4146341463414634,0.5714285714285714
28,ref-bible.0105.32.24.1-ref-bible.0105.32.24.6,ref-b.1.01.5a.175-ref-b.1.01.5a.180,406972,407002,67984,67989,ref-bible.105.32.24.1,ref-bible.105.32.24.6,13772,13803,2101,2106,ref-b.1.1.5a.175,ref-b.1.1.5a.180,מזי רעב ולחמי רשף וקטב מרירי ,מזי רעב ולחומי רשף וקטב מרירי ,6,6,2647,28,0.03333333333333333,0.0
29,ref-bible.0302.23.5.1-ref-bible.0302.23.5.5,ref-b.1.01.5a.198-ref-b.1.01.5a.205,1281812,1281841,218884,218888,ref-bible.302.23.5.1,ref-bible.302.23.5.5,13895,13936,2118,2123,ref-b.1.1.5a.198,ref-b.1.1.5a.205,התעוף התעיף עיניך בו ואיננו ,עוף אלא תורה שנאמר התעיף עיניך בו ואיננו ,5,8,6025,29,0.4146341463414634,0.5714285714285714
30,ref-bible.0105.32.24.1-ref-bible.0105.32.24.4,ref-b.1.01.5a.211-ref-b.1.01.5a.214,406972,406990,67984,67987,ref-bible.105.32.24.1,ref-bible.105.32.24.4,13965,13984,2129,2132,ref-b.1.1.5a.211,ref-b.1.1.5a.214,מזי רעב ולחמי רשף ,מזי רעב ולחומי רשף ,4,4,2646,30,0.05263157894736842,0.0
31,ref-bible.0102.15.26.5-ref-bible.0102.15.26.27,ref-b.1.01.5a.232-ref-b.1.01.5a.254,136764,136889,24072,24092,ref-bible.102.15.26.5,ref-bible.102.15.26.27,14070,14192,2142,2162,ref-b.1.1.5a.232,ref-b.1.1.5a.254,לקול יהוה אלהיך והישר בעיניו תעשה והאזנת למצותיו ושמרת כל חקיו כל המחלה אשר שמתי במצרים לא אשים עליך כי אני יהוה רפאך ,לקול ה' אלהיך והישר בעיניו תעשה והאזנת למצותיו ושמרת כל חקיו כל המחלה אשר שמתי במצרים לא אשים עליך כי אני ה' רופאך ,23,23,593,31,0.059322033898305086,0.05555555555555558
32,ref-bible.0301.39.3.1-ref-bible.0301.39.3.6,ref-b.1.01.5a.271-ref-b.1.01.5a.276,1178974,1179011,199836,199841,ref-bible.301.39.3.1,ref-bible.301.39.3.6,14286,14323,2178,2183,ref-b.1.1.5a.271,ref-b.1.1.5a.276,נאלמתי דומיה החשיתי מטוב וכאבי נעכר ,נאלמתי דומיה החשיתי מטוב וכאבי נעכר ,6,6,5377,32,0.0,0.0
33,ref-bible.0301.94.12.1-ref-bible.0301.94.12.7,ref-b.1.01.5a.362-ref-b.1.01.5a.368,1219895,1219935,207412,207418,ref-bible.301.94.12.1,ref-bible.301.94.12.7,14746,14786,2234,2240,ref-b.1.1.5a.362,ref-b.1.1.5a.368,אשרי הגבר אשר תיסרנו יה ומתורתך תלמדנו ,אשרי הגבר אשר תיסרנו יה ומתורתך תלמדנו ,7,7,5619,33,0.0,0.0
34,ref-bible.0207.53.10.2-ref-bible.0207.53.10.8,ref-b.1.01.5a.401-ref-b.1.01.5a.414,850592,850623,144271,144277,ref-bible.207.53.10.2,ref-bible.207.53.10.8,14940,15008,2265,2275,ref-b.1.1.5a.401,ref-b.1.1.5a.414,חפץ דכאו החלי אם תשים אשם נפשו ,חפץ דכאו החלי יכול אפילו לא קבלם מאהבה תלמוד לומר אם תשים אשם נפשו ,7,14,4154,34,0.5373134328358209,0.46153846153846156
35,ref-bible.0207.53.10.9-ref-bible.0207.53.10.16,ref-b.1.01.5a.425-ref-b.1.01.5a.439,850624,850665,144278,144285,ref-bible.207.53.10.9,ref-bible.207.53.10.16,15054,15132,2286,2296,ref-b.1.1.5a.425,ref-b.1.1.5a.439,יראה זרע יאריך ימים וחפץ יהוה בידו יצלח ,יראה זרע יאריך ימים ולא עוד אלא שתלמודו מתקיים בידו שנא' וחפץ ה' בידו יצלח ,8,15,4155,35,0.52,0.46153846153846156
36,ref-bible.0301.94.12.1-ref-bible.0301.94.12.7,ref-b.1.01.5a.463-ref-b.1.01.5a.469,1219895,1219935,207412,207418,ref-bible.301.94.12.1,ref-bible.301.94.12.7,15237,15277,2310,2316,ref-b.1.1.5a.463,ref-b.1.1.5a.469,אשרי הגבר אשר תיסרנו יה ומתורתך תלמדנו ,אשרי הגבר אשר תיסרנו יה ומתורתך תלמדנו ,7,7,5620,36,0.0,0.0
37,ref-bible.0301.66.19.6-ref-bible.0301.66.20.8,ref-b.1.01.5a.481-ref-b.1.01.5a.490,1196661,1196708,203149,203156,ref-bible.301.66.19.6,ref-bible.301.66.20.8,15327,15380,2327,2335,ref-b.1.1.5a.481,ref-b.1.1.5a.490,תפלתי ברוך אלהים אשר לא הסיר תפלתי וחסדו מאתי ,תפלה שנאמר ברוך אלהים אשר לא הסיר תפלתי וחסדו מאתי ,9,10,5493,37,0.13725490196078433,0.2222222222222222
38,ref-bible.0301.94.12.1-ref-bible.0301.94.12.7,ref-b.1.01.5a.636-ref-b.1.01.5a.642,1219895,1219935,207412,207418,ref-bible.301.94.12.1,ref-bible.301.94.12.7,16115,16155,2441,2447,ref-b.1.1.5a.636,ref-b.1.1.5a.642,אשרי הגבר אשר תיסרנו יה ומתורתך תלמדנו ,אשרי הגבר אשר תיסרנו יה ומתורתך תלמדנו ,7,7,5621,38,0.0,0.0
39,ref-bible.0105.8.5.4-ref-bible.0105.8.5.12,ref-b.1.01.5a.646-ref-b.1.01.5a.654,357213,357253,59790,59797,ref-bible.105.8.5.4,ref-bible.105.8.5.12,16172,16210,2450,2457,ref-b.1.1.5a.646,ref-b.1.1.5a.654,כי כאשר ייסר איש את בנו יהוה אלהיך מיסרך ,כי כאשר ייסר איש את בנו ה' אלהיך מיסרך ,9,9,2309,39,0.07317073170731707,0.125
40,ref-bible.0302.6.23.1-ref-bible.0302.6.23.9,ref-b.1.01.5a.667-ref-b.1.01.5a.675,1263359,1263403,215278,215286,ref-bible.302.6.23.1,ref-bible.302.6.23.9,16273,16317,2466,2474,ref-b.1.1.5a.667,ref-b.1.1.5a.675,כי נר מצוה ותורה אור ודרך חיים תוכחות מוסר ,כי נר מצוה ותורה אור ודרך חיים תוכחות מוסר ,9,9,5898,40,0.0,0.0
