,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,dam-lev,jac
0,ref-bible.0310.4.15.4-ref-bible.0310.4.15.11,ref-t.1.1.1.1.34-ref-t.1.1.1.1.41,1402021,1402071,240964,240970,ref-bible.310.4.15.4,ref-bible.310.4.15.11,185,235,23,29,ref-t.1.1.1.1.34,ref-t.1.1.1.1.41,וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,8,8,825,0,0.0,0.0
1,ref-bible.0105.16.3.16-ref-bible.0105.16.3.22,ref-t.1.1.1.10.27-ref-t.1.1.1.10.33,373467,373500,62386,62391,ref-bible.105.16.3.16,ref-bible.105.16.3.22,2628,2662,414,419,ref-t.1.1.1.10.27,ref-t.1.1.1.10.33,מצרים למען תזכר את יום צאתך מארץ ,למען תזכור את יום צאתך מארץ מצרים ,7,7,362,1,0.38235294117647056,0.0
3,ref-bible.0208.23.8.6-ref-bible.0208.23.8.14,ref-t.1.1.1.10.92-ref-t.1.1.1.10.100,910076,910120,154577,154583,ref-bible.208.23.8.6,ref-bible.208.23.8.14,2945,2988,469,475,ref-t.1.1.1.10.92,ref-t.1.1.1.10.100,העלה ואשר הביא את זרע בית ישראל מארץ צפונה ,העלה ואשר הביא את זרע בית ישראל מארץ צפון ,9,9,613,3,0.046511627906976744,0.0
4,ref-bible.0101.35.10.6-ref-bible.0101.35.10.13,ref-t.1.1.1.10.122-ref-t.1.1.1.10.129,69822,69854,12460,12466,ref-bible.101.35.10.6,ref-bible.101.35.10.13,3106,3138,495,501,ref-t.1.1.1.10.122,ref-t.1.1.1.10.129,לא יקרא שמך עוד יעקב כי אם ישראל ,לא יקרא עוד שמך יעקב כי אם ישראל ,8,8,45,4,0.18181818181818182,0.0
6,ref-bible.0207.43.18.1-ref-bible.0207.43.19.5,ref-t.1.1.1.11.9-ref-t.1.1.1.11.25,836607,836665,141700,141710,ref-bible.207.43.18.1,ref-bible.207.43.19.5,3270,3359,525,541,ref-t.1.1.1.11.9,ref-t.1.1.1.11.25,אל תזכרו ראשנות וקדמניות אל תתבננו הנני עשה חדשה עתה תצמח ,אל תזכרו ראשונות אילו של מלכיות וקדמוניות אל תתבוננו אלו של מצרים הנני עשה חדשה עתה תצמח ,11,17,596,6,0.34831460674157305,0.23076923076923073
7,ref-bible.0101.17.5.1-ref-bible.0101.17.5.11,ref-t.1.1.1.12.3-ref-t.1.1.1.12.15,26317,26364,4592,4601,ref-bible.101.17.5.1,ref-bible.101.17.5.11,3683,3739,598,607,ref-t.1.1.1.12.3,ref-t.1.1.1.12.15,ולא יקרא עוד את שמך אברם והיה שמך אברהם כי אב ,לא יקרא עוד את שמך אברם והיה שמך אברהם כתחלה הרי את אב ,11,13,18,7,0.2,0.33333333333333337
9,ref-bible.0101.17.5.1-ref-bible.0101.17.5.14,ref-t.1.1.1.12.25-ref-t.1.1.1.13.8,26317,26380,4592,4604,ref-bible.101.17.5.1,ref-bible.101.17.5.14,3783,3838,616,627,ref-t.1.1.1.12.25,ref-t.1.1.1.13.8,ולא יקרא עוד את שמך אברם והיה שמך אברהם כי אב המון גוים נתתיך ,כי אב המון גוים נתתיך כיוצא בו שרי אשתך לא תקרא את שמה ,14,13,19,9,0.7580645161290323,0.6666666666666667
10,ref-bible.0101.17.15.5-ref-bible.0101.17.15.14,ref-t.1.1.1.13.3-ref-t.1.1.1.13.12,27051,27089,4709,4717,ref-bible.101.17.15.5,ref-bible.101.17.15.14,3815,3853,623,631,ref-t.1.1.1.13.3,ref-t.1.1.1.13.12,שרי אשתך לא תקרא את שמה שרי כי שרה שמה ,שרי אשתך לא תקרא את שמה שרי כי שרה שמה ,10,10,21,10,0.0,0.0
11,ref-bible.0301.76.2.5-ref-bible.0301.76.3.5,ref-t.1.1.1.14.69-ref-t.1.1.1.15.7,1204979,1205019,204691,204697,ref-bible.301.76.2.5,ref-bible.301.76.3.5,4282,4332,710,717,ref-t.1.1.1.14.69,ref-t.1.1.1.15.7,גדול שמו ויהי בשלם סכו ומעונתו בציון ,לגדול' כיוצא בו ויהי בשלם סוכו ומעונתו בציון ,7,8,736,11,0.2222222222222222,0.5
12,ref-bible.0208.32.31.3-ref-bible.0208.32.31.8,ref-t.1.1.1.15.20-ref-t.1.1.1.15.25,933227,933254,158272,158277,ref-bible.208.32.31.3,ref-bible.208.32.31.8,4387,4414,729,734,ref-t.1.1.1.15.20,ref-t.1.1.1.15.25,אפי ועל חמתי היתה לי העיר ,אפי ועל חמתי היתה לי העיר ,6,6,625,12,0.0,0.0
