baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-m,dam-lev,jac,id
ref-m.1.1.1.5.26-ref-m.1.1.1.5.36,ref-bible.0105.16.3.14-ref-bible.0105.16.3.24,1398,1448,ref-m.1.1.1.5.26,ref-m.1.1.1.5.36,372955,373017,ref-bible.0105.16.3.14,ref-bible.0105.16.3.24,מצרים למען תזכר את יום צאתך מארץ מצרים כל ימי חייך,יצאת מארץ מצרים למען תזכר את יום צאתך מארץ מצרים כל ימי חייך,10,13,292,292.0,0,0.0,0.16666666666666666,0.09999999999999998,1090000001
ref-m.1.1.7.3.4-ref-m.1.1.7.3.27,ref-bible.0101.48.20.1-ref-bible.0101.48.20.10,7702,7835,ref-m.1.1.7.3.4,ref-m.1.1.7.3.27,101641,101696,ref-bible.0101.48.20.1,ref-bible.0101.48.20.10,ויברכם ביום ההוא לאמור בך יברך ישראל לאמר ישמך אלהים,ויברכם ביום ההוא לאמור בך יברך ישראל לאמר ישמך אלהים,23,10,19,19.0,2,2.0,0.0,0.0,1090000002
ref-m.1.1.7.3.29-ref-m.1.1.7.3.36,ref-bible.0101.48.20.3-ref-bible.101.48.20.10,7842,7884,ref-m.1.1.7.3.29,ref-m.1.1.7.3.36,101655,101696,ref-bible.0101.48.20.3,ref-bible.0101.48.20.10,והוא אומר ברכו באלף אומר נברך לה' אלהינו ,ההוא לאמור בך יברך ישראל לאמר ישמך אלהים ,8,8,21,19.0,4,4.0,0.5853658536585366,0.8,1090000003
ref-m.1.1.7.3.40-ref-m.1.1.7.3.47,ref-bible.0101.48.20.3-ref-bible.101.48.20.10,7902,7945,ref-m.1.1.7.3.40,ref-m.1.1.7.3.47,101655,101696,ref-bible.0101.48.20.3,ref-bible.0101.48.20.10,והוא אומר ברכו ברבוא אומר נברך לה' אלהינו ,ההוא לאמור בך יברך ישראל לאמר ישמך אלהים ,8,8,22,19.0,5,5.0,0.5714285714285714,0.8,1090000004
ref-m.1.1.9.2.12-ref-m.1.1.9.2.21,ref-bible.0101.49.26.1-ref-bible.101.49.26.10,10019,10074,ref-m.1.1.9.2.12,ref-m.1.1.9.2.21,103167,103212,ref-bible.0101.49.26.1,ref-bible.0101.49.26.10,ברוך שכחו וגבורתו מלא עולם על ההרים ועל הגבעות ועל ,ברכת אביך גברו על ברכת הורי עד תאות גבעת עולם ,10,10,23,23.0,7,6.0,0.5882352941176471,0.7857142857142857,1090000005
ref-m.1.1.9.2.7-ref-m.1.1.9.2.22,ref-bible.0210.10.8.8-ref-bible.210.10.9.1,9988,10081,ref-m.1.1.9.2.7,ref-m.1.1.9.2.22,1089017,1089077,ref-bible.0210.10.8.8,ref-bible.0210.10.9.1,ועל הרעמים ועל הרוחות אומר ברוך שכחו וגבורתו מלא עולם על ההרים ועל הגבעות ועל הימים ,יעלה על מזבחותם ואמרו להרים כסונו ולגבעות נפלו עלינו מימי ,16,10,493,493.0,6,6.0,0.6309523809523809,0.7647058823529411,1090000006
ref-m.1.1.9.5.16-ref-m.1.1.9.5.22,ref-bible.0206.23.25.10-ref-bible.206.23.25.16,10819,10855,ref-m.1.1.9.5.16,ref-m.1.1.9.5.22,771844,771880,ref-bible.0206.23.25.10,ref-bible.0206.23.25.16,בכל לבבך ובכל נפשך ובכל מאדך בכל ,בכל לבבו ובכל נפשו ובכל מאדו ככל ,7,7,408,408.0,8,8.0,0.12121212121212122,0.75,1090000007
ref-m.1.1.9.5.120-ref-m.1.1.9.5.137,ref-bible.0305.1.19.8-ref-bible.305.1.20.2,11377,11468,ref-m.1.1.9.5.120,ref-m.1.1.9.5.137,1342166,1342234,ref-bible.0305.1.19.8,ref-bible.0305.1.20.2,בא מבית לחם ויאמר לקוצרים ה' עמכם ויאמרו לו יברכך ה' ואומר ה' עמך גבור החיל ואומר אל ,כבאנה בית לחם ותהם כל העיר עליהן ותאמרנה הזאת נעמי ותאמר אליהן ,18,12,583,582.0,11,9.0,0.6470588235294118,0.9047619047619048,1090000008
ref-m.1.1.9.5.118-ref-m.1.1.9.5.126,ref-bible.0305.1.22.10-ref-bible.305.2.1.1,11366,11413,ref-m.1.1.9.5.118,ref-m.1.1.9.5.126,1342416,1342459,ref-bible.0305.1.22.10,ref-bible.0305.2.1.1,והנה בעז בא מבית לחם ויאמר לקוצרים ה' עמכם ,והמה באו בית לחם בתחלת קציר שערים ולנעמי ,9,8,584,584.0,9,9.0,0.5581395348837209,0.8461538461538461,1090000009
ref-m.1.1.9.5.118-ref-m.1.1.9.5.131,ref-bible.0305.2.4.1-ref-bible.305.2.5.1,11366,11440,ref-m.1.1.9.5.118,ref-m.1.1.9.5.131,1342702,1342780,ref-bible.0305.2.4.1,ref-bible.0305.2.5.1,והנה בעז בא מבית לחם ויאמר לקוצרים ה' עמכם ויאמרו לו יברכך ה' ואומר ,והנה בעז בא מבית לחם ויאמר לקוצרים יהוה עמכם ויאמרו לו יברכך יהוה ויאמר ,14,14,585,585.0,10,9.0,0.1111111111111111,0.11111111111111116,1090000010
ref-m.1.2.2.2.11-ref-m.1.2.2.2.15,ref-bible.0207.7.24.9-ref-bible.207.7.25.5,12871,12900,ref-m.1.2.2.2.11,ref-m.1.2.2.2.15,787313,787351,ref-bible.0207.7.24.9,ref-bible.0207.7.25.5,וכל ההרים אשר במעדר יעדרון ,כל הארץ וכל ההרים אשר במעדר יעדרון ,5,7,414,414.0,12,12.0,0.22857142857142856,0.2857142857142857,1090000011
ref-m.1.2.7.7.16-ref-m.1.2.7.7.29,ref-bible.0105.24.21.1-ref-bible.105.24.21.5,22282,22347,ref-m.1.2.7.7.16,ref-m.1.2.7.7.29,388270,388291,ref-bible.0105.24.21.1,ref-bible.0105.24.21.5,כי תבצור לא תעולל אם אין בציר מנין עוללות אמר לו רבי עקיבא וכרמך ,כי תבצר כרמך לא תעולל ,14,5,329,329.0,13,13.0,0.7384615384615385,0.8181818181818181,1090000012
ref-m.1.2.8.9.44-ref-m.1.2.8.9.51,ref-bible.0208.17.7.1-ref-bible.208.17.7.8,24459,24497,ref-m.1.2.8.9.44,ref-m.1.2.8.9.51,898354,898397,ref-bible.0208.17.7.1,ref-bible.0208.17.7.8,ברוך הגבר אשר יבטח בה' והיה ה' מבטחו ,ברוך הגבר אשר יבטח ביהוה והיה יהוה מבטחו ,8,8,441,441.0,14,14.0,0.14634146341463414,0.19999999999999996,1090000013
