baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-mek,baseOrder,grp-ref-m,dam-lev,jac,lcs_len_char,lcs_str_char,lcc_distance,id
ref-m.1.1.1.1.56-ref-m.1.1.1.1.93,ref-mek.1.7.2.48-ref-mek.1.7.2.82,288,487,ref-m.1.1.1.1.56,ref-m.1.1.1.1.93,20903,21096,ref-mek.1.7.2.48,ref-mek.1.7.2.82,אמרו אכילת פסחים ואכילת זבחים והקטר חלבים ואיברין מצותן עד שיעלה עמוד השחר כל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר ומפני מה אמרו עד חצות כדי להרחיק אדם מן העבירה,עמוד השחר מכאן אמרו אכילת פסחים ואכילת זבחים והקטר חלבים ואיברין מצותן עד שיעלה עמוד השחר כל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר ומפני מה אמרו עד חצות כדי להרחיק אדם מן העבירה,32,35,28,28.0,0,0.0,0.08287292817679558,0.04166666666666663,166,אמרו אכילת פסחים ואכילת זבחים והקטר חלבים ואיברין מצותן עד שיעלה עמוד השחר כל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר ומפני מה אמרו עד חצות כדי להרחיק אדם מן העבירה,0.08287292817679559,1030000001
ref-m.1.1.1.2.24-ref-m.1.1.1.2.32,ref-mek.1.14.2.5-ref-mek.1.14.2.12,612,655,ref-m.1.1.1.2.24,ref-m.1.1.1.2.32,48602,48643,ref-mek.1.14.2.5,ref-mek.1.14.2.12,שלש שעות שכן דרך בני מלכים לעמוד בשלש שעות ,בשלש שעות שכן דרך מלכים לעמוד בשלש שעות ,9,8,67,67.0,2,2.0,0.11627906976744186,0.1428571428571429,39,שלש שעות שכן דרך מלכים לעמוד בשלש שעות ,0.09302325581395354,1030000002
ref-m.1.1.1.4.4-ref-m.1.1.1.4.14,ref-mek.1.19.9.88-ref-mek.1.19.9.106,1076,1144,ref-m.1.1.1.4.4,ref-m.1.1.1.4.14,90199,90310,ref-mek.1.19.9.88,ref-mek.1.19.9.106,לפניה ואחת לאחריה ובערב שתים לפניה ושתים לאחריה אחת ארוכה ואחת ,שנים מלמעלה ושנים מלמטה ואחד שהיה מהלך לפניהם ר'_יאשיה_אומר ארבעה אחד לפניהם ואחד לאחריהם אחד למעלה ואחד ,11,17,117,117.0,3,3.0,0.6190476190476191,1.0,42,לניה ואח ליה ורב  לפניה ו לאחריה אח ה ואח ,0.6,1030000003
ref-m.1.1.1.5.21-ref-m.1.1.1.5.32,ref-mek.1.8.3.20-ref-mek.1.8.3.33,1373,1432,ref-m.1.1.1.5.21,ref-m.1.1.1.5.32,27761,27833,ref-mek.1.8.3.20,ref-mek.1.8.3.33,עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים ,אומר ויאמר_משה_אל העם זכור את היום הזה אשר יצאתם ממצרים וגומר עדין ,12,12,35,35.0,6,4.0,0.6865671641791045,0.9090909090909091,32,ומ אמרמע זכור את יום צאת ממצרים ,0.5223880597014925,1030000004
ref-m.1.1.1.5.15-ref-m.1.1.1.5.54,ref-mek.1.17.2.9-ref-mek.1.17.2.53,1335,1548,ref-m.1.1.1.5.15,ref-m.1.1.1.5.54,65487,65735,ref-mek.1.17.2.9,ref-mek.1.17.2.53,שמזכירים יציאת מצרים בימים בלילות מנין שנאמר למען תזכור את יום צאתך וגו' ימי חייך בימים כל ימי חייך הלילות כדברי בן זומא וחכמים אומרים ימי חייך בעולם הזה כל ימי חייך להביא לימות המשיח אמר להם בן זומא עתידים ישראל שלא להזכיר יציאת מצרים בימים בלילות מנין שנאמר למען תזכור את יום צאתך וגו' ימי חייך בימים כל ימי חייך הלילות כדברי בן זומא וחכמים אומרים ימי חייך בעולם הזה כל ימי חייך להביא לימות המשיח,שמזכירים יציאת מצרים בימים בלילות מנין שנאמר למען תזכור את יום צאתך וגו' ימי חייך בימים כל ימי חייך הלילות כדברי בן זומא וחכמים אומרים ימי חייך בעולם הזה כל ימי חייך להביא לימות המשיח אמר להם בן זומא עתידים ישראל שלא להזכיר יציאת מצרים בימים בלילות מנין שנאמר למען תזכור את יום צאתך וגו' ימי חייך בימים כל ימי חייך הלילות כדברי בן זומא וחכמים אומרים ימי חייך בעולם הזה כל ימי חייך להביא לימות המשיח,77,77,80,80.0,4,4.0,0.0,0.0,398,שמזכירים יציאת מצרים בימים בלילות מנין שנאמר למען תזכור את יום צאתך וגו' ימי חייך בימים כל ימי חייך הלילות כדברי בן זומא וחכמים אומרים ימי חייך בעולם הזה כל ימי חייך להביא לימות המשיח אמר להם בן זומא עתידים ישראל שלא להזכיר יציאת מצרים בימים בלילות מנין שנאמר למען תזכור את יום צאתך וגו' ימי חייך בימים כל ימי חייך הלילות כדברי בן זומא וחכמים אומרים ימי חייך בעולם הזה כל ימי חייך להביא לימות המשיח,0.0,1030000005
ref-m.1.1.6.8.30-ref-m.1.1.6.8.42,ref-mek.2.6.2.193-ref-mek.2.6.2.203,7281,7352,ref-m.1.1.6.8.30,ref-m.1.1.6.8.42,121337,121392,ref-mek.2.6.2.193,ref-mek.2.6.2.203,השותה מים לצמאו אומר שהכל נהיה בדברו רבי_טרפון_אומר בורא נפשות רבות ,השותה מים לצמאו כיצד הוא מברך אמר להם בורא נפשות רבות ,11,11,130,130.0,7,7.0,0.4117647058823529,0.41666666666666663,43,השותה מים לצמאו כידו בראמר בורא נפשות רבות ,0.36764705882352944,1030000006
ref-m.1.1.7.3.24-ref-m.1.1.7.3.41,ref-mek.3.1.1.988-ref-mek.3.1.1.1002,7815,7912,ref-m.1.1.7.3.24,ref-m.1.1.7.3.41,138488,138579,ref-mek.3.1.1.988,ref-mek.3.1.1.1002,ואומר לה' אלהינו הרחמים והסליחות אשירה_לה'_שהוא דיין שנאמר כי המשפט לאלהים הוא ואומר לה' אלהינו הרחמים והסליחות אשירה_לה'_שהוא דיין שנאמר כי המשפט לאלהים הוא ואומר,ואומר לה' אלהינו הרחמים והסליחות אשירה_לה'_שהוא דיין שנאמר כי המשפט לאלהים הוא ואומר לה' אלהינו הרחמים והסליחות אשירה_לה'_שהוא דיין שנאמר כי המשפט לאלהים הוא ואומר,25,25,143,143.0,8,8.0,0.0,0.0,163,ואומר לה' אלהינו הרחמים והסליחות אשירה_לה'_שהוא דיין שנאמר כי המשפט לאלהים הוא ואומר לה' אלהינו הרחמים והסליחות אשירה_לה'_שהוא דיין שנאמר כי המשפט לאלהים הוא ואומר,0.0,1030000007
ref-m.1.1.7.3.61-ref-m.1.1.7.3.69,ref-mek.1.17.2.319-ref-mek.1.17.2.331,8025,8072,ref-m.1.1.7.3.61,ref-m.1.1.7.3.69,67048,67118,ref-mek.1.17.2.319,ref-mek.1.17.2.331,המברך הבו גודל לאלהינו אלו העונים אחריו ומה הן עונין אחריו ברוך ה',המברך הבו גודל לאלהינו אלו העונים אחריו ומה הן עונין אחריו ברוך ה',13,13,84,84.0,10,10.0,0.0,0.0,66,המברך הבו גודל לאלהינו אלו העונים אחריו ומה הן עונין אחריו ברוך ה',0.0,1030000008
ref-m.1.1.7.3.63-ref-m.1.1.7.3.69,ref-mek.6.10.1.246-ref-mek.6.10.1.254,8038,8072,ref-m.1.1.7.3.63,ref-m.1.1.7.3.69,277470,277520,ref-mek.6.10.1.246,ref-mek.6.10.1.254,מברך כך עונין אחריו ברוך ה' אלהינו ,שברית כרותה לארץ כך ברית כרותה ליסורין ה' אלהיך ,7,9,241,241.0,12,10.0,0.625,0.8333333333333334,21,בר כו אר ברו ה' אלהי ,0.5625,1030000009
ref-m.1.1.7.3.106-ref-m.1.1.7.3.115,ref-mek.5.3.9.118-ref-mek.5.3.10.4,8277,8319,ref-m.1.1.7.3.106,ref-m.1.1.7.3.115,225385,225418,ref-mek.5.3.9.118,ref-mek.5.3.10.4,אומר ברכו את ה' רבי_ישמעאל_אומר ברכו את ה' ,ואמר ברוך ה' ויאמר יתרו ברוך ה' ,8,7,209,209.0,13,13.0,0.4883720930232558,0.5,23,ומר ברו ה' יאמר רו  ה' ,0.4651162790697675,1030000010
