baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifra,baseOrder,grp-ref-m,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-m.1.1.1.1.61-ref-m.1.1.1.1.93,ref-sifra.4.7-12.5.11-ref-sifra.4.7-12.5.34,315,487,ref-m.1.1.1.1.61,ref-m.1.1.1.1.93,199140,199260,ref-sifra.4.7-12.5.11,ref-sifra.4.7-12.5.34,להרחיק מן העבירה אבל אין מחשבה פוסלת בהן ואין חייבים עליהם משום נותר עד שיעלה עמוד השחר,אם כן למה אמרו חכמים עד חצות להרחיק מן,15,7,1015,1014.0,0,0.0,0.8045977011494253,0.8125,2,להרחיק מן,1040000001,15,7
ref-m.1.1.7.3.4-ref-m.1.1.7.3.20,ref-sifra.14.4-00.6.21-ref-sifra.14.4-00.6.29,7702,7798,ref-m.1.1.7.3.4,ref-m.1.1.7.3.20,674414,674461,ref-sifra.14.4-00.6.21,ref-sifra.14.4-00.6.29,אומר נברך בשלשה והוא אומר ברכו בעשרה אומר נברך לאלהינו בעשרה והוא אומר ברכו אחד עשרה ואחד ,בעשר סלעים אמר אחד בעשרים אמר אחד בשלשים אמר ,17,9,3405,3402.0,3,3.0,0.7,0.7,1,אחד,1040000002,17,9
ref-m.1.1.9.4.8-ref-m.1.1.9.4.16,ref-sifra.5.1.34.60-ref-sifra.5.1.34.75,10651,10707,ref-m.1.1.9.4.8,ref-m.1.1.9.4.16,249327,249417,ref-sifra.5.1.34.60,ref-sifra.5.1.34.75,ביציאתו בן עזאי אומר ארבע שתים בכניסתו ושתים ביציאתו ,יצא מבית קדש הקדשים ונחלקו לארבעה ונכנסו שנים בחוטמו של זה ושנים בחוטמו של זה ותצא ,7,10,1197,1197.0,4,4.0,0.6867469879518072,0.9166666666666666,0,,1040000003,7,10
ref-m.1.1.9.5.70-ref-m.1.1.9.5.83,ref-sifra.11.3-07.9.3-ref-sifra.11.3-07.9.17,11087,11175,ref-m.1.1.9.5.70,ref-m.1.1.9.5.83,504661,504760,ref-sifra.11.3-07.9.3,ref-sifra.11.3-07.9.17,לא יכנס להר הבית במקלו ובמנעלו ובפונדתו ובאבק שעל רגליו ולא יעשנו קפנדריא ורקיקה ,לא יכנס להר הבית במקלו ובתרמילו במנעלו ובאפונדתו ובאבק שעל רגליו ולא יעשנו קפנדריא ורקיקה ,14,15,2796,2796.0,5,5.0,0.1,0.1999999999999999,12,לא יכנס להר הבית במקלו ובאבק שעל רגליו ולא יעשנו קפנדריא ורקיקה,1040000004,14,15
ref-m.1.1.9.5.128-ref-m.1.1.9.5.136,ref-sifra.2.1-02.13.92-ref-sifra.2.1-02.13.112,11422,11465,ref-m.1.1.9.5.128,ref-m.1.1.9.5.136,10520,10570,ref-sifra.2.1-02.13.92,ref-sifra.2.1-02.13.112,לו יברכך ה' ואומר ה' עמך גבור החיל ואומר ,לא בשביל עצמו      ה'       ה'  אלעזר בן אחוי אומר ,9,9,11,11.0,6,6.0,0.6274509803921569,0.8181818181818181,2,ה' ה',1040000005,9,9
ref-m.1.2.1.4.6-ref-m.1.2.1.4.14,ref-sifra.11.1-01.7.44-ref-sifra.11.1-01.7.63,12072,12133,ref-m.1.2.1.4.6,ref-m.1.2.1.4.14,486623,486742,ref-sifra.11.1-01.7.44,ref-sifra.11.1-01.7.63,אוכל ונשמר וגידולו מן הארץ ולקיטתו כאחד ומכניסו לקיום יצאו ירקות שאף על פי שלקיטתן כאחת אבל אין מכניסן לקיום,אוכל ונשמר וגידולו מן הארץ ולקיטתו כאחד ומכניסו לקיום יצאו ירקות שאף על פי שלקיטתן כאחת אבל אין מכניסן לקיום,18,18,2733,2733.0,7,7.0,0.0,0.0,18,אוכל ונשמר וגידולו מן הארץ ולקיטתו כאחד ומכניסו לקיום יצאו ירקות שאף_על_פי שלקיטתן כאחת אבל אין מכניסן לקיום,1040000006,18,18
ref-m.1.2.1.4.17-ref-m.1.2.1.5.11,ref-sifra.11.1-01.7.75-ref-sifra.11.1-01.8.11,12145,12266,ref-m.1.2.1.4.17,ref-m.1.2.1.5.11,486804,486920,ref-sifra.11.1-01.7.75,ref-sifra.11.1-01.8.11,והתבואה והקטניות בכלל הזה ובאילן האוג והחרובין והאגוזים והשקדים והגפנים והרמונים והזיתים והתמרים חייבין בפאה ,והתבואה והקטניות בכלל זה ובאילן האוג והחרובין האגוזים והשקדים הגפנים והרמונים הזיתים והתמרים חייבים בפאה ,15,15,2735,2735.0,9,9.0,0.0458715596330275,0.125,10,והתבואה והקטניות בכלל ובאילן האוג והחרובין והשקדים והרמונים והתמרים בפאה,1040000007,15,15
ref-m.1.2.1.6.19-ref-m.1.2.1.6.24,ref-sifra.12.10-00.4.17-ref-sifra.12.10-00.4.22,12368,12408,ref-m.1.2.1.6.19,ref-m.1.2.1.6.24,577186,577226,ref-sifra.12.10-00.4.17,ref-sifra.12.10-00.4.22,ומאכיל לבהמה ולחיה ולעופות ופטור מן ,ומאכיל לבהמה ולחיה ולעופות ופטור מן ,6,6,3086,3086.0,10,10.0,0.0,0.0,6,ומאכיל לבהמה ולחיה ולעופות ופטור מן,1040000008,6,6
ref-m.1.2.1.6.19-ref-m.1.2.1.6.24,ref-sifra.12.10-00.4.38-ref-sifra.12.10-00.4.43,12368,12408,ref-m.1.2.1.6.19,ref-m.1.2.1.6.24,577313,577353,ref-sifra.12.10-00.4.38,ref-sifra.12.10-00.4.43,ומאכיל לבהמה ולחיה ולעופות ופטור מן ,ומאכיל לבהמה ולחיה ולעופות ופטור מן ,6,6,3092,3092.0,11,10.0,0.0,0.0,6,ומאכיל לבהמה ולחיה ולעופות ופטור מן,1040000009,6,6
ref-m.1.2.2.1.1-ref-m.1.2.2.4.39,ref-sifra.11.1-02.1.3-ref-sifra.11.1-02.4.39,12593,13252,ref-m.1.2.2.1.1,ref-m.1.2.2.4.39,487743,488447,ref-sifra.11.1-02.1.3,ref-sifra.11.1-02.4.39,ואלו מפסיקין לפאה הנחל והשלולית ודרך היחיד ודרך הרבים ושביל הרבים ושביל היחיד הקבוע בימות החמה ובימות הגשמים והבור והניר וזרע אחר והקוצר לשחת מפסיק דברי רבי מאיר וחכמים אומרים אינו מפסיק אלא אם כן חרש אמת המים שאינה יכולה להקצר כאחת רבי יהודה אומר מפסקת וכל ההרים אשר במעדר יעדרון אף על פי שאין הבקר יכול לעבור בכליו הוא נותן פאה לכל הכל מפסיק לזרעים ואינו מפסיק לאילן אלא גדר ואם היה שער כותש אינו מפסיק אלא נותן פאה לכל ולחרובין כל הרואין זה את זה אמר רבן גמליאל נוהגין היו בית אבא נותנין פאה אחת לזיתים שהיו להם בכל רוח ולחרובין כל הרואין זה את זה רבי אליעזר ברבי צדוק אומר משמו אף לחרובין שהיו להם בכל העיר ,אלו מפסיקים לפאה הנחל והשלולית דרך היחיד ודרך הרבים ושביל הרבים ושביל היחיד הקבוע בימות החמה ובימות הגשמים הבור והניר וזרע אחר והקוצר לשחת מפסיק דברי ר' מאיר וחכמים אומרים אינו מפסיק אלא אם כן חרש אמת המים הקבועה הרי זו מפסקת ר' יהודה אומר אם אינה יכולה להקצר כאחת הרי זו מפסקת כל ההרים אשר במעדר יעדרון אף על פי שאין הבקר יכול לעבור בכליו הוא נותן פאה לכל הכל מפסיקין לזרעים ואינו מפסיק לאילן אלא גדר שהוא גבוה עשרה טפחים אם היה שער כותש אינו מפסיק לאילן אלא נותן פאה לכל לחרובים כל הרואים זה את זה אמר רבן גמליאל נוהגים היו בית אבא נותנים פאה אחת לזיתים שהיה להם בכל הרוח ולחרובים כל שרואים זה את זה ר' אלעזר בר צדוק אומר משמו אף לחרובין שהיה להם בכל העיר ,103,117,2736,2736.0,12,12.0,0.155015197568389,0.3164556962025316,80,לפאה הנחל והשלולית היחיד ודרך הרבים ושביל הרבים ושביל היחיד הקבוע בימות החמה ובימות הגשמים והניר וזרע אחר והקוצר לשחת מפסיק אינו מפסיק אלא_אם_כן חרש אמת המים יכולה להקצר כאחת מפסקת ההרים אשר במעדר יעדרון אף_על_פי_שאין הבקר יכול לעבור בכליו הוא נותן פאה לכל הכל לזרעים ואינו מפסיק לאילן אלא גדר היה שער כותש אינו מפסיק אלא נותן פאה לכל כל זה_את_זה היו בית אבא פאה אחת לזיתים להם בכל כל זה_את_זה צדוק אומר משמו אף לחרובין להם בכל העיר,1040000010,103,117
