baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-d,baseOrder,grp-ref-m,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-m.1.1.1.3.4-ref-m.1.1.1.3.37,ref-sifre-d.34.10.10-ref-sifre-d.34.10.45,720,916,ref-m.1.1.1.3.4,ref-m.1.1.1.3.37,47641,47843,ref-sifre-d.34.10.10,ref-sifre-d.34.10.45,בערב כל אדם יטו ויקרו ובבקר יעמדו שנאמר ובשכבך ובקומך ובית הלל אומרים כל אדם קורים כדרכם שנאמר ובלכתך בדרך אם כן למה נאמר בשכבך ובקומך אלא בשעה שבני אדם שוכבים ובשעה שדרך בני אדם עומדים,בערב כל אדם יטו ויקרו ובבקר יעמדו שנאמר ובשכבך ובקומך ובית הלל אומרים כל אדם קורים כדרכם שנאמר ובלכתך בדרך אם כן למה נאמר בשכבך ובקומך אלא בשעה שבני אדם שוכבים ובשעה שדרך בני אדם עומדים,36,36,42,42.0,0,0.0,0.0,0.0,31,בערב כל אדם יטו ויקרו ובבקר יעמדו שנאמר ובשכבך ובקומך ובית_הלל_אומרים כל אדם קורים כדרכם שנאמר ובלכתך בדרך אם_כן_למה_נאמר בשכבך ובקומך אלא בשעה שבני אדם שוכבים ובשעה שדרך בני אדם עומדים,1060000001,36,36
ref-m.1.1.1.3.4-ref-m.1.1.1.3.37,ref-sifre-d.34.13.4-ref-sifre-d.34.13.39,720,916,ref-m.1.1.1.3.4,ref-m.1.1.1.3.37,48182,48384,ref-sifre-d.34.13.4,ref-sifre-d.34.13.39,בערב כל אדם יטו ויקרו ובבקר יעמדו שנאמר ובשכבך ובקומך ובית הלל אומרים כל אדם קורים כדרכם שנאמר ובלכתך בדרך אם כן למה נאמר בשכבך ובקומך אלא בשעה שבני אדם שוכבים ובשעה שדרך בני אדם עומדים,בערב כל אדם יטו ויקרו ובבקר יעמדו שנאמר ובשכבך ובקומך ובית הלל אומרים כל אדם קורים כדרכם שנאמר ובלכתך בדרך אם כן למה נאמר בשכבך ובקומך אלא בשעה שבני אדם שוכבים ובשעה שדרך בני אדם עומדים,36,36,44,44.0,1,1.0,0.0,0.0,31,בערב כל אדם יטו ויקרו ובבקר יעמדו שנאמר ובשכבך ובקומך ובית_הלל_אומרים כל אדם קורים כדרכם שנאמר ובלכתך בדרך אם_כן_למה_נאמר בשכבך ובקומך אלא בשעה שבני אדם שוכבים ובשעה שדרך בני אדם עומדים,1060000002,36,36
ref-m.1.1.1.4.4-ref-m.1.1.1.4.14,ref-sifre-d.221.9.37-ref-sifre-d.221.9.44,1076,1144,ref-m.1.1.1.4.4,ref-m.1.1.1.4.14,224239,224289,ref-sifre-d.221.9.37,ref-sifre-d.221.9.44,לפניה ואחת לאחריה ובערב שתים לפניה ושתים לאחריה אחת ארוכה ואחת ,מלפניו והאשה שני פרקים אחד מלפניה ואחד מאחריה ,11,8,562,555.0,4,4.0,0.6349206349206349,0.9090909090909092,0,,1060000003,11,8
ref-m.1.1.1.5.1-ref-m.1.1.1.5.54,ref-sifre-d.130.7.1-ref-sifre-d.130.7.59,1261,1548,ref-m.1.1.1.5.1,ref-m.1.1.1.5.54,165980,166283,ref-sifre-d.130.7.1,ref-sifre-d.130.7.59,תזכור את יום צאתך מארץ מצרים זו היא שאמר ר' אלעזר בן עזריה הרי אני כבן שבעים שנה ולא זכיתי שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך להביא לימות המשיח,למען תזכור את יום צאתך מארץ מצרים זו היא שאמר ר' אלעזר בן עזריה הרי אני כבן שבעים שנה ולא זכיתי שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך להביא לימות המשיח,49,50,334,334.0,5,5.0,0.0174825174825174,0.0,55,תזכור את יום צאתך מארץ מצרים זו היא שאמר ר'_אלעזר_בן_עזריה הרי אני כבן שבעים שנה ולא זכיתי שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך להביא לימות המשיח,1060000004,58,59
ref-m.1.1.2.3.1-ref-m.1.1.2.3.7,ref-sifre-d.31.7.113-ref-sifre-d.31.7.119,2172,2207,ref-m.1.1.2.3.1,ref-m.1.1.2.3.7,39898,39933,ref-sifre-d.31.7.113,ref-sifre-d.31.7.119,הקורא את שמע ולא השמיע לאזנו יצא ,הקורא את שמע ולא השמיע לאזנו יצא ,7,7,36,36.0,7,7.0,0.0,0.0,7,הקורא את שמע ולא השמיע לאזנו יצא,1060000005,7,7
ref-m.1.1.4.5.19-ref-m.1.1.4.5.25,ref-sifre-d.29.5.84-ref-sifre-d.29.5.89,4733,4766,ref-m.1.1.4.5.19,ref-m.1.1.4.5.25,34827,34860,ref-sifre-d.29.5.84,ref-sifre-d.29.5.89,יכוין את לבו כנגד בית קדש הקדשים ,מכוונים לבם כנגד בית קדשי הקדשים ,7,6,27,27.0,8,8.0,0.2424242424242424,0.5,3,כנגד בית הקדשים,1060000006,7,6
ref-m.1.1.4.6.8-ref-m.1.1.4.6.14,ref-sifre-d.29.5.84-ref-sifre-d.29.5.89,4803,4836,ref-m.1.1.4.6.8,ref-m.1.1.4.6.14,34827,34860,ref-sifre-d.29.5.84,ref-sifre-d.29.5.89,יכוין את לבו כנגד בית קדש הקדשים ,מכוונים לבם כנגד בית קדשי הקדשים ,7,6,28,27.0,9,9.0,0.2424242424242424,0.5,3,כנגד בית הקדשים,1060000007,7,6
ref-m.1.1.7.3.59-ref-m.1.1.7.3.68,ref-sifre-d.306.37.13-ref-sifre-d.306.37.21,8015,8065,ref-m.1.1.7.3.59,ref-m.1.1.7.3.68,308316,308364,ref-sifre-d.306.37.13,ref-sifre-d.306.37.21,אומר ברכו כענין שהוא מברך כך עונין אחריו ברוך ה' ,ואומר ברכו את ה' המבורך שעונים אחריהם ברוך ה' ,10,9,918,917.0,10,10.0,0.3469387755102041,0.75,3,ברכו ברוך ה',1060000008,10,9
ref-m.1.1.7.3.106-ref-m.1.1.7.3.116,ref-sifre-d.306.37.13-ref-sifre-d.306.37.21,8277,8327,ref-m.1.1.7.3.106,ref-m.1.1.7.3.116,308316,308364,ref-sifre-d.306.37.13,ref-sifre-d.306.37.21,ואומר ברכו את ה' המבורך שעונים אחריהם ברוך ה',ואומר ברכו את ה' המבורך שעונים אחריהם ברוך ה',9,9,917,917.0,11,11.0,0.0,0.0,9,ואומר ברכו את ה' המבורך שעונים אחריהם ברוך ה',1060000009,9,9
ref-m.1.1.9.5.20-ref-m.1.1.9.5.36,ref-sifre-d.32.3.1-ref-sifre-d.32.5.7,10840,10926,ref-m.1.1.9.5.20,ref-m.1.1.9.5.36,40972,41089,ref-sifre-d.32.3.1,ref-sifre-d.32.5.7,ובכל מאדך בכל לבבך בשני יצריך ביצר טוב וביצר רע ובכל נפשך אפילו הוא נוטל את נפשך ,"בכל לבבך בשני יצריך ביצר טוב ויצר רע ד""א בכל לבבך שלא יהיה לבך חלוק על המקום ובכל נפשך אפילו הוא נוטל את נפשך ",17,24,37,37.0,15,13.0,0.4636363636363636,0.4,14,בכל לבבך בשני יצריך ביצר טוב רע ובכל נפשך אפילו הוא נוטל את נפשך,1060000010,17,24
ref-m.1.1.9.5.36-ref-m.1.1.9.5.50,ref-sifre-d.32.7.6-ref-sifre-d.32.7.16,10922,10995,ref-m.1.1.9.5.36,ref-m.1.1.9.5.50,41486,41538,ref-sifre-d.32.7.6,ref-sifre-d.32.7.16,"בכל נפשך ק""ו בכל מאדך בכל מדה ומדה שהוא מודד לך","בכל נפשך ק""ו בכל מאדך בכל מדה ומדה שהוא מודד לך",11,11,38,38.0,16,16.0,0.0,0.0,11,"בכל נפשך ק""ו בכל מאדך בכל מדה ומדה שהוא מודד לך",1060000011,11,11
ref-m.1.1.9.5.16-ref-m.1.1.9.5.21,ref-sifre-d.41.25.12-ref-sifre-d.41.25.17,10819,10850,ref-m.1.1.9.5.16,ref-m.1.1.9.5.21,71943,71974,ref-sifre-d.41.25.12,ref-sifre-d.41.25.17,בכל לבבך ובכל נפשך ובכל מאדך ,בכל לבבך ובכל נפשך ובכל מאדך ,6,6,70,70.0,13,13.0,0.0,0.0,6,בכל לבבך ובכל נפשך ובכל מאדך,1060000012,6,6
ref-m.1.1.9.5.16-ref-m.1.1.9.5.23,ref-sifre-d.41.29.4-ref-sifre-d.41.29.13,10819,10860,ref-m.1.1.9.5.16,ref-m.1.1.9.5.23,72622,72675,ref-sifre-d.41.29.4,ref-sifre-d.41.29.13,בכל לבבך ובכל נפשך ובכל מאדך בכל לבבך ,בכל לבבכם ובכל נפשכם והלא כבר נאמר בכל לבבך ובכל ,8,10,71,71.0,14,13.0,0.3877551020408163,0.625,4,בכל ובכל בכל לבבך,1060000013,8,10
ref-m.1.1.9.5.68-ref-m.1.1.9.5.80,ref-sifre-d.258.3.3-ref-sifre-d.258.4.1,11074,11153,ref-m.1.1.9.5.68,ref-m.1.1.9.5.80,249804,249890,ref-sifre-d.258.3.3,ref-sifre-d.258.4.1,קדשי הקדשים לא יכנס להר הבית במקלו ובמנעלו ובפונדתו ובאבק שעל רגליו ולא ,קדוש קדשהו מכאן אמרו לא יכנס אדם בהר הבית במקלו ובמנעלו ובאבק שעל גבי רגליו ולא ,13,16,658,658.0,18,18.0,0.4125,0.375,9,לא יכנס הבית במקלו ובמנעלו ובאבק שעל רגליו ולא,1060000014,13,16
ref-m.1.1.9.5.117-ref-m.1.1.9.5.132,ref-sifre-d.2.6.57-ref-sifre-d.2.6.70,11359,11443,ref-m.1.1.9.5.117,ref-m.1.1.9.5.132,8477,8544,ref-sifre-d.2.6.57,ref-sifre-d.2.6.70,שנאמר והנה בעז בא מבית לחם ויאמר לקוצרים ה' עמכם ויאמרו לו יברכך ה' ואומר ה' ,שנאמר הנני ענו בי נגד ה' ונגד משיחו ויאמרו לא ויאמר אליהם עד ה' ,16,14,1,1.0,19,19.0,0.5844155844155844,0.8235294117647058,4,שנאמר ה' ויאמרו ה',1060000015,16,14
