baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-n,baseOrder,grp-ref-m,dam-lev,jac,lcs_len_char,lcs_str_char,lcc_distance,id
ref-m.1.1.8.6.3-ref-m.1.1.8.6.12,ref-sifre-n.16.1.110-ref-sifre-n.16.1.116,9257,9307,ref-m.1.1.8.6.3,ref-m.1.1.8.6.12,27523,27557,ref-sifre-n.16.1.110,ref-sifre-n.16.1.116,לא על הנר ולא על הבשמים של_עובדי_כוכבים ולא על ,לא על הלוח ולא על הנייר ולא על ,9,8,120,118.0,0,0.0,0.46808510638297873,0.5,26,לא על ה ולא על היי ולא על ,0.44680851063829785,1050000001
ref-m.1.2.1.6.5-ref-m.1.2.1.6.29,ref-sifre-n.110.2.263-ref-sifre-n.110.2.276,12289,12437,ref-m.1.2.1.6.5,ref-m.1.2.1.6.29,159403,159493,ref-sifre-n.110.2.263,ref-sifre-n.110.2.276,פאה ופטור מן המעשרות עד שימרח ונותן משום הפקר ופטור מן המעשרות עד שימרח ומאכיל לבהמה ולחיה ולעופות ופטור מן המעשרות עד שימרח ונוטל מן ,ופאה שמינם חיבת במעשרות לפיכך חייבים בחלה תאמר בעיסת שביעית שמינם פטורים מן המעשרות ,25,14,316,311.0,1,1.0,0.7014925373134329,0.8695652173913043,47,פאה מ מעשרות י ם ה מר ע שיי מי פטור מן המעשרות ,0.6492537313432836,1050000002
ref-m.1.2.4.6.9-ref-m.1.2.4.6.15,ref-sifre-n.110.2.138-ref-sifre-n.110.2.145,16311,16347,ref-m.1.2.4.6.9,ref-m.1.2.4.6.15,158690,158732,ref-sifre-n.110.2.138,ref-sifre-n.110.2.145,פטור מן הלקט ומן השכחה ומן הפאה ,פטורים מן החלה לקט שכחה ופאה שפטורים מן ,7,8,303,301.0,2,2.0,0.525,0.7,23,פטור מן הלקט שכחה ופאה ,0.42500000000000004,1050000003
ref-m.1.3.5.10.34-ref-m.1.3.5.11.14,ref-sifre-n.120.1.59-ref-sifre-n.120.1.85,31019,31115,ref-m.1.3.5.10.34,ref-m.1.3.5.11.14,201025,201178,ref-sifre-n.120.1.59,ref-sifre-n.120.1.85,מעשר בפירות והרמותם ממנו ממין על מינו ולא ממין על שאינו מינו והרמותם ממנו מופנה להקיש ולדון ממנו גזירה שוה והרמותם ממנו שלא יתרום מן המחובר על,מעשר בפירות והרמותם ממנו ממין על מינו ולא ממין על שאינו מינו והרמותם ממנו מופנה להקיש ולדון ממנו גזירה שוה והרמותם ממנו שלא יתרום מן המחובר על,27,27,416,416.0,3,3.0,0.0,0.0,142,מעשר בפירות והרמותם ממנו ממין על מינו ולא ממין על שאינו מינו והרמותם ממנו מופנה להקיש ולדון ממנו גזירה שוה והרמותם ממנו שלא יתרום מן המחובר על,0.0,1050000004
ref-m.1.4.1.9.36-ref-m.1.4.2.1.1,ref-sifre-n.110.2.28-ref-sifre-n.110.2.38,36319,36390,ref-m.1.4.1.9.36,ref-m.1.4.2.1.1,158041,158121,ref-sifre-n.110.2.28,ref-sifre-n.110.2.38,עד שיהו שני חטים ושעורה או חטה ושתי שעורים או חטה ושעורה וכוסמת כל ,עד שתתגלגל בחטים ותיטמטם בשעורים בלבלה גלגלה בחטים וטימטמה בשעורים האוכל ,14,11,299,298.0,5,5.0,0.6301369863013698,0.8125,36,עד ש חטים ושעורה  חטים וטה שעור וכל ,0.5068493150684932,1050000005
ref-m.1.5.1.4.1-ref-m.1.5.1.4.13,ref-sifre-n.70.1.11-ref-sifre-n.70.1.51,50894,50957,ref-m.1.5.1.4.1,ref-m.1.5.1.4.13,95184,95391,ref-sifre-n.70.1.11,ref-sifre-n.70.1.51,"ואחד צבור עושה פסח שני ת""ל ויהי אנשים היחיד עושה פסח שני ואין הצבור עושים פסח שני רבי_נתן_אומר אין_צריך_שהרי_כבר_נאמר והאיש איש וגו' היחיד עושה פסח שני ואין הצבור עושים פסח שני וחדל לעשות הפסח אין","ואחד צבור עושה פסח שני ת""ל ויהי אנשים היחיד עושה פסח שני ואין הצבור עושים פסח שני רבי_נתן_אומר אין_צריך_שהרי_כבר_נאמר והאיש איש וגו' היחיד עושה פסח שני ואין הצבור עושים פסח שני וחדל לעשות הפסח אין",35,35,248,248.0,6,6.0,0.0,0.0,196,"ואחד צבור עושה פסח שני ת""ל ויהי אנשים היחיד עושה פסח שני ואין הצבור עושים פסח שני רבי_נתן_אומר אין_צריך_שהרי_כבר_נאמר והאיש איש וגו' היחיד עושה פסח שני ואין הצבור עושים פסח שני וחדל לעשות הפסח אין",0.0,1050000006
ref-m.1.5.2.7.1-ref-m.1.5.2.7.4,ref-sifre-n.110.1.138-ref-sifre-n.110.1.141,53039,53073,ref-m.1.5.2.7.1,ref-m.1.5.2.7.4,156908,156940,ref-sifre-n.110.1.138,ref-sifre-n.110.1.141,האורז והדוחן והפרגין והשומשמין ,אורז ודוחן והפרגים והשומשומים ,4,4,295,295.0,8,8.0,0.16129032258064516,0.6666666666666667,27,אורז ודוחן והפרגי והשומשמי ,0.12903225806451613,1050000007
ref-m.1.5.9.9.30-ref-m.1.5.9.9.38,ref-sifre-n.110.2.287-ref-sifre-n.110.2.302,66393,66442,ref-m.1.5.9.9.30,ref-m.1.5.9.9.38,159551,159638,ref-sifre-n.110.2.287,ref-sifre-n.110.2.302,עיסת שביעית שתהא חיבת בחלה מכאן אמרו האוכל מעיסת שביעית עד שלא הורמה חלתה חיב מיתה,עיסת שביעית שתהא חיבת בחלה מכאן אמרו האוכל מעיסת שביעית עד שלא הורמה חלתה חיב מיתה,16,16,320,320.0,9,9.0,0.0,0.0,82,עיסת שביעית שתהא חיבת בחלה מכאן אמרו האוכל מעיסת שביעית עד שלא הורמה חלתה חיב מיתה,0.0,1050000008
ref-m.1.6.1.5.3-ref-m.1.6.1.5.12,ref-sifre-n.110.2.139-ref-sifre-n.110.2.146,68716,68771,ref-m.1.6.1.5.3,ref-m.1.6.1.5.12,158697,158739,ref-sifre-n.110.2.139,ref-sifre-n.110.2.146,מן הלקט ומן השכחה ומן הפאה ומן ההפקר ולא ממעשר ,מן החלה לקט שכחה ופאה שפטורים מן המעשר ,10,8,304,301.0,13,11.0,0.5106382978723404,0.6363636363636364,28,מן הלקט שכחה ופאה ומן המעשר ,0.4042553191489362,1050000009
ref-m.1.6.1.5.3-ref-m.1.6.1.5.12,ref-sifre-n.110.2.170-ref-sifre-n.110.2.180,68716,68771,ref-m.1.6.1.5.3,ref-m.1.6.1.5.12,158884,158941,ref-sifre-n.110.2.170,ref-sifre-n.110.2.180,מן הלקט ומן השכחה ומן הפאה ומן ההפקר ולא ממעשר ,מן החלה שהיה_בדין_ומה לקט שכחה ופאה שפטורים מן המעשר ,10,9,308,306.0,14,11.0,0.6226415094339622,0.6666666666666667,29,מן הל ומהשכחה ופאה ומן המעשר ,0.4528301886792453,1050000010
