baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-t,baseOrder,grp-ref-m,dam-lev,jac,id
ref-m.1.1.1.1.1-ref-m.1.1.1.1.9,ref-t.1.1.1.1.1-ref-t.1.1.1.1.22,0,56,ref-m.1.1.1.1.1,ref-m.1.1.1.1.9,0,121,ref-t.1.1.1.1.1,ref-t.1.1.1.1.22,מאמתי קורין את שמע בערבין משעה שבני אדן נכנסין לוכל פיתן בלילי שבתות דברי ר' מאיר וחכמים אומ' משעה שהכהנים זכ לוכל,מאמתי קורין את שמע בערבין משעה שבני אדן נכנסין לוכל פיתן בלילי שבתות דברי ר' מאיר וחכמים אומ' משעה שהכהנים זכ לוכל,9,20,0,0.0,0,0.0,0.0,0.0,1020000001
ref-m.1.1.1.1.89-ref-m.1.1.1.2.5,ref-t.1.1.1.2.1-ref-t.1.1.1.2.12,462,516,ref-m.1.1.1.1.89,ref-m.1.1.1.2.5,594,658,ref-t.1.1.1.2.1,ref-t.1.1.1.2.12,כדי להרחיק אדם מן העבירה מאימתי קורין את שמע בשחרית ,מאימתי קורין את שמע בשחרים אחרים אומ' כדי שיהא חבירו רחוק ממנו ,10,12,2,2.0,2,2.0,0.7301587301587301,0.625,1020000002
ref-m.1.1.1.4.12-ref-m.1.1.1.4.34,ref-t.1.1.1.5.2-ref-t.1.1.1.5.32,1129,1254,ref-m.1.1.1.4.12,ref-m.1.1.1.4.34,1520,1684,ref-t.1.1.1.5.2,ref-t.1.1.1.5.32,אחת קצרה מקום שאמרו להאריך אינו רשאי לקצר לקצר אינו רשאי להאריך לחתום אינו רשאי שלא לחתום שלא לחתום אינו רשאי לחתום לשוח אינו רשאי שלא לשוח ושלא לשוח אינו רשאי,אחת קצרה מקום שאמרו להאריך אינו רשאי לקצר לקצר אינו רשאי להאריך לחתום אינו רשאי שלא לחתום שלא לחתום אינו רשאי לחתום לשוח אינו רשאי שלא לשוח ושלא לשוח אינו רשאי,22,20,3,3.0,3,3.0,0.0,0.0,1020000003
ref-m.1.1.1.5.1-ref-m.1.1.1.5.54,ref-t.1.1.1.10.1-ref-t.1.1.1.10.56,1261,1548,ref-m.1.1.1.5.1,ref-m.1.1.1.5.54,2483,2776,ref-t.1.1.1.10.1,ref-t.1.1.1.10.56,מזכירין יציאת מצרים בלילות אמר רבי אלעזר בן עזריה הרי אני כבן שבעים שנה ולא זכיתי שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך להביא לימות המשיח ,מזכירין יציאת מצרים בלילות אמ' ר' לעזר בן עזריה הרי אני כבן שבעים שנה ולא זכיתי שאשמע שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנ' למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים או' ימי חייך העולם הזה כל להביא ימי חייך להביא לימות המשיח ,54,56,6,6.0,5,5.0,0.08273381294964029,0.2432432432432432,1020000004
ref-m.1.1.2.1.7-ref-m.1.1.2.1.14,ref-t.2.8.2.6.11-ref-t.2.8.2.6.18,1583,1614,ref-m.1.1.2.1.7,ref-m.1.1.2.1.14,453388,453419,ref-t.2.8.2.6.11,ref-t.2.8.2.6.18,אם כיון לבו יצא ואם לאו לא יצא ,אם כיון לבו יצא ואם לאו לא יצא ,8,8,2469,2469.0,6,6.0,0.0,0.0,1020000005
ref-m.1.1.2.1.7-ref-m.1.1.2.1.14,ref-t.2.8.2.7.26-ref-t.2.8.2.7.33,1583,1614,ref-m.1.1.2.1.7,ref-m.1.1.2.1.14,453554,453585,ref-t.2.8.2.7.26,ref-t.2.8.2.7.33,אם כיון לבו יצא ואם לאו לא יצא ,אם כיון לבו יצא ואם לאו לא יצא ,8,8,2474,2474.0,7,6.0,0.0,0.0,1020000006
ref-m.1.1.3.2.18-ref-m.1.1.3.2.23,ref-t.1.1.2.11.4-ref-t.1.1.2.11.10,3323,3372,ref-m.1.1.3.2.18,ref-m.1.1.3.2.23,6439,6483,ref-t.1.1.2.11.4,ref-t.1.1.2.11.10,העומדים בשורה הפנימים פטורים והחיצונים חייבין ,ועמדו בשורה שורה הפנימית פטה החיצונה חיבת ,6,7,11,11.0,8,8.0,0.43478260869565216,0.6666666666666667,1020000007
ref-m.1.1.3.4.6-ref-m.1.1.3.4.17,ref-t.1.1.2.9.5-ref-t.1.1.2.9.11,3494,3563,ref-m.1.1.3.4.6,ref-m.1.1.3.4.17,6169,6221,ref-t.1.1.2.9.5,ref-t.1.1.2.9.11,מברך לא לפניה ולא לאחריה ועל המזון מברך לאחריו ואינו מברך לפניו ,ומברכין לפניה ולאחריה ואוכלין פיתן ומברכין לפניה ,12,7,10,10.0,9,9.0,0.53125,0.9090909090909091,1020000008
ref-m.1.1.3.4.8-ref-m.1.1.3.4.14,ref-t.1.1.4.14.23-ref-t.1.1.4.14.28,3502,3545,ref-m.1.1.3.4.8,ref-m.1.1.3.4.14,17744,17781,ref-t.1.1.4.14.23,ref-t.1.1.4.14.28,לפניה ולא לאחריה ועל המזון מברך לאחריו ,לאחר המזון טעונה ברכה לפניה ולאחריה ,7,6,45,45.0,13,9.0,0.717948717948718,0.6666666666666667,1020000009
ref-m.1.1.3.4.8-ref-m.1.1.3.4.14,ref-t.1.1.5.12.10-ref-t.1.1.5.12.15,3502,3545,ref-m.1.1.3.4.8,ref-m.1.1.3.4.14,23029,23066,ref-t.1.1.5.12.10,ref-t.1.1.5.12.15,לפניה ולא לאחריה ועל המזון מברך לאחריו ,לאחר המזון טעונה ברכה לפניה ולאחריה ,7,6,48,48.0,14,9.0,0.717948717948718,0.6666666666666667,1020000010
