baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-b,baseOrder,grp-ref-mek,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-mek.1.1.1.174-ref-mek.1.1.1.179,ref-b.2.5.5.54b.5.11-ref-b.2.5.5.54b.5.16,853,883,ref-mek.1.1.1.174,ref-mek.1.1.1.179,1840532,1840562,ref-b.2.5.5.54b.5.11,ref-b.2.5.5.54b.5.16,ביום עשות ה' אלהים ארץ ושמים ,ביום עשות ה' אלהים ארץ ושמים ,6,6,663,663.0,1,0.0,0.0,0.0,6,ביום עשות ה' אלהים ארץ ושמים,3080000001,6,6
ref-mek.1.1.1.157-ref-mek.1.1.1.179,ref-b.2.12.2.12a.16.13-ref-b.2.12.2.12a.16.36,762,883,ref-mek.1.1.1.157,ref-mek.1.1.1.179,2792366,2792492,ref-b.2.12.2.12a.16.13,ref-b.2.12.2.12a.16.36,אומר בראשית ברא אלהים את השמים ואת הארץ שומע אני כל הקודם במקרא קודם במעשה כשהוא אומר ביום עשות ה' אלהים ארץ ושמים ,שנאמר בראשית ברא אלהים את השמים ואת הארץ ובית הלל אומרים ארץ נבראת תחלה ואחר כך שמים שנאמר ביום עשות ה' אלהים ארץ ושמים ,23,24,1049,1049.0,0,0.0,0.3416666666666667,0.5714285714285714,10,בראשית ברא אלהים את_השמים_ואת_הארץ ביום עשות ה' אלהים ארץ ושמים,3080000002,23,24
ref-mek.1.1.1.192-ref-mek.1.1.1.204,ref-b.1.1.9.64a.6.13-ref-b.1.1.9.64a.6.20,949,1016,ref-mek.1.1.1.192,ref-mek.1.1.1.204,354779,354821,ref-b.1.1.9.64a.6.13,ref-b.1.1.9.64a.6.20,אלהי יעקב אלהי יעקב ולא אלהי אברהם ויצחק,אלהי יעקב אלהי יעקב ולא אלהי אברהם ויצחק,8,8,211,211.0,6,6.0,0.0,0.0,8,אלהי יעקב אלהי יעקב ולא אלהי אברהם ויצחק,3080000003,8,8
ref-mek.1.1.1.191-ref-mek.1.1.1.204,ref-b.2.4.8.88a.3.16-ref-b.2.4.8.88a.3.25,944,1016,ref-mek.1.1.1.191,ref-mek.1.1.1.204,1573201,1573252,ref-b.2.4.8.88a.3.16,ref-b.2.4.8.88a.3.25,האל אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב שומע אני כל הקודם בדבר ,בית אלהי יעקב וגו' אלהי יעקב ולא אלהי אברהם ויצחק ,9,10,530,529.0,4,2.0,0.6376811594202898,0.6,3,אלהי אלהי יעקב,3080000004,14,10
ref-mek.1.1.1.191-ref-mek.1.1.1.199,ref-b.2.6.4.49b.6.32-ref-b.2.6.4.49b.6.40,944,991,ref-mek.1.1.1.191,ref-mek.1.1.1.199,2094910,2094957,ref-b.2.6.4.49b.6.32,ref-b.2.6.4.49b.6.40,האל אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אלהי אברהם אלהי אברהם ולא אלהי יצחק ויעקב אלא ,4,9,797,796.0,2,2.0,0.4130434782608695,0.1999999999999999,5,אלהי אלהי אברהם אלהי יצחק,3080000005,9,9
ref-mek.1.1.1.191-ref-mek.1.1.1.199,ref-b.2.12.1.3a.13.32-ref-b.2.12.1.3a.13.40,944,991,ref-mek.1.1.1.191,ref-mek.1.1.1.199,2757215,2757262,ref-b.2.12.1.3a.13.32,ref-b.2.12.1.3a.13.40,האל אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אלהי אברהם אלהי אברהם ולא אלהי יצחק ויעקב אלא ,4,9,1032,1031.0,3,2.0,0.4130434782608695,0.1999999999999999,5,אלהי אלהי אברהם אלהי יצחק,3080000006,9,9
ref-mek.1.1.1.192-ref-mek.1.1.1.199,ref-b.4.4.11.107a.2.28-ref-b.4.4.11.107a.2.33,949,991,ref-mek.1.1.1.192,ref-mek.1.1.1.199,6386044,6386076,ref-b.4.4.11.107a.2.28,ref-b.4.4.11.107a.2.33,אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אלהי אברהם אלהי יצחק ואלהי יעקב ,3,1,2586,2586.0,5,2.0,0.238095238095238,0.1999999999999999,6,אלהי אברהם אלהי יצחק ואלהי יעקב,3080000007,8,6
ref-mek.1.1.1.347-ref-mek.1.1.1.356,ref-b.5.1.14.119a.11.9-ref-b.5.1.14.119a.11.22,1768,1816,ref-mek.1.1.1.347,ref-mek.1.1.1.356,7133980,7134045,ref-b.5.1.14.119a.11.9,ref-b.5.1.14.119a.11.22,שנאמר כי בחר ה' בציון ואומר זאת מנוחתי עדי עד ,ואומר זאת מנוחתי עדי עד פה אשב כי אויתיה ואומר כי בחר ה' בציון ,10,14,2891,2891.0,9,8.0,0.6984126984126984,0.3636363636363636,5,ואומר זאת מנוחתי עדי עד,3080000008,10,14
ref-mek.1.1.1.347-ref-mek.1.1.1.351,ref-b.5.2.9.87a.19.12-ref-b.5.2.9.87a.19.21,1768,1791,ref-mek.1.1.1.347,ref-mek.1.1.1.351,7409388,7409428,ref-b.5.2.9.87a.19.12,ref-b.5.2.9.87a.19.21,שנאמר כי בחר ה' בציון ,אמרי אמר רבא בר רב שילא כי בחר ה' בציון ,5,10,3020,3020.0,8,8.0,0.5,0.5714285714285714,4,כי בחר ה' בציון,3080000009,5,10
ref-mek.1.1.1.377-ref-mek.1.1.1.388,ref-b.3.5.9.49a.2.9-ref-b.3.5.9.49a.2.19,1919,1982,ref-mek.1.1.1.377,ref-mek.1.1.1.388,4078696,4078746,ref-b.3.5.9.49a.2.9,ref-b.3.5.9.49a.2.19,ה' ואומר והיתה לו ולזרעו אחריו עד שלא נבחר דוד היו כל ישראל ,דוד היו כל ישראל מוכרי רבב שנאמר שיתה ה' מורה להם ,13,11,1588,1588.0,10,10.0,0.7166666666666667,0.7647058823529411,4,דוד היו כל ישראל,3080000010,13,11
