baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-mek,dam-lev,jac,id
ref-mek.1.1.1.190-ref-mek.1.1.1.209,ref-bible.0101.28.13.1-ref-bible.0101.28.13.12,939,1044,ref-mek.1.1.1.190,ref-mek.1.1.1.209,53294,53357,ref-bible.0101.28.13.1,ref-bible.0101.28.13.12,והנה יהוה נצב עליו ויאמר אני יהוה אלהי אברהם אביך ואלהי יצחק,והנה יהוה נצב עליו ויאמר אני יהוה אלהי אברהם אביך ואלהי יצחק,20,12,56,56.0,1,1.0,0.0,0.0,3090000001
ref-mek.1.1.1.190-ref-mek.1.1.1.199,ref-bible.0102.3.6.2-ref-bible.102.3.6.10,939,991,ref-mek.1.1.1.190,ref-mek.1.1.1.199,109149,109196,ref-bible.0102.3.6.2,ref-bible.0102.3.6.10,אנכי האל אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אנכי אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,10,9,116,116.0,0,0.0,0.0784313725490196,0.0,3090000002
ref-mek.1.1.1.193-ref-mek.1.1.1.199,ref-bible.0102.3.15.13-ref-bible.102.3.15.19,954,991,ref-mek.1.1.1.193,ref-mek.1.1.1.199,110028,110067,ref-bible.0102.3.15.13,ref-bible.0102.3.15.19,אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אבתיכם אלהי אברהם אלהי יצחק ואלהי יעקב ,7,7,125,122.0,3,0.0,0.07692307692307693,0.33333333333333337,3090000003
ref-mek.1.1.1.191-ref-mek.1.1.1.204,ref-bible.0102.4.5.5-ref-bible.102.4.6.3,944,1016,ref-mek.1.1.1.191,ref-mek.1.1.1.204,111071,111138,ref-bible.0102.4.5.5,ref-bible.0102.4.6.3,האל אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב שומע אני כל הקודם בדבר ,אליך יהוה אלהי אבתם אלהי אברהם אלהי יצחק ואלהי יעקב ויאמר יהוה לו ,14,13,127,127.0,2,0.0,0.37681159420289856,0.6666666666666667,3090000004
ref-mek.1.1.1.210-ref-mek.1.1.1.220,ref-bible.0103.26.42.1-ref-bible.103.26.42.12,1045,1102,ref-mek.1.1.1.210,ref-mek.1.1.1.220,249427,249488,ref-bible.0103.26.42.1,ref-bible.0103.26.42.12,וזכרתי את בריתי יעקב ואך בריתי יצחק ואף את בריתי אברהם ,וזכרתי את בריתי יעקוב ואף את בריתי יצחק ואף את בריתי אברהם ,11,12,711,711.0,5,5.0,0.0847457627118644,0.125,3090000005
ref-mek.1.1.1.348-ref-mek.1.1.1.356,ref-bible.0301.132.13.1-ref-bible.301.132.14.4,1775,1816,ref-mek.1.1.1.348,ref-mek.1.1.1.356,1245864,1245914,ref-bible.0301.132.13.1,ref-bible.0301.132.14.4,כי בחר ה' בציון ואומר זאת מנוחתי עדי עד ,כי בחר יהוה בציון אוה למושב לו זאת מנוחתי עדי עד ,9,11,1482,1482.0,6,6.0,0.2653061224489796,0.375,3090000006
ref-mek.1.1.1.372-ref-mek.1.1.1.381,ref-bible.0104.18.19.16-ref-bible.104.18.19.23,1896,1946,ref-mek.1.1.1.372,ref-mek.1.1.1.381,296846,296884,ref-bible.0104.18.19.16,ref-bible.0104.18.19.23,ברית מלח עולם היא לפני ה' ואומר והיתה לו ולזרעו ,ברית מלח עולם הוא לפני יהוה לך ולזרעך ,10,8,756,756.0,7,7.0,0.3125,0.6,3090000007
ref-mek.1.1.1.398-ref-mek.1.1.1.407,ref-bible.0313.13.5.1-ref-bible.313.13.5.10,2030,2078,ref-mek.1.1.1.398,ref-mek.1.1.1.407,1538263,1538312,ref-bible.0313.13.5.1,ref-bible.0313.13.5.10,הלא לכם לדעת כי אלהי ישראל נתן את הממלכה לדוד ,הלא לכם לדעת כי יהוה אלהי ישראל נתן ממלכה לדויד ,10,10,1639,1639.0,8,8.0,0.20833333333333334,0.33333333333333337,3090000008
ref-mek.1.1.1.441-ref-mek.1.1.1.445,ref-bible.0208.31.16.4-ref-bible.208.31.16.8,2244,2273,ref-mek.1.1.1.441,ref-mek.1.1.1.445,927431,927460,ref-bible.0208.31.16.4,ref-bible.0208.31.16.8,מנעי קולך מבכי ועיניך מדמעה ,מנעי קולך מבכי ועיניך מדמעה ,5,5,1220,1220.0,9,9.0,0.0,0.0,3090000009
ref-mek.1.1.1.473-ref-mek.1.1.1.479,ref-bible.0311.10.4.6-ref-bible.311.10.4.13,2418,2454,ref-mek.1.1.1.473,ref-mek.1.1.1.479,1449861,1449900,ref-bible.0311.10.4.6,ref-bible.0311.10.4.13,ואני הייתי על הנהר הגדול הוא חדקל ,ואני הייתי על יד הנהר הגדול הוא חדקל ,7,8,1608,1608.0,10,10.0,0.08108108108108109,0.1428571428571429,3090000010
