baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifra,baseOrder,grp-ref-mek,dam-lev,jac,lcc_len_char,lcs_str_cahr,id
ref-mek.1.1.1.739-ref-mek.1.1.1.750,ref-sifra.4.3-05.1.19-ref-sifra.4.3-05.1.40,3783,3846,ref-mek.1.1.1.739,ref-mek.1.1.1.750,176875,176996,ref-sifra.4.3-05.1.19,ref-sifra.4.3-05.1.40,בן שפט תמשח לנביא תחתיך שאין_תלמוד_לומר לנביא תחתיך אלא שאי ,משיח מלחמה_תלמוד_לומר תחתיו מבניו את שבנו עומד תחתיו מביא_עשירית_האיפה יצא משיח מלחמה שאין בנו עומד תחתיו ומנין שאין ,10,18,176,176.0,0,0.0,0.717948717948718,0.95,35,משח לח_תלמוד_לומר ביא תחתי אלא שאי ,3040000001
ref-mek.1.1.1.856-ref-mek.1.1.1.880,ref-sifra.2.1-02.13.36-ref-sifra.2.1-02.13.47,4375,4508,ref-mek.1.1.1.856,ref-mek.1.1.1.880,10280,10348,ref-sifra.2.1-02.13.36,ref-sifra.2.1-02.13.47,לאמר צא ואמור להם והשיבני ומנין שהיה משה יוצא ומדבר עמהם שנאמר,לאמר צא ואמור להם והשיבני ומנין שהיה משה יוצא ומדבר עמהם שנאמר,12,12,54,54.0,1,1.0,0.0,0.0,62,לאמר צא ואמור להם והשיבני ומנין שהיה משה יוצא ומדבר עמהם שנאמר,3040000002
ref-mek.1.1.1.874-ref-mek.1.1.1.883,ref-sifra.5.1.36.1-ref-sifra.5.1.36.14,4475,4521,ref-mek.1.1.1.874,ref-mek.1.1.1.883,250535,250602,ref-sifra.5.1.36.1,ref-sifra.5.1.36.14,ויאמר משה הוא אשר דבר ה' לאמר בקרבי אקדש זה דבור נאמר בסיני למשה,ויאמר משה הוא אשר דבר ה' לאמר בקרבי אקדש זה דבור נאמר בסיני למשה,10,11,255,255.0,3,3.0,0.0,0.0,64,ויאמר משה הוא אשר דבר ה' לאמר בקרבי אקדש זה דבור נאמר בסיני למשה,3040000003
ref-mek.1.1.1.1041-ref-mek.1.1.1.1071,ref-sifra.2.1-02.13.1-ref-sifra.2.1-02.13.57,5401,5552,ref-mek.1.1.1.1041,ref-mek.1.1.1.1071,10106,10369,ref-sifra.2.1-02.13.1,ref-sifra.2.1-02.13.57,"לאמר אמור להם דברי כבושים בשבילכם מדבר עמי שכן מצאנו שכל ל""ח שנים שהיו ישראל כמנודין לא היה מדבר עם משה שנאמר ויהי","לאמר אמור להם דברי כבושים בשבילכם מדבר עמי שכן מצאנו שכל ל""ח שנים שהיו ישראל כמנודין לא היה מדבר עם משה שנאמר ויהי כאשר תמו כל אנשי המלחמה למות וידבר_ה'_אלי דבר אחר לאמר צא ואמור להם והשיבני ומנין שהיה משה יוצא ומדבר עמהם שנאמר ומנין שהיה",21,23,50,50.0,5,5.0,0.5210084033613446,0.3870967741935484,114,"לאמר אמור להם דברי כבושים בשבילכם מדבר עמי שכן מצאנו שכל ל""ח שנים שהיו ישראל כמנודין לא היה מדבר עם משה שנאמר ויהי",3040000004
ref-mek.1.1.1.1077-ref-mek.1.1.1.1084,ref-sifra.2.1-02.12.30-ref-sifra.2.1-02.12.38,5574,5617,ref-mek.1.1.1.1077,ref-mek.1.1.1.1084,9608,9655,ref-sifra.2.1-02.12.30,ref-sifra.2.1-02.12.38,איני כמשיב על דברי ר' אלא כמוסיף על דבריו ,אין אני כמשיב על דברי רבי אלא כמוסיף על דבריו ,9,10,48,48.0,8,8.0,0.10869565217391304,0.25,41,איני כמשיב על דברי ר אלא כמוסיף על דבריו ,3040000005
ref-mek.1.1.1.1077-ref-mek.1.1.1.1084,ref-sifra.2.1-02.12.112-ref-sifra.2.1-02.12.119,5574,5617,ref-mek.1.1.1.1077,ref-mek.1.1.1.1084,9991,10035,ref-sifra.2.1-02.12.112,ref-sifra.2.1-02.12.119,איני כמשיב על דברי ר' אלא כמוסיף על דבריו ,איני כמשיב על דברי רבי אלא כמוסיף על דבריו ,9,9,49,49.0,9,8.0,0.046511627906976744,0.25,41,איני כמשיב על דברי ר אלא כמוסיף על דבריו ,3040000006
ref-mek.1.1.1.1103-ref-mek.1.1.1.1116,ref-sifra.4.29.37.48-ref-sifra.4.29.37.58,5699,5776,ref-mek.1.1.1.1103,ref-mek.1.1.1.1116,234919,234974,ref-sifra.4.29.37.48,ref-sifra.4.29.37.58,שנאמר ואשב שבעת ימים משמים בתוכם וכתיב ויהי מקצה שבעת ימים ויהי דבר ה' ,שבעת הימים צוה ה' לעשות לכפר עליכם מכאן אמרו שבעת ימים ,14,11,232,232.0,12,10.0,0.7183098591549296,0.8125,29,שבעת ימים ו ות י מ שבעת ימים ,3040000007
ref-mek.1.1.1.1100-ref-mek.1.1.1.1115,ref-sifra.8.2-00.11.13-ref-sifra.8.2-00.11.23,5683,5773,ref-mek.1.1.1.1100,ref-mek.1.1.1.1115,372541,372599,ref-sifra.8.2-00.11.13,ref-sifra.8.2-00.11.23,אלא בזכות ישראל שנאמר ואשב שבעת ימים משמים בתוכם וכתיב ויהי מקצה שבעת ימים ויהי דבר ,אלא אשתו שנאמר שובו לכם לאהליכם שבעת ימים שבעת ימים ולא ,16,11,318,317.0,10,10.0,0.5714285714285714,0.6666666666666667,38,אלא א שנאמר שב ם יכם ב ימ שבעת ימים ו ,3040000008
ref-mek.1.1.1.1103-ref-mek.1.1.1.1114,ref-sifra.12.8-00.4.8-ref-sifra.12.8-00.4.17,5699,5769,ref-mek.1.1.1.1103,ref-mek.1.1.1.1114,565922,565971,ref-sifra.12.8-00.4.8,ref-sifra.12.8-00.4.17,שנאמר ואשב שבעת ימים משמים בתוכם וכתיב ויהי מקצה שבעת ימים ויהי ,והיה שבעת ימים תחת אמו לפי שנאמר שבעת ימים יהיה ,12,10,678,678.0,11,10.0,0.5,0.7272727272727273,34,ו שבעת ימים תת וי מ שבעת ימים יהי ,3040000009
ref-mek.1.5.1.106-ref-mek.1.5.2.31,ref-sifra.4.6-00.11.13-ref-sifra.4.6-00.11.40,13648,13886,ref-mek.1.5.1.106,ref-mek.1.5.2.31,193569,193701,ref-sifra.4.6-00.11.13,ref-sifra.4.6-00.11.40,וזבחת פסח לה' אלקיך צאן ובקר והלא אין פסח בא אלא מן הכבשים ומן העזים אם_כן_למה_נאמר צאן ובקר' להקיש כל דבר הבא מן הצאן ומן,וזבחת פסח לה' אלקיך צאן ובקר והלא אין פסח בא אלא מן הכבשים ומן העזים אם_כן_למה_נאמר צאן ובקר' להקיש כל דבר הבא מן הצאן ומן,32,15,201,201.0,13,13.0,0.0,0.0,122,וזבחת פסח לה' אלקיך צאן ובקר והלא אין פסח בא אלא מן הכבשים ומן העזים אם_כן_למה_נאמר צאן ובקר' להקיש כל דבר הבא מן הצאן ומן,3040000010
