baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-d,baseOrder,grp-ref-mek,dam-lev,jac,lcc_len_char,lcs_str_cahr,id
ref-mek.1.1.1.481-ref-mek.1.1.1.492,ref-sifre-d.357.40.50-ref-sifre-d.357.40.60,2462,2519,ref-mek.1.1.1.481,ref-mek.1.1.1.492,388671,388724,ref-sifre-d.357.40.50,ref-sifre-d.357.40.60,היה היה דבר ה' וגו' ויש אומרים נדבר עמו בארץ ונדבר עמו ,מדבר עמו עד שנדבר עמו ובלעם היה יודע אימתי היה מדבר ,12,11,1099,1099.0,0,0.0,0.7818181818181819,0.9285714285714286,23,דבר ו  נדבר עמו ב ודעמ ,3060000001
ref-mek.1.1.1.497-ref-mek.1.1.1.506,ref-sifre-d.357.40.50-ref-sifre-d.357.40.60,2544,2590,ref-mek.1.1.1.497,ref-mek.1.1.1.506,388671,388724,ref-sifre-d.357.40.50,ref-sifre-d.357.40.60,היה דבר ה' היה שנדבר עמו בארץ היה שנדבר עמו ,מדבר עמו עד שנדבר עמו ובלעם היה יודע אימתי היה מדבר ,10,11,1100,1099.0,1,1.0,0.5769230769230769,0.8,27,דבר   שנדבר עמו בא היה דבר ,3060000002
ref-mek.1.1.1.535-ref-mek.1.1.1.539,ref-sifre-d.270.11.1-ref-sifre-d.270.11.17,2741,2764,ref-mek.1.1.1.535,ref-mek.1.1.1.539,259312,259388,ref-sifre-d.270.11.1,ref-sifre-d.270.11.17,וגו' וכי מלפני ה' הוא ,כי תועבה היא לפני ה' וכן_הוא_אומר לאמר הן ישלח איש את אשתו והלכה מאתו וגו' ,5,15,753,753.0,2,2.0,0.8133333333333334,0.8,16, וי לפני ה' הוא ,3060000003
ref-mek.1.1.1.562-ref-mek.1.1.1.573,ref-sifre-d.40.3.19-ref-sifre-d.40.3.31,2863,2926,ref-mek.1.1.1.562,ref-mek.1.1.1.573,64684,64752,ref-sifre-d.40.3.19,ref-sifre-d.40.3.31,עיני ה' משוטטות בכל הארץ בכל מקום עיני ה' צופות רעים וטובים ,עיני ה' משוטטים בכל הארץ ואומר כל מקום עיני ה' צופות רעים וטובים ,12,13,153,153.0,3,3.0,0.12307692307692308,0.33333333333333337,57,עיני ה' משוטט בכל הארץ כל מקום עיני ה' צופות רעים וטובים ,3060000004
ref-mek.1.1.1.721-ref-mek.1.1.1.727,ref-sifre-d.41.22.16-ref-sifre-d.41.22.22,3693,3729,ref-mek.1.1.1.721,ref-mek.1.1.1.727,71278,71313,ref-sifre-d.41.22.16,ref-sifre-d.41.22.22,נאמר ויאמר לך שוב לדרכך מדברה דמשק ,שאמרתי לו לך שוב לדרכך מדברה דמשק ,7,7,164,164.0,4,4.0,0.17142857142857143,0.4444444444444444,30,אמר ו לך שוב לדרכך מדברה דמשק ,3060000005
ref-mek.1.1.1.799-ref-mek.1.1.1.810,ref-sifre-d.344.2.13-ref-sifre-d.344.2.23,4100,4153,ref-mek.1.1.1.799,ref-mek.1.1.1.810,360592,360642,ref-sifre-d.344.2.13,ref-sifre-d.344.2.23,במשה מה_הוא_אומר ועתה אם תשא חטאתם ואם אין מחני נא ,במשה מהו אומר ועתה אם תשא חטאתם ואם אין מחני נא ,10,11,1021,1021.0,5,5.0,0.0784313725490196,0.2222222222222222,47,במשה מהואומר ועתה אם תשא חטאתם ואם אין מחני נא ,3060000006
ref-mek.1.1.1.829-ref-mek.1.1.1.839,ref-sifre-d.344.2.24-ref-sifre-d.344.2.35,4239,4296,ref-mek.1.1.1.829,ref-mek.1.1.1.839,360643,360703,ref-sifre-d.344.2.24,ref-sifre-d.344.2.35,בדוד מהו אומר אנכי חטאתי ואני העויתי ואלה הצאן מה עשו ,בדוד הוא אומר אני הוא חטאתי ואני העויתי ואלה הצאן מה עשו ,11,12,1022,1022.0,6,6.0,0.12280701754385964,0.09999999999999998,52,בדוד הו אומר אני חטאתי ואני העויתי ואלה הצאן מה עשו ,3060000007
ref-mek.1.1.1.858-ref-mek.1.1.1.882,ref-sifre-d.310.8.9-ref-sifre-d.310.8.15,4383,4514,ref-mek.1.1.1.858,ref-mek.1.1.1.882,317269,317298,ref-sifre-d.310.8.9,ref-sifre-d.310.8.15,שנאמר ואל משה אמר עלה אל ה',שנאמר ואל משה אמר עלה אל ה',21,7,920,920.0,7,7.0,0.0,0.0,27,שנאמר ואל משה אמר עלה אל ה',3060000008
ref-mek.1.1.1.858-ref-mek.1.1.1.883,ref-sifre-d.355.27.10-ref-sifre-d.355.27.21,4383,4521,ref-mek.1.1.1.858,ref-mek.1.1.1.883,380295,380358,ref-sifre-d.355.27.10,ref-sifre-d.355.27.21,אומרת אל ישורון ישראל אומר מי כמוך באלים ה' ורוח הקודש אומרת אל ישורון ישראל אומר מי כמוך באלים ה' ורוח הקודש אומרת,אומרת אל ישורון ישראל אומר מי כמוך באלים ה' ורוח הקודש אומרת אל ישורון ישראל אומר מי כמוך באלים ה' ורוח הקודש אומרת,22,12,1062,1062.0,8,8.0,0.0,0.0,115,אומרת אל ישורון ישראל אומר מי כמוך באלים ה' ורוח הקודש אומרת אל ישורון ישראל אומר מי כמוך באלים ה' ורוח הקודש אומרת,3060000009
ref-mek.1.2.1.163-ref-mek.1.2.1.185,ref-sifre-d.139.1.36-ref-sifre-d.140.1.19,7413,7542,ref-mek.1.2.1.163,ref-mek.1.2.1.185,170966,171083,ref-sifre-d.139.1.36,ref-sifre-d.140.1.19,ושבעה נוהגים בעצרת חג הסכות תעשה לך שבעת ימים להדיוט ומנין אף לגבוה תלמוד לומר חג למה_נאמר_לפי שנאמר חג הסכות,ושבעה נוהגים בעצרת חג הסכות תעשה לך שבעת ימים להדיוט ומנין אף לגבוה תלמוד לומר חג למה_נאמר_לפי שנאמר חג הסכות,23,20,523,522.0,11,11.0,0.0,0.0,109,ושבעה נוהגים בעצרת חג הסכות תעשה לך שבעת ימים להדיוט ומנין אף לגבוה תלמוד לומר חג למה_נאמר_לפי שנאמר חג הסכות,3060000010
ref-mek.1.2.1.180-ref-mek.1.2.1.185,ref-sifre-d.143.8.1-ref-sifre-d.143.8.6,7507,7542,ref-mek.1.2.1.180,ref-mek.1.2.1.185,173503,173542,ref-sifre-d.143.8.1,ref-sifre-d.143.8.6,חג המצות וחג השבועות וחג הסכות ,בחג המצות ובחג השבועות ובחג הסכות ,6,6,531,531.0,13,11.0,0.08823529411764706,0.4,31,חג המצות וחג השבועות וחג הסכות ,3060000011
ref-mek.1.2.2.21-ref-mek.1.2.2.33,ref-sifre-d.127.1.1-ref-sifre-d.127.1.13,8565,8635,ref-mek.1.2.2.21,ref-mek.1.2.2.33,163542,163612,ref-sifre-d.127.1.1,ref-sifre-d.127.1.13,שמור את חדש האביב וגו' שמור את הפסח לאביב ואביב לפסח שיבא בזמנו ,שמור את חדש האביב שמור החדש שהוא סמוך לאביב מפני אביב שיהא בזמנו ,13,13,477,477.0,14,14.0,0.36923076923076925,0.5384615384615384,48,שמור את חדש האביב שמור  הס לאביב אביב שיא בזמנו ,3060000012
ref-mek.1.4.1.112-ref-mek.1.4.1.128,ref-sifre-d.31.1.11-ref-sifre-d.31.1.35,10473,10559,ref-mek.1.4.1.112,ref-mek.1.4.1.128,36443,36561,ref-sifre-d.31.1.11,ref-sifre-d.31.1.35,"דברו אל כל עדת בני ישראל הדבור הזה בר""ח_ולקיחה_בעשור_ושחיטה בי""ד אתה אומר הדבור היה ",דבר אל בני ישראל דבר אל בני אברהם יצחק ויעקב לא נאמר אלא דבר אל בני ישראל זכה יעקב אבינו שיאמר דבור לבניו לפי שהיה ,14,25,46,44.0,15,15.0,0.6782608695652174,0.8,50,דבר אל בני ישראל דבר  ברחקיער בי אה אומר דבור היה ,3060000013
ref-mek.1.4.2.107-ref-mek.1.4.2.124,ref-sifre-d.235.7.30-ref-sifre-d.235.7.42,11756,11859,ref-mek.1.4.2.107,ref-mek.1.4.2.124,236055,236125,ref-sifre-d.235.7.30,ref-sifre-d.235.7.42,לבית אבות אין לבית אבות אלא למשפחות שנאמר למשפחותם לבית אבותם והרי שהיו עשר משפחות לבית אב אחד ,בבית אביה ואחד שבאו לה עדים בבית אביה שזנתה בבית אביה משמע שתהא ,18,13,672,672.0,16,16.0,0.6526315789473685,0.85,39,בבת אבי ואח שא לם בית אביה שת בית אב א ,3060000014
ref-mek.1.5.1.106-ref-mek.1.5.2.33,ref-sifre-d.129.5.4-ref-sifre-d.129.6.25,13648,13900,ref-mek.1.5.1.106,ref-mek.1.5.2.33,164990,165124,ref-sifre-d.129.5.4,ref-sifre-d.129.6.25,לשם המיוחד צאן ובקר והלא אין פסח בא אלא מן הכבשים ומן העזים אם_כן_למה_נאמר צאן ובקר צאן לפסח ובקר לחגיגה,לשם המיוחד צאן ובקר והלא אין פסח בא אלא מן הכבשים ומן העזים אם_כן_למה_נאמר צאן ובקר צאן לפסח ובקר לחגיגה,36,20,493,493.0,17,17.0,0.0,0.0,104,לשם המיוחד צאן ובקר והלא אין פסח בא אלא מן הכבשים ומן העזים אם_כן_למה_נאמר צאן ובקר צאן לפסח ובקר לחגיגה,3060000015
ref-mek.1.5.2.61-ref-mek.1.5.2.70,ref-sifre-d.41.24.41-ref-sifre-d.41.25.5,14025,14085,ref-mek.1.5.2.61,ref-mek.1.5.2.70,71847,71915,ref-sifre-d.41.24.41,ref-sifre-d.41.25.5,ועבדת את העבודה הזאת בחדש הזה כעבודה שעבדת במצרים כך ,"שעבודת מזבח קרויה עבודה כך תלמוד קרויה עבודה ד""א לעבדו זו תפילה זו ",10,13,169,169.0,21,20.0,0.5671641791044776,0.75,31,עבדת  העבודה  ד ה עבודה עבד י  ,3060000016
ref-mek.1.5.2.59-ref-mek.1.5.2.70,ref-sifre-d.41.27.63-ref-sifre-d.41.27.72,14014,14085,ref-mek.1.5.2.59,ref-mek.1.5.2.70,72435,72486,ref-sifre-d.41.27.63,ref-sifre-d.41.27.72,תלמוד לומר ועבדת את העבודה הזאת בחדש הזה כעבודה שעבדת במצרים כך ,"ת""ל ולעבדו זו תפלה כשם שעבודת מזבח קרויה עבודה כך ",12,10,171,171.0,20,20.0,0.640625,0.7777777777777778,30,תל ועבד  העבודת בח ה עבודה כך ,3060000017
ref-mek.1.5.2.125-ref-mek.1.5.2.151,ref-sifre-d.129.5.4-ref-sifre-d.129.6.21,14348,14489,ref-mek.1.5.2.125,ref-mek.1.5.2.151,164990,165104,ref-sifre-d.129.5.4,ref-sifre-d.129.6.21,לשם המיוחד צאן ובקר והלא אין פסח בא אלא מן הכבשים ומן העזים אם_כן_למה_נאמר צאן ובקר צאן לפסח ובקר לחגיגה,לשם המיוחד צאן ובקר והלא אין פסח בא אלא מן הכבשים ומן העזים,8,20,494,492.0,22,22.0,0.4326923076923077,0.2142857142857143,59,לשם המיוחד צאן ובקר והלא אין פסח בא אלא מן הכבשים ומן העזים,3060000018
ref-mek.1.6.1.355-ref-mek.1.6.1.362,ref-sifre-d.2.2.46-ref-sifre-d.2.2.60,16900,16943,ref-mek.1.6.1.355,ref-mek.1.6.1.362,6452,6528,ref-sifre-d.2.2.46,ref-sifre-d.2.2.60,שנאמר לעברך בברית ה' אלהיך ואין ברית אלא ,שנאמר וארון ברית ה' נוסע לפניהם דרך ג' ימים לתור להם מנוחה ואין מנוחה אלא ,8,15,3,3.0,26,25.0,0.6216216216216216,0.7058823529411764,30,שנאמר ר ברית ה' ליך ואין  אלא ,3060000019
ref-mek.1.6.1.351-ref-mek.1.6.1.367,ref-sifre-d.192.2.67-ref-sifre-d.192.3.12,16876,16971,ref-mek.1.6.1.351,ref-mek.1.6.1.367,205013,205088,ref-sifre-d.192.2.67,ref-sifre-d.192.3.12,ברית ומגלה פנים בתורה שנאמר לעברך בברית ה' אלהיך ואין ברית אלא תורה שנאמר אלה דברי הברית ,אין מרחמים עליכם אל ירך ללבכם אל תיראו ואל תחפזו ואל תערצו מפניהם אל ירך ,17,15,589,589.0,25,25.0,0.6741573033707865,0.85,37,י מים  אלרך ב אלי וא ת אל תר מ אל יר ,3060000020
ref-mek.1.6.1.355-ref-mek.1.6.1.364,ref-sifre-d.306.15.94-ref-sifre-d.306.16.9,16900,16955,ref-mek.1.6.1.355,ref-mek.1.6.1.364,302334,302410,ref-sifre-d.306.15.94,ref-sifre-d.306.16.9,שנאמר לעברך בברית ה' אלהיך ואין ברית אלא תורה שנאמר ,ואומר ויהי ה' אלהיכם בכם לעד יערף_כמטר_לקחי אין לקחי אלא דברי תורה שנאמר ,10,13,891,891.0,27,25.0,0.6164383561643836,0.6875,35,אמר י ה' אלהי אין י אלא תורה שנאמר ,3060000021
ref-mek.1.6.1.357-ref-mek.1.6.1.367,ref-sifre-d.306.16.44-ref-sifre-d.306.16.57,16913,16971,ref-mek.1.6.1.357,ref-mek.1.6.1.367,302585,302648,ref-sifre-d.306.16.44,ref-sifre-d.306.16.57,בברית ה' אלהיך ואין ברית אלא תורה שנאמר אלה דברי הברית ,אל ה' ואין דברים אלא דברי תורה שנא' את הדברים האלה דבר ה' אל ,11,14,892,892.0,28,25.0,0.5573770491803278,0.5833333333333333,37,אלה ואין ברי אלא תורה שנא א דברי הבר ,3060000022
ref-mek.1.6.1.728-ref-mek.1.6.1.740,ref-sifre-d.86.6.4-ref-sifre-d.86.6.11,18867,18932,ref-mek.1.6.1.728,ref-mek.1.6.1.740,131038,131078,ref-sifre-d.86.6.4,ref-sifre-d.86.6.11,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה,13,7,339,339.0,31,31.0,0.0,0.0,39,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה,3060000023
ref-mek.1.6.1.728-ref-mek.1.6.1.740,ref-sifre-d.90.2.4-ref-sifre-d.90.2.14,18867,18932,ref-mek.1.6.1.728,ref-mek.1.6.1.740,133022,133077,ref-sifre-d.90.2.4,ref-sifre-d.90.2.14,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן,13,8,350,350.0,33,33.0,0.0,0.0,53,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן,3060000024
ref-mek.1.6.1.726-ref-mek.1.6.1.739,ref-sifre-d.244.4.35-ref-sifre-d.244.4.53,18854,18927,ref-mek.1.6.1.726,ref-mek.1.6.1.739,243453,243542,ref-sifre-d.244.4.35,ref-sifre-d.244.4.53,להקיש ולדון נאמר כאן במועדו ונאמר להלן במועדו מה כאן דוחה שבת אף להלן ,להקיש ולדון גזרה שוה נאמר כאן אשר_לא_אורשה ונאמר להלן אשר_לא_אורשה מה כאן חמשים אף להלן ,14,15,692,686.0,30,29.0,0.42045454545454547,0.5,54,להקיש ולדון נאמר כאן ו ונאמר להלן ו מה כאן חש אף להלן ,3060000025
ref-mek.1.6.1.725-ref-mek.1.6.1.734,ref-sifre-d.249.5.21-ref-sifre-d.249.5.34,18850,18906,ref-mek.1.6.1.725,ref-mek.1.6.1.734,246470,246540,ref-sifre-d.249.5.21,ref-sifre-d.249.5.34,אלא להקיש ולדון נאמר כאן במועדו ונאמר להלן במועדו מה ,"אלא מופנה להקיש ולדון ג""ש נאמר כאן דור עשירי ונאמר להלן דור עשירי מה ",10,14,717,717.0,29,29.0,0.37681159420289856,0.41666666666666663,45,אלא להקיש ולדון נאמר כאן דו ונאמר להלן דו מה ,3060000026
ref-mek.1.6.1.796-ref-mek.1.6.1.826,ref-sifre-d.133.1.7-ref-sifre-d.133.1.24,19217,19387,ref-mek.1.6.1.796,ref-mek.1.6.1.826,167608,167700,ref-sifre-d.133.1.7,ref-sifre-d.133.1.24,שם תזבח את הפסח וגו' רבי_אליעזר_אומר בערב אתה זובח וכבוא השמש אתה אוכל מועד צאתך ממצרים,שם תזבח את הפסח וגו' רבי_אליעזר_אומר בערב אתה זובח וכבוא השמש אתה אוכל מועד צאתך ממצרים,28,16,505,505.0,36,36.0,0.0,0.0,87,שם תזבח את הפסח וגו' רבי_אליעזר_אומר בערב אתה זובח וכבוא השמש אתה אוכל מועד צאתך ממצרים,3060000027
ref-mek.1.6.1.796-ref-mek.1.6.1.807,ref-sifre-d.133.2.7-ref-sifre-d.134.1.3,19217,19289,ref-mek.1.6.1.796,ref-mek.1.6.1.807,167739,167805,ref-sifre-d.133.2.7,ref-sifre-d.134.1.3,כבא השמש ובשלת ואכלת תלמוד לומר מועד צאתך הפסיק הענין ובשלת ואכלת ,וכבוא השמש אתה אוכל עד מתי עד מועד צאתך ממצרים קפ ובשלת ואכלת ,12,13,507,507.0,35,35.0,0.42424242424242425,0.625,44,כבא השמש ת אכל ד מ מועד צאתך י  ובשלת ואכלת ,3060000028
ref-mek.1.7.2.96-ref-mek.1.7.2.101,ref-sifre-d.16.1.46-ref-sifre-d.16.1.51,21178,21217,ref-mek.1.7.2.96,ref-mek.1.7.2.101,18383,18422,ref-sifre-d.16.1.46,ref-sifre-d.16.1.51,והעמידו תלמידים הרבה ועשו סייג לתורה ,והעמידו תלמידים הרבה ועשו סייג לתורה ,6,6,21,21.0,38,38.0,0.0,0.0,37,והעמידו תלמידים הרבה ועשו סייג לתורה ,3060000029
ref-mek.1.7.2.96-ref-mek.1.7.2.101,ref-sifre-d.16.3.130-ref-sifre-d.16.3.135,21178,21217,ref-mek.1.7.2.96,ref-mek.1.7.2.101,19203,19242,ref-sifre-d.16.3.130,ref-sifre-d.16.3.135,והעמידו תלמידים הרבה ועשו סייג לתורה ,והעמידו תלמידים הרבה ועשו סייג לתורה ,6,6,22,22.0,39,38.0,0.0,0.0,37,והעמידו תלמידים הרבה ועשו סייג לתורה ,3060000030
