baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-n,baseOrder,grp-ref-mek,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-mek.1.1.1.18-ref-mek.1.1.1.26,ref-sifre-n.58.1.177-ref-sifre-n.58.1.187,90,131,ref-mek.1.1.1.18,ref-mek.1.1.1.26,82592,82650,ref-sifre-n.58.1.177,ref-sifre-n.58.1.187,דבר ה' ביד משה לו ואחת במצרים ויהי ביום דבר ה' אל משה,דבר ה' ביד משה לו ואחת במצרים ויהי ביום דבר ה' אל משה,11,11,266,266.0,1,1.0,0.0,0.0,11,דבר ה' ביד משה לו ואחת במצרים ויהי ביום דבר ה'_אל_משה,3050000001,11,11
ref-mek.1.1.1.13-ref-mek.1.1.1.26,ref-sifre-n.99.1.98-ref-sifre-n.99.1.114,58,131,ref-mek.1.1.1.13,ref-mek.1.1.1.26,135781,135872,ref-sifre-n.99.1.98,ref-sifre-n.99.1.114,הדבר לאהרן ולמשה כשהוא אומר ויהי ביום דבר ה' אל משה למשה היה הדבר ,ולא שהיה ברוך רגיל לדבר בפני ירמיה אלא מפני צורך ותדבר מרים ואהרן במשה מנין היתה מרים ,12,17,431,431.0,0,0.0,0.6976744186046512,0.7647058823529411,0,,3050000002,12,17
ref-mek.1.1.1.40-ref-mek.1.1.1.49,ref-sifre-n.123.1.188-ref-sifre-n.123.1.197,189,240,ref-mek.1.1.1.40,ref-mek.1.1.1.49,205927,205974,ref-sifre-n.123.1.188,ref-sifre-n.123.1.197,שכשם שהיה משה כלל לדברות כך היה אהרן כלל לדברות ,וכשם שהיה משה גזבר לדבר כך היה אהרן גזבר לדבר ,10,10,709,709.0,3,3.0,0.2708333333333333,0.6666666666666667,5,שהיה משה כך היה אהרן,3050000003,10,10
ref-mek.1.1.1.372-ref-mek.1.1.1.377,ref-sifre-n.118.1.1063-ref-sifre-n.118.1.1068,1896,1921,ref-mek.1.1.1.372,ref-mek.1.1.1.377,194217,194242,ref-sifre-n.118.1.1063,ref-sifre-n.118.1.1068,ברית מלח עולם היא לפני ה' ,ברית מלח עולם היא לפני ה' ,6,6,670,670.0,4,4.0,0.0,0.0,6,ברית מלח עולם היא לפני ה',3050000004,6,6
ref-mek.1.1.1.814-ref-mek.1.1.1.828,ref-sifre-n.84.4.164-ref-sifre-n.84.4.178,4170,4238,ref-mek.1.1.1.814,ref-mek.1.1.1.828,114899,114971,ref-sifre-n.84.4.164,ref-sifre-n.84.4.178,אם ככה את עושה לי הרגני נא הרוג אם מצאתי חן בעיניך ואל אראה ברעתי ,ואם ככה את עושה לי הרגני נא הרוג ואם מצאתי חן בעיניך ואל אראה ברעתי ,15,15,386,386.0,7,5.0,0.0294117647058823,0.0,13,ככה את עושה לי הרגני נא הרוג מצאתי חן בעיניך ואל אראה ברעתי,3050000005,15,15
ref-mek.1.1.1.814-ref-mek.1.1.1.821,ref-sifre-n.91.1.73-ref-sifre-n.91.1.80,4170,4201,ref-mek.1.1.1.814,ref-mek.1.1.1.821,127775,127806,ref-sifre-n.91.1.73,ref-sifre-n.91.1.80,אם ככה את עושה לי הרגני נא הרוג ,אם ככה את עושה לי הרגני נא הרוג ,8,8,418,418.0,5,5.0,0.0,0.0,8,אם ככה את עושה לי הרגני נא הרוג,3050000006,8,8
ref-mek.1.1.1.814-ref-mek.1.1.1.821,ref-sifre-n.91.1.133-ref-sifre-n.91.1.140,4170,4201,ref-mek.1.1.1.814,ref-mek.1.1.1.821,128082,128113,ref-sifre-n.91.1.133,ref-sifre-n.91.1.140,אם ככה את עושה לי הרגני נא הרוג ,אם ככה את עושה לי הרגני נא הרוג ,8,8,419,419.0,6,5.0,0.0,0.0,8,אם ככה את עושה לי הרגני נא הרוג,3050000007,8,8
ref-mek.1.2.1.20-ref-mek.1.2.1.28,ref-sifre-n.61.1.13-ref-sifre-n.61.1.22,6671,6713,ref-mek.1.2.1.20,ref-mek.1.2.1.28,85626,85675,ref-sifre-n.61.1.13,ref-sifre-n.61.1.22,ר' עקיבא אומר זה אחד מג' דברים שנתקשה משה ,ר' עקיבא אומר זה אחד משלשה דברים שנתקשה בהם משה ,7,8,274,274.0,8,8.0,0.1666666666666666,0.3333333333333333,6,ר'_עקיבא_אומר זה אחד דברים שנתקשה משה,3050000008,7,8
ref-mek.1.2.1.155-ref-mek.1.2.1.170,ref-sifre-n.145.2.24-ref-sifre-n.145.2.50,7370,7457,ref-mek.1.2.1.155,ref-mek.1.2.1.170,258782,258931,ref-sifre-n.145.2.24,ref-sifre-n.145.2.50,חדש ניסן ראש חדשים מגיד שניסן ראש לחדשים ומנין אף למלכים תלמוד לומר הוא החדש השני ,"חודש בחדשו מגיד שאם עבר היום בטל קרבנו לחדשי השנה למה נאמר לפי שהוא אומר ובראשי חדשיכם תקריבו עולה לה' שומעני מיעוט חדשים שנים ת""ל לחדשי השנה ",16,23,815,815.0,9,9.0,0.6901408450704225,0.8518518518518519,1,מגיד,3050000009,16,23
ref-mek.1.2.1.242-ref-mek.1.2.1.254,ref-sifre-n.108.1.19-ref-sifre-n.108.1.25,7868,7935,ref-mek.1.2.1.242,ref-mek.1.2.1.254,154604,154646,ref-sifre-n.108.1.19,ref-sifre-n.108.1.25,מנה בו אדם הראשון אתה אומר לכם ולא מנה בו אדם הראשון או אינו אלא ,מין הדמים אתה אומר מין הדמים או אינו אלא ,13,7,480,480.0,10,10.0,0.5538461538461539,0.5555555555555556,3,אתה אומר או_אינו_אלא,3050000010,13,7
ref-mek.1.2.2.3-ref-mek.1.2.2.16,ref-sifre-n.145.2.32-ref-sifre-n.145.2.50,8467,8565,ref-mek.1.2.2.3,ref-mek.1.2.2.16,258824,258931,ref-sifre-n.145.2.32,ref-sifre-n.145.2.50,"לחדשי השנה למה נאמר לפי שהוא אומר ובראשי חדשיכם תקריבו עולה לה' שומעני מיעוט חדשים שנים ת""ל לחדשי השנה","לחדשי השנה למה נאמר לפי שהוא אומר ובראשי חדשיכם תקריבו עולה לה' שומעני מיעוט חדשים שנים ת""ל לחדשי השנה",15,15,816,816.0,11,11.0,0.0,0.0,15,"לחדשי השנה למה_נאמר_לפי_שהוא_אומר ובראשי חדשיכם תקריבו עולה לה' שומעני מיעוט חדשים שנים ת""ל לחדשי השנה",3050000011,15,15
ref-mek.1.4.1.12-ref-mek.1.4.1.31,ref-sifre-n.157.9.132-ref-sifre-n.157.9.153,9923,10023,ref-mek.1.4.1.12,ref-mek.1.4.1.31,282011,282114,ref-sifre-n.157.9.132,ref-sifre-n.157.9.153,מדברים היו והלא כבר נאמר ואתה תדבר אל בני ישראל לאמר ומה תלמוד לומר דברו אלא כשהיה משה מדבר היה ,לדבר שכשיפטר משה מן העולם לא יהיו אומרים לו בחיי משה רבך לא היתה מדבר עכשיו מה אתה מדבר ר' יאשיה אמר ,13,22,877,877.0,13,13.0,0.7623762376237624,0.7777777777777778,2,משה מדבר,3050000012,13,22
