baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-y,baseOrder,grp-ref-mek,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-mek.1.1.1.31-ref-mek.1.1.1.46,ref-y.2.4.5.1.4.8-ref-y.2.4.5.1.4.19,150,223,ref-mek.1.1.1.31,ref-mek.1.1.1.46,1535591,1535647,ref-y.2.4.5.1.4.8,ref-y.2.4.5.1.4.19,מה תלמוד לומר אל משה ואל אהרן אלא מלמד שכשם שהיה משה כלל לדברות כך היה ,מה תלמוד לומר סופר אלא כשם שהיה סופר בדברי תורה כך היה ,11,10,500,500.0,0,0.0,0.4507042253521127,0.6923076923076923,5,מה_תלמוד_לומר אלא שהיה כך היה,3070000001,11,10
ref-mek.1.1.1.174-ref-mek.1.1.1.179,ref-y.1.1.1.1.24.111-ref-y.1.1.1.1.24.116,853,883,ref-mek.1.1.1.174,ref-mek.1.1.1.179,8145,8175,ref-y.1.1.1.1.24.111,ref-y.1.1.1.1.24.116,ביום עשות ה' אלהים ארץ ושמים ,ביום עשות ה' אלהים ארץ ושמים ,6,6,4,4.0,1,1.0,0.0,0.0,6,ביום עשות ה' אלהים ארץ ושמים,3070000002,6,6
ref-mek.1.1.1.178-ref-mek.1.1.1.184,ref-y.2.12.2.1.16.276-ref-y.2.12.2.1.16.282,873,917,ref-mek.1.1.1.178,ref-mek.1.1.1.184,1953227,1953269,ref-y.2.12.2.1.16.276,ref-y.2.12.2.1.16.282,ארץ ושמים מגיד ששניהם שקולים כאחד זה בזה ,ארץ לשמים אלא מלמד ששניהן שקולים זה בזה ,8,8,712,712.0,2,1.0,0.3170731707317073,0.6,4,ארץ שקולים זה בזה,3070000003,8,8
ref-mek.1.1.1.531-ref-mek.1.1.1.537,ref-y.4.4.11.5.1.342-ref-y.4.4.11.5.1.346,2717,2757,ref-mek.1.1.1.531,ref-mek.1.1.1.537,3315578,3315608,ref-y.4.4.11.5.1.342,ref-y.4.4.11.5.1.346,ויקם יונה לברוח תרשישה וגו' וכי מלפני ,ויקם יונה לברוח תרשישה מלפני ,7,5,1411,1411.0,3,3.0,0.2368421052631578,0.2857142857142857,5,ויקם יונה לברוח תרשישה מלפני,3070000004,7,5
ref-mek.1.1.1.657-ref-mek.1.1.1.662,ref-y.1.1.9.2.9.26-ref-y.1.1.9.2.9.30,3357,3383,ref-mek.1.1.1.657,ref-mek.1.1.1.662,185186,185210,ref-y.1.1.9.2.9.26,ref-y.1.1.9.2.9.30,וה' הטיל רוח גדולה אל הים ,וה' הטיל רוח גדולה בימי ,6,5,143,143.0,4,4.0,0.1923076923076923,0.1666666666666666,4,וה' הטיל רוח גדולה,3070000005,6,5
ref-mek.1.1.1.760-ref-mek.1.1.1.771,ref-y.2.9.2.1.14.28-ref-y.2.9.2.1.14.44,3896,3952,ref-mek.1.1.1.760,ref-mek.1.1.1.771,1766438,1766522,ref-y.2.9.2.1.14.28,ref-y.2.9.2.1.14.44,שנאמר ויהי דבר ה' אל יונה שנית לאמר שנית נדבר עמו ולא ,אמר ולא יעשה ודבר ולא וקימנה ורבנן אמרי לא איש היא שעשה דבריו של אל כאילו אינן ,12,17,596,596.0,5,5.0,0.6329113924050633,0.8,1,ולא,3070000006,12,17
ref-mek.1.1.1.858-ref-mek.1.1.1.876,ref-y.3.1.10.3.2.95-ref-y.3.1.10.3.2.107,4383,4491,ref-mek.1.1.1.858,ref-mek.1.1.1.876,2174265,2174341,ref-y.3.1.10.3.2.95,ref-y.3.1.10.3.2.107,ואמור אליהם מיד דברי ר' ישמעאל שנאמר ויצא ודבר ר' אליעזר אומר צא ואמור אליהם והשיבני דבר שנאמר וישב ,אומרי' טהור' ואילו אומ' טמיא' כמי שאילו אומ' נשבית ואילו אומרי' לא נשבית ,15,13,755,755.0,6,6.0,0.72,1.0,0,,3070000007,15,13
ref-mek.1.1.1.858-ref-mek.1.1.1.876,ref-y.3.2.2.2.3.234-ref-y.3.2.2.2.3.246,4383,4491,ref-mek.1.1.1.858,ref-mek.1.1.1.876,2386181,2386252,ref-y.3.2.2.2.3.234,ref-y.3.2.2.2.3.246,ואמור אליהם מיד דברי ר' ישמעאל שנאמר ויצא ודבר ר' אליעזר אומר צא ואמור אליהם והשיבני דבר שנאמר וישב ,אומ' טהורה ואילו אומרי' טמאה כמי שאילו או' נשבית ואילו או' לא נשבית ,15,13,882,880.0,7,6.0,0.73,1.0,0,,3070000008,15,13
ref-mek.1.1.1.1051-ref-mek.1.1.1.1067,ref-y.2.9.3.4.3.21-ref-y.2.9.3.4.3.37,5451,5533,ref-mek.1.1.1.1051,ref-mek.1.1.1.1067,1784912,1784998,ref-y.2.9.3.4.3.21,ref-y.2.9.3.4.3.37,שנה שהיה כועס על ישראל לא היה מדבר עמו שנאמר ויהי כאשר תמו כל אנשי המלחמה למות ,שנים שהיו ישראל כמנודים לא היה מדבר עם משה שנאמ' ויהי כאשר תמו כל אנשי המלחמה למות ,17,17,606,606.0,8,8.0,0.253012048192771,0.4117647058823529,11,ישראל לא היה מדבר ויהי כאשר תמו כל אנשי המלחמה למות,3070000009,17,17
ref-mek.1.1.1.1116-ref-mek.1.1.1.1123,ref-y.1.5.6.1.1.44-ref-y.1.5.6.1.1.53,5774,5809,ref-mek.1.1.1.1116,ref-mek.1.1.1.1123,477098,477142,ref-y.1.5.6.1.1.44,ref-y.1.5.6.1.1.53,ה' וגו' ויהי דבר ה' אל ירמיהו וגו' ,ה' בכם וגו' ושמתם את דברי אלה על לבבכם וגו' ,8,10,209,207.0,9,9.0,0.5,0.6,3,ה' וגו' וגו',3070000010,8,10
