baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-b,baseOrder,grp-ref-sifra,dam-lev,jac,id
ref-sifra.1.1.3-ref-sifra.1.2.5,ref-b.4.4.10.86a.16.17-ref-b.4.4.10.86a.16.24,11,44,ref-sifra.1.1.3,ref-sifra.1.2.5,6264496,6264539,ref-b.4.4.10.86a.16.17,ref-b.4.4.10.86a.16.24,אומ' בשלש עשרה מדות התורה נדרשת ,אמרת צא ולמד משלש עשרה מדות שהתורה נדרשת ,6,8,4356,4356.0,0,0.0,0.2682926829268293,0.6,4080000001
ref-sifra.1.1.3-ref-sifra.1.2.5,ref-b.4.4.10.86a.17.18-ref-b.4.4.10.86a.17.25,11,44,ref-sifra.1.1.3,ref-sifra.1.2.5,6264690,6264733,ref-b.4.4.10.86a.17.18,ref-b.4.4.10.86a.17.25,אומ' בשלש עשרה מדות התורה נדרשת ,אמרת צא ולמד משלש עשרה מדות שהתורה נדרשת ,6,8,4357,4357.0,1,0.0,0.2682926829268293,0.6,4080000002
ref-sifra.1.2.18-ref-sifra.1.2.34,ref-b.2.4.1.6b.8.28-ref-b.2.4.1.6b.9.11,112,199,ref-sifra.1.2.18,ref-sifra.1.2.34,1284938,1285016,ref-b.2.4.1.6b.8.28,ref-b.2.4.1.6b.9.11,שבפרט דילמא פרט וכלל הוא ותו פרט וכלל נעשה כלל מוסף על הפרט דילמא כלל ופרט,שבפרט דילמא פרט וכלל הוא ותו פרט וכלל נעשה כלל מוסף על הפרט דילמא כלל ופרט,15,16,458,458.0,2,2.0,0.0,0.0,4080000003
ref-sifra.1.2.46-ref-sifra.1.2.52,ref-b.2.4.10.120a.12.10-ref-b.2.4.10.120a.12.16,255,283,ref-sifra.1.2.46,ref-sifra.1.2.52,1677022,1677050,ref-b.2.4.10.120a.12.10,ref-b.2.4.10.120a.12.16,ללמד לא ללמד על עצמו יצא אלא ,ללמד לא ללמד על עצמו יצא אלא ,7,7,890,890.0,8,2.0,0.0,0.0,4080000004
ref-sifra.1.2.46-ref-sifra.1.2.52,ref-b.3.1.1.7a.8.16-ref-b.3.1.1.7a.8.22,255,283,ref-sifra.1.2.46,ref-sifra.1.2.52,2858969,2858997,ref-b.3.1.1.7a.8.16,ref-b.3.1.1.7a.8.22,ללמד לא ללמד על עצמו יצא אלא ,ללמד לא ללמד על עצמו יצא אלא ,7,7,2088,2088.0,9,2.0,0.0,0.0,4080000005
ref-sifra.1.2.46-ref-sifra.1.2.52,ref-b.5.2.5.55b.7.20-ref-b.5.2.5.55b.7.26,255,283,ref-sifra.1.2.46,ref-sifra.1.2.52,7312086,7312114,ref-b.5.2.5.55b.7.20,ref-b.5.2.5.55b.7.26,ללמד לא ללמד על עצמו יצא אלא ,ללמד לא ללמד על עצמו יצא אלא ,7,7,6512,6512.0,10,2.0,0.0,0.0,4080000006
ref-sifra.1.2.18-ref-sifra.1.2.36,ref-b.5.2.5.55b.14.12-ref-b.5.2.5.55b.15.11,112,212,ref-sifra.1.2.18,ref-sifra.1.2.36,7312920,7312978,ref-b.5.2.5.55b.14.12,ref-b.5.2.5.55b.15.11,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא צריך לפרט ומפרט שהוא ,בכלל ופרט מתקיף לה רב אשי האי כלל ופרט הוא פרט וכלל הוא ,19,13,6520,6520.0,4,2.0,0.5555555555555556,0.75,4080000007
ref-sifra.1.2.18-ref-sifra.1.2.33,ref-b.5.3.6.88b.3.3-ref-b.5.3.6.88b.4.12,112,194,ref-sifra.1.2.18,ref-sifra.1.2.33,7752901,7753026,ref-b.5.3.6.88b.3.3,ref-b.5.3.6.88b.4.12,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא צריך ,כלל עפר פרט כלל ופרט אין בכלל אלא מה שבפרט עפר אין מידי אחרינא לא אמר רב מרי משום דהוה כלל הצריך לפרט וכל כלל הצריך לפרט ,16,27,7604,7603.0,3,2.0,0.6446280991735537,0.7777777777777778,4080000008
ref-sifra.1.2.46-ref-sifra.1.2.54,ref-b.5.4.1.6a.2.16-ref-b.5.4.1.6a.2.28,255,291,ref-sifra.1.2.46,ref-sifra.1.2.54,7940018,7940076,ref-b.5.4.1.6a.2.16,ref-b.5.4.1.6a.2.28,ללמד לא ללמד על עצמו יצא אלא ללמד על ,ללמד לא ללמד על עצמו יצא אלא ללמד על הכלל כולו יצא ולעולם ,9,13,7795,7795.0,11,2.0,0.3620689655172414,0.2857142857142857,4080000009
ref-sifra.1.2.31-ref-sifra.1.2.38,ref-b.5.4.2.19a.4.3-ref-b.5.4.2.19a.4.8,178,223,ref-sifra.1.2.31,ref-sifra.1.2.38,7988363,7988400,ref-b.5.4.2.19a.4.3,ref-b.5.4.2.19a.4.8,מכלל שהוא צריך לפרט ומפרט שהוא צריך לכלל ,מכלל הצריך לפרט ומפרט הצריך לכלל ,8,6,7850,7849.0,6,2.0,0.1951219512195122,0.19999999999999996,4080000010
