baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-sifra,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-sifra.1.3.8-ref-sifra.1.3.18,ref-bible.0104.12.14.5-ref-bible.104.12.14.15,717,773,ref-sifra.1.3.8,ref-sifra.1.3.18,282733,282788,ref-bible.0104.12.14.5,ref-bible.0104.12.14.15,ואביה ירק ירק בפניה הלא תכלם שבעת ימים תסגר שבעת ימים' ,ואביה ירק ירק בפניה הלא תכלם שבעת ימים תסגר שבעת ימים ,11,11,1497,1497.0,0,0.0,0.0181818181818181,0.1111111111111111,10,ואביה ירק ירק בפניה הלא תכלם שבעת ימים תסגר שבעת,4090000001,11,11
ref-sifra.1.3.32-ref-sifra.1.3.39,ref-bible.0104.12.14.13-ref-bible.0104.12.15.6,840,882,ref-sifra.1.3.32,ref-sifra.1.3.39,282774,282846,ref-bible.0104.12.14.13,ref-bible.0104.12.15.6,תסגר שבעת ימים מחוץ למחנה ואחר תאסף ותסגר מרים מחוץ למחנה שבעת ימים,תסגר שבעת ימים מחוץ למחנה ואחר תאסף ותסגר מרים מחוץ למחנה שבעת ימים,13,13,1499,1499.0,1,1.0,0.0,0.0,13,תסגר שבעת ימים מחוץ למחנה ואחר תאסף ותסגר מרים מחוץ למחנה שבעת ימים,4090000002,13,13
ref-sifra.1.8.9-ref-sifra.1.8.17,ref-bible.0102.22.9.6-ref-bible.102.22.9.13,1715,1752,ref-sifra.1.8.9,ref-sifra.1.8.17,149120,149152,ref-bible.0102.22.9.6,ref-bible.0102.22.9.13,חמור או שור או שה פרט וכל בהמה לשמור ,חמור או שור או שה וכל בהמה לשמר ,9,8,55,55.0,3,3.0,0.1351351351351351,0.1428571428571429,7,חמור או שור או שה וכל בהמה,4090000003,9,8
ref-sifra.1.9.5-ref-sifra.1.9.20,ref-bible.0105.14.26.1-ref-bible.105.14.26.14,1814,1899,ref-sifra.1.9.5,ref-sifra.1.9.20,370627,370706,ref-bible.0105.14.26.1,ref-bible.0105.14.26.14,ונתת הכסף בכל אשר תאוה נפשך כלל בבקר ובצאן ביין ובשכר פרט ובכל אשר תשאלך נפשך ,ונתתה הכסף בכל אשר תאוה נפשך בבקר ובצאן וביין ובשכר ובכל אשר תשאלך נפשך ,16,14,1609,1609.0,4,4.0,0.1282051282051282,0.2666666666666667,12,הכסף בכל אשר תאוה נפשך בבקר ובצאן ובשכר ובכל אשר תשאלך נפשך,4090000004,16,14
ref-sifra.1.11.21-ref-sifra.1.11.32,ref-bible.0103.7.19.13-ref-bible.0103.7.21.1,2422,2491,ref-sifra.1.11.21,ref-sifra.1.11.32,202709,202804,ref-bible.0103.7.19.13,ref-bible.0103.7.21.1,יאכל בשר והנפש אשר תאכל בשר מזבח השלמים אשר ליהוה וטמאתו עליו ונכרתה הנפש ההוא מעמיה ונפש,יאכל בשר והנפש אשר תאכל בשר מזבח השלמים אשר ליהוה וטמאתו עליו ונכרתה הנפש ההוא מעמיה ונפש,17,17,346,346.0,5,5.0,0.0,0.0,14,יאכל בשר והנפש אשר תאכל בשר מזבח השלמים אשר ליהוה וטמאתו עליו ונכרתה_הנפש_ההוא_מעמיה ונפש,4090000005,17,17
ref-sifra.1.11.41-ref-sifra.1.11.49,ref-bible.0103.7.37.1-ref-bible.103.7.37.9,2537,2600,ref-sifra.1.11.41,ref-sifra.1.11.49,203843,203906,ref-bible.0103.7.37.1,ref-bible.0103.7.37.9,זאת התורה לעולה ולמנחה לחטאת ולאשם ולמלוא' ולזבח השלמים ,זאת התורה לעלה למנחה ולחטאת ולאשם ולמלואים ולזבח השלמים ,9,9,373,372.0,7,7.0,0.0892857142857142,0.5,5,זאת התורה ולאשם ולזבח השלמים,4090000006,9,9
ref-sifra.1.14.22-ref-sifra.1.14.41,ref-bible.0103.4.24.6-ref-bible.0103.4.25.2,3512,3616,ref-sifra.1.14.22,ref-sifra.1.14.41,196868,196931,ref-bible.0103.4.24.6,ref-bible.0103.4.25.2,ושחט אתו במקום אשר ישחט את העלה לפני יהוה חטאת הוא ולקח הכהן,ושחט אתו במקום אשר ישחט את העלה לפני יהוה חטאת הוא ולקח הכהן,13,13,250,250.0,9,9.0,0.0,0.0,13,ושחט אתו במקום אשר ישחט את העלה לפני יהוה חטאת הוא ולקח הכהן,4090000007,13,13
ref-sifra.1.14.22-ref-sifra.1.14.32,ref-bible.0103.4.33.6-ref-bible.0103.4.33.14,3512,3569,ref-sifra.1.14.22,ref-sifra.1.14.32,197554,197600,ref-bible.0103.4.33.6,ref-bible.0103.4.33.14,ושחט אתה לחטאת במקום אשר ישחט את העלה,החטאת ושחט אתה לחטאת במקום אשר ישחט את העלה,8,9,255,255.0,8,8.0,0.1395348837209302,0.0,8,ושחט אתה לחטאת במקום אשר ישחט את העלה,4090000008,8,9
ref-sifra.1.14.25-ref-sifra.1.14.41,ref-bible.0103.6.18.10-ref-bible.103.6.19.6,3527,3616,ref-sifra.1.14.25,ref-sifra.1.14.41,201142,201231,ref-bible.0103.6.18.10,ref-bible.0103.6.19.6,במקום אשר ישחט את החטאת ואת העולה במקו' הקדש שאין תלמוד לו' כי כחטאת האשם הוא לכהן ,במקום אשר תשחט העלה תשחט החטאת לפני יהוה קדש קדשים הוא הכהן המחטא אתה יאכלנה במקום קדש ,17,17,305,305.0,11,8.0,0.632183908045977,0.6111111111111112,3,במקום אשר החטאת,4090000009,17,17
ref-sifra.1.14.22-ref-sifra.1.14.41,ref-bible.0103.14.13.1-ref-bible.103.14.13.17,3512,3616,ref-sifra.1.14.22,ref-sifra.1.14.41,219267,219354,ref-bible.0103.14.13.1,ref-bible.0103.14.13.17,ושחט את הכבש במקום אשר ישחט את החטאת ואת העולה במקו' הקדש שאין תלמוד לו' כי כחטאת האשם הוא לכהן ,ושחט את הכבש במקום אשר ישחט את החטאת ואת העלה במקום הקדש כי כחטאת האשם הוא לכהן ,12,9,720,718.0,10,8.0,0.1770833333333333,0.2857142857142857,15,ושחט את הכבש במקום אשר ישחט את החטאת ואת הקדש כי כחטאת האשם הוא לכהן,4090000010,20,17
ref-sifra.1.14.49-ref-sifra.1.14.70,ref-bible.0103.14.13.14-ref-bible.103.14.14.19,3654,3765,ref-sifra.1.14.49,ref-sifra.1.14.70,219332,219471,ref-bible.0103.14.13.14,ref-bible.0103.14.14.19,"יד ובבוהן רגל ובאזן ימנית יכול יהא טעון מתן דמים למזכח תל ל ""כי כחטאת כאשם הוא לכהן כחטאת כאשם הוא לכהן ",כחטאת האשם הוא לכהן קדש קדשים הוא ולקח הכהן מדם האשם ונתן הכהן על תנוך אזן המטהר הימנית ועל בהן ידו הימנית ועל בהן רגלו הימנית ,22,26,725,718.0,14,14.0,0.7637795275590551,0.7142857142857143,3,כחטאת הוא לכהן,4090000011,22,26
ref-sifra.1.15.20-ref-sifra.1.15.27,ref-bible.0103.13.42.1-ref-bible.103.13.42.8,3945,3985,ref-sifra.1.15.20,ref-sifra.1.15.27,216821,216861,ref-bible.0103.13.42.1,ref-bible.0103.13.42.8,וכי יהיה בקרחת או בגבחת נגע לבן אדמדם ,וכי יהיה בקרחת או בגבחת נגע לבן אדמדם ,8,8,632,632.0,15,15.0,0.0,0.0,8,וכי יהיה בקרחת או בגבחת נגע לבן אדמדם,4090000012,8,8
ref-sifra.1.15.22-ref-sifra.1.15.27,ref-bible.0103.13.42.12-ref-bible.103.13.43.8,3955,3985,ref-sifra.1.15.22,ref-sifra.1.15.27,216876,216939,ref-bible.0103.13.42.12,ref-bible.0103.13.43.8,בקרחת או בגבחת נגע לבן אדמדם ,בקרחתו או בגבחתו וראה אתו הכהן והנה שאת הנגע לבנה אדמדמת ,6,11,636,636.0,16,15.0,0.5263157894736842,0.75,1,או,4090000013,6,11
ref-sifra.1.16.12-ref-sifra.1.16.39,ref-bible.0103.14.44.12-ref-bible.0103.14.45.11,4107,4247,ref-sifra.1.16.12,ref-sifra.1.16.39,221727,221786,ref-bible.0103.14.44.12,ref-bible.0103.14.45.11,טמא הוא ונתץ את הבית את אבניו ואת עציו ואת כל עפר הבית,טמא הוא ונתץ את הבית את אבניו ואת עציו ואת כל עפר הבית,13,13,761,761.0,17,17.0,0.0,0.0,13,טמא הוא ונתץ את הבית את אבניו ואת עציו ואת כל עפר הבית,4090000014,13,13
ref-sifra.1.17.27-ref-sifra.1.17.32,ref-bible.0105.4.36.1-ref-bible.105.4.36.6,4439,4469,ref-sifra.1.17.27,ref-sifra.1.17.32,348947,348977,ref-bible.0105.4.36.1,ref-bible.0105.4.36.6,מן השמים השמיעך את קולו ליסרך ,מן השמים השמיעך את קלו ליסרך ,6,6,1575,1575.0,19,19.0,0.0333333333333333,0.0,5,מן השמים השמיעך את ליסרך,4090000015,6,6
ref-sifra.1.17.35-ref-sifra.1.17.40,ref-bible.0105.4.36.1-ref-bible.105.4.36.6,4484,4514,ref-sifra.1.17.35,ref-sifra.1.17.40,348947,348977,ref-bible.0105.4.36.1,ref-bible.0105.4.36.6,מן השמים השמיעך את קולו ליסרך ,מן השמים השמיעך את קלו ליסרך ,6,6,1576,1575.0,20,20.0,0.0333333333333333,0.0,5,מן השמים השמיעך את ליסרך,4090000016,6,6
ref-sifra.1.17.71-ref-sifra.1.17.76,ref-bible.0204.22.10.1-ref-bible.204.22.10.6,4670,4702,ref-sifra.1.17.71,ref-sifra.1.17.76,637994,638026,ref-bible.0204.22.10.1,ref-bible.0204.22.10.6,ויט שמים וירד וערפל תחת רגליו ,ויט שמים וירד וערפל תחת רגליו ,6,6,1683,1683.0,21,21.0,0.0,0.0,6,ויט שמים וירד וערפל תחת רגליו,4090000017,6,6
ref-sifra.1.17.71-ref-sifra.1.17.76,ref-bible.0301.18.10.1-ref-bible.301.18.10.6,4670,4702,ref-sifra.1.17.71,ref-sifra.1.17.76,1161079,1161111,ref-bible.0301.18.10.1,ref-bible.0301.18.10.6,ויט שמים וירד וערפל תחת רגליו ,ויט שמים וירד וערפל תחת רגליו ,6,6,1843,1843.0,22,21.0,0.0,0.0,6,ויט שמים וירד וערפל תחת רגליו,4090000018,6,6
ref-sifra.1.18.14-ref-sifra.1.18.25,ref-bible.0102.40.35.1-ref-bible.102.40.35.11,4936,4989,ref-sifra.1.18.14,ref-sifra.1.18.25,191286,191333,ref-bible.0102.40.35.1,ref-bible.0102.40.35.11,ולא יכול משח לבא אל אהל מועד הכריע כי שכן עליו הענן ,ולא יכל משה לבוא אל אהל מועד כי שכן עליו הענן ,12,11,169,169.0,23,23.0,0.173076923076923,0.3,6,ולא אל_אהל_מועד כי שכן עליו הענן,4090000019,12,11
ref-sifra.1.18.51-ref-sifra.1.18.60,ref-bible.0205.8.11.1-ref-bible.205.8.11.10,5109,5160,ref-sifra.1.18.51,ref-sifra.1.18.60,666847,666897,ref-bible.0205.8.11.1,ref-bible.0205.8.11.10,ולא יכלו הכהנים לעמוד לשרת מפני הענן כי מלא כבוד ,ולא יכלו הכהנים לעמד לשרת מפני הענן כי מלא כבוד ,10,10,1697,1697.0,24,24.0,0.0204081632653061,0.0,9,ולא יכלו הכהנים לשרת מפני הענן כי מלא כבוד,4090000020,10,10
ref-sifra.1.18.52-ref-sifra.1.18.60,ref-bible.0313.5.14.2-ref-bible.313.5.14.10,5114,5160,ref-sifra.1.18.52,ref-sifra.1.18.60,1523092,1523138,ref-bible.0313.5.14.2,ref-bible.0313.5.14.10,יכלו הכהנים לעמוד לשרת מפני הענן כי מלא כבוד ,יכלו הכהנים לעמוד לשרת מפני הענן כי מלא כבוד ,9,9,1967,1967.0,25,24.0,0.0,0.0,9,יכלו הכהנים לעמוד לשרת מפני הענן כי מלא כבוד,4090000021,9,9
ref-sifra.1.18.73-ref-sifra.1.18.77,ref-bible.0102.33.22.7-ref-bible.102.33.22.11,5222,5246,ref-sifra.1.18.73,ref-sifra.1.18.77,174456,174479,ref-bible.0102.33.22.7,ref-bible.0102.33.22.11,ושכותי כפי עליך עד עברי ,ושכתי כפי עליך עד עברי ,5,5,140,140.0,26,26.0,0.0416666666666666,0.0,4,כפי עליך עד עברי,4090000022,5,5
