baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-d,baseOrder,grp-ref-sifra,dam-lev,jac,lcs_len_char,lcs_str_char,lcc_distance,id
ref-sifra.1.9.5-ref-sifra.1.9.10,ref-sifre-d.107.8.1-ref-sifre-d.107.8.6,1814,1844,ref-sifra.1.9.5,ref-sifra.1.9.10,146647,146679,ref-sifre-d.107.8.1,ref-sifre-d.107.8.6,ונתת הכסף בכל אשר תאוה נפשך ,ונתתה הכסף בכל אשר תאווה נפשך ,6,6,836,836.0,0,0.0,0.06666666666666667,0.0,28,ונתת הכסף בכל אשר תאוה נפשך ,0.06666666666666665,4060000001
ref-sifra.1.9.6-ref-sifra.1.9.13,ref-sifre-d.107.9.34-ref-sifre-d.107.10.6,1820,1861,ref-sifra.1.9.6,ref-sifra.1.9.13,146933,146972,ref-sifre-d.107.9.34,ref-sifre-d.107.10.6,הכסף בכל אשר תאוה נפשך כלל בבקר ובצאן ,כסף שני בכל אשר תאוה נפשך בבקר ובצאן ,8,8,837,837.0,1,0.0,0.23684210526315788,0.4,33,כסף בכל אשר תאוה נפשך בבקר ובצאן ,0.13157894736842102,4060000002
ref-sifra.1.9.7-ref-sifra.1.9.20,ref-sifre-d.107.12.27-ref-sifre-d.107.13.9,1826,1899,ref-sifra.1.9.7,ref-sifra.1.9.20,147243,147312,ref-sifre-d.107.12.27,ref-sifre-d.107.13.9,"ובכל אשר תשאלך נפשך יכול אף מים ומלח ת""ל בבקר ובצאן וביין ובשכר","ובכל אשר תשאלך נפשך יכול אף מים ומלח ת""ל בבקר ובצאן וביין ובשכר",13,13,839,839.0,2,2.0,0.0,0.0,63,"ובכל אשר תשאלך נפשך יכול אף מים ומלח ת""ל בבקר ובצאן וביין ובשכר",0.0,4060000003
ref-sifra.1.11.70-ref-sifra.1.11.85,ref-sifre-d.124.4.10-ref-sifre-d.124.4.29,2698,2785,ref-sifra.1.11.70,ref-sifra.1.11.85,161325,161436,ref-sifre-d.124.4.10,ref-sifre-d.124.4.29,קדשי' שקדושתן קדושת מזבח' אף_אין_לי_אלא כל דבר שקדושתו קדושת מזבח יצאו קדשי בדק הבית ,תקדיש וכתוב_אחד_אומר לא יקדיש מקדישו אתה הקדש עילוי ואין אתה מקדישו הקדש מזבח הקדש יכול אף הקדש בדק הבית ,14,19,1105,1099.0,4,4.0,0.6,0.8,50,קדישות קדש מ אילי   קדשו קדש מזבח יו קדש בדק הבית ,0.5238095238095238,4060000004
ref-sifra.2.2-00.3.45-ref-sifra.2.2-00.3.61,ref-sifre-d.110.2.4-ref-sifre-d.110.2.18,12037,12128,ref-sifra.2.2-00.3.45,ref-sifra.2.2-00.3.61,149802,149866,ref-sifre-d.110.2.4,ref-sifre-d.110.2.18,"ברית בין שאינם בני ברית ת""ל לוי מה לוי בן ברית אף כולם בני ברית","ברית בין שאינם בני ברית ת""ל לוי מה לוי בן ברית אף כולם בני ברית",15,15,959,959.0,5,5.0,0.0,0.0,63,"ברית בין שאינם בני ברית ת""ל לוי מה לוי בן ברית אף כולם בני ברית",0.0,4060000005
ref-sifra.2.2-00.4.44-ref-sifra.2.2-00.4.75,ref-sifre-d.306.36.82-ref-sifre-d.306.36.99,12485,12644,ref-sifra.2.2-00.4.44,ref-sifra.2.2-00.4.75,308048,308129,ref-sifre-d.306.36.82,ref-sifre-d.306.36.99,"יאמר אדם לה' עולה לה' מנחה לה' שלמים אלא עולה לה' מנחה לה' שלמים לה' ת""ל קרבן לה'","יאמר אדם לה' עולה לה' מנחה לה' שלמים אלא עולה לה' מנחה לה' שלמים לה' ת""ל קרבן לה'",18,18,2204,2204.0,7,7.0,0.0,0.0,81,"יאמר אדם לה' עולה לה' מנחה לה' שלמים אלא עולה לה' מנחה לה' שלמים לה' ת""ל קרבן לה'",0.0,4060000006
ref-sifra.2.2-00.4.104-ref-sifra.2.2-00.4.108,ref-sifre-d.306.36.94-ref-sifre-d.306.36.99,12777,12800,ref-sifra.2.2-00.4.104,ref-sifra.2.2-00.4.108,308103,308129,ref-sifre-d.306.36.94,ref-sifre-d.306.36.99,לה' תלמוד לומר קרבן לה' ,"לה' שלמים לה' ת""ל קרבן לה' ",5,6,2214,2204.0,9,9.0,0.3333333333333333,0.6666666666666667,18,לה' למ ל קרבן לה' ,0.33333333333333337,4060000007
ref-sifra.2.2-00.6.11-ref-sifra.2.2-00.6.19,ref-sifre-d.100.1.1-ref-sifre-d.100.1.12,13196,13241,ref-sifra.2.2-00.6.11,ref-sifra.2.2-00.6.19,139113,139174,ref-sifre-d.100.1.1,ref-sifre-d.100.1.12,זאת הבהמה אשר תאכלו שור שה איל וצבי ויחמור ,זאת הבהמה אשר תאכלו שור שה כשבים ושה עזים איל וצבי ויחמור ,9,12,760,760.0,12,10.0,0.25862068965517243,0.19999999999999996,43,זאת הבהמה אשר תאכלו שור שה איל וצבי ויחמור ,0.2586206896551724,4060000008
ref-sifra.2.2-00.6.4-ref-sifra.2.2-00.6.14,ref-sifre-d.100.2.7-ref-sifre-d.100.2.17,13160,13216,ref-sifra.2.2-00.6.4,ref-sifra.2.2-00.6.14,139224,139284,ref-sifre-d.100.2.7,ref-sifre-d.100.2.17,יכול אף חיה שהיא קרויה בהמה שנאמר זאת הבהמה אשר תאכלו ,זאת החיה אשר תאכלו מכל הבהמה מלמד שחיה קרויה בהמה ובהמה ,11,11,766,766.0,10,10.0,0.7142857142857143,0.3846153846153846,26,א חיה ארו בהמה מ  הבהמה ו ,0.5357142857142857,4060000009
ref-sifra.2.2-00.6.10-ref-sifra.2.2-00.6.19,ref-sifre-d.100.3.14-ref-sifre-d.100.3.19,13189,13241,ref-sifra.2.2-00.6.10,ref-sifra.2.2-00.6.19,139370,139405,ref-sifre-d.100.3.14,ref-sifre-d.100.3.19,שנאמר זאת הבהמה אשר תאכלו שור שה איל וצבי ויחמור ,שנאמר זאת הבהמה איל וצבי ויחמור ,10,6,768,768.0,11,10.0,0.3469387755102041,0.33333333333333337,32,שנאמר זאת הבהמה איל וצבי ויחמור ,0.34693877551020413,4060000010
