baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-n,baseOrder,grp-ref-sifra,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-sifra.1.2.23-ref-sifra.1.2.31,ref-sifre-n.24.1.253-ref-sifre-n.24.1.262,141,183,ref-sifra.1.2.23,ref-sifra.1.2.31,39347,39398,ref-sifre-n.24.1.253,ref-sifre-n.24.1.262,ופרט וכלל אי אתה דן אלא כעין הפרט מכלל ,הפרט אי אתה יכול לדונו כעין הפרט להוציאו מן הכלל ,9,10,291,291.0,4,0.0,0.5306122448979592,0.4444444444444444,4,אי אתה כעין הפרט,4050000001,9,10
ref-sifra.1.2.18-ref-sifra.1.2.31,ref-sifre-n.118.1.335-ref-sifre-n.118.1.351,112,183,ref-sifra.1.2.18,ref-sifra.1.2.31,190477,190555,ref-sifre-n.118.1.335,ref-sifre-n.118.1.351,כלל בכלל ראשון אמרת לאו אלא כלל ופרט וכלל אין אתה דן אלא כעין הפרט,וכלל או כלל בכלל ראשון אמרת לאו אלא כלל ופרט וכלל אין אתה דן אלא כעין הפרט,1,3,1389,1389.0,0,0.0,0.1081081081081081,0.0,15,כלל בכלל ראשון אמרת לאו אלא כלל ופרט וכלל אין אתה דן אלא כעין הפרט,4050000002,15,17
ref-sifra.1.2.18-ref-sifra.1.2.31,ref-sifre-n.118.1.430-ref-sifre-n.118.1.446,112,183,ref-sifra.1.2.18,ref-sifra.1.2.31,190952,191030,ref-sifre-n.118.1.430,ref-sifre-n.118.1.446,כלל בכלל ראשון אמרת לאו אלא כלל ופרט וכלל אין אתה דן אלא כעין הפרט,וכלל או כלל בכלל ראשון אמרת לאו אלא כלל ופרט וכלל אין אתה דן אלא כעין הפרט,1,3,1392,1392.0,1,1.0,0.1081081081081081,0.0,15,כלל בכלל ראשון אמרת לאו אלא כלל ופרט וכלל אין אתה דן אלא כעין הפרט,4050000003,15,17
ref-sifra.1.2.95-ref-sifra.1.2.106,ref-sifre-n.19.1.195-ref-sifre-n.19.1.202,488,555,ref-sifra.1.2.95,ref-sifra.1.2.106,30939,30988,ref-sifre-n.19.1.195,ref-sifre-n.19.1.202,הכלל לידון בדבר חדש אי אתה יכול להחזירו לכללו עד שיחזירנו הכתוב ,בכלל ויצאה לידון בדבר החדש החזירה הכתוב לכלל ,12,8,238,237.0,5,5.0,0.640625,0.4545454545454546,3,לידון בדבר הכתוב,4050000004,12,8
ref-sifra.1.2.95-ref-sifra.1.2.109,ref-sifre-n.37.1.145-ref-sifre-n.37.1.159,488,573,ref-sifra.1.2.95,ref-sifra.1.2.109,60659,60743,ref-sifre-n.37.1.145,ref-sifre-n.37.1.159,הכלל לידון בדבר חדש אי אתה יכול להחזירו לכללו עד שיחזירנו הכתוב לכללו בפירוש דבר ,בכלל ויצא לדון בדבר החדש אי אתה יכול לההזירו לכללו עד שיחזירנו הכתוב לכללו דברי ,15,15,646,645.0,6,5.0,0.1975308641975308,0.3076923076923077,9,בדבר אי אתה יכול לכללו עד שיחזירנו הכתוב לכללו,4050000005,15,15
ref-sifra.1.3.8-ref-sifra.1.3.15,ref-sifre-n.138.1.174-ref-sifre-n.138.1.181,717,757,ref-sifra.1.3.8,ref-sifra.1.3.15,248963,249002,ref-sifre-n.138.1.174,ref-sifre-n.138.1.181,ואביה ירק ירק בפניה הלא תכלם שבעת ימים ,ואביה ירוק ירק בפניה הלא תכלם ז' ימים ,8,8,1832,1832.0,7,7.0,0.1282051282051282,0.25,6,ואביה ירק בפניה הלא תכלם ימים,4050000006,8,8
ref-sifra.1.3.22-ref-sifra.1.3.31,ref-sifre-n.106.1.35-ref-sifre-n.106.1.42,792,839,ref-sifra.1.3.22,ref-sifra.1.3.31,144823,144862,ref-sifre-n.106.1.35,ref-sifre-n.106.1.42,ארבעה עשר יום אלא דיו לבא מן הדין להיות כנדון ,ארבעה עשר דיו לבא מן הדין להיות כנדון ,5,3,989,989.0,8,8.0,0.1739130434782608,0.1999999999999999,8,ארבעה עשר דיו לבא מן הדין להיות כנדון,4050000007,10,8
ref-sifra.1.9.24-ref-sifra.1.9.35,ref-sifre-n.24.1.253-ref-sifre-n.24.1.268,1914,1968,ref-sifra.1.9.24,ref-sifra.1.9.35,39347,39431,ref-sifre-n.24.1.253,ref-sifre-n.24.1.268,ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך מה הפרט ,הפרט אי אתה יכול לדונו כעין הפרט להוציאו מן הכלל עד שיפרוט לך הכתוב בדרך שפרט ,12,16,292,291.0,11,9.0,0.6153846153846154,0.6875,5,אי אתה כעין הפרט לך,4050000008,12,16
ref-sifra.1.9.21-ref-sifra.1.9.33,ref-sifre-n.118.1.334-ref-sifre-n.118.1.353,1900,1959,ref-sifra.1.9.21,ref-sifra.1.9.33,190473,190563,ref-sifre-n.118.1.334,ref-sifre-n.118.1.353,חזר וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך ,חזר וכלל או כלל בכלל ראשון אמרת לאו אלא כלל ופרט וכלל אין אתה דן אלא כעין הפרט לומר לך ,13,6,1388,1388.0,9,9.0,0.3793103448275862,0.2857142857142857,11,חזר וכלל כלל ופרט אתה דן אלא כעין הפרט לומר לך,4050000009,13,20
ref-sifra.1.9.21-ref-sifra.1.9.33,ref-sifre-n.118.1.429-ref-sifre-n.118.1.448,1900,1959,ref-sifra.1.9.21,ref-sifra.1.9.33,190948,191038,ref-sifre-n.118.1.429,ref-sifre-n.118.1.448,חזר וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך ,חזר וכלל או כלל בכלל ראשון אמרת לאו אלא כלל ופרט וכלל אין אתה דן אלא כעין הפרט לומר לך ,13,6,1391,1391.0,10,9.0,0.3793103448275862,0.2857142857142857,11,חזר וכלל כלל ופרט אתה דן אלא כעין הפרט לומר לך,4050000010,13,20
ref-sifra.1.11.50-ref-sifra.1.11.62,ref-sifre-n.107.1.286-ref-sifre-n.107.1.292,2601,2662,ref-sifra.1.11.50,ref-sifra.1.11.62,147590,147623,ref-sifre-n.107.1.286,ref-sifre-n.107.1.292,וכשיצאו מן הכלל ללמד לא ללמד על עצמן יצאו אלא ללמד על הכלל ,ויצא מוצא מן הכלל ללמד על הכלל ,13,7,1008,1006.0,12,12.0,0.559322033898305,0.375,5,מן הכלל ללמד על הכלל,4050000011,13,7
ref-sifra.1.14.7-ref-sifra.1.14.19,ref-sifre-n.19.1.195-ref-sifre-n.19.1.202,3424,3498,ref-sifra.1.14.7,ref-sifra.1.14.19,30939,30988,ref-sifre-n.19.1.195,ref-sifre-n.19.1.202,הכלל לידון בדבר חדש ואי אתה יכל להחזירו לכללו עד שיחזירנו הכתוב לכללו ,בכלל ויצאה לידון בדבר החדש החזירה הכתוב לכלל ,13,8,239,237.0,13,13.0,0.5714285714285714,0.4545454545454546,3,לידון בדבר הכתוב,4050000012,13,8
ref-sifra.1.14.7-ref-sifra.1.14.19,ref-sifre-n.37.1.145-ref-sifre-n.37.1.158,3424,3498,ref-sifra.1.14.7,ref-sifra.1.14.19,60659,60738,ref-sifre-n.37.1.145,ref-sifre-n.37.1.158,הכלל לידון בדבר חדש ואי אתה יכל להחזירו לכללו עד שיחזירנו הכתוב לכללו ,בכלל ויצא לדון בדבר החדש אי אתה יכול לההזירו לכללו עד שיחזירנו הכתוב לכללו ,13,14,645,645.0,14,13.0,0.1333333333333333,0.25,7,בדבר אתה לכללו עד שיחזירנו הכתוב לכללו,4050000013,13,14
ref-sifra.2.1-02.2.23-ref-sifra.2.1-02.3.10,ref-sifre-n.58.1.14-ref-sifre-n.58.1.26,7417,7528,ref-sifra.2.1-02.2.23,ref-sifra.2.1-02.3.10,81807,81873,ref-sifre-n.58.1.14,ref-sifre-n.58.1.26,אועד לך                                                         מיעט את אהרן מדברות הר סיני באהל מועד מהו אומר ,"מאהל מועד לאמר שומע אני מאהל מועד ממש ת""ל ונועדתי לך שם ודברתי ",12,13,761,760.0,17,15.0,0.8198198198198198,0.6875,1,מועד,4050000014,12,13
ref-sifra.2.1-01.12.22-ref-sifra.2.1-02.3.17,ref-sifre-n.58.1.199-ref-sifre-n.58.1.217,7218,7562,ref-sifra.2.1-01.12.22,ref-sifra.2.1-02.3.17,82706,82796,ref-sifre-n.58.1.199,ref-sifre-n.58.1.217,"דבר ה' את משה בהר סיני ואחת באהל מועד ויקרא אל משה וידבר אליו הרי י""ג מעוטים מיעט אהרן",דבר ה' את משה בהר סיני ואחת באהל מועד ויקרא אל משה וידבר,19,13,769,767.0,15,15.0,0.3488372093023256,0.3076923076923077,11,דבר ה'_את_משה בהר סיני ואחת באהל מועד ויקרא אל משה וידבר,4050000015,19,13
