baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-y,baseOrder,grp-ref-sifra,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-sifra.1.2.18-ref-sifra.1.2.57,ref-y.3.5.7.4.4.4-ref-y.3.5.7.4.4.36,112,306,ref-sifra.1.2.18,ref-sifra.1.2.57,2320574,2320735,ref-y.3.5.7.4.4.4,ref-y.3.5.7.4.4.36,שנכללו ונפרטו דברים שנכללו ולא נפרטו אמר ליה כן אמר רבי יוחנן משום רבי שמעון כל שהיה בכלל ויצא מן הכלל ללמד לא ללמר על עצמו יצא אלא ללמד על הכלל כולו יצא,שנכללו ונפרטו דברים שנכללו ולא נפרטו אמר ליה כן אמר רבי יוחנן משום רבי שמעון כל שהיה בכלל ויצא מן הכלל ללמד לא ללמר על עצמו יצא אלא ללמד על הכלל כולו יצא,33,33,2823,2821.0,0,0.0,0.0,0.0,23,שנכללו ונפרטו דברים שנכללו ולא נפרטו אמר_ליה_כן_אמר_רבי_יוחנן_משום_רבי_שמעון כל שהיה בכלל ויצא מן_הכלל_ללמד לא ללמר על עצמו יצא אלא ללמד על הכלל כולו יצא,4070000001,33,33
ref-sifra.1.4.4-ref-sifra.1.4.37,ref-y.4.6.8.1.12.20-ref-y.4.6.8.1.12.30,900,1061,ref-sifra.1.4.4,ref-sifra.1.4.37,3404352,3404416,ref-y.4.6.8.1.12.20,ref-y.4.6.8.1.12.30,נאמ' בשומר חנם אם לא שלח ידו במלאכת רעהו ונא' בשומ' שכר אם לא שלח ידו במלאכת רעהו מה בשומר הנם שנאמ' בו אם לא שלח ידו פטר את היורשין אף בשומר שכר שנאמ' ,שנאמר בשומר חנם לשליחות יד שנאמר בשומר שכר שליחות יד שנאמר ,34,11,4300,4300.0,2,2.0,0.6907894736842105,0.7894736842105263,4,בשומר חנם בשומר שכר,4070000002,34,11
ref-sifra.1.5.6-ref-sifra.1.5.13,ref-y.4.1.1.1.7.84-ref-y.4.1.1.1.7.97,1126,1173,ref-sifra.1.5.6,ref-sifra.1.5.13,2956516,2956580,ref-y.4.1.1.1.7.84,ref-y.4.1.1.1.7.97,לא הרי מושב כהרי משכב ולא הרי משבב כהרי מושב ניחא לא הרי מושב כהרי משכב ולא הרי משבב,לא הרי מושב כהרי משכב ולא הרי משבב כהרי מושב ניחא לא הרי מושב,19,14,3374,3373.0,3,3.0,0.2738095238095238,0.0,14,לא הרי מושב כהרי משכב ולא הרי משבב כהרי מושב ניחא לא הרי מושב,4070000003,19,14
ref-sifra.1.6.6-ref-sifra.1.6.18,ref-y.4.1.1.1.7.142-ref-y.4.1.1.1.7.160,1434,1503,ref-sifra.1.6.6,ref-sifra.1.6.18,2956814,2956914,ref-y.4.1.1.1.7.142,ref-y.4.1.1.1.7.160,לא פרשת נירות בהרי פרשת שילוה טמאין ולא פרשת שילוח טמאין כהרי פרשת נירות אילו לא נאמר פרשת שילוח,לא פרשת נירות בהרי פרשת שילוה טמאין ולא פרשת שילוח טמאין כהרי פרשת נירות אילו לא נאמר פרשת שילוח,19,19,3380,3380.0,5,5.0,0.0,0.0,19,לא פרשת נירות בהרי פרשת שילוה טמאין ולא פרשת שילוח טמאין כהרי פרשת נירות אילו לא נאמר פרשת שילוח,4070000004,19,19
ref-sifra.1.7.11-ref-sifra.1.8.19,ref-y.4.6.3.5.2.32-ref-y.4.6.3.5.2.45,1640,1761,ref-sifra.1.7.11,ref-sifra.1.8.19,3360224,3360290,ref-y.4.6.3.5.2.32,ref-y.4.6.3.5.2.45,אלא כיני להרע או להיטיב פרט לכל אשר יבטא כלל פרט וכלל והכל בכלל,אלא כיני להרע או להיטיב פרט לכל אשר יבטא כלל פרט וכלל והכל בכלל,14,14,4219,4219.0,7,7.0,0.0,0.0,14,אלא כיני להרע או להיטיב פרט לכל אשר יבטא כלל פרט וכלל והכל בכלל,4070000005,14,14
ref-sifra.1.9.5-ref-sifra.1.9.16,ref-y.1.8.1.3.2.10-ref-y.1.8.1.3.2.26,1814,1878,ref-sifra.1.9.5,ref-sifra.1.9.16,702819,702908,ref-y.1.8.1.3.2.10,ref-y.1.8.1.3.2.26,ונתת הכסף בכל אשר תאוה נפשך כלל בבקר ובצאן ביין ובשכר פרט ,ונתת הכסף בכל אשר תאוה נפשך כלל מעשר שני פרק ראשון בבקר בבקר ובצאן ביין ובשבר פרט ,12,17,441,441.0,9,9.0,0.3414634146341463,0.6111111111111112,7,ונתת הכסף כלל בבקר ובצאן ביין פרט,4070000006,12,17
ref-sifra.1.9.23-ref-sifra.1.9.41,ref-y.1.8.1.3.2.32-ref-y.1.8.1.3.2.52,1910,2002,ref-sifra.1.9.23,ref-sifra.1.9.41,702933,703031,ref-y.1.8.1.3.2.32,ref-y.1.8.1.3.2.52,כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך מה הפרט מפורש דבר שהוא וולד וולדות הארץ ,כלל אחר כלל ופרט וכלל אי אתה דן אלא בעין הפרט לומר לך מה הפרט מפורש דבר שהוא וולד וולדות הארץ ,19,21,442,442.0,15,9.0,0.1170212765957446,0.1764705882352941,16,כלל אי אתה דן אלא הפרט לומר לך מה הפרט מפורש דבר שהוא וולד וולדות הארץ,4070000007,19,21
ref-sifra.1.9.34-ref-sifra.1.9.51,ref-y.1.8.1.3.2.59-ref-y.1.8.1.3.2.71,1960,2048,ref-sifra.1.9.34,ref-sifra.1.9.51,703055,703120,ref-y.1.8.1.3.2.59,ref-y.1.8.1.3.2.71,מה הפרט מפורש דבר שהוא וולד וולדות הארץ וגדולי קרקע אף אין לי אלא כל דבר' שהוא וולד ,וולד וולדות הארץ ר' עקיבה מפרש מה הפרט מפורש דבר שהוא פרי וולד ,18,13,443,443.0,17,9.0,0.6547619047619048,0.5333333333333333,6,מה הפרט מפורש דבר שהוא וולד,4070000008,18,13
ref-sifra.1.9.5-ref-sifra.1.9.41,ref-y.2.2.3.1.3.4-ref-y.2.2.3.1.3.45,1814,2002,ref-sifra.1.9.5,ref-sifra.1.9.41,1135708,1135913,ref-y.2.2.3.1.3.4,ref-y.2.2.3.1.3.45,ונתת הכסף בכל אשר תאוה נפשך כלל בבקר ובצאן ביין ובשכר פרט ובכל אשר תשאלך נפשך חזר וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך מה הפרט מפורש דבר שהוא וולד וולדות הארץ ,ונתת הכסף בכל אשר תאוה נפשך הרי זה כלל בבקר ובצאן ביין ובשכר הרי זה פרט ובכל אשר תשאלך נפשך חרי זה כלל אחר כלל ופרט וכלל ואין אתה דן אלא בעין הפרט לומר מה הפרט מפורש דבר שהוא וולד וולדות הארץ ,37,42,847,847.0,10,9.0,0.1822916666666666,0.303030303030303,26,ונתת הכסף כלל בבקר ובצאן ביין ובשכר פרט ובכל אשר תשאלך נפשך כלל אתה דן אלא הפרט לומר מה הפרט מפורש דבר שהוא וולד וולדות הארץ,4070000009,37,42
ref-sifra.1.9.34-ref-sifra.1.9.51,ref-y.2.2.3.1.3.52-ref-y.2.2.3.1.3.63,1960,2048,ref-sifra.1.9.34,ref-sifra.1.9.51,1135937,1136000,ref-y.2.2.3.1.3.52,ref-y.2.2.3.1.3.63,מה הפרט מפורש דבר שהוא וולד וולדות הארץ וגדולי קרקע אף אין לי אלא כל דבר' שהוא וולד ,וולד וולדות הארץ רבי עקיבה מפרש מה הפרט מפרש שהוא פרי כוולד ,18,12,848,848.0,18,9.0,0.6666666666666666,0.6,4,וולד וולדות הארץ שהוא,4070000010,18,12
