baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-b,baseOrder,grp-ref-sifre-n,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-sifre-n.1.2.45-ref-sifre-n.1.2.49,ref-b.1.1.9.57a.8.50-ref-b.1.1.9.57a.8.54,463,485,ref-sifre-n.1.2.45,ref-sifre-n.1.2.49,305408,305430,ref-b.1.1.9.57a.8.50,ref-b.1.1.9.57a.8.54,ויקחו אליך שמן זית זך ,ויקחו אליך שמן זית זך ,5,5,62,61.0,1,0.0,0.0,0.0,5,ויקחו אליך שמן זית זך,5080000001,5,5
ref-sifre-n.1.2.41-ref-sifre-n.1.2.49,ref-b.5.2.9.86b.5.1-ref-b.5.2.9.86b.5.9,447,485,ref-sifre-n.1.2.41,ref-sifre-n.1.2.49,7407341,7407379,ref-b.5.2.9.86b.5.1,ref-b.5.2.9.86b.5.9,צו את בני ישראל ויקחו אליך שמן זית זך ,צו את בני ישראל ויקחו אליך שמן זית זך ,9,9,2428,2428.0,0,0.0,0.0,0.0,6,צו_את_בני_ישראל ויקחו אליך שמן זית זך,5080000002,9,9
ref-sifre-n.1.2.109-ref-sifre-n.1.2.115,ref-b.3.7.1.29a.14.1-ref-b.3.7.1.29a.14.7,817,857,ref-sifre-n.1.2.109,ref-sifre-n.1.2.115,4483209,4483251,ref-b.3.7.1.29a.14.1,ref-b.3.7.1.29a.14.7,זירוז שנא' וצו את יהושע וחזקהו ואמצהו ,זירוז דכתיב וצו את יהושע וחזקהו ואמצהו ,7,7,1553,1553.0,2,2.0,0.1282051282051282,0.25,6,זירוז וצו את יהושע וחזקהו ואמצהו,5080000003,7,7
ref-sifre-n.1.2.139-ref-sifre-n.1.2.148,ref-b.1.1.9.57a.8.49-ref-b.1.1.9.57a.8.54,983,1028,ref-sifre-n.1.2.139,ref-sifre-n.1.2.148,305401,305430,ref-b.1.1.9.57a.8.49,ref-b.1.1.9.57a.8.54,שנאמר צו את בני ישראל ויקחו אליך שמן זית זך ,שנאמר ויקחו אליך שמן זית זך ,10,6,61,61.0,3,3.0,0.3636363636363636,0.1428571428571429,6,שנאמר ויקחו אליך שמן זית זך,5080000004,10,6
ref-sifre-n.1.2.140-ref-sifre-n.1.2.148,ref-b.5.2.9.86b.5.1-ref-b.5.2.9.86b.5.9,990,1028,ref-sifre-n.1.2.140,ref-sifre-n.1.2.148,7407341,7407379,ref-b.5.2.9.86b.5.1,ref-b.5.2.9.86b.5.9,צו את בני ישראל ויקחו אליך שמן זית זך ,צו את בני ישראל ויקחו אליך שמן זית זך ,9,9,2429,2428.0,4,3.0,0.0,0.0,6,צו_את_בני_ישראל ויקחו אליך שמן זית זך,5080000005,9,9
ref-sifre-n.1.2.210-ref-sifre-n.1.2.216,ref-b.4.4.7.56b.4.8-ref-b.4.4.7.56b.4.15,1328,1362,ref-sifre-n.1.2.210,ref-sifre-n.1.2.216,6155475,6155511,ref-b.4.4.7.56b.4.8,ref-b.4.4.7.56b.4.15,ויצו ה' אלהים על האדם וגו' ומעץ ,ויצו ה' אלהים על האדם לאמר מכל עץ ,7,8,1884,1883.0,6,5.0,0.2352941176470588,0.5,5,ויצו ה' אלהים על האדם,5080000006,7,8
ref-sifre-n.1.2.210-ref-sifre-n.1.2.214,ref-b.4.4.7.56b.23.13-ref-b.4.4.7.56b.23.17,1328,1351,ref-sifre-n.1.2.210,ref-sifre-n.1.2.214,6157506,6157529,ref-b.4.4.7.56b.23.13,ref-b.4.4.7.56b.23.17,ויצו ה' אלהים על האדם ,ויצו ה' אלהים על האדם ,5,5,1888,1887.0,5,5.0,0.0,0.0,5,ויצו ה' אלהים על האדם,5080000007,5,5
ref-sifre-n.1.3.75-ref-sifre-n.1.4.8,ref-b.2.4.6.67b.5.22-ref-b.2.4.6.67b.6.11,1761,1849,ref-sifre-n.1.3.75,ref-sifre-n.1.4.8,1493615,1493679,ref-b.2.4.6.67b.5.22,ref-b.2.4.6.67b.6.11,כל צרוע וכל זב אלא בא הכתוב ליתן להם את המחיצות וישלחו מן המחנה כל צרוע וכל זב וכל ,ליה בעל קרי לזב וכל צרוע למה לי איידי דכתיב כל זב כתיב נמי כל ,19,15,279,279.0,7,7.0,0.7349397590361446,0.6666666666666667,3,וכל צרוע זב,5080000008,19,15
ref-sifre-n.1.4.19-ref-sifre-n.1.4.25,ref-b.1.1.3.25a.11.9-ref-b.1.1.3.25a.11.15,1906,1941,ref-sifre-n.1.4.19,ref-sifre-n.1.4.25,130466,130502,ref-b.1.1.3.25a.11.9,ref-b.1.1.3.25a.11.15,בדד ישב מחוץ למחנה מושבו מצורע היה ,בדד ישב מחוץ למחנה מושבו הכא והיה ,7,7,25,25.0,9,8.0,0.1714285714285714,0.3333333333333333,5,בדד ישב מחוץ למחנה מושבו,5080000009,7,7
ref-sifre-n.1.4.18-ref-sifre-n.1.4.23,ref-b.5.5.3.16b.2.28-ref-b.5.5.3.16b.2.35,1898,1931,ref-sifre-n.1.4.18,ref-sifre-n.1.4.23,8168481,8168525,ref-b.5.5.3.16b.2.28,ref-b.5.5.3.16b.2.35,במצורע בדד ישב מחוץ למחנה מושבו ,מצורע שאמרה תורה בדד ישב מחוץ למחנה מושבו ,6,8,2677,2677.0,8,8.0,0.2857142857142857,0.5,5,בדד ישב מחוץ למחנה מושבו,5080000010,6,8
