baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-sifre-n,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-sifre-n.1.2.45-ref-sifre-n.1.2.49,ref-bible.0102.27.20.6-ref-bible.102.27.20.10,463,485,ref-sifre-n.1.2.45,ref-sifre-n.1.2.49,159829,159851,ref-bible.0102.27.20.6,ref-bible.0102.27.20.10,ויקחו אליך שמן זית זך ,ויקחו אליך שמן זית זך ,5,5,94,94.0,0,0.0,0.0,0.0,5,ויקחו אליך שמן זית זך,5090000001,5,5
ref-sifre-n.1.2.45-ref-sifre-n.1.2.49,ref-bible.0103.24.2.5-ref-bible.103.24.2.9,463,485,ref-sifre-n.1.2.45,ref-sifre-n.1.2.49,241702,241724,ref-bible.0103.24.2.5,ref-bible.0103.24.2.9,ויקחו אליך שמן זית זך ,ויקחו אליך שמן זית זך ,5,5,237,237.0,1,0.0,0.0,0.0,5,ויקחו אליך שמן זית זך,5090000002,5,5
ref-sifre-n.1.2.51-ref-sifre-n.1.2.56,ref-bible.0102.27.21.8-ref-bible.102.27.21.19,491,527,ref-sifre-n.1.2.51,ref-sifre-n.1.2.56,159913,159972,ref-bible.0102.27.21.8,ref-bible.0102.27.21.19,יערוך אותו אהרן חוקת עולם לדורותיכם ,יערך אתו אהרן ובניו מערב עד בקר לפני יהוה חקת עולם לדרתם ,6,12,97,97.0,2,2.0,0.5964912280701754,0.5833333333333333,2,אהרן עולם,5090000003,6,12
ref-sifre-n.1.2.111-ref-sifre-n.1.2.115,ref-bible.0105.3.28.1-ref-bible.105.3.28.5,828,857,ref-sifre-n.1.2.111,ref-sifre-n.1.2.115,345678,345707,ref-bible.0105.3.28.1,ref-bible.0105.3.28.5,וצו את יהושע וחזקהו ואמצהו ,וצו את יהושע וחזקהו ואמצהו ,5,5,866,866.0,3,3.0,0.0,0.0,5,וצו את יהושע וחזקהו ואמצהו,5090000004,5,5
ref-sifre-n.1.2.144-ref-sifre-n.1.2.148,ref-bible.0102.27.20.6-ref-bible.102.27.20.10,1006,1028,ref-sifre-n.1.2.144,ref-sifre-n.1.2.148,159829,159851,ref-bible.0102.27.20.6,ref-bible.0102.27.20.10,ויקחו אליך שמן זית זך ,ויקחו אליך שמן זית זך ,5,5,95,94.0,4,4.0,0.0,0.0,5,ויקחו אליך שמן זית זך,5090000005,5,5
ref-sifre-n.1.2.144-ref-sifre-n.1.2.148,ref-bible.0103.24.2.5-ref-bible.103.24.2.9,1006,1028,ref-sifre-n.1.2.144,ref-sifre-n.1.2.148,241702,241724,ref-bible.0103.24.2.5,ref-bible.0103.24.2.9,ויקחו אליך שמן זית זך ,ויקחו אליך שמן זית זך ,5,5,238,237.0,5,4.0,0.0,0.0,5,ויקחו אליך שמן זית זך,5090000006,5,5
ref-sifre-n.1.2.167-ref-sifre-n.1.2.172,ref-bible.0104.28.2.8-ref-bible.104.28.3.2,1116,1147,ref-sifre-n.1.2.167,ref-sifre-n.1.2.172,317602,317663,ref-bible.0104.28.2.8,ref-bible.0104.28.3.2,ואמרת אלהם את קרבני לחמי לאשי ,קרבני לחמי לאשי ריח ניחחי תשמרו להקריב לי במועדו ואמרת להם ,6,11,669,669.0,6,6.0,0.7796610169491526,0.6666666666666667,3,קרבני לחמי לאשי,5090000007,6,11
ref-sifre-n.1.2.210-ref-sifre-n.1.2.222,ref-bible.0101.2.16.1-ref-bible.101.2.17.7,1328,1390,ref-sifre-n.1.2.210,ref-sifre-n.1.2.222,3284,3370,ref-bible.0101.2.16.1,ref-bible.0101.2.17.7,ויצו ה' אלהים על האדם וגו' ומעץ הדעת טוב ורע לא תאכל ממנו ,ויצו יהוה אלהים על האדם לאמר מכל עץ הגן אכל תאכל ומעץ הדעת טוב ורע לא תאכל ממנו ,13,18,0,0.0,7,7.0,0.325,0.375,11,ויצו אלהים על האדם ומעץ הדעת טוב ורע לא תאכל ממנו,5090000008,13,18
ref-sifre-n.1.3.75-ref-sifre-n.1.4.10,ref-bible.0104.5.2.8-ref-bible.0104.5.2.14,1761,1859,ref-sifre-n.1.3.75,ref-sifre-n.1.4.10,263983,264013,ref-bible.0104.5.2.8,ref-bible.0104.5.2.14,כל צרוע וכל זב וכל טמא לנפש,כל צרוע וכל זב וכל טמא לנפש,7,7,259,259.0,8,8.0,0.0,0.0,7,כל צרוע וכל זב וכל טמא לנפש,5090000009,7,7
ref-sifre-n.1.4.19-ref-sifre-n.1.4.25,ref-bible.0103.13.46.9-ref-bible.103.13.47.3,1906,1941,ref-sifre-n.1.4.19,ref-sifre-n.1.4.25,217146,217187,ref-bible.0103.13.46.9,ref-bible.0103.13.47.3,בדד ישב מחוץ למחנה מושבו מצורע היה ,בדד ישב מחוץ למחנה מושבו והבגד כי יהיה ,7,8,189,189.0,10,10.0,0.2307692307692307,0.3333333333333333,5,בדד ישב מחוץ למחנה מושבו,5090000010,7,8
